strassenschluessel;bezeichnung;geometry
05554000002002080;Achterhof;POINT (7.040420840208926 52.172729948534034)
05554000002002081;Achterkamp;POINT (7.028912497359475 52.19783680140848)
05554000002002082;Bleeke;POINT (7.053916896655891 52.17909210744401)
05554000002002083;Agathastraße;POINT (7.040402643701891 52.18167321146714)
05554000002002084;Ahauser Straße;POINT (7.034748028429964 52.17306228677411)
05554000002002085;Alfertring;POINT (7.050547255488582 52.1726451515618)
05554000002002086;Amelandsbrückenweg;POINT (7.021128750840458 52.1915656888694)
05554000002002087;Amtsvenn;POINT (6.974941131791535 52.163971168091614)
05554000002002088;Antoniusstraße;POINT (7.041451393381254 52.18014399274559)
05554000002002089;Zum Bahnhof;POINT (7.032244182128638 52.18240561871361)
05554000002002090;Am Berge;POINT (7.055914321467778 52.19643397234191)
05554000002002091;Bergstraße;POINT (7.048510777513862 52.18750190785021)
05554000002002092;Bernhardstraße;POINT (7.038370238931274 52.18302053186594)
05554000002002093;Birkenholz;POINT (7.047050072473034 52.187352482386714)
05554000002002094;Birkenweg;POINT (7.062084569397016 52.17745959346982)
05554000002002095;Blickesch;POINT (7.045921318397154 52.17883598771317)
05554000002002096;Bösingbachstiege;POINT (7.035538528602359 52.1831332162545)
05554000002002097;Bösinghofweg;POINT (7.040391754635054 52.1869013169835)
05554000002002098;Am Bösinghove;POINT (7.041504699796514 52.18518522345341)
05554000002002099;Boomkamp;POINT (7.036233428132558 52.18683715687975)
05554000002002100;Brinkerhook;POINT (7.03923511287476 52.162998276785935)
05554000002002101;Am Buddenbrook;POINT (7.051844652146884 52.176501191272195)
05554000002002102;Beim Bungert;POINT (7.048147613644634 52.174365398899724)
05554000002002103;Buschgarten;POINT (7.050738143277702 52.1806464070396)
05554000002002104;Dakelsberg;POINT (7.021428827088498 52.18539733901233)
05554000002002105;Birkhahnweg;
05554000002002106;Heideweg;
05554000002002107;Dorotheenstraße;POINT (7.037683501966028 52.18598406017624)
05554000002002108;Drostenweg;POINT (7.035952337978287 52.17545399735896)
05554000002002109;Drostenwoort;POINT (7.042359395119308 52.17200657327446)
05554000002002110;Eichendorffweg;POINT (7.062448878729746 52.17790494400409)
05554000002002111;Töns Maate;POINT (7.028634776567525 52.182231407355815)
05554000002002112;Engbrinkkamp;POINT (7.044069192567021 52.18911130176765)
05554000002002113;Erlenweg;POINT (7.064908343100169 52.177690769553536)
05554000002002114;Eschenholt;POINT (7.049894092289562 52.185916574306454)
05554000002002115;Esteresch;POINT (7.047383919422538 52.17581175109877)
05554000002002116;Eulenborgweg;POINT (7.028655684563829 52.185995589467566)
05554000002002117;Feldkamp;POINT (7.053626375837998 52.1852681548684)
05554000002002118;Föhrenkamp;POINT (7.061171843603869 52.17631330516397)
05554000002002119;Friedrichstraße;POINT (7.040654086415343 52.1823721991474)
05554000002002120;Füchte;POINT (7.0654576679833205 52.173880133201074)
05554000002002121;Füchter Heide;POINT (7.063202505485683 52.17864576060397)
05554000002002122;Füchter Straße;POINT (7.056018215754225 52.17841403117325)
05554000002002123;Kolpingstraße;POINT (7.038633752755831 52.1846345956599)
05554000002002124;Gasstraße;POINT (7.043101674142902 52.18397014529789)
05554000002002125;Gerdingseite;POINT (7.0546434930668696 52.16032111022087)
05554000002002126;Gerlingweg;POINT (7.036212879510462 52.16982471377948)
05554000002002127;Germaniastraße;POINT (7.036254034618887 52.17453578606465)
05554000002002128;Giebelkamp;POINT (7.0507951068534505 52.17443667371634)
05554000002002129;Gildehauser Damm;POINT (7.042561189752944 52.1878120158607)
05554000002002130;Brambusch;POINT (7.0547146095202615 52.18230717059534)
05554000002002131;Glanerbrücker Landweg;POINT (7.016366936131462 52.17663827803878)
05554000002002132;An der Gräfte;POINT (7.038819920157731 52.18128220756872)
05554000002002133;Moorweg;
05554000002002134;Gronauer Straße;POINT (7.027770050456346 52.19749538853168)
05554000002002135;Groter Kamp;POINT (7.027389281843631 52.195965843532456)
05554000002002136;Haargoren;POINT (7.04627260646686 52.1844187731558)
05554000002002137;Am Hagedorn;POINT (7.048734772086159 52.18672889688249)
05554000002002138;Harmskamp;POINT (7.044709498673251 52.18503867416643)
05554000002002139;Harmsweg;POINT (7.043265101440955 52.181980891315185)
05554000002002140;Hauskamp;POINT (7.035240257851253 52.191406615790626)
05554000002002141;Heidkamp;POINT (7.040524830709818 52.17230786574895)
05554000002002142;Heisterbusch;POINT (7.046507904760306 52.187221402355924)
05554000002002143;Helenenstraße;POINT (7.0352213603712315 52.175991017014134)
05554000002002144;Hindenburgring;POINT (7.041091032987459 52.18071141774645)
05554000002002145;Hofkamp;POINT (7.026201628155004 52.19037771709776)
05554000002002146;Hoher Weg;POINT (7.065369776375319 52.17762720418447)
05554000002002147;Am Holtkamp;POINT (7.03121128235147 52.17532810815524)
05554000002002148;Hoves Garten;POINT (7.051991975913376 52.176762386717954)
05554000002002149;Am Hünenkirchhof;POINT (7.05965858680078 52.17383098669971)
05554000002002150;Hustede;POINT (7.039623447587843 52.17432825948239)
05554000002002151;Industriestraße;POINT (7.03087149804637 52.177505009867616)
05554000002002152;Jahnweg;POINT (7.039068333572122 52.179732487083)
05554000002002153;In den Kämpen;POINT (7.058597186610349 52.177615115328535)
05554000002002154;Kestermannkamp;POINT (7.044367459983649 52.190307314067454)
05554000002002155;Kirchplatz;POINT (7.038866549355235 52.18049843229661)
05554000002002156;Kloster;POINT (7.027406174036411 52.192866536151065)
05554000002002157;Klosterstraße;POINT (7.022877798284863 52.19090755439305)
05554000002002158;Koestegge;POINT (7.04549957201258 52.180450927221244)
05554000002002159;Kohlingstraße;POINT (7.032455205936313 52.17587798340218)
05554000002002160;Kottiger Hook;POINT (7.002682600050186 52.18176213225793)
05554000002002161;Kottigweg;POINT (7.015051115870857 52.16955354994718)
05554000002002162;Kottker Esch;POINT (7.0336481443366825 52.174472557371566)
05554000002002163;Langenhorster Esch;POINT (7.049410536978995 52.17303245205886)
05554000002002164;Langenkamp;POINT (7.038249084766005 52.17187849367257)
05554000002002165;Lange Seite;POINT (7.056882727883943 52.14462058383901)
05554000002002166;Lange-Seite-Straße;POINT (7.035412535194304 52.17323618531789)
05554000002002167;Langer Esch;POINT (7.0356635574423265 52.170408902514616)
05554000002002168;Lasterfeld;POINT (7.05351886147579 52.13778779572782)
05554000002002169;Laurenzstraße;POINT (7.042104469827231 52.18380525543116)
05554000002002170;Lünterie;POINT (7.0367398360289934 52.18497562389009)
05554000002002171;Markusstraße;POINT (7.04029837127986 52.17997102316889)
05554000002002172;Memelweg;POINT (7.055151765002932 52.17335096258628)
05554000002002173;Am Hohen Mersch;POINT (7.045392342244959 52.18811757493392)
05554000002002174;Beim Mersch;POINT (7.0490589921943 52.18500571686896)
05554000002002175;Merschgarten;POINT (7.045496279900138 52.185798398618786)
05554000002002176;Merschstraße;POINT (7.039718798591243 52.179269773174305)
05554000002002177;Metelner Damm;POINT (7.073047830005787 52.18024660842327)
05554000002002178;Mühlenstiege;POINT (7.040401299802098 52.178124970440486)
