strassenschluessel;bezeichnung;geometry
05754000000810100;Ackerstraße;POINT (8.383987649452115 51.91201694492793)
05754000000810150;Adam-Opel-Straße;POINT (8.43646881414181 51.94376267156087)
05754000000810170;Adele-Bartsch-Straße;POINT (8.351678719619375 51.89974512015641)
05754000000810200;Adlerweg;POINT (8.482487026350935 51.93759593961182)
05754000000810300;Adolph-Bermpohl-Weg;POINT (8.40381693336492 51.89211260726481)
05754000000810400;Agnesstraße;POINT (8.418701870947409 51.906398914846854)
05754000000810500;Ahornallee;POINT (8.39123841324597 51.92404641947937)
05754000000810530;Ahornpark;POINT (8.393086850815145 51.929120234745554)
05754000000810600;Akazienweg;POINT (8.437307928557289 51.93717221320527)
05754000000810700;Akeleiweg;POINT (8.380995072437553 51.93064690794992)
05754000000810750;Albatrosweg;POINT (8.476012900849279 51.93798002359781)
05754000000810800;Albertus-Magnus-Straße;POINT (8.442090399623401 51.936649264652075)
05754000000810900;Albrechtsweg;POINT (8.449665762575432 51.910573676403324)
05754000000810950;Aldehusweg;POINT (8.377209675779115 51.884532923983166)
05754000000811000;Alexanderweg;POINT (8.449681693394883 51.906641774317215)
05754000000811050;Alfred-Krupp-Straße;POINT (8.431609546223482 51.93991631048646)
05754000000811100;Allensteiner Straße;POINT (8.43258324084173 51.92215225316814)
05754000000811150;Aloys-Eckermann-Straße;POINT (8.374350614241974 51.88575938815407)
05754000000811200;Alpenrosenstraße;POINT (8.421292190129343 51.91241336411533)
05754000000811300;Alsenstraße;POINT (8.364459358792642 51.904568112960966)
05754000000811310;Alte Buschstraße;POINT (8.384170547758123 51.88575716848329)
05754000000811320;Alte Heidewaldstraße;POINT (8.397669571679497 51.88509617482506)
05754000000811350;Alte Osnabrücker Straße;POINT (8.429744116871476 51.91408774975656)
05754000000811370;Alte Spexarder Straße;POINT (8.429331691715086 51.90943933245059)
05754000000811400;Alte Verler Straße;POINT (8.400594704030517 51.89869770374856)
05754000000811450;Alte Wiedenbrücker Straße;POINT (8.363210013394658 51.89015025952032)
05754000000811470;Alter Hellweg;POINT (8.362136672157346 51.884201607725736)
05754000000811480;Alter Postdamm;POINT (8.396993743503819 51.921775419999484)
05754000000811500;Alter Schützenplatz;POINT (8.45767719326957 51.92190141443704)
05754000000811550;Alter Westring;POINT (8.364112605860837 51.89252640430387)
05754000000811600;Am Alten Kirchplatz;POINT (8.377623317880516 51.90470229815125)
05754000000811700;Am Anger;POINT (8.406325219887504 51.90520830769031)
05754000000811750;Am Bachschemm;POINT (8.37896923125312 51.903824868321536)
05754000000811800;Am Bahndamm;POINT (8.392238811258085 51.91701594688792)
05754000000811830;Am Bohlenhorst;POINT (8.359256581341324 51.910768077528594)
05754000000811850;Am Buschhof;POINT (8.40496752704462 51.958209280830154)
05754000000811900;Am Coesfeld;POINT (8.42048731105232 51.88563412673673)
05754000000812100;Am Depenbrock;POINT (8.376308098937644 51.89334129670104)
05754000000812200;Am Dettmers Bach;POINT (8.356613883944373 51.91720363414898)
05754000000812250;Am Dorfgraben;POINT (8.40819206840597 51.94592598392018)
05754000000812260;Am Ehrenmal;POINT (8.421915924930483 51.88350742325115)
05754000000812280;Am Großen Garten;POINT (8.417783280424908 51.91428557893413)
05754000000812300;Am Grubenhof;POINT (8.386667231075743 51.90903891250741)
05754000000812500;Am Heidewald;POINT (8.38569574493886 51.89045998599961)
05754000000812600;Am Hüttenbrink;POINT (8.425019633839801 51.88666700178932)
05754000000812650;Am Jostkamp;POINT (8.40055500470992 51.9484570665636)
05754000000812700;Am Kamphof;POINT (8.36061919669665 51.89811050993318)
05754000000812900;Am Kreuzkamp;POINT (8.404279356674378 51.95093659569204)
05754000000812950;Am Krullsbach;POINT (8.340452955197128 51.940941201283906)
05754000000812960;Am Lühnshus;POINT (8.349067592651114 51.949597240046636)
05754000000812970;Am Lohofe;POINT (8.416178369393538 51.91346380887019)
05754000000813000;Am Lütken Kamp;POINT (8.353969385609465 51.90351331473016)
05754000000813050;Am Lütken Kolk;POINT (8.41691859862252 51.919344853270275)
05754000000813080;Am Ölbach;POINT (8.449392572711599 51.88441663183198)
05754000000813100;Am Osternkamp;POINT (8.364505769678571 51.955072158072696)
05754000000813200;Am Parkbad;POINT (8.398569389701521 51.89742827494744)
05754000000813220;Am Pastorengarten;POINT (8.410725524269395 51.9478283707628)
05754000000813250;Am Pfarrkamp;POINT (8.413196983178521 51.94804796015173)
05754000000813300;Am Pferdekamp;POINT (8.38880970619095 51.876181060115606)
05754000000813400;Am Reiherbach;POINT (8.451701386485885 51.945097247848665)
05754000000813500;Am Rickfeld;POINT (8.385400328924467 51.88606000355446)
05754000000813610;Am Röhrbach;POINT (8.436304321606174 51.9413677654579)
05754000000813700;Am Schlangenbach;POINT (8.392963445610073 51.92396865263249)
05754000000813800;Am Schling;POINT (8.419459987991663 51.91837875916065)
05754000000813900;Am Stadtgarten;POINT (8.391624839461766 51.89591822476281)
05754000000814000;Am Stellbrink;POINT (8.323283067188788 51.917526182751516)
05754000000814100;Am Türmchen;POINT (8.385558605551946 51.904142713104235)
05754000000814200;Am Üssenpohl;POINT (8.371248541950566 51.95108390412229)
05754000000814300;Am Wachtelbrink;POINT (8.470086337119742 51.945615809353654)
05754000000814320;Am Witthof;POINT (8.337065468182168 51.908799037214585)
05754000000814350;Am Wochenmarkt;
05754000000814370;Amelandweg;POINT (8.410985422146508 51.93993834737365)
05754000000814400;Amelingstraße;POINT (8.39967116117913 51.865621051019744)
05754000000814500;Ammerweg;POINT (8.461988815235694 51.93650991704346)
05754000000814600;Amrumweg;POINT (8.415843276100125 51.94174905868317)
05754000000814700;Amselweg;POINT (8.445029937837244 51.940823409781885)
05754000000814800;Amtenbrinksweg;POINT (8.410839962656976 51.902930860318286)
05754000000814850;An den Sandgruben;POINT (8.341792183382443 51.96337450034063)
05754000000814870;An der Aue;POINT (8.408797347780151 51.94925634499025)
05754000000814880;An der Bleiche;POINT (8.373795671822746 51.90352515619713)
05754000000814900;An der Brede;POINT (8.414943847069978 51.941678201869735)
05754000000814950;An der Erlöserkapelle;POINT (8.414373226358155 51.911846989327564)
05754000000815000;An der Helle;POINT (8.3672674493576 51.896947664945046)
05754000000815050;An der Hofstelle;POINT (8.41085876347934 51.94959560089881)
05754000000815100;An der Insel;POINT (8.369221525207662 51.9061555089494)
05754000000815200;An der Johanneskirche;POINT (8.356534127127565 51.904525967961774)
05754000000815300;An der Landwehr;POINT (8.418406104923294 51.915012170862894)
05754000000815400;An der Lutter;POINT (8.414856916266173 51.94695260244488)
05754000000815450;An der Manufaktur;POINT (8.410792156774406 51.94572923381195)
05754000000815500;An der Voßheide;POINT (8.400694317478075 51.882164932601306)
05754000000815550;Andreas-Meybüscher-Straße;
05754000000815580;Andreasweg;POINT (8.437575927106924 51.90417073402861)
05754000000815590;Anemonenweg;POINT (8.423545159773179 51.9148221926437)
05754000000815600;Angelastraße;POINT (8.410551137467369 51.91538930883195)
05754000000815620;Angenetestraße;POINT (8.379126789161951 51.89271659076129)
05754000000815640;Anna-Böckmann-Straße;POINT (8.349596648157439 51.89912838618513)
05754000000815650;Anna-Voß-Straße;POINT (8.399666622712248 51.885432546525415)
05754000000815700;Annenstraße;POINT (8.398236287141254 51.90730718370077)
05754000000815800;Antilopenweg;POINT (8.44887852534927 51.93100176460477)
05754000000816000;Apfelweg;POINT (8.451432889156646 51.89862512705255)
05754000000816100;Arndtstraße;POINT (8.377778117083821 51.91906324593894)
05754000000816150;Arnold-Willer-Straße;POINT (8.345845236235533 51.907356730443475)
05754000000816200;Asternweg;POINT (8.382161292793198 51.929752818387776)
05754000000816250;Astridstraße;POINT (8.42880563703836 51.90608903087491)
05754000000816300;Auerhahnstraße;POINT (8.443304625670217 51.93915737688791)
05754000000816400;Auf dem Felde;POINT (8.398317742731358 51.95071803438019)
05754000000816500;Auf dem Knüll;POINT (8.355154913827302 51.90227611149147)
05754000000816600;Auf dem Siekkamp;POINT (8.411684697340355 51.95782594328533)
05754000000816700;Auf dem Stempel;POINT (8.34559968131046 51.90472808844838)
05754000000816750;Auf den Plaggen;POINT (8.404202970061059 51.94450852232187)
05754000000816800;Auf der Benkert;POINT (8.357468623083776 51.91931037801104)
05754000000816900;Auf der Haar;POINT (8.414188495171778 51.89269626328841)
05754000000817000;Auf der Heide;POINT (8.350230003600258 51.911623730972195)
05754000000817100;Auf der Höhe;POINT (8.381322135528274 51.92899863573675)
05754000000817200;Auf der Horst;POINT (8.417241565951585 51.904368634285994)
