strassenschluessel;bezeichnung;geometry
05374000001206002;Ahornweg;POINT (7.559807331366936 51.023378060005534)
05374000001206003;Alte Rathausstraße;POINT (7.565771433822485 51.027754319029256)
05374000001206004;Am Einhorn;POINT (7.563562571402161 51.02865032896752)
05374000001206005;Albertstraße;POINT (7.559435545114687 51.02357552349339)
05374000001206006;Am Hepel;POINT (7.573964728876441 51.02853636780025)
05374000001206007;Am Kerberg;POINT (7.56279450560365 51.028495025646315)
05374000001206008;Am Kohlberg;POINT (7.578006701769265 51.02291767892073)
05374000001206009;Am Sängerheim;POINT (7.576156560949919 51.02347121371419)
05374000001206011;Am Steinberg;POINT (7.5521527941905635 51.032434372697246)
05374000001206012;Am Wehrenbeul;POINT (7.569829907686483 51.0264486538546)
05374000001206013;Am Wiedenhof;POINT (7.569758521191391 51.02884434429323)
05374000001206014;An der Berstig;POINT (7.5685409557276495 51.02323134515106)
05374000001206015;An der Höhe;POINT (7.576298009418148 51.032562862681225)
05374000001206016;An der Schneppenhardt;POINT (7.57531603773947 51.03241817450228)
05374000001206017;An der Schüttenhöhe;POINT (7.57349214891871 51.01990226973322)
05374000001206018;Auf der Platte;POINT (7.5603757852461 51.02502614501746)
05374000001206019;Augustastraße;POINT (7.565992641697566 51.030131296030746)
05374000001206020;Bachstraße;POINT (7.562584092277839 51.027456258536766)
05374000001206021;Bahnhofstraße;POINT (7.56755838320724 51.02436788569583)
05374000001206022;Becketalstraße;POINT (7.5795305545200575 51.02649919368411)
05374000001206023;Kleine Bergstraße;POINT (7.567542902052624 51.0236474607233)
05374000001206024;Berliner Platz;POINT (7.576631980231309 51.03023174760175)
05374000001206025;Birkenstraße;POINT (7.5546842200812 51.03078698998633)
05374000001206026;Bismarckstraße;POINT (7.567150497972793 51.02835441991109)
05374000001206027;Blücherstraße;POINT (7.5696169137339115 51.02498670942236)
05374000001206028;Bornerhof;POINT (7.562546768902426 51.034951355073346)
05374000001206029;Breslauer Straße;POINT (7.578189978264182 51.03059569827114)
05374000001206030;Brückenstraße;POINT (7.5578196131678235 51.02450660375444)
05374000001206031;Buchenweg;POINT (7.560482574918907 51.021116093653916)
05374000001206032;Danziger Straße;POINT (7.579279105428579 51.03021911653212)
05374000001206033;Dellenfelder Straße;POINT (7.572266826709104 51.01809621941404)
05374000001206034;Denkmalweg;POINT (7.560203782506 51.028882394287265)
05374000001206035;Dörnenstraße;POINT (7.573895860810516 51.01891509412772)
05374000001206036;Emilienstraße;POINT (7.567986632167418 51.023870729775346)
05374000001206037;Emmastraße;POINT (7.559309126512483 51.0274071901098)
05374000001206038;Fabrikstraße;POINT (7.564232256000684 51.02636977627252)
05374000001206039;Feldstraße;POINT (7.568793906431016 51.02670780972526)
05374000001206040;Franz-Schubert-Straße;POINT (7.554358099152376 51.026202146803016)
05374000001206041;Friedensstraße;POINT (7.551155216388436 51.03140594541989)
05374000001206042;Friedrichstraße;POINT (7.5705898413510315 51.02203926596929)
05374000001206043;An der Sporthalle;POINT (7.568758793964921 51.03124865749939)
