strassenschluessel;bezeichnung
05914000000000001;Ackerstraße
05914000000000002;Adalbert-Stifter-Straße
05914000000000003;Adolfstraße
05914000000000004;Adrianstraße
05914000000000005;Ährenstraße
05914000000000006;Aehringhausen
05914000000000007;Ahornweg
05914000000000008;Ahrstraße
05914000000000010;Albrechtstraße
05914000000000011;Alexanderstraße
05914000000000012;Alleestraße
05914000000000013;Allensteiner Straße
05914000000000014;Alsenstraße
05914000000000015;Altenhagener Brücke
05914000000000016;Altenhagener Straße
05914000000000017;Alte Stadt
05914000000000018;Am Baum
05914000000000019;Am Berghang
05914000000000020;Am Birkenwäldchen
05914000000000021;Am Bogen
05914000000000022;Am Brantenberg
05914000000000023;Am Buscherberg
05914000000000024;Am Finkenherd
05914000000000025;Am Freibad
05914000000000026;Am Gosekolk
05914000000000027;Am Großen Feld
05914000000000028;Weserstraße
05914000000000029;Am Hardtland
05914000000000030;Am Hauptbahnhof
05914000000000031;Am Hegt
05914000000000032;Am Hohen Graben
05914000000000033;Am Höing
05914000000000034;Am Ischeland
05914000000000035;Am Kaisberg
05914000000000036;Am Karweg
05914000000000037;Am Lilienbaum
05914000000000038;Am Pfannenofen
05914000000000039;Am Plattenberg
05914000000000040;Am Postkopf
05914000000000041;Am Quambusch
05914000000000042;Am Rastebaum
05914000000000043;Am Romberg
05914000000000045;Am Schlage
05914000000000047;Amselgasse
05914000000000048;Am Steg
05914000000000050;Am Stockey
05914000000000052;Am Süßenberg
05914000000000053;Am Tempel
05914000000000055;Am Waldesrand
05914000000000056;Am Waldhang
05914000000000057;Am Waldwege
05914000000000058;Am Weitblick
05914000000000059;Am Widey
05914000000000060;Am Wiembusch
05914000000000061;Am Winterhof
05914000000000062;An dem Heerwege
05914000000000063;An der Egge
05914000000000065;An der Hütte
05914000000000066;An der Kohlenbahn
05914000000000067;An der Koppel
05914000000000068;An der Wacht
05914000000000069;An der Zeche
05914000000000070;Angerpfad
05914000000000071;Annaberghöhe
05914000000000072;Arndtstraße
05914000000000073;Aschenbergstraße
05914000000000074;Ascherothstraße
05914000000000075;Asternstraße
05914000000000076;Auf dem Berge
05914000000000077;Auf dem Birnbaum
05914000000000078;Auf dem Boden
05914000000000079;Auf dem Dörrwald
05914000000000080;Auf dem Gellenkamp
05914000000000081;Auf dem Gelling
05914000000000082;Auf dem Hoppenstück
05914000000000083;Auf dem Kämpchen
05914000000000084;Auf dem Killing
05914000000000085;Auf dem Königsberg
05914000000000086;Auf dem Kuhl
05914000000000087;Auf dem Piepenstöcken
05914000000000088;Auf dem Rode
05914000000000089;Auf dem Steinbrink
05914000000000090;Auf dem Wichterbruch
05914000000000092;Auf der Breite
05914000000000093;Auf der Halle
05914000000000094;Heiler Weg
05914000000000095;Auf der Kugel
05914000000000096;Auf der Rolandshöh
