strassenschluessel;bezeichnung;geometry
05958000002006801;Alreff;POINT (8.624741068746719 51.10659560046581)
05958000002006802;Am Brauhaus;POINT (8.61939405230196 51.10788770752464)
05958000002006803;Am Hang;POINT (8.620243253325937 51.10683047421379)
05958000002006805;An der Mauer;POINT (8.62289096756444 51.108957547550986)
05958000002006806;Antoniusstraße;POINT (8.616419746994337 51.110508078164486)
05958000002006807;Auf der Burg;POINT (8.620108194302588 51.11063637239705)
05958000002006808;Auf der Stätte;POINT (8.61724795220263 51.1047828732742)
05958000002006809;Auf der Weife;POINT (8.619229038813309 51.108539630036674)
05958000002006810;Bachmühle;POINT (8.614817770839068 51.11026449645523)
05958000002006811;Bangenstraße;POINT (8.617082097333691 51.11121137514296)
05958000002006812;Bergstraße;POINT (8.624909329515512 51.107106223833306)
05958000002006813;Burgstraße;POINT (8.619658706044913 51.110145933109074)
05958000002006815;Gartenweg;POINT (8.617721280876989 51.11081531125082)
05958000002006816;Grabenstraße;POINT (8.621977774288368 51.108782296123586)
05958000002006817;Große-Wiese;POINT (8.61488111005204 51.110032593952326)
05958000002006818;Heribertstraße;POINT (8.62111664621668 51.11074308344859)
05958000002006819;Hofstadt;POINT (8.622691325963533 51.110546772817536)
05958000002006820;Hohe Straße;POINT (8.623877029450373 51.106386143634786)
05958000002006821;In der Grube;POINT (8.616052296215218 51.10596940959494)
05958000002006822;Kirchstraße;POINT (8.621565005012645 51.11127820547925)
05958000002006823;Kreuzberg;POINT (8.616941209824684 51.10756059463499)
05958000002006824;Langeloh;POINT (8.619515194591749 51.10701479820089)
05958000002006825;Mariengasse;POINT (8.62237394597028 51.11048956399279)
05958000002006826;Nothelferweg;POINT (8.618910598366908 51.1103730996731)
05958000002006827;Ortstraße;POINT (8.621478188597807 51.10972405183499)
05958000002006828;Petrusstraße;POINT (8.623234628647204 51.1097693626337)
05958000002006829;Portstraße;POINT (8.62034142165317 51.111054034125914)
05958000002006830;Ringweg;POINT (8.621647328347997 51.10687857579917)
05958000002006831;Röhrenweg;POINT (8.615917157734213 51.11030899194526)
