strassenschluessel;bezeichnung;geometry
05562000001600020;Aalweg;POINT (7.261596678143127 51.743639438926955)
05562000001600040;Achter De Hüser;POINT (7.232941102253841 51.718555825835104)
05562000001600050;Ackerweg;POINT (7.225040909382951 51.77401536099435)
05562000001600060;Adalbert-Stifter-Straße;POINT (7.1803902482607285 51.75278034123554)
05562000001600080;Adolf-Kallhoff-Straße;POINT (7.178014256484352 51.74458766725261)
05562000001600100;Ahornstraße;POINT (7.167068343848225 51.744362409572304)
05562000001600120;Akazienweg;POINT (7.173092105170809 51.746515953761424)
05562000001600130;Albert-Ferdinand-Leich-Straße;
05562000001600140;Albert-Schweitzer-Straße;POINT (7.226776445564626 51.71759515191909)
05562000001600180;Alisowall;POINT (7.183738720931042 51.744320832876966)
05562000001600200;Alte Ringstraße;POINT (7.18450001351584 51.751861733563025)
05562000001600220;Alter Kapellenweg;POINT (7.218052629312386 51.77328793994233)
05562000001600240;Alter Postweg;POINT (7.296217099381524 51.733706367217735)
05562000001600250;Alter Recklinghäuser Weg;
05562000001600260;Alter Weseler Weg;POINT (7.11439785957874 51.74354614542951)
05562000001600280;Am Feldlager;POINT (7.169194472197042 51.7445933544277)
05562000001600300;Am Fliederbusch;POINT (7.17569521369928 51.7498885162832)
05562000001600320;Am Friedhof;POINT (7.162027209288912 51.78801792464276)
05562000001600340;Am Galgenberg;POINT (7.118705968219908 51.723201029532405)
05562000001600360;Am Hämmken;POINT (7.172987283332366 51.72024646550738)
05562000001600380;Am Heidwinkel;POINT (7.165913815222717 51.73655275135657)
05562000001600390;Am Holzplatz;POINT (7.185860360838997 51.73546190953446)
05562000001600395;Am Kanal;POINT (7.181359758989035 51.727036651933865)
05562000001600400;Am Knapp;POINT (7.29107908272652 51.73586305080765)
05562000001600420;Am Loh;POINT (7.286873115528301 51.73838386716307)
05562000001600440;Am Mühlenbach;POINT (7.223378405911603 51.76455987693208)
05562000001600460;Am Mühlenberg;POINT (7.158751523815572 51.78217483992965)
05562000001600480;Am Paschenberg;POINT (7.23406986315907 51.716823043552864)
05562000001600500;Am Riethgraben;POINT (7.216316919222175 51.770358231328544)
05562000001600520;Am Römerlager;POINT (7.168757242086224 51.745668229924554)
05562000001600540;Am Schiötten;POINT (7.210248193830934 51.778757454083)
05562000001600560;Am Schmöningsberg;POINT (7.112072085811985 51.71991020973026)
05562000001600580;Am Schulten Hof;POINT (7.2927024166543335 51.73697236157003)
05562000001600600;Amselweg;POINT (7.159930430369775 51.74115927240371)
05562000001600620;Am Sohlbaum;POINT (7.083431141552599 51.720545997931076)
05562000001600640;Am Thie;POINT (7.2219891756287025 51.77048702090014)
05562000001600650;Am Thiershof;POINT (7.100240946693179 51.71562715563512)
05562000001600660;Am Treckeberg;POINT (7.172346930346871 51.76836116012999)
05562000001600680;Am Tulpenfeld;POINT (7.174863123471383 51.74964648626412)
05562000001600700;Am Uferkastell;POINT (7.178520440783605 51.73982774789687)
05562000001600720;Am Wacholderbusch;POINT (7.171769737325867 51.72057818395578)
05562000001600740;Am Waldrand;POINT (7.2989583338657855 51.73460671104904)
05562000001600760;Am Wehr;POINT (7.224511420774827 51.768850269202865)
05562000001600780;Am Wiegel;POINT (7.17012508911617 51.73741534294731)
05562000001600783;An den Hestern;POINT (7.185484566239621 51.72512644212657)
05562000001600785;An den Koppeln;POINT (7.174991021886486 51.74774066186858)
05562000001600790;An den Stellkämpen;POINT (7.247347520854121 51.71522569093318)
05562000001600800;An der Bleiche;POINT (7.224948180657749 51.7838638545932)
05562000001600820;An der Brennerei;POINT (7.2873448406612304 51.73658357147218)
05562000001600825;An der Brinkwiese;POINT (7.199804748439138 51.759470687088275)
05562000001600830;An der Kahrstege;POINT (7.170944434365309 51.748101814762755)
05562000001600840;An der Kirche;POINT (7.223500240712191 51.77344500001586)
05562000001600860;An der Landwehr;POINT (7.168225848757621 51.74411008544139)
