strassenschluessel;bezeichnung;geometry
05170000001237001;Am Feldrain;POINT (6.587718787420154 51.73781487617594)
05170000001237002;Am Rott;POINT (6.598213196203449 51.73011510721943)
05170000001237003;Am Schwarzen Wasser;POINT (6.573153771088478 51.69898361061363)
05170000001237004;Am Sportplatz;POINT (6.59470476868147 51.731963633238195)
05170000001237005;Am Wall;POINT (6.563880854853462 51.734381613398064)
05170000001237006;An der Windmühle;POINT (6.596732042073547 51.73520250307984)
05170000001237007;Asternstraße;POINT (6.590983714419674 51.73472566878394)
05170000001237008;Auf der Hufe;POINT (6.588507133280438 51.73754133813506)
05170000001237009;Baumschulenweg;POINT (6.597850493717464 51.711992672823584)
05170000001237010;Beerenhuk;POINT (6.579203100415507 51.76317249133448)
05170000001237011;Bergfrede;POINT (6.593149383857683 51.72748835808219)
05170000001237012;Bislicher Straße;POINT (6.572789047254165 51.72564932879138)
05170000001237013;Bislicherwald;POINT (6.553410376650575 51.71968481804864)
05170000001237014;Blumenkamper Straße;POINT (6.592233873648947 51.72819401562984)
05170000001237015;Bramhorst;POINT (6.609678441897125 51.728391500117944)
05170000001237016;Brauereistraße;POINT (6.589285224408232 51.73115877092026)
05170000001237017;Bruchweg;POINT (6.6177969377591275 51.70880929386499)
05170000001237018;Brüner Straße;POINT (6.610488642947262 51.72897389137434)
05170000001237019;Butenfeld;POINT (6.597155951933471 51.704788550431566)
05170000001237020;Diersfordter Straße;POINT (6.586852108278091 51.721822037739834)
05170000001237021;Fasanenweg;POINT (6.583250246692913 51.71504286300647)
05170000001237022;Friedhofstraße;POINT (6.589824224722224 51.73160800901297)
05170000001237023;Feuerdornweg;POINT (6.588837564485323 51.73712624976147)
05170000001237024;Gartenstraße;POINT (6.59359384989547 51.734773515211224)
05170000001237025;Grüner Weg;POINT (6.596069257313391 51.70904446631466)
05170000001237026;Güterstraße;POINT (6.601221258716326 51.73566213450532)
05170000001237027;Heideweg;POINT (6.539055761780176 51.75058240317814)
05170000001237028;Hellefisch;POINT (6.592751500646861 51.728816956041435)
05170000001237029;Hirtenweg;POINT (6.591737382416476 51.73550422462859)
05170000001237030;Hülshorst;POINT (6.552964293792573 51.73328594974189)
05170000001237031;Im Schönen Winkel;POINT (6.588421104472513 51.734163266763765)
05170000001237032;Industriestraße;POINT (6.601408285731215 51.737237595662194)
05170000001237033;Isselbruch;POINT (6.5556716156203345 51.73107001904107)
05170000001237034;Isselburger Straße;POINT (6.596413214171443 51.745812530527076)
05170000001237035;Jägerstraße;POINT (6.592029098861924 51.73753526927164)
05170000001237036;Kalthofsfeld;POINT (6.598321755938569 51.736358484943324)
05170000001237037;Kastanienstraße;POINT (6.581697164813343 51.707010714803914)
05170000001237038;Kerschenkamp;POINT (6.593916981206454 51.73237207673749)
05170000001237039;Kesseldorfer Rott;POINT (6.588996015791759 51.74715983320201)
05170000001237040;Kesseldorfer Straße;POINT (6.577495174549633 51.744136594079464)
05170000001237041;Königsberger Straße;POINT (6.597827226840341 51.73659432755039)
05170000001237042;Krokusweg;POINT (6.590960601382776 51.734315850627446)
05170000001237043;Krummer Weg;POINT (6.587196898356805 51.72991974669974)
05170000001237044;Lichtenholz;POINT (6.573441841295873 51.73814794985926)
05170000001237045;Lilienweg;POINT (6.590211364203619 51.735083071221176)
05170000001237046;Margaretenweg;POINT (6.589533197948782 51.73476040999604)
05170000001237047;Marktstraße;POINT (6.589068742431236 51.73087675176925)
05170000001237048;Mehrhooger Straße;POINT (6.551335460469474 51.74107069160847)
05170000001237049;Minkelsches Feld;POINT (6.584973311551061 51.732174479301335)
05170000001237050;Molkereistraße;POINT (6.5898484716540215 51.73023633899264)
05170000001237051;Mühlenrott;POINT (6.582365036988527 51.72182683890629)
05170000001237052;Neufeld;POINT (6.589717893705842 51.7371406929161)
05170000001237053;Ortmannsfeld;POINT (6.597597719337791 51.70603387183263)
05170000001237054;Raiffeisenstraße;POINT (6.58908795478247 51.729301884284766)
05170000001237055;Rathausstraße;POINT (6.588343054854015 51.72817941780184)
05170000001237056;Rickelsweg;POINT (6.582099984871796 51.735542073375605)
05170000001237057;Ringenberger Straße;POINT (6.5952791628223135 51.73793451799643)
05170000001237058;Rosenstraße;POINT (6.590556246267584 51.73414775632117)
05170000001237059;Roßmühle;POINT (6.584532680552615 51.72552363871345)
05170000001237060;Strauchheide;POINT (6.594591216774261 51.69819100714657)
05170000001237061;Tentenkatweg;POINT (6.580417658799856 51.71746377991301)
05170000001237062;Thülenweg;POINT (6.590890985942488 51.71400598903762)
05170000001237063;Vierwinden;POINT (6.621581684150392 51.69865691851839)
05170000001237064;Vöckingsweg;POINT (6.57756404728785 51.74952635555193)
05170000001237065;Von-Lans-Platz;POINT (6.5905636166145705 51.7369684489883)
05170000001237066;Westfeldweg;POINT (6.573201961429962 51.71956197134353)
05170000001237067;Weststraße;POINT (6.586602729219755 51.74306770237705)
05170000001237068;Zum Bislicherwald;
05170000001237069;Zum Weißenstein;POINT (6.598132314786394 51.724504989423906)
05170000001237070;Dohlenstraße;POINT (6.595142080885132 51.732852087742764)
05170000001237071;Am Gut Vogelsang;POINT (6.595411968742478 51.730313847513585)
05170000001237072;Marienplatz;POINT (6.5870937253204715 51.729138732892324)
05170000001237073;Danziger Straße;POINT (6.595259266745388 51.73625433303528)
05170000001237074;Daßhorst;POINT (6.592920276550283 51.73978492919101)
05170000001237075;Loikumer Rott;POINT (6.588432883796794 51.740844792180454)
05170000001237076;Weißdornweg;POINT (6.586604044382158 51.73157131322759)
05170000001237077;Halfmannsfeld;POINT (6.597383745836288 51.73391205454385)
05170000001237078;Windmühlenweg;POINT (6.595985055345697 51.73465453158074)
05170000001237079;Am Bongert;POINT (6.591900406466016 51.73213332228167)
05170000001237080;Martin-Luther-Straße;POINT (6.5915550118512165 51.73107798215474)
05170000001237081;Buschfeld;POINT (6.590190216544939 51.72785739525378)
05170000001237082;Bergerfurther Straße;POINT (6.554217768183514 51.73234068512122)
05170000001237083;Harderwycker Weg;POINT (6.533586143776827 51.72871963354227)
05170000001237084;Heuweg;POINT (6.571568104151322 51.70461953853512)
05170000001237085;Reindersweg;POINT (6.5481040189034605 51.7293646669928)
05170000001237086;Risswaldweg;POINT (6.548340114364747 51.73718473919823)
05170000001237087;Stallmannsweg;POINT (6.532789194449863 51.730609656860864)
05170000001237088;Witzenskath;POINT (6.572739886567112 51.714485527316555)
05170000001237089;Gustav-Schippers-Weg;POINT (6.583560538974637 51.731497568511465)
05170000001237090;Heckenweg;POINT (6.546379043601163 51.746699899400035)
05170000001237091;Sedgefieldstraße;POINT (6.584115740735232 51.73031311483253)
05170000001237092;Rigauds Busch;POINT (6.591637656382045 51.72631677734548)
05170000001237093;Via Salza Irpina;POINT (6.590404177991629 51.726510849822816)
05170000001237094;Molkereiplatz;POINT (6.58976755632558 51.72999795902349)
05170000001237095;Fuderweg;POINT (6.584533607833468 51.73398550471816)
05170000001237096;Scheffelweg;POINT (6.584555126490326 51.73321033553841)
05170000001237097;Klafterweg;POINT (6.584768451071539 51.732672439735275)
05170000001237098;Ellenweg;POINT (6.587980359726348 51.73344646848716)
05170000001237099;Elbinger Straße;POINT (6.596776418843042 51.73625546295929)
05170000001237100;Am Honigacker;POINT (6.59558619558588 51.73405628725307)
05170000001237101;Rotering;POINT (6.605704610134183 51.79659671754395)
05170000001237102;Sandberg;POINT (6.647627072450228 51.75145069410835)
05170000001237103;Schultenstegge;POINT (6.6127065156239 51.78577089459635)
05170000001237104;Stapelsweg;POINT (6.646897695250641 51.74045878582754)
05170000001237105;Stegge;POINT (6.719320371376033 51.76566092786367)
05170000001237106;Stenertsdick;POINT (6.710691438833289 51.765317710638364)
05170000001237107;Sternweg;POINT (6.664698929073147 51.76466881543545)
05170000001237108;Stockum;POINT (6.6346464754378385 51.75276915877709)
05170000001237109;Uhlandsweg;POINT (6.622952304025022 51.7786725245416)
05170000001237110;Underhook;POINT (6.623533177365916 51.754359475670974)
05170000001237111;Veengotte;POINT (6.65722826464846 51.76805460196678)
05170000001237112;Weller Berg;POINT (6.642051124466107 51.759661493512844)
05170000001237113;Zum Bildstock;POINT (6.6058867528053735 51.78329140108795)
05170000001237114;Zum Schießstand;
05170000001237115;Zum Uhlenberg;POINT (6.63229737728239 51.75451210893306)
05170000001237116;Zum Venn;POINT (6.654520404043188 51.78200204424432)
05170000001237117;Zum Waldsee;POINT (6.6502985806470925 51.759402983255214)
05170000001237118;Pater-Terörde-Weg;
05170000001237119;Akazienweg;POINT (6.623207521809578 51.772413642608)
05170000001237120;Messingsfeld;POINT (6.6230964353157 51.76868370269857)
05170000001237121;Hasselmannsfeld;POINT (6.621588999050093 51.769254532047626)
05170000001237122;Alte Kornbrennerei;POINT (6.618198304559377 51.76737398297498)
05170000001237123;Am Königsbach;POINT (6.618005460358436 51.76652508789751)
05170000001237124;Kiepenkerlstraße;POINT (6.614612990504793 51.76705147215455)
05170000001237125;Hasseler Paß;POINT (6.616504557047229 51.76681392388358)
05170000001237126;Am Wegehaspel;POINT (6.615601147930477 51.76591307917921)
05170000001237127;Kerkenpatt;POINT (6.613033577648464 51.76499272860923)
05170000001237128;Markenweg;
05170000001237129;Zur Hohen Heide;POINT (6.686096339897142 51.758475371590386)
05170000001237130;Nikolaus-Groß-Straße;POINT (6.611556395142249 51.774316642029866)
05170000001237131;Schwanenschlatt;POINT (6.618197799393735 51.7755032813705)
05170000001237132;Hüttemannstraße;POINT (6.593969951052117 51.770328003427366)
05170000001237133;An der Feuerwehr;POINT (6.675880227791827 51.72786346095787)
05170000001237141;Am Koppelgarten;POINT (6.6077873343356215 51.742050693247194)
05170000001237142;Belenhorst;POINT (6.606736657660656 51.74014114622377)
05170000001237143;Deichweg;POINT (6.613786018943458 51.744049576438265)
05170000001237144;Dingdener Straße;POINT (6.614137518183552 51.74658326475875)
05170000001237145;Drostenhorst;POINT (6.615529781926463 51.73906376710541)
05170000001237146;Elbestraße;POINT (6.611050957791413 51.7397000873704)
05170000001237147;Elleringdeich;POINT (6.6161092276545075 51.74464758591311)
05170000001237148;Hauptstraße;POINT (6.606006610987458 51.74060509393855)
05170000001237149;Hirschweide;POINT (6.616471789090185 51.743354324794105)
05170000001237150;Horst;POINT (6.604492172937628 51.73965305640684)
05170000001237151;Isselsiedlung;POINT (6.602742782121652 51.74022825673793)
05170000001237152;Isselstraße;POINT (6.6029485647437545 51.74227508777075)
05170000001237153;Koppeldeich;POINT (6.610158443629493 51.739396255207524)
05170000001237154;Kranendeich;POINT (6.6042401439173215 51.75356800737713)
05170000001237155;Von-Plettenberg-Straße;POINT (6.613576145888425 51.7396992646801)
05170000001237156;Oderstraße;POINT (6.612068142519896 51.739624453004176)
05170000001237157;Pfarrer-Steinbach-Siedl.;POINT (6.610453378730176 51.74351648014405)
05170000001237158;Saalestraße;POINT (6.612173113493714 51.7381886230256)
05170000001237159;Saatweide;POINT (6.6133325086577885 51.73870924741793)
05170000001237160;Schlootweg;POINT (6.624129669210444 51.74365006590219)
05170000001237161;Schloßstraße;POINT (6.613297446910165 51.74230470672736)
05170000001237162;Spreeweg;POINT (6.611520571144473 51.740103367394745)
05170000001237163;Steinstraße;POINT (6.609347914582972 51.7428411551563)
05170000001237164;Suederweg;POINT (6.614486227959584 51.7395489664745)
05170000001237165;Von-Spaen-Straße;POINT (6.614745181006112 51.739846017486244)
05170000001237166;Wolfsdeich;POINT (6.611171589407993 51.74173150888174)
05170000001237167;Zingelstraße;POINT (6.611871894422655 51.74372171890149)
05170000001237168;Am Butengarten;POINT (6.608823165867581 51.74239821757582)
05170000001237169;Erlenhorst;POINT (6.606923424859435 51.73933564577738)
05170000001237170;Siedlerweg;POINT (6.607369024042078 51.73790868243523)
05170000001237186;Im Huck;POINT (6.502663780351673 51.75558289414853)
05170000001237187;Kattenhorst;POINT (6.511082340958747 51.75596995057999)
05170000001237188;Op de Meuser;POINT (6.517157553887582 51.752789366253324)
05170000001237189;Overdickshof;POINT (6.5233971555410095 51.751755059945594)
05170000001237202;Elsholtweg;POINT (6.56400385565934 51.77228676078579)
05170000001237203;Hagelweg;POINT (6.567923413230276 51.77172695887558)
05170000001237204;Heisterweg;POINT (6.567489696357107 51.77121217564238)
05170000001237205;Rottweg;POINT (6.566873317775508 51.77136524771223)
05170000001237206;Wüsterweg;POINT (6.565551984614172 51.77158912975245)
05170000001237207;Möllenweg;POINT (6.56860431920605 51.774343782209066)
05170000001237208;Am Klosterbusch;POINT (6.586418004189431 51.77312870239365)
05170000001237209;An der Koplak;POINT (6.5681534060229145 51.7730737028568)
05170000001237210;Antoniusstraße;POINT (6.565170021314095 51.77405358207363)
05170000001237211;Dellweg;POINT (6.565514515319219 51.77030759477089)
05170000001237212;Feldmannsweg;POINT (6.573580509780993 51.756458078981034)
05170000001237213;Gerwersweg;POINT (6.5915536633153105 51.770070414589334)
05170000001237214;Hufenweg;POINT (6.555241190282092 51.7726404589232)
05170000001237215;Isselaue;POINT (6.557329782961794 51.79254229881497)
05170000001237216;Küppersfeld;POINT (6.57459170702254 51.77429642288601)
05170000001237217;Mehrbruch;POINT (6.573700719370601 51.78410925058805)
05170000001237218;Priorstraße;POINT (6.577622733891593 51.75744712181859)
05170000001237219;Westfalenstraße;
05170000001237220;Wilmesweg;POINT (6.557782902803285 51.77035988312832)
05170000001237232;Berkelmannsweg;POINT (6.5197559168100545 51.75383395879869)
05170000001237233;Binnenfeld;POINT (6.5074198989800625 51.755733413641586)
05170000001237234;Brunsweg;POINT (6.506081548611656 51.75441972855113)
05170000001237235;Horstermannsweg;POINT (6.517938824762605 51.755005035666336)
05170000001237237;Am Wasserwerk;POINT (6.536285984559186 51.764369872090455)
05170000001237238;Schledenhorster Straße;POINT (6.537282413653019 51.757899020666265)
05170000001237241;Ahornweg;POINT (6.625341280344413 51.77282999952354)
05170000001237242;Am Bahnhof;POINT (6.6085056673441605 51.769451578680304)
05170000001237243;Am Depot;POINT (6.608320590454014 51.76646930888429)
05170000001237244;Am Dorffeld;POINT (6.624751419905269 51.774641772253695)
05170000001237245;Am Ehrenmal;POINT (6.624008732023017 51.76624169065751)
05170000001237246;Am Hövel;POINT (6.606323291917936 51.76419790149178)
05170000001237247;Am Kirchplatz;POINT (6.610524925449275 51.76918522181104)
05170000001237248;Am Klausenhof;POINT (6.629942610068991 51.77379678899801)
05170000001237249;Am Küning;POINT (6.632863717311326 51.76307717385126)
05170000001237250;Am Spiegelkamp;POINT (6.614097709375004 51.76948801481143)
05170000001237251;Am Schienenberg;POINT (6.6188100114248805 51.77397896315346)
05170000001237252;Am Wedem Hoven;POINT (6.61082906612057 51.768749654661654)
05170000001237253;An der Flande;POINT (6.616967610220354 51.77004796560412)
05170000001237254;An der Röthe;POINT (6.611961798133864 51.767996664594406)
05170000001237255;An der Sägemühle;POINT (6.630113326294064 51.77489592506403)
05170000001237257;Berkenhegge;POINT (6.614951457963922 51.774484673184816)
05170000001237258;Blumenstraße;POINT (6.616213461319244 51.770810861178944)
05170000001237259;Bocholter Straße;POINT (6.613095717245154 51.771204867525434)
05170000001237260;Bußter Weg;POINT (6.6246615187527365 51.783716120785506)
05170000001237261;Dahlienweg;POINT (6.62395989868637 51.769002850416996)
05170000001237262;Everskamp;POINT (6.60876729133909 51.75745594964483)
05170000001237263;Dorfbruch;POINT (6.610986248061207 51.76614351774351)
05170000001237264;Eichenstraße;POINT (6.62476077327941 51.772131048261755)
05170000001237265;Fliederweg;POINT (6.621973134976072 51.77097581166303)
05170000001237266;Frankenstraße;POINT (6.613669955442844 51.77719820316893)
05170000001237267;Hohe Straße;POINT (6.612626585638679 51.77059678031864)
05170000001237268;Im Paß;POINT (6.60994793031694 51.772389531479035)
05170000001237269;Kampstraße;POINT (6.607345091018131 51.762734745663)
05170000001237270;Karolingerstraße;POINT (6.612853845430162 51.77633258514021)
05170000001237271;Kettelerstraße;POINT (6.610757304788226 51.77307326497076)
05170000001237272;Klausenhofstraße;POINT (6.616414501272831 51.76928467775054)
05170000001237273;Kolpingstraße;POINT (6.610264565284178 51.77196137846668)
05170000001237274;Kondringstraße;POINT (6.614531403879385 51.77279264149869)
05170000001237275;Krechtinger Straße;POINT (6.621907218535627 51.773034828085706)
05170000001237276;Lärchenweg;POINT (6.627344089093556 51.77412881087183)
05170000001237277;Landwehr;POINT (6.616945121939354 51.77100760689149)
05170000001237279;Lindenstraße;POINT (6.6249723130433935 51.77192320376958)
05170000001237280;Loikumer Straße;POINT (6.6054981610160635 51.77113685729129)
05170000001237281;Lüdgenfelder Weg;POINT (6.609104167393362 51.76857779961152)
05170000001237282;Marienvreder Straße;POINT (6.609407439153303 51.77098341243966)
05170000001237283;Nelkenweg;POINT (6.624288935469549 51.77048604796672)
05170000001237284;Neustraße;POINT (6.612288835558194 51.77198172167313)
05170000001237285;Zur Alten Mühle;POINT (6.6220120333187 51.7720855584541)
05170000001237286;Nordbrocker Straße;POINT (6.613344072041223 51.76940874059851)
05170000001237287;Paßter Weg;POINT (6.615898015441394 51.77386120707156)
05170000001237288;Postweg;POINT (6.6169870959111385 51.774062316856586)
05170000001237289;Rheder Straße;POINT (6.614095640141945 51.775228737585)
05170000001237290;Ringstraße;POINT (6.620947216875991 51.774107545777625)
05170000001237291;Römerstraße;POINT (6.619608139995613 51.77711767128585)
05170000001237292;Sachsenstraße;POINT (6.616595413660247 51.77311999582438)
05170000001237293;Stockkamp;POINT (6.6090146073800184 51.76985927152592)
05170000001237294;Thingstraße;POINT (6.610648687689791 51.76976517916342)
05170000001237295;Tulpenstraße;POINT (6.622178828005144 51.76993338211926)
05170000001237296;Ulmenweg;POINT (6.628764534112847 51.773406794315584)
05170000001237297;Up de Woort;POINT (6.611621111441362 51.767100524974)
05170000001237298;Veilchenweg;POINT (6.622857959908232 51.770198688569636)
05170000001237299;Von-Galen-Straße;POINT (6.611226425920987 51.77332945790882)
