strassenschluessel;bezeichnung;geometry
05558000002036305;Altenberger Straße;POINT (7.4118095080814275 51.97749611689516)
05558000002036307;Alter Sportplatz;POINT (7.42310580933103 51.97603251031443)
05558000002036310;Althoffsweg;POINT (7.420882680066974 51.98665201157393)
05558000002036315;Am Edelkamp;POINT (7.461100740487061 51.998212512093225)
05558000002036316;Am Habichtsbach;POINT (7.417729072088436 51.97832476868679)
05558000002036317;Am Schlautbach;POINT (7.421003740021662 51.97259225905413)
05558000002036318;Am Hangwerbusch;POINT (7.425435353105418 51.979071535910904)
05558000002036319;Am Roggenkamp;POINT (7.4222786920671435 51.97903375033347)
05558000002036320;Am Stiftsgraben;POINT (7.461320195041257 51.99757318922179)
05558000002036323;Am Stopfer;POINT (7.420916310891778 51.96970737291537)
05558000002036325;Am Weiher;POINT (7.4072781144299285 51.98135509267084)
05558000002036327;Am Zitterbach;POINT (7.427636075113914 51.96813043843668)
05558000002036330;Amselweg;POINT (7.414159361123913 51.983164984012824)
05558000002036332;An der Aa;POINT (7.463665665150384 51.99825667362637)
05558000002036333;An der Feuerwache;POINT (7.404277647665096 51.97845634436026)
05558000002036334;An der Schluse;POINT (7.42505311216601 51.969563110229366)
05558000002036335;Antoniusweg;POINT (7.421542873524856 51.974303887356)
05558000002036340;Auf dem Blick;POINT (7.407372970281357 51.97615006326005)
05558000002036343;Auf dem Stift;POINT (7.4610315448931335 51.996088881735126)
05558000002036345;Auf der Wenge;POINT (7.410239800875963 51.977469925175654)
05558000002036350;Baumbergstraße;POINT (7.413028610532308 51.97424323479507)
05558000002036355;Beekenkamp;POINT (7.421255802275413 51.973386550647646)
05558000002036357;Bellegarde-Platz;
05558000002036360;Bergstraße;POINT (7.410983338734906 51.97734600166369)
05558000002036363;Bestensee-Platz;POINT (7.411278188331063 51.976153375299894)
05558000002036365;Billerbecker Straße;POINT (7.404674785944122 51.97656974566655)
05558000002036370;Blickallee;POINT (7.411913466047927 51.974867050510056)
05558000002036375;Brock;POINT (7.4643447321215435 51.93589849653828)
05558000002036380;Danziger Platz;POINT (7.4232709441249405 51.97797790635534)
05558000002036385;Dionysiusstraße;POINT (7.415980950659998 51.9816038145069)
05558000002036390;Dirkes Allee;POINT (7.41466512179976 51.977168389954045)
05558000002036395;Dorfstraße;
05558000002036400;Drosteweg;POINT (7.411924308169691 51.982025865021086)
05558000002036405;Elsternweg;POINT (7.416485105073154 51.98280051797793)
05558000002036410;Fasanenring;POINT (7.418770515107513 51.98240054934905)
05558000002036415;Finkenstraße;POINT (7.412530197288146 51.98070655503951)
05558000002036418;Freiherr-von-Twickel-Straße;POINT (7.4041584824191276 51.968681078973276)
05558000002036420;Gartenstraße;POINT (7.420370276775761 51.977127705536944)
05558000002036425;Gennerich;POINT (7.407596028807305 51.98669963359063)
05558000002036430;Gennericher Straße;POINT (7.4064347452240415 51.98115874703954)
05558000002036435;Gennericher Weg;POINT (7.408053676678455 51.97806628254179)
05558000002036440;Geschwister-Scholl-Straße;POINT (7.413646142289442 51.97460128459471)
05558000002036445;Grüner Weg;POINT (7.427296184922181 51.97695127465346)
05558000002036450;Habichtstraße;POINT (7.421417437285704 51.98419453756202)
05558000002036453;Haferlandweg;POINT (7.427439548486166 51.96788801978597)
05558000002036455;Hangwerfeld;POINT (7.420760194305809 51.97757680782318)
05558000002036460;Hangwerweg;POINT (7.424871334312792 51.97852102193935)
05558000002036465;Hauptstraße;POINT (7.405939837564027 51.97655386118998)
05558000002036468;Heilmanns Kamp;POINT (7.410018285729717 51.98030081518456)
05558000002036470;Herkentrup;POINT (7.477839259055888 51.9828392558224)
