strassenschluessel;bezeichnung;geometry
05554000002806501;Alter Sportplatz;POINT (6.940678013889152 51.823312344543176)
05554000002806502;Am Branden;POINT (6.940048016598036 51.829396532517855)
05554000002806503;Am Buschbaum;POINT (6.931475186121885 51.830204035999856)
05554000002806504;Am Friedhof;POINT (6.937094050849563 51.82526923255711)
05554000002806505;Am Sportzentrum;POINT (6.93776428436931 51.82215789680634)
05554000002806506;Auf dem Lohkamp;POINT (6.92753561649424 51.82752763953226)
05554000002806507;Auf der Höhe;POINT (6.945991152408033 51.82969648487112)
05554000002806508;Augustin-Wibbelt-Straße;POINT (6.942039404152947 51.82427042360993)
05554000002806509;Bahnhofstraße;POINT (6.930470343392283 51.82419752982433)
05554000002806510;Barbarastraße;POINT (6.94062562788483 51.82667294868027)
05554000002806511;Beethovenstraße;POINT (6.926774093342415 51.82558512747907)
05554000002806512;Bergstraße;POINT (6.942478999621564 51.82715806688815)
05554000002806513;Birkenweg;POINT (6.917125773683924 51.81368984272745)
05554000002806514;Borkener Straße;POINT (6.898946598373053 51.83099430156542)
05554000002806515;Brookstegge;POINT (6.933495569321104 51.825497954967084)
05554000002806516;Eichendorffstraße;POINT (6.932181966163379 51.830672033627565)
05554000002806517;Elisabethstraße;POINT (6.944454438831849 51.828569592650666)
05554000002806518;Friesenstraße;POINT (6.943260350616335 51.822792840903546)
05554000002806519;Gartenstraße;POINT (6.9275966697234335 51.82782485131078)
05554000002806520;Bischof-Ketteler-Straße;POINT (6.935435145585869 51.83113279108909)
05554000002806521;Georgstraße;POINT (6.938412802027708 51.825808440603005)
05554000002806522;Gräfte;POINT (6.930652396306978 51.8211008914353)
05554000002806523;Hedwigstraße;POINT (6.944619605791934 51.82808757304096)
05554000002806524;Hospitalstraße;POINT (6.93221539778248 51.82450130443173)
05554000002806525;Im Kiwitt;POINT (6.943320448295593 51.82500882171267)
05554000002806526;Industriestraße;POINT (6.947880125936691 51.82370791982826)
05554000002806527;Jahnstraße;POINT (6.942847700352479 51.82339637117858)
05554000002806528;Jägerstraße;POINT (6.930793540784882 51.82526574918838)
05554000002806529;Johannesstraße;POINT (6.936490933135099 51.82642137352015)
05554000002806530;Josefstraße;POINT (6.936617715330506 51.828725739293304)
05554000002806531;Kampstraße;POINT (6.941958805408543 51.82933963766188)
05554000002806532;Don-Bosco-Straße;POINT (6.936561154691285 51.83103570825091)
05554000002806533;Kilianstraße;POINT (6.941801643466149 51.82635649071289)
05554000002806534;Bernhard-Letterhaus-Straße;POINT (6.937594837456337 51.83231386855536)
05554000002806535;Knufdrees;POINT (6.939463082125281 51.828248953702996)
05554000002806536;Kreuzweg;POINT (6.94687180992249 51.82979137903037)
05554000002806537;Lembecker Straße;POINT (6.936958365241421 51.8243523492673)
05554000002806538;Lindenstraße;POINT (6.9299881582192375 51.82654162416418)
05554000002806539;Lohauser Esch;POINT (6.923455504833003 51.826268450790714)
05554000002806540;Luisenstraße;POINT (6.943189493142266 51.82819577043809)
05554000002806541;Marienstraße;POINT (6.9402012579038415 51.82665010129746)
05554000002806542;Mergelkuhle;POINT (6.945084515097027 51.829448337051986)
05554000002806543;Mozartstraße;POINT (6.932726119556634 51.82970983547911)
05554000002806544;Mühlenweg;POINT (6.940781679328058 51.82438018759164)
05554000002806545;Parkstraße;POINT (6.934211678828128 51.82436430666703)
05554000002806546;Pastoratsweg;POINT (6.932367023889733 51.8234264500048)
05554000002806547;Rathausplatz;POINT (6.933851779230868 51.82602200957522)
05554000002806548;Rekener Straße;POINT (6.941129756879367 51.825325092528686)
05554000002806549;Adolf-Kolping-Straße;POINT (6.934680415977469 51.83220940225531)
05554000002806550;Sandstraße;POINT (6.943902799911983 51.82910773923129)
05554000002806551;Schubertstraße;POINT (6.927657100765978 51.82516598346166)
05554000002806552;Steinstraße;POINT (6.942357562099612 51.829474095869074)
05554000002806553;Up de Worte;POINT (6.931839925009587 51.82840987306623)
05554000002806554;Velener Straße;POINT (6.932392912007982 51.827446680607395)
05554000002806555;Wilhelmstraße;POINT (6.941701372687628 51.82758288036681)
05554000002806556;Alter Kirchplatz;POINT (6.931639351326274 51.82612656683038)
05554000002806557;Akazienstraße;POINT (6.932753136739378 51.828507397461784)
05554000002806558;Bloden Acker;POINT (6.914739807018695 51.821995571980466)
05554000002806559;Bökenholt;POINT (6.977846114055044 51.81664780171533)
05554000002806560;Böster Hook;POINT (6.955087403812289 51.80065912186502)
05554000002806561;Buchenstraße;POINT (6.930871230827137 51.8284605614042)
05554000002806562;Buschhausen;POINT (6.9326370848235825 51.80638235431959)
05554000002806563;Deel;POINT (6.949649124828334 51.83472859419332)
05554000002806564;Dorstener Landweg;POINT (6.942373895503574 51.80305065834975)
05554000002806565;Drögen Bokelt;POINT (6.973785355358019 51.81801683708909)
05554000002806566;Düwelsteensweg;
05554000002806567;Elven;
05554000002806568;Gemener Straße;POINT (6.924039164727042 51.831754377126835)
05554000002806569;Grenzweg;POINT (6.922462858943444 51.79241603534226)
05554000002806570;Halterner Straße;POINT (6.972720376294474 51.81042715873763)
05554000002806571;Holthusen;POINT (6.9743811860905955 51.803912197828446)
05554000002806572;Hünenweg;POINT (6.981702262642153 51.843383143029996)
05554000002806573;Im Grunewald;
05554000002806574;Kalter Bach;POINT (6.955864307252162 51.771987290308964)
05554000002806575;Lammersfeld;POINT (6.899164249870102 51.83955159101372)
05554000002806576;Landwehr Kämpe;POINT (6.9262265222530415 51.797659796801035)
05554000002806577;Lanver;POINT (6.958167234458124 51.801749678929866)
05554000002806578;Leblicher Straße;POINT (6.967418646013373 51.80580348273066)
05554000002806579;Lehmkuhle;POINT (6.985476923081022 51.82459342671151)
05554000002806580;Neuer Weg;POINT (6.948673827141223 51.796054109131575)
05554000002806581;Nordring;POINT (6.932925079979202 51.832405330364004)
05554000002806582;Olle Borg;POINT (6.91636311001334 51.815565654124306)
05554000002806583;Ostricker Berg;POINT (6.968343559573446 51.832294817816354)
05554000002806584;Ostring;POINT (6.949772703749884 51.83008176902063)
05554000002806585;Raesfelder Weg;
05554000002806586;Ramsdorfer Straße;POINT (6.934503775850506 51.83230989395251)
05554000002806587;Reitweg;POINT (6.948210917199936 51.83618372784865)
05554000002806588;Rhader Weg;POINT (6.93694636543077 51.77539235053434)
05554000002806589;Römerseestraße;POINT (6.907006313663439 51.839074910051885)
05554000002806590;Sachsenstraße;POINT (6.934713342398065 51.82766615688756)
05554000002806591;Salteweg;POINT (6.96134316568103 51.83970541332938)
05554000002806592;Schafsweg;POINT (6.950350705623383 51.81570203895831)
05554000002806593;Schilfweg;
05554000002806594;Schlickenbrook;
05554000002806595;Sölling;POINT (6.983170963174459 51.81974839461346)
05554000002806596;Stegge;POINT (6.938373617805381 51.84941169486302)
05554000002806597;Stegger Straße;POINT (6.9509428556764465 51.844309232759606)
05554000002806598;Südring;
05554000002806599;Surker Weg;POINT (6.94812593956004 51.812784851098016)
05554000002806600;Uhlenweg;POINT (6.967677004361016 51.83569151845269)
05554000002806601;Vennhues Berge;
05554000002806602;Vogelstange;POINT (6.951467805152487 51.81498287662743)
05554000002806603;Waterberg;POINT (6.971344750889087 51.85056107412684)
05554000002806605;Westring;
05554000002806606;Pelsterweg;POINT (6.965424527393254 51.802853299949945)
05554000002806607;Venneweg;
05554000002806608;Gildestraße;POINT (6.928620589323186 51.82348617380575)
05554000002806609;Brook;POINT (6.928971798877914 51.81463778887234)
05554000002806610;Dalbroms Krüüs;POINT (6.927489962962505 51.8305581705162)
05554000002806611;Händelstraße;POINT (6.927077133212098 51.82929235051217)
05554000002806612;Florianweg;POINT (6.938572819526117 51.827041433452216)
05554000002806613;Theodor-Storm-Straße;POINT (6.929790625121057 51.83181441222825)
05554000002806614;Gerhart-Hauptmann-Straße;POINT (6.932563827146126 51.83218952316112)
05554000002806615;Immanuel-Kant-Straße;POINT (6.932777758500734 51.83202661595167)
05554000002806616;Droste-Hülshoff-Straße;POINT (6.930947563366366 51.831005650800016)
05554000002806617;Nelly-Sachs-Straße;POINT (6.932136948623573 51.83102989366293)
05554000002806618;Raiffeisenstraße;POINT (6.945043807155768 51.82018058287725)
05554000002806619;Schützenstraße;POINT (6.927749778362016 51.82303131392971)
05554000002806620;Im Lücking;POINT (6.9241390480366105 51.823808793234065)
05554000002806621;Am Elschatt;POINT (6.9234714049136645 51.82498958587263)
05554000002806622;Schulze-Delitzsch-Straße;POINT (6.9487628560190595 51.81999988041731)
05554000002806624;Wilhelm-Haas-Straße;POINT (6.942515858519068 51.82139067395875)
05554000002806625;Heiligenstädter Straße;POINT (6.929506042899348 51.821506229407554)
05554000002806626;Eichsfelder Weg;POINT (6.928953908125952 51.821184532360256)
05554000002806627;Thüringer Weg;POINT (6.929985013993449 51.82031200962497)
05554000002806628;Amselweg;POINT (6.944936191103159 51.83198557322637)
05554000002806629;Finkenweg;POINT (6.944857972378158 51.83167448361469)
05554000002806630;Sperlingsweg;POINT (6.945001905519567 51.830445744245154)
05554000002806631;Drosselweg;POINT (6.944724491208422 51.83039207446321)
05554000002806632;Meisenweg;POINT (6.945487576622012 51.830484536938215)
05554000002806633;Lerchenweg;POINT (6.942945409522148 51.83016640690358)
05554000002806634;Pastor-Blume-Weg;POINT (6.931802197442188 51.8266283053413)
05554000002806635;Siemensstraße;POINT (6.952197140243394 51.82162858837998)
05554000002806636;Lancasterweg;POINT (6.945248563964148 51.82767694042389)
05554000002806637;Schmeltings Wiese;POINT (6.934826547327433 51.82436349050639)
05554000002806638;Auf der Weide;POINT (6.931041491498789 51.82120259366379)
05554000002806639;Franziskusstraße;POINT (6.936714526727355 51.8269031103501)
05554000002806640;Antoniusstraße;POINT (6.942814196339435 51.82564240424741)
05554000002806641;Holunderweg;POINT (6.94687926036249 51.8290746386215)
05554000002806642;Rosenweg;POINT (6.946881579237112 51.8285552586398)
05554000002806643;Sonnenblumenweg;POINT (6.946621016519982 51.829141421933016)
05554000002806644;Mohnblumenweg;POINT (6.945104690524691 51.825773779868456)
05554000002806645;Fliederweg;POINT (6.944846581238598 51.82567124911222)
05554000002806646;Tulpenweg;POINT (6.946323430463711 51.826353442441274)
