strassenschluessel;bezeichnung;geometry
05158000001200055;Am Werkerhäuschen;POINT (6.955618554129896 51.316485782513986)
05158000001200259;Formerweg;POINT (6.966318766812195 51.32016416212814)
05158000001200309;Gießerweg;POINT (6.967755009681671 51.31956527575198)
05158000001200391;Hülsbecker Platz;POINT (6.9657060275603175 51.31994725725024)
05158000001200792;Schleiferweg;POINT (6.965700262633595 51.319740555328714)
05158000001200795;Schloßmacherweg;POINT (6.963112311371584 51.32014211979601)
05158000001200798;Schmiedeweg;POINT (6.964628543656001 51.319661386435556)
05158000001204002;Abtskücher Straße;POINT (6.989405547161221 51.33586488781786)
05158000001204005;Ahornweg;POINT (6.987932595362596 51.334440938642594)
05158000001204008;Ahrweg;POINT (6.942102477112605 51.33160328563776)
05158000001204011;Akazienweg;POINT (6.986525156544584 51.33212808458933)
05158000001204014;Albert-Kiekert-Straße;POINT (6.962801297429968 51.324825137535846)
05158000001204017;Albert-Schweitzer-Straße;POINT (6.953761797824553 51.33387973590921)
05158000001204020;Alte Höh;POINT (7.001200576810965 51.3504462829946)
05158000001204021;Am Alten Pastorat;POINT (6.968586022924287 51.32613308544254)
05158000001204022;Am Berg;POINT (6.947783228772268 51.34414925530246)
05158000001204023;Am Breitenweg;POINT (6.998006840464176 51.33006160409844)
05158000001204024;Am Bremenfeld;POINT (6.96832684941563 51.302668446215236)
05158000001204025;Am Brügelbach;POINT (6.9875418285665205 51.33155070728699)
05158000001204026;Am Graben;POINT (6.971769470793103 51.32895110967926)
05158000001204029;Am Hangstein;POINT (6.976269381897714 51.32789127535414)
05158000001204032;Am Hanholz;POINT (6.960839844063777 51.32584079195386)
05158000001204034;Am Hefelmann-Park;POINT (6.969148789324093 51.32763120929665)
05158000001204035;Am Ilper Bändchen;POINT (6.951836216143257 51.326274809280065)
05158000001204037;Am Lühning;POINT (6.944832901560331 51.34367881530034)
05158000001204038;Am Meisenkothen;POINT (6.997822917340252 51.32867455114831)
05158000001204040;Am Panoramagarten;POINT (6.9834109501646635 51.33149853164217)
05158000001204041;Am Rathaus;POINT (6.971406290226719 51.32719635538926)
05158000001204044;Am Siepen;POINT (6.979848506794716 51.326931308579425)
05158000001204047;Am Sportfeld;POINT (6.9559808612817156 51.32946408910324)
05158000001204050;Am Sprung;POINT (6.952807234889258 51.33704973220045)
05158000001204052;Am Steinbruch;POINT (6.952881306999778 51.30706183150632)
05158000001204053;Am Vogelsang;POINT (6.967134673351376 51.33235310801756)
05158000001204054;Am Thormählenpark;POINT (6.966134405841297 51.32709668760678)
05158000001204056;Am Werkerwald;POINT (6.957118944939077 51.31697236445301)
05158000001204059;Am Zimmeshaus;POINT (6.967521566452599 51.3288363775232)
05158000001204062;Amselweg;POINT (6.977184661067623 51.33384254021921)
05158000001204065;An der Butterwelle;POINT (6.962835054321743 51.332430088694466)
05158000001204068;An der Hustert;POINT (6.9663447865526855 51.346059396212034)
05158000001204071;Andersenweg;POINT (7.003152040449494 51.327214968040394)
05158000001204074;An der Wildenburg;POINT (6.949513378206985 51.325783896722875)
05158000001204077;Anemonenweg;POINT (6.948643393575916 51.34942604776541)
05158000001204080;Angerweg;POINT (6.958067917585383 51.308694875323624)
05158000001204083;Asternweg;POINT (6.949236363128777 51.349850760048604)
05158000001204085;Azaleenweg;POINT (6.948509478247883 51.346501110485)
05158000001204098;Bachstraße;POINT (6.95508294722082 51.33298915717494)
05158000001204101;Bahnhofstraße;POINT (6.975165949617158 51.32841058666412)
05158000001204103;Baltrumweg;POINT (6.946913781025202 51.32463510251999)
05158000001204104;Bayernstraße;POINT (6.978984811573675 51.32571504477192)
05158000001204105;Basildonplatz;POINT (6.968548375169985 51.3265496821561)
05158000001204107;Beeker Weg;POINT (6.970471630813521 51.329690616907975)
05158000001204110;Beethovenstraße;POINT (6.959462690799496 51.33273006257121)
05158000001204113;Bergische Straße;POINT (6.958674535168023 51.32175344733492)
05158000001204116;Bergstraße;POINT (6.979712734296107 51.328065303632364)
05158000001204119;Berliner Straße;POINT (6.9605756709194075 51.32314455837386)
05158000001204120;Bertha-Benz-Allee;POINT (6.947182737060478 51.3163883548021)
05158000001204122;Beuthener Straße;POINT (6.961159120763892 51.31803008003299)
05158000001204125;Birkenweg;POINT (6.985562251667371 51.33241726475176)
05158000001204128;Bleibergstraße;POINT (6.960432052343143 51.327054017808)
05158000001204131;Bogenstraße;POINT (6.955094967711752 51.32909372032126)
05158000001204132;Borkumstraße;POINT (6.944777730724066 51.32345846832011)
05158000001204134;Brahmsstraße;POINT (6.9582718513543504 51.33085584312179)
05158000001204137;Brangenbusch;POINT (7.01101889653403 51.331478379089106)
05158000001204139;Bremenbusch;POINT (6.967698092499941 51.30599485944286)
05158000001204140;Breslauer Straße;POINT (6.960234053038002 51.321417021343294)
05158000001204143;Brockhorstweg;POINT (6.924425651510219 51.337619524340624)
05158000001204146;Brügelweg;POINT (6.991143252019153 51.33047084526284)
05158000001204147;Brüsseler Straße;POINT (6.954142259275749 51.32165557887818)
05158000001204149;Buchenstraße;POINT (6.966476994204046 51.33363261127148)
05158000001204152;Campusallee;POINT (6.968339759518615 51.32714407627482)
05158000001204154;Carl-Zeiss-Straße;POINT (6.998897631135125 51.332578016283236)
05158000001204158;Christine-Teusch-Weg;POINT (6.987325282559341 51.3270311741917)
05158000001204164;Dahlienweg;POINT (6.948348810880806 51.34803197358905)
05158000001204167;Dammweg;POINT (6.962739484632913 51.328017569460556)
05158000001204170;Dantestraße;POINT (7.00647944125268 51.32711813513727)
05158000001204173;Danziger Straße;POINT (6.960052056205824 51.32224997958879)
05158000001204175;Dieselstraße;POINT (6.996212331510243 51.33168063709392)
05158000001204176;Dörrenhauser Straße;POINT (6.979385787566975 51.3257303649744)
05158000001204177;Domplatz;
05158000001204179;Dresdener Straße;POINT (6.9586387111128625 51.32333483384632)
05158000001204180;Dr.-Julius-Held-Straße;POINT (6.953939493067668 51.320766065099164)
05158000001204182;Drosselweg;POINT (6.975798607988231 51.33300599701019)
05158000001204185;Dümgesweg;POINT (6.991618696557608 51.327936093466086)
05158000001204188;Dürerstraße;POINT (6.971741997646359 51.32217374247248)
05158000001204191;Düsselweg;POINT (6.94107125499637 51.3345881125892)
05158000001204203;Ehemannshof;POINT (6.983797695917164 51.330460253158456)
05158000001204206;Eichendorffstraße;POINT (6.96119051838503 51.32940577457296)
05158000001204209;Eichenweg;POINT (6.986745591668368 51.33309367959577)
05158000001204212;Eichholz;POINT (7.005800277390329 51.33922431674186)
05158000001204215;Eifelstraße;POINT (6.945355918136772 51.328700939104095)
05158000001204218;Eisenacher Straße;POINT (6.958644592877697 51.31667231363319)
05158000001204220;Elisabeth-Selbert-Straße;POINT (6.983368817743499 51.32706819239475)
05158000001204221;Enzweg;POINT (6.9412334540658875 51.33328187063333)
05158000001204224;Erftweg;POINT (6.942533560696797 51.33174480684231)
05158000001204226;Europaplatz;
05158000001204238;Fahrenheitstraße;
05158000001204242;Farrenberg;POINT (6.967236898933191 51.33775099451341)
05158000001204245;Faulsweg;POINT (7.000312753686783 51.35675365601474)
05158000001204245;Faulsweg;POINT (7.000312753686783 51.35675365601474)
05158000001204247;Fehmarnweg;POINT (6.947611255404509 51.32438586083447)
05158000001204248;Feldstraße;POINT (6.971850285616044 51.33343946053954)
05158000001204251;Fichtestraße;POINT (7.002519112820717 51.32920165791797)
05158000001204254;Finkenweg;POINT (6.97840034323463 51.3335763459663)
05158000001204257;Flurweg;POINT (6.992141227893289 51.339773682666596)
05158000001204260;Frankenstraße;POINT (6.9755340475201395 51.32635075036734)
05158000001204263;Frankfurter Straße;POINT (6.935793863851886 51.34541870650617)
05158000001204266;Freiherr-vom-Stein-Straße;POINT (6.953149903721058 51.334199281914216)
05158000001204269;Freundstraße;POINT (6.9692636878572385 51.32937688077248)
05158000001204270;Frieda-Nadig-Straße;
05158000001204272;Friedenstraße;POINT (6.969288360253735 51.32908264565248)
05158000001204279;Fritz-Erler-Straße;POINT (6.988150931288679 51.32384654279453)
05158000001204281;Fuchsloch;POINT (6.939586043580898 51.346706898972975)
05158000001204296;Galper Weg;POINT (6.984365960855054 51.348605691771205)
05158000001204299;Gartenstraße;POINT (6.963765970006298 51.32334487676178)
05158000001204302;Gebrüder-Grimm-Straße;POINT (6.991643165845733 51.32951521527231)
05158000001204305;Gellenkothen;POINT (7.006406827763205 51.33139770664809)
05158000001204306;Geranienweg;POINT (6.950767444906585 51.34810337944587)
05158000001204308;Gerhart-Hauptmann-Straße;POINT (6.960323767601576 51.32878657636565)
05158000001204310;Giesenhofstraße;POINT (6.945764251729693 51.33062175124101)
05158000001204311;Gladiolenweg;POINT (6.94704305311925 51.34886162070615)
05158000001204314;Görscheider Weg;POINT (6.920295535200108 51.33996965066782)
05158000001204317;Goethestraße;POINT (7.000450362985393 51.32780557982635)
05158000001204320;Gohrstraße;POINT (6.962115621294535 51.327577258898835)
05158000001204323;Grubenstraße;POINT (6.952489949490183 51.32955531561491)
05158000001204326;Grünstraße;POINT (6.956591153478738 51.318131197944886)
05158000001204328;Gustav-Heinemann-Straße;POINT (6.9875847628541825 51.32340274673216)
05158000001204341;Hacklandstraße;POINT (6.971054770568206 51.33158634078431)
05158000001204344;Hangstraße;POINT (6.965878887127233 51.32860116013032)
05158000001204345;Hans-Böckler-Weg;POINT (6.987490130168523 51.32588637559265)
05158000001204347;Harzstraße;POINT (6.942392322899841 51.32770589919268)
05158000001204350;Haselweg;POINT (6.9928045121146685 51.33249064357266)
05158000001204353;Hasenberg;POINT (6.941452164306817 51.34237379747029)
05158000001204356;Hasselbecker Straße;POINT (6.953526366307781 51.32689245821829)
05158000001204359;Hauptstraße;POINT (6.961599335212753 51.32504534469527)
05158000001204362;Haydnweg;POINT (6.958915098986299 51.33314909100328)
05158000001204363;Hefelmann-Gasse;POINT (6.970151001991369 51.32635689991367)
05158000001204365;Heidestraße;POINT (7.011255660112778 51.32836497089001)
05158000001204366;Heinrich-von-Brentano-Weg;POINT (6.985322736285754 51.32557133756718)
05158000001204367;Heinrich-Lübke-Straße;POINT (6.988276435957646 51.32434798424106)
05158000001204368;Heinestraße;POINT (7.001393616053996 51.32813980016859)
05158000001204369;Helgolandring;POINT (6.94368311876613 51.323948222526084)
05158000001204370;Herbeckweg;POINT (6.977737230999487 51.304473077544095)
05158000001204371;Herberger Weg;POINT (6.979303860163457 51.33321098930528)
05158000001204374;Herderstraße;POINT (7.004513029176077 51.32858955849842)
05158000001204377;Herzogstraße;POINT (6.974606037192665 51.325280542394346)
05158000001204380;Hessenbleekstraße;POINT (6.991626967108261 51.34711410751876)
05158000001204382;Hiddenseestraße;POINT (6.946150597705656 51.32314149865651)
05158000001204383;Hippenweg;
05158000001204386;Höseler Platz;POINT (6.956405556549866 51.325019495936544)
05158000001204389;Höseler Straße;POINT (6.936130513485493 51.330913656412825)
05158000001204390;Hofermühle;POINT (6.939802034305797 51.311076401010375)
05158000001204392;Holbeinstraße;POINT (6.97420197981472 51.32377106292869)
05158000001204395;Holderweg;POINT (6.993283249835297 51.33132603783188)
05158000001204398;Holzsiepen;POINT (6.998345300350858 51.34482019696439)
05158000001204401;Hubertusstraße;POINT (6.957272431852914 51.327726247093665)
05158000001204404;Hülsbecker Straße;POINT (6.965082501108398 51.319351977760874)
05158000001204407;Hülsenweg;POINT (6.992105157865099 51.33270297943296)
05158000001204410;Hüttenweg;POINT (6.953126999697985 51.34599610213054)
05158000001204411;Humboldtstraße;POINT (7.008605848797433 51.327557429784896)
05158000001204413;Hunsrückstraße;POINT (6.944456949900334 51.327715561553696)
05158000001204431;Ilpweg;POINT (6.944560458866161 51.332712708698494)
05158000001204432;Immanuel-Kant-Höfe;POINT (6.973920308664427 51.32442693942716)
05158000001204434;Im Paradies;POINT (6.980424728364936 51.33490960118488)
05158000001204437;In der Blume;POINT (6.970141195414796 51.32584474541006)
05158000001204438;In der Brück;POINT (6.939830353040447 51.310550630241316)
05158000001204440;In der Leibeck;POINT (6.947194985318862 51.31437158574445)
05158000001204443;In der Lilie;POINT (6.946712597627184 51.34704567024913)
05158000001204446;In der Rose;POINT (6.953871579741765 51.34827687169855)
05158000001204449;In der Theusen;POINT (6.941817927239131 51.338092140119976)
05158000001204455;Isenbügeler Kopf;POINT (6.954900889972815 51.34546208670863)
05158000001204457;Isenbügeler Platz;POINT (6.949484629681977 51.346943515281)
05158000001204458;Isenbügeler Straße;POINT (6.9482471309294835 51.34464979965032)
05158000001204468;Jagstweg;POINT (6.940301780690734 51.33320549168812)
05158000001204471;Jahnstraße;POINT (6.973458845782549 51.325131081786104)
05158000001204473;Jakob-Muth-Straße;
05158000001204480;Kalkofen;POINT (6.971636203366465 51.33540800034955)
05158000001204483;Kantstraße;POINT (6.948616038249869 51.334402974709846)
05158000001204486;Kapellenweg;POINT (6.988005365211444 51.336078986390305)
05158000001204487;Karrenbergsweg;POINT (6.946930788370693 51.34546942129047)
05158000001204489;Karlstraße;POINT (6.96728684555098 51.32247778374303)
05158000001204490;Karl-Arnold-Straße;POINT (6.984594226576839 51.32363827238658)
05158000001204492;Kettwiger Straße;POINT (6.966779318810071 51.33037206173074)
05158000001204494;Kinzigweg;POINT (6.943378468289384 51.333149449515304)
05158000001204495;Kirchpfad;POINT (6.991807999739675 51.3339030071936)
05158000001204498;Kirchplatz;POINT (6.967570233300845 51.32577829205885)
