strassenschluessel;bezeichnung;geometry
05370000001606001;Waldhufenstraße;POINT (6.091763135665964 51.018474918311334)
05370000001606002;Turmstraße;POINT (6.091686868564052 51.00960224999346)
05370000001606003;Gillrather Straße;POINT (6.094006533638893 51.00907133278045)
05370000001606004;Höffelter Straße;POINT (6.0900442365832195 51.015357646004055)
05370000001606005;Römerstraße;POINT (6.0916739784666225 51.01774196206514)
05370000001606006;Heienderfeld;POINT (6.088111506132996 51.019961705812044)
05370000001606007;Hinter Hofbungert;POINT (6.090433214580798 51.02011203518412)
05370000001606008;Am Wasserturm;POINT (6.089416432829983 51.01060056331331)
05370000001606009;Aachener Straße;POINT (6.075695361019251 51.01048259194007)
05370000001606010;Birgdener Straße;POINT (6.069436712252952 51.0149741897234)
05370000001606011;Straetener Weg;POINT (6.077644101626847 51.01313361695736)
05370000001606012;Kleiner Eschweg;POINT (6.076084807386304 51.01164723078053)
05370000001606013;Eschfelder Hof;POINT (6.080844530075641 51.00983896346194)
05370000001606014;Hellstraße;POINT (6.074226740761741 51.01507723556142)
05370000001606015;Huckstraße;POINT (6.075357867715266 51.009526459974126)
05370000001606016;Küstergasse;POINT (6.073764268900548 51.01479723678683)
05370000001606017;Kirchstraße;POINT (6.071809275315207 51.01191100594234)
05370000001606018;Langbroicher Straße;POINT (6.071878545506392 51.013638104567235)
05370000001606019;Gerardstraße;POINT (6.074030232881018 51.01200960394367)
05370000001606020;Dechant-Pauen-Straße;POINT (6.071648566113136 51.01466139147867)
05370000001606022;Corneliusstraße;POINT (6.072584090790222 51.015696232425185)
05370000001606023;Am Strauch;POINT (6.071143118947052 51.017740779711815)
05370000001606024;Vitusstraße;POINT (6.074864314678204 51.014779054925675)
05370000001606025;An der Maar;POINT (6.072466331910821 51.011297290530806)
05370000001606028;Pütt;POINT (6.065036720676927 51.021308807719116)
05370000001606029;Pütterhof;
05370000001606030;Croonshof;POINT (6.187643882745071 51.01368215775449)
05370000001606031;Asterstraße;POINT (6.177296537687837 51.01695210511981)
05370000001606032;Himmericher Straße;POINT (6.182047059891651 51.01808995090801)
05370000001606033;Buschstraße;POINT (6.180562954968697 51.015481987640705)
05370000001606034;Driesch;POINT (6.175095827093823 51.019575601393946)
05370000001606035;Feldstraße;POINT (6.174998760364593 51.01497308663111)
05370000001606036;Heerweg;POINT (6.187026218957687 51.0126074288483)
05370000001606037;Hermannsstraße;POINT (6.173080098056079 51.01693107490456)
05370000001606038;Am Hellenkamp;POINT (6.172191205526168 51.01805780229159)
05370000001606039;Martin-Jansen-Straße;POINT (6.1884271053773965 51.01208164510309)
05370000001606040;Hinter der Mauer;POINT (6.179750022999312 51.01589088203481)
05370000001606041;Sandberg;POINT (6.174076278353092 51.01524548525385)
05370000001606042;Uetterather Straße;POINT (6.171798881961559 51.01596438635355)
05370000001606043;Nirmer Straße;POINT (6.172534847047362 51.014155718057886)
05370000001606044;Forsthof;POINT (6.165580512442925 51.01533636879249)
05370000001606045;Himmericher Hof;POINT (6.1949648080116555 51.02256657347963)
05370000001606046;Himmerich;POINT (6.192340716729156 51.023201711836734)
05370000001606047;Mittelbusch;POINT (6.189065617064596 51.01303846173102)
05370000001606048;Wildbahn;POINT (6.188677208298776 51.01297036553192)
05370000001606049;Nygen;POINT (6.131563626472891 51.02369990068062)
05370000001606050;Baumen;POINT (6.136625965531147 51.01486527060194)
05370000001606051;Berg;POINT (6.141944694370828 51.01911169146735)
05370000001606052;Blauenstein;POINT (6.118230089722706 51.013491585764996)
05370000001606053;Donselen;POINT (6.109017747536081 51.02622265908064)
05370000001606054;Donseler Hof;
05370000001606056;Am Taukamp;POINT (6.167052301490661 51.03951317822494)
05370000001606057;Am Kornkamp;POINT (6.172119930555281 51.04168099072282)
05370000001606058;Bendengasse;POINT (6.177060851840409 51.04329801645329)
05370000001606059;Sootstraße;POINT (6.169527200799058 51.04028107593309)
05370000001606060;Dremmener Straße;POINT (6.170211117753444 51.03701071479595)
05370000001606061;Zedernstraße;POINT (6.17058779145605 51.036705898734596)
05370000001606062;Rurtalstraße;POINT (6.1743671563793 51.04107480467509)
05370000001606063;Holzerfeld;POINT (6.174189713907228 51.03632839326879)
05370000001606064;Rochusstraße;POINT (6.173481797035842 51.03709733695582)
05370000001606066;Maistraße;POINT (6.172848880204632 51.03658733278806)
05370000001606067;Wehrstraße;POINT (6.169662327466537 51.039759742340216)
05370000001606068;Mühle;POINT (6.174020053019435 51.047503529943135)
05370000001606069;Auf dem Rain;POINT (6.170331944022096 51.03818010652352)
05370000001606070;Im Rötchen;POINT (6.1682447706450345 51.040203842786546)
05370000001606071;Am Schulgarten;POINT (6.174152444833556 51.03788955163842)
05370000001606072;Ullrichstraße;POINT (6.173756339952626 51.03985544139476)
05370000001606073;Bendenblick;POINT (6.176476633932213 51.04381908754749)
05370000001606075;Am Diebsweg;POINT (6.168993402583351 51.041587366849825)
05370000001606076;Borgansstraße;POINT (6.176408931260708 51.029289163856305)
05370000001606077;Von-Kesseler-Straße;POINT (6.17665814657938 51.026764467581664)
05370000001606079;Marienhof;
05370000001606080;Mühlenteichstraße;POINT (6.180962410877021 51.029425454587475)
05370000001606082;Randerather Straße;POINT (6.175493789849638 51.030934690986754)
05370000001606083;Hinterm Schruv;POINT (6.174427438111792 51.030485753712775)
05370000001606084;Weidenstraße;POINT (6.1764923724531124 51.03115969294762)
05370000001606085;Wiesenstraße;POINT (6.180177351016201 51.02851940345235)
05370000001606086;Rickenbacher Weg;POINT (6.17817942107634 51.02785832836816)
05370000001606090;Gladbacher Straße;POINT (6.1495749064024 51.050212167773765)
05370000001606091;Am Weidenhof;POINT (6.154677270039721 51.047737323961584)
05370000001606092;Erkelenzer Straße;POINT (6.151141823710688 51.04530846842665)
05370000001606093;Sootstraße;POINT (6.15332433163933 51.04488697303347)
05370000001606094;Ginsterweg;POINT (6.153129848894021 51.04279078119925)
05370000001606095;Overling;POINT (6.151919999129521 51.04463957517914)
05370000001606096;Distelweg;POINT (6.1527753082310115 51.04388729619851)
05370000001606097;An der Bleiche;POINT (6.150777566032864 51.0440038064413)
05370000001606098;Schwarzer Weg;POINT (6.149220024809318 51.045106070017)
05370000001606099;Talmühlenstraße;POINT (6.152145459315739 51.042874689832985)
05370000001606100;Uhlandstraße;POINT (6.151199899150689 51.03953277697674)
05370000001606101;Heinestraße;POINT (6.151581626080047 51.04120251222619)
05370000001606102;Schillerstraße;POINT (6.1509685043197875 51.04043600751159)
05370000001606103;Goethestraße;POINT (6.15359826141486 51.0410481140627)
05370000001606104;Lönsstraße;POINT (6.1555026739194405 51.03936618405094)
05370000001606105;Hebbelstraße;POINT (6.1552134872794095 51.04025000711077)
05370000001606106;Lessingstraße;POINT (6.155379546508295 51.040688777694065)
05370000001606107;Am Waidberg;POINT (6.149646523841855 51.04193363996982)
05370000001606108;Grabenstraße;POINT (6.148678689253209 51.041262165352684)
05370000001606109;Jägerstraße;POINT (6.147322473827537 51.04143094019805)
05370000001606110;Marienstraße;POINT (6.147948510245835 51.042446467001184)
05370000001606111;Remboldstraße;POINT (6.143534315515028 51.04430482599508)
05370000001606112;Wolfskaulstraße;POINT (6.147931898607463 51.04557697585351)
05370000001606113;Schusterweg;POINT (6.149102816791902 51.04319570817268)
05370000001606114;Sibertstraße;POINT (6.148298605459648 51.04479542652387)
05370000001606115;Mommartzstraße;POINT (6.146219008421878 51.04183695172878)
05370000001606116;Eichendorffstraße;POINT (6.150107662165613 51.04091185517353)
05370000001606117;Talblick;POINT (6.150525004339387 51.042309858798646)
05370000001606118;Wiesenhang;POINT (6.151850720613425 51.04245369810531)
05370000001606119;Auf dem Hövel;POINT (6.145807857025198 51.038770597918294)
05370000001606120;Fronland;POINT (6.142168718276063 51.042121467314026)
05370000001606123;Sebastianusstraße;POINT (6.144945884281716 51.04105764814861)
05370000001606124;Kommweidenstraße;POINT (6.143624417026008 51.041923766698716)
05370000001606125;Brementhalstraße;POINT (6.142349096025017 51.04071177703739)
05370000001606126;Hofstadtstraße;POINT (6.143302364049385 51.039918392845145)
05370000001606127;Weyresstraße;POINT (6.141045002334742 51.040787255287704)
05370000001606128;Lütticher Straße;POINT (6.142145841069953 51.03873708206422)
05370000001606129;Lambertusstraße;POINT (6.146740272358531 51.039583924969236)
05370000001606130;Falderstraße;POINT (6.1525148872045925 51.038854154750325)
05370000001606131;Glockenlandstraße;POINT (6.145290315489534 51.0366913352525)
05370000001606132;Eschstraße;POINT (6.147644822373386 51.03717641865632)
05370000001606133;Mellerstraße;POINT (6.147050328175064 51.038984740134886)
05370000001606134;Friedgasse;POINT (6.147924480843686 51.03922328066041)
05370000001606135;Grabenstraße;POINT (6.148741013555758 51.03899087194722)
05370000001606136;Erlenhang;POINT (6.148889828666742 51.03842764619949)
05370000001606137;Hügelstraße;POINT (6.1479978431870705 51.0384832289407)
05370000001606138;Jülicher Straße;POINT (6.148839555237543 51.03560338380738)
05370000001606139;An Dremmer Loh;POINT (6.157136700790505 51.031980848243215)
05370000001606140;An der Eiche;POINT (6.149371460538597 51.0374172480227)
05370000001606141;Herb;POINT (6.147164781677218 51.03184277241617)
05370000001606142;Boverath;POINT (6.127460502606527 51.03494789204536)
05370000001606143;Herberfeld;
05370000001606144;Jaegerhof;
05370000001606145;Am Dorfweg;POINT (6.1382996773724905 51.040970597857886)
05370000001606146;Driescher Mühle;POINT (6.149436273889558 51.044361446682494)
05370000001606147;Kuhloher Hof;POINT (6.153345818121631 51.03050355340316)
05370000001606148;Kapellchenhof;POINT (6.135383666816977 51.03950490251153)
05370000001606149;Düsseldorfer Straße;POINT (6.162301806985475 51.04741949982561)
05370000001606151;Grebbener Straße;POINT (6.137121137348354 51.05403242822329)
05370000001606152;Im Fritzbruch;
05370000001606153;Unterster Hof;POINT (6.13775105860527 51.05046439700087)
05370000001606154;Josef-Spehl-Straße;POINT (6.1324082783871905 51.049926623966954)
05370000001606155;Rubensstraße;POINT (6.130310327796495 51.048565010133856)
05370000001606156;Hülhovener Straße;POINT (6.138077591301949 51.0464681155201)
05370000001606157;Muldenweg;POINT (6.1391789901842655 51.045875496533505)
05370000001606158;Wälkesberg;POINT (6.137975406131169 51.046331903967804)
05370000001606159;Gangelter Straße;POINT (6.134095867285259 51.047114788426335)
05370000001606160;Karl-Arnold-Straße;POINT (6.130767081591926 51.05733809226982)
