strassenschluessel;bezeichnung;geometry
05366000002006001;Aachener Straße;POINT (6.435585915232545 50.491373485302)
05366000002006002;Ackergasse;POINT (6.434174827099027 50.491030334696504)
05366000002006003;Alte Kuhstraße;POINT (6.431464938957207 50.49180062957017)
05366000002006004;Am Hasselsiefen;POINT (6.429070696716662 50.48838438209704)
05366000002006005;Am Heinengarten;POINT (6.433314502729089 50.49344568286627)
05366000002006006;Am Pastorsgarten;POINT (6.434871813644511 50.49314683830378)
05366000002006007;Am Olefufer;
05366000002006008;Auf der Schanz;POINT (6.4383451707862465 50.486980870165084)
05366000002006010;An der Gerberei;POINT (6.43347188569765 50.48862654688608)
05366000002006011;An der Lichtenhardt;POINT (6.430632741416214 50.494278177486166)
05366000002006013;Parkstraße;POINT (6.437695759976488 50.491564128442725)
05366000002006015;Bauesfeld;POINT (6.43270621864137 50.4943060262346)
05366000002006016;Brachfeld;POINT (6.432914700420093 50.488098676987015)
05366000002006018;Alte Kirchstraße;POINT (6.430231342669987 50.48789893012563)
05366000002006020;Gewerbegebiet Kröpsch;POINT (6.454088106664208 50.49158477350444)
05366000002006025;Hardtstraße;POINT (6.438279887281702 50.49187619315135)
05366000002006027;Hinterseiffen;POINT (6.4494969650314795 50.48471485251465)
05366000002006028;Hohenbergringstraße;POINT (6.430677151883007 50.48571783508481)
05366000002006036;Im Bongert;POINT (6.433968310750827 50.49343518970612)
05366000002006037;Im Flachsland;POINT (6.436058659170827 50.489829479241585)
05366000002006038;Im Höfgen;POINT (6.435951253733986 50.490144635559965)
05366000002006039;Im Kirschseiffen;POINT (6.449145466207028 50.48978369141023)
05366000002006040;Im Kohlseiffen;POINT (6.4366771121257065 50.494627322556134)
05366000002006041;In der Dreesbach;POINT (6.434643713243447 50.48338868613289)
05366000002006043;In der Höll;POINT (6.432298889449504 50.489668117647604)
05366000002006044;Im Kröpsch;POINT (6.452131927466565 50.491060221416)
05366000002006046;Kalberbenden;POINT (6.443394928358291 50.48863564334409)
05366000002006048;Kölner Straße;POINT (6.439378276586505 50.49057804752265)
05366000002006049;Kuhlheck;POINT (6.4394111397364036 50.48831909255597)
05366000002006060;Oleftalstraße;POINT (6.429368574248415 50.49316282629706)
05366000002006061;Pützfuhr;
05366000002006065;Rathausstraße;POINT (6.441915048906335 50.48937650961563)
05366000002006070;Trierer Straße;POINT (6.4330594630665505 50.48377197918881)
05366000002006076;Zur Schanz;POINT (6.439160074531991 50.4897861732331)
05366000002006077;Im Speessiefen;POINT (6.432006703553931 50.48819564370774)
05366000002006078;Wildfreigehege;POINT (6.429450866167467 50.502377567095216)
05366000002006080;Platiß;POINT (6.424410907833962 50.47866736107566)
05366000002006085;Platißhof;POINT (6.422739548687032 50.475810965532595)
05366000002006090;Alte Schulstraße;POINT (6.461309213531518 50.49770840513623)
05366000002006091;Am Hahnenberg;POINT (6.459740195854121 50.49756178265971)
05366000002006092;Am Kirchenberg;POINT (6.457536055022211 50.49602587684762)
05366000002006093;Auf dem Büchel;POINT (6.462829213705567 50.49482700816382)
05366000002006094;Am Gericht;
05366000002006095;Bärwurzweg;POINT (6.463918342343644 50.49344219874232)
05366000002006096;Haspelsrott;
05366000002006097;Hönninger Weg;
05366000002006100;Bahnhofstraße;POINT (6.4600170316589525 50.496856748354304)
05366000002006101;Am Bilderstock;POINT (6.460252319230136 50.49434365541737)
05366000002006102;Büchelsgasse;POINT (6.461931852716704 50.49612593379861)
05366000002006105;Fuchsloch;POINT (6.463022167624398 50.49583409099011)
05366000002006110;Schleidener Straße;POINT (6.460104731864145 50.49502969044073)
05366000002006114;Müllershammer;POINT (6.463633020967901 50.50140446562088)
05366000002006118;Reifferscheider Straße;POINT (6.465937257763418 50.49533913526379)
05366000002006122;Am Zengselsberg;POINT (6.4584811896809 50.49217860241926)
05366000002006130;Dommersbach;POINT (6.470122289619494 50.49060333674077)
05366000002006131;Reifferscheider Straße;
05366000002006140;Ingersberg;POINT (6.48550940781853 50.50057764250788)
05366000002006145;Eichen;POINT (6.4948314874176525 50.50204408260264)
05366000002006150;Wollenberg;POINT (6.487584983417866 50.486481896777605)
05366000002006170;Felser;POINT (6.495647698118817 50.4842587316439)
05366000002006180;Auf dem Acker;POINT (6.469508712343422 50.47511247120846)
05366000002006185;Blumenthaler Straße;POINT (6.467660239325946 50.47816002220727)
05366000002006186;Burgstraße;POINT (6.465054265085882 50.4782091242007)
05366000002006190;Fritz-von-Wille-Weg;POINT (6.468619884930654 50.47474399221874)
05366000002006195;Im Tal;POINT (6.4708819066087 50.474932527802245)
05366000002006196;Im Auel;POINT (6.476139417381335 50.47146725169037)
05366000002006197;In der Freiheit;POINT (6.466974458492993 50.477058659939)
05366000002006198;In den Weihern;POINT (6.468941716838091 50.47568377441423)
05366000002006200;Fuhrweg;POINT (6.474263180014159 50.473064187666544)
05366000002006201;Kupferhardtweg;POINT (6.471773513014172 50.4759774536327)
05366000002006205;Liebfrauenstraße;POINT (6.474625487876669 50.47467359051599)
05366000002006207;Lochhof;POINT (6.477350952353202 50.47426606061041)
05366000002006208;Lohmühle;POINT (6.474993165322127 50.4729623096451)
