strassenschluessel;bezeichnung;geometry
05962000001606002;Dorfstraße;POINT (7.74600741953554 51.40199993501016)
05962000001606003;Westerweg;POINT (7.736927630841062 51.400925519402804)
05962000001606004;Am Erpel;POINT (7.740132307419131 51.40037228494534)
05962000001606005;Im Uhlenhohl;POINT (7.742829094011702 51.399782321011756)
05962000001606006;Landhauser Heide;POINT (7.730069601687425 51.40272152502843)
05962000001606009;Am Bergmannspfad;POINT (7.737326404013248 51.39993971267778)
05962000001606016;Fichtestraße;POINT (7.765407029293135 51.377355115477094)
05962000001606017;Im Bockeloh;POINT (7.767955009866724 51.379657114551904)
05962000001606018;Friedrich-Grohe-Straße;POINT (7.766149554340855 51.382507967705926)
05962000001606019;Unter dem Naumberg;POINT (7.7618829362450965 51.379235220021265)
05962000001606020;Auf dem Hammer;POINT (7.766750714468561 51.3817395861635)
05962000001606021;Am Steinbruch;POINT (7.76584736648004 51.38130674980099)
05962000001606022;An der Litze;POINT (7.7652372628367425 51.3828967462009)
05962000001606023;Selvestraße;POINT (7.7646328144903265 51.38222839260368)
05962000001606024;Am Oelbusch;POINT (7.762097817293884 51.3804575489474)
05962000001606025;Lönsweg;POINT (7.760167171434511 51.38215385150081)
05962000001606026;Von-Eichendorff-Weg;POINT (7.758427460593747 51.383900956256724)
05962000001606027;Nockenstraße;POINT (7.763838764700261 51.38368460503974)
05962000001606028;An der Steinert;POINT (7.763009570197547 51.38468507646177)
05962000001606029;Droste-Hülshoff-Weg;POINT (7.758793675098317 51.38279759641353)
05962000001606031;Mühlenweg;POINT (7.756367508157109 51.38243166181339)
05962000001606032;Karl-Wagenfeld-Weg;POINT (7.760423984896406 51.38238036188112)
05962000001606033;Albert-Schweitzer-Straße;POINT (7.758634906527427 51.385473986431535)
05962000001606034;Hedhofstraße;POINT (7.760056440553 51.38512328245575)
05962000001606035;Hermann-Von-Der-Becke-Str;POINT (7.7611825011448525 51.3861257924498)
05962000001606036;Feldstraße;POINT (7.759398894285961 51.38584463220477)
05962000001606037;Im Nettelchen;POINT (7.754559193997456 51.38648673712103)
05962000001606038;Mühlackerweg;POINT (7.762867195172014 51.3847613123245)
05962000001606039;Stormweg;POINT (7.761962399013787 51.381012395370696)
05962000001606040;Alberichweg;POINT (7.762323295803023 51.380916653607166)
05962000001606041;Am Jalohsweg;
05962000001606046;Mühlengang;POINT (7.763908635454096 51.38583142432374)
05962000001606047;Am Sinnerauwer;POINT (7.763613927134989 51.386794193815554)
05962000001606048;Im Hölken;POINT (7.752415277377665 51.38655952757658)
05962000001606049;Parkstraße;POINT (7.751102335564952 51.38769985572305)
05962000001606050;Schopenhauerweg;POINT (7.757086000592304 51.38786647818596)
05962000001606051;Klaus-Funke-Straße;POINT (7.760126072951007 51.3881221012186)
05962000001606055;Robert-Koch-Straße;POINT (7.7614473207331995 51.38845474577763)
05962000001606056;Gustav-Reinhard-Straße;POINT (7.759296552615225 51.38941870627734)
05962000001606057;Am Querrücken;POINT (7.760555023422224 51.3894646489651)
05962000001606058;Hedsiepen;POINT (7.751822515429256 51.38959295066845)
05962000001606059;Grafschaftsweg;POINT (7.754898428175058 51.39020562902227)
05962000001606060;Rudolf-Virchow-Straße;POINT (7.76008263905378 51.38934717483948)
05962000001606061;Breddestraße;POINT (7.7596405104800095 51.3900716232483)
05962000001606062;Lindenstraße;POINT (7.752068160220116 51.38843224228261)
05962000001606063;Von-Behring-Straße;POINT (7.753960963660525 51.38997538691585)
05962000001606064;An der Werthwiese;POINT (7.759040007898909 51.390489479826506)
05962000001606065;Brabeckstraße;POINT (7.756127485449573 51.38981681359324)
05962000001606066;De-Fries-Straße;POINT (7.756753509370999 51.391035097430425)
05962000001606067;Willibrord-Benzler-Straße;POINT (7.757435866017193 51.39230964661988)
05962000001606068;Friedrich-Wern-Straße;POINT (7.756784547275088 51.392170685401815)
05962000001606069;Adolf-Kolping-Straße;POINT (7.757655325983684 51.392693078760324)
05962000001606070;Am Friedhof;POINT (7.757115282511614 51.39413888045934)
05962000001606071;Seilerstraße;POINT (7.759003225882379 51.393754350754165)
05962000001606072;Marienstraße;POINT (7.759534735652985 51.3943344731464)
05962000001606074;Hans-Meyer-Straße;POINT (7.757892172810807 51.39557704650731)
05962000001606076;Am Wernshagen;POINT (7.759063539541338 51.39604651130549)
05962000001606077;Am Tyrol;POINT (7.755076641122736 51.39539377685953)
05962000001606078;Bembergstraße;POINT (7.754897221133331 51.39453708401006)
05962000001606079;Am Bemberg;POINT (7.750555151971781 51.39217723064595)
05962000001606080;Löhrberg;POINT (7.754114562313765 51.39185655923802)
05962000001606081;Geitbecke;POINT (7.760849706060879 51.395534675206825)
05962000001606082;Am Möllinghof;POINT (7.762144327067076 51.39390998741581)
05962000001606083;Auf dem Kliewe;POINT (7.762685583096526 51.393496929895775)
05962000001606084;Mendener Straße;POINT (7.784161969912657 51.39908488622662)
05962000001606089;Mesterscheider Weg;POINT (7.776052696261775 51.39822747014376)
05962000001606090;Ostend;POINT (7.775596847115872 51.39764472556262)
05962000001606095;Ebberg;POINT (7.762458565740202 51.39317827146209)
05962000001606096;Kirchstraße;POINT (7.760783124564071 51.39325840187694)
05962000001606097;Bergstraße;POINT (7.761216656517421 51.39264093059643)
05962000001606098;Mozartstraße;POINT (7.764862885477123 51.39214300879658)
05962000001606099;Theo-Funccius-Straße;POINT (7.76658496115021 51.3928737378995)
05962000001606100;Kantstraße;POINT (7.767555712460143 51.391780994888315)
05962000001606101;Bräuckerstraße;POINT (7.770930348412957 51.39236448735203)
05962000001606102;Im Ohl;POINT (7.7634849362817 51.39000399586599)
05962000001606103;Stephanstraße;POINT (7.765786007977417 51.388282595923506)
05962000001606104;Höcklingser Weg;POINT (7.767483659498239 51.39137929496902)
05962000001606105;Richard-Wagner-Straße;POINT (7.766501539083816 51.39007316216302)
05962000001606106;Schützenstraße;POINT (7.769118433251735 51.39048708194158)
05962000001606107;Beethovenstraße;POINT (7.767725875735785 51.39017346780499)
05962000001606108;Brucknerstraße;POINT (7.769732889730981 51.389136138939755)
05962000001606109;Jahnstraße;POINT (7.770117424755017 51.38821523991879)
05962000001606110;Spiethländerweg;POINT (7.767135839633828 51.38668336983904)
05962000001606111;Woestestraße;POINT (7.771510883074131 51.389218611876025)
05962000001606114;Brahmsstraße;POINT (7.771640821531248 51.3916654892209)
05962000001606115;Am Lusebrink;POINT (7.774770179519698 51.392522103753684)
05962000001606117;Am Obsthof;POINT (7.77425260339386 51.391429255179254)
05962000001606118;Am Hammerscheid;POINT (7.7732474319169675 51.39036728769942)
05962000001606119;Im Siepen;POINT (7.771254271753352 51.39096731687255)
05962000001606120;Am Bollweg;POINT (7.77087688370091 51.39122887608198)
05962000001606127;Bahnhofstraße;POINT (7.768012304410846 51.38684151991435)
05962000001606128;Poststraße;POINT (7.766737851688578 51.386564412151316)
05962000001606130;Hademareplatz;POINT (7.76648054046251 51.38478517241083)
05962000001606131;Ostenschlahstraße;POINT (7.777312752789266 51.38594732347847)
05962000001606132;Seuthestraße;
05962000001606136;Drosselweg;POINT (7.7767458581691296 51.38709361495941)
05962000001606137;Amselweg;POINT (7.77404839381074 51.38622040274579)
05962000001606138;Finkenweg;POINT (7.772545048128766 51.38660803420555)
05962000001606139;Cranachstraße;POINT (7.776487747667431 51.38793931262608)
05962000001606140;Grünewaldstraße;POINT (7.774576731448603 51.388553825158986)
05962000001606141;Aldegreverstraße;POINT (7.775894311634479 51.388440121425916)
05962000001606142;Dürerstraße;POINT (7.776927333316934 51.389410257513255)
05962000001606143;Urbecker Straße;POINT (7.770240562714012 51.38639314293861)
05962000001606144;Holbeinstraße;POINT (7.776482752759577 51.3885872763159)
05962000001606145;Jübergstraße;POINT (7.7742463192639635 51.384274378000136)
05962000001606146;Ostenstraße;POINT (7.7721603763517155 51.386618760399024)
05962000001606147;Hugo-Banniza-Straße;POINT (7.7726747024908995 51.38530564429994)
05962000001606148;Clara-Schumann-Straße;POINT (7.770777608404348 51.38721023951663)
05962000001606150;Lerchenstraße;POINT (7.776718967382836 51.385427770318394)
05962000001606151;Meisenweg;POINT (7.776364135532041 51.38322207075473)
05962000001606152;Schombergstraße;POINT (7.7772539054483305 51.383877757092264)
05962000001606153;Ennertsweg;POINT (7.777319458133273 51.382529929070586)
