strassenschluessel;bezeichnung;geometry
05954000002035001;Ackerweg;POINT (7.448502582594255 51.42384112063719)
05954000002035002;Ahornstraße;POINT (7.444762363084826 51.41007723712182)
05954000002035003;Alte Straße;POINT (7.429024642876939 51.424591452615616)
05954000002035004;Am Berge;POINT (7.416686662658218 51.41771420723556)
05954000002035005;Am Hagenkotten;POINT (7.404270308035699 51.41962064811254)
05954000002035006;Am Hegede;POINT (7.437323517938303 51.42675147744823)
05954000002035007;Am Herrentisch;POINT (7.442174108407269 51.408807472405734)
05954000002035008;Am Hessenberg;POINT (7.400582021810981 51.4129236448141)
05954000002035009;Am Hickenstein;
05954000002035010;Am Jollenstein;POINT (7.4334080433079555 51.41447213650379)
05954000002035011;Am Knapp;POINT (7.417591235326404 51.422153289385044)
05954000002035012;Am Langenkamp;POINT (7.412917993321099 51.42289574463708)
05954000002035013;Am Nierkamp;POINT (7.42992231908504 51.42370315261946)
05954000002035014;Am Ossenbrink;POINT (7.466608529184264 51.434319895377406)
05954000002035015;Am Pannenstiel;POINT (7.440336581264647 51.40952822027284)
05954000002035016;Am Piepensack;
05954000002035017;Am Rahmen;POINT (7.441490906000243 51.40646548132587)
05954000002035018;Am Schlagbaum;POINT (7.429315109908005 51.42307092128709)
05954000002035019;Amselweg;POINT (7.440349199733746 51.42645067435702)
05954000002035020;Am Semberg;POINT (7.431934912632751 51.42818685155857)
05954000002035021;Am Sonnenstein;POINT (7.4428653435302214 51.400628296155)
05954000002035022;Am Südhang;POINT (7.4191852643119995 51.403701884634515)
05954000002035023;Am Zickenkamp;POINT (7.438185703589182 51.42663183129489)
05954000002035024;An der Heege;POINT (7.437038381141747 51.42600120096135)
05954000002035025;Anemonenweg;POINT (7.425280107659725 51.40595849236695)
05954000002035026;Appelsiepen;POINT (7.402812740480595 51.42132114430059)
05954000002035027;Asternweg;POINT (7.4212726350210945 51.408888358621155)
05954000002035028;Attenbergstraße;POINT (7.436765082393646 51.41129868412179)
05954000002035029;Auf dem Schnee;POINT (7.415084532050861 51.42878215438194)
05954000002035030;Auf den Brennen;POINT (7.447641667920459 51.40339006441877)
05954000002035031;Auf der Helle;POINT (7.421467409584469 51.403275069153736)
