strassenschluessel;bezeichnung;geometry
05916000000000010;Ackerstraße;POINT (7.18341104997099 51.53509201955273)
05916000000000012;Adolf-Brenne-Weg;
05916000000000015;Albert-Einstein-Straße;POINT (7.202730602577446 51.53161853452591)
05916000000000017;Albert-Kelterbaum-Straße;POINT (7.158271487497758 51.51146633676486)
05916000000000020;Albertstraße;POINT (7.165512384095422 51.53720730653378)
05916000000000030;Alfredstraße;POINT (7.1820924522477245 51.51031735417383)
05916000000000040;Alleestraße;POINT (7.13451104363797 51.541926043582585)
05916000000000042;A 42 (Emscherschnellweg);
05916000000000043;A 43 (Autobahn W - MS);
05916000000000045;Altcrange;POINT (7.163445840078105 51.54669217283586)
05916000000000050;Alte Kolonie;POINT (7.166622990766909 51.50863498924421)
05916000000000060;Am Alten Hof;POINT (7.14856175008542 51.51175875531838)
05916000000000080;Am Böckenbusch;POINT (7.173838252207116 51.53105312496907)
05916000000000090;Am Bollwerk;POINT (7.154156190640122 51.506987923317695)
05916000000000100;Am Buschmannshof;POINT (7.161461055775128 51.52967631953361)
05916000000000110;Am Malakowturm;POINT (7.136544164857865 51.540503839022364)
05916000000000120;Am Mühlenbach;POINT (7.153924487288697 51.529189235744916)
05916000000000122;Steinbergstraße;POINT (7.152077599329559 51.52293271461259)
05916000000000125;Am Rottfeld;POINT (7.152714986143948 51.527191790033726)
05916000000000130;Am Ruschenhof;POINT (7.157906360645647 51.53905121206574)
05916000000000140;Am Schmiedesbach;POINT (7.196415714315057 51.535413524581465)
05916000000000150;Am Solbad;POINT (7.165210582794212 51.524704505394034)
05916000000000160;Am Stöckmannshof;POINT (7.152237887206792 51.54153666980488)
05916000000000170;Am Tüntmannshof;POINT (7.141633802494549 51.52447538075609)
05916000000000180;Amtmann-Winter-Straße;POINT (7.160809813748826 51.53052401515559)
05916000000000190;Am Vogelsang;POINT (7.162955907512701 51.52135564119531)
05916000000000192;Am Wananas;POINT (7.171403678876771 51.54015064967811)
05916000000000195;Am Wendebecken;POINT (7.138307731552145 51.543952175339015)
05916000000000200;Am Weustenbusch;POINT (7.174635298307229 51.520700528519875)
05916000000000210;Am Wiesengrund;POINT (7.1987541897195495 51.53600294002068)
05916000000000220;An der Burg;POINT (7.16775422958221 51.512622066952886)
