strassenschluessel;bezeichnung;geometry
05562000002000010;Achtenbecksweg;POINT (7.128126602631878 51.600024263934856)
05562000002000030;Ackerstraße;POINT (7.113551266267707 51.61344752485764)
05562000002000070;Adalbertstraße;POINT (7.150751134255377 51.581685218045806)
05562000002000130;Agnes-Miegel-Straße;POINT (7.130684755484066 51.61046693518838)
05562000002000150;Ahornstraße;POINT (7.138771339659107 51.618079097860004)
05562000002000170;Ahrntaler Weg;POINT (7.107487564503931 51.614783651958156)
05562000002000210;Akazienstraße;POINT (7.081690500921053 51.6070735501948)
05562000002000220;Albert-Einstein-Allee;POINT (7.144725178097553 51.57393031962207)
05562000002000230;Algunder Steig;POINT (7.1098616770158785 51.61185860929387)
05562000002000240;Allensteiner Straße;POINT (7.101856157991467 51.60104322637149)
05562000002000245;Alte Berg;POINT (7.123967566425904 51.595841157690394)
05562000002000250;Altenburger Straße;POINT (7.146072738690419 51.609881509212194)
05562000002000255;Am Alten Depot;POINT (7.145881157592196 51.58367453030496)
05562000002000258;Am Bramhügel;
05562000002000260;Am Bungert;POINT (7.088153834074542 51.60334555470528)
05562000002000280;Am Graben;POINT (7.1573560359922315 51.579425297532666)
05562000002000300;Am Handweiser;POINT (7.165404539043111 51.572481038415134)
05562000002000310;Am Handwerkerhof;POINT (7.140289981271867 51.611288931224664)
05562000002000320;Am Jahnplatz;POINT (7.138575343063633 51.61880971623329)
05562000002000330;Am Kessner Berg;POINT (7.1517444599604705 51.59448043893342)
05562000002000340;Am Knie;POINT (7.130962339918414 51.60669401099087)
05562000002000350;Am Kräuterhof;POINT (7.1235810082319935 51.59541364336494)
05562000002000360;Am Paschenberg;
05562000002000380;Am Pösken;POINT (7.124992385534061 51.60578986725734)
05562000002000400;Amselstraße;POINT (7.076134799690772 51.60880628502674)
05562000002000440;Am Steinbrink;POINT (7.1470253168536555 51.62402827623454)
05562000002000450;Am Technologiepark;POINT (7.133908486074808 51.59574828623386)
05562000002000460;Amtsstraße;POINT (7.1416628908583535 51.616113803859626)
05562000002000480;Am Wilhelmsplatz;POINT (7.143566252336453 51.591137389217124)
05562000002000490;Am Wittkamp;POINT (7.140093723642428 51.59393946073099)
05562000002000570;An der Feuerwache;POINT (7.143559720709602 51.59091058091252)
05562000002000571;An der Gertrudenau;POINT (7.144506421644602 51.618266590208165)
05562000002000590;An der Gräfte;POINT (7.093360247005908 51.59892804098443)
05562000002000610;An der Halde;POINT (7.157659732794068 51.605268266367936)
