strassenschluessel;bezeichnung;geometry
05754000002010050;Ahornweg;POINT (8.232327865824928 51.89156850966473)
05754000002010060;Alte Ziegelei;POINT (8.25293911028614 51.87227498804104)
05754000002010070;Am Christinenbach;POINT (8.228200688769876 51.89054289320313)
05754000002010100;Am Glockenteich;POINT (8.255749084884432 51.88663343513439)
05754000002010200;Am Hallenbad;POINT (8.248109951159277 51.888256349070346)
05754000002010300;Am Halloh;POINT (8.201259948141104 51.89768879349273)
05754000002010400;Am Hanewinkel;POINT (8.202342313554642 51.90031696071243)
05754000002010450;Am Holzplatz;POINT (8.209144078271178 51.8623458626225)
05754000002010500;Am Hülsen;POINT (8.190648562098543 51.90757756400097)
05754000002010600;Am Jordan;POINT (8.194093551480432 51.90629794871561)
05754000002010700;Am Kirchplatz;POINT (8.244163594871852 51.884673589759245)
05754000002010800;Am Pferdekamp;POINT (8.215101211133199 51.907843743473045)
05754000002010850;Am Rathaus;POINT (8.231765398249076 51.88418909545787)
05754000002010900;Am Scheckenkamp;POINT (8.254226906730366 51.88681430604565)
05754000002011000;Am Schmiedekreuz;POINT (8.194339566111504 51.89821873818152)
05754000002011100;Amselhof;POINT (8.252863834422863 51.885378522179174)
05754000002011200;Am Wald;POINT (8.251132687520444 51.88342622051508)
05754000002011220;An den Christinenteichen;POINT (8.225888531220466 51.89115882494743)
05754000002011250;An der Dicken Linde;POINT (8.192207050069463 51.9024275067047)
05754000002011300;An der Gräfte;POINT (8.191824731329953 51.90017321198347)
05754000002011400;Arndtstraße;POINT (8.236474128235063 51.877119639145185)
05754000002011450;Auf dem Felde;POINT (8.234522600812863 51.888408844111716)
05754000002011500;Auf dem Kamp;POINT (8.23288089202378 51.883839938553024)
05754000002011600;Auf der Geist;POINT (8.188889958711274 51.88149884169535)
05754000002011650;Auf der Höfte;POINT (8.22566110613127 51.88983086599499)
05754000002011700;Auf'm Brink;POINT (8.226092376896439 51.93681993861921)
05754000002011800;Augustin-Wibbelt-Straße;POINT (8.23271107059063 51.876832226907446)
05754000002011850;Backsgarten;POINT (8.189141493180628 51.90813661069206)
05754000002011900;Bahnhofstraße;POINT (8.238199345731765 51.881658289751265)
05754000002012000;Barlachweg;POINT (8.19333896131486 51.908515458751864)
05754000002012100;Beckerwiese;POINT (8.199681895616493 51.91645800577075)
05754000002012200;Beelener Straße;POINT (8.192165976525501 51.90287217825776)
05754000002012300;Beethovenstraße;POINT (8.206827967227683 51.89972437723642)
05754000002012350;Benzstraße;POINT (8.218153086338868 51.88298641036176)
05754000002012400;Berliner Straße;POINT (8.244014429723764 51.881104676400675)
05754000002012500;Birkenvenn;POINT (8.204355176248905 51.9185154083745)
05754000002012550;Bischofskamp;POINT (8.20891762721804 51.8619503472065)
05754000002012600;Bleichstraße;POINT (8.24574042740404 51.882123922973335)
05754000002012700;Blumenstraße;POINT (8.234637148852578 51.8808728619806)
05754000002012800;Bolandstraße;POINT (8.248547108162512 51.88198286856244)
05754000002012900;Boschstraße;POINT (8.222428181025515 51.88488630187821)
05754000002013000;Bosfelder Weg;POINT (8.24697980851028 51.86074284810092)
05754000002013100;Brahmsweg;POINT (8.207840058958556 51.900147303137054)
05754000002013200;Bredeck;POINT (8.283762509680207 51.93153604025531)
05754000002013300;Breede;POINT (8.203930963869317 51.936482802869904)
05754000002013400;Brentanostraße;POINT (8.235279946360926 51.87786098828329)
05754000002013500;Breslauer Straße;POINT (8.243489958902765 51.87968759919344)
05754000002013600;Brocker Straße;POINT (8.241205510013238 51.876850627537976)
05754000002013650;Buchenweg;POINT (8.23338921607221 51.89080278665429)
05754000002013700;Buschweg;POINT (8.200989683672026 51.9063053339042)
05754000002013800;Cappenberger Weg;POINT (8.193204931319055 51.89862442232656)
05754000002013850;Carl-Miele-Straße;POINT (8.220705652369457 51.87921491437471)
05754000002013860;Clarholzer Heide;POINT (8.212887916580017 51.90021064552488)
05754000002013900;Clarholzer Straße;POINT (8.236369238991315 51.8811945860206)
05754000002013910;Conrad-Niermann-Straße;POINT (8.216326581881681 51.89979507814431)
05754000002013960;Daimlerstraße;POINT (8.213613250441037 51.888454188980226)
05754000002014000;Danziger Straße;POINT (8.245780680035907 51.8800025337917)
05754000002014100;Debusstraße;POINT (8.239730112199423 51.88220032377898)
05754000002014200;Dieksheide;POINT (8.222280685617475 51.89558101018353)
05754000002014300;Dieselstraße;POINT (8.21919926866486 51.88415494751732)
05754000002014400;Drosselhof;POINT (8.25390323440522 51.885723370222465)
05754000002014500;Droste-Hülshoff-Straße;POINT (8.231157234075123 51.876686548680595)
05754000002014600;Dudastraße;POINT (8.238473729690854 51.88334364687716)
05754000002014700;Dürerstraße;POINT (8.195547692280302 51.91104262164882)
05754000002014800;Eckern;POINT (8.216720430375965 51.90112667880002)
05754000002014900;Eichendorffstraße;POINT (8.194396521843936 51.905931522884316)
05754000002015000;Eichenhof;POINT (8.256311251181025 51.88742167003793)
05754000002015100;Emstal;POINT (8.213097715565867 51.939528027779694)
05754000002015150;Erich-Kästner-Straße;POINT (8.233667918441087 51.8789796325043)
05754000002015160;Erlenweg;POINT (8.232242386802632 51.89258343123821)
05754000002015200;Ermlandstraße;POINT (8.202582008004647 51.89991939746451)
05754000002015250;Eschenweg;POINT (8.234380714150207 51.892336901987356)
