strassenschluessel;bezeichnung;geometry
05970000002004000;Albert-Menn-Weg;POINT (8.086658392030648 51.000167993362815)
05970000002004001;Brachthäuser Straße;POINT (8.08498091030198 51.00250934528992)
05970000002004002;Am Backes;POINT (8.106151856772543 50.99933104462891)
05970000002004003;Friedrich-Ebert-Straße;POINT (8.104576530112704 50.99019484411872)
05970000002004004;Wilhelm-Münker-Straße;POINT (8.110420119219874 51.00101447090372)
05970000002004005;Am Herrnberg;POINT (8.112293463185004 50.995038628814505)
05970000002004006;Am Preist;POINT (8.106876459129868 51.00331215274163)
05970000002004007;Am Schwanenweiher;POINT (8.101312516854225 50.99685077378011)
05970000002004008;Am Wieserweg;POINT (8.115239741662243 50.997028776813)
05970000002004009;An der Lohmühle;POINT (8.106154374054503 50.9892911875174)
05970000002004010;An der Sang;POINT (8.099864663052026 50.99631723929735)
05970000002004011;An der Wilhelmsburg;POINT (8.114177103057681 50.99649652932379)
05970000002004012;Auf dem Einstuhl;POINT (8.099610829998504 50.98989497019012)
05970000002004013;Berliner Straße;POINT (8.086801651285112 51.001031768384145)
05970000002004014;Breslauer Weg;POINT (8.088337229322978 50.999755812486875)
05970000002004015;Bruchstraße;POINT (8.1049191107837 50.992295439855646)
05970000002004016;Dammstraße;POINT (8.110173685487373 50.9962151813446)
05970000002004017;Eberhard-Jung-Weg;POINT (8.103201088811687 50.99805876566381)
05970000002004018;Ferndorfstraße;POINT (8.114271263335333 50.9986637888366)
05970000002004019;Fichtenweg;POINT (8.111006511284605 50.99015308952949)
05970000002004020;Gerbergasse;POINT (8.108195116250903 50.996911185785244)
05970000002004021;Heinsberger Straße;POINT (8.115010140020052 51.000959861620025)
05970000002004022;Hilchenbacher Straße;POINT (8.10204426480471 50.996525449826635)
05970000002004023;Hindenburgstraße;POINT (8.105806586770123 50.99236619252726)
05970000002004024;Im Burgweiher;POINT (8.110039480312055 50.99669243742834)
05970000002004025;Im Langen Feld;POINT (8.107530638102858 51.003572086380515)
05970000002004026;Im Klafeld;POINT (8.091103256269525 50.99892214589087)
05970000002004027;Im Oberen Marktfeld;POINT (8.109188212897534 51.0004707097467)
05970000002004028;Im Rauhen Seifen;POINT (8.103519580213558 50.99041931724515)
05970000002004029;Im Unteren Marktfeld;POINT (8.108645172051741 51.000268871838074)
05970000002004030;In der Erzebach;POINT (8.104313548032456 50.992606380759995)
05970000002004031;In der Hasselsbach;POINT (8.095470789515618 50.99826088608303)
05970000002004032;In der Herrenwiese;POINT (8.113461043484687 50.99632838330294)
05970000002004033;In der Himbeerwiese;POINT (8.095057573774142 50.99897627750749)
05970000002004034;Jung-Stilling-Allee;POINT (8.101595827426785 50.998357913570764)
05970000002004035;Carl-Kraemer-Weg;POINT (8.105833404074314 51.00159044025637)
05970000002004036;Kirchplatz;POINT (8.10595565912829 50.99616837389734)
05970000002004037;Kirchweg;POINT (8.105605102997997 50.99527721758859)
05970000002004038;Königsberger Straße;POINT (8.089211093636607 50.99933187623189)
05970000002004039;Lärchenweg;POINT (8.108890992594995 50.99045875884015)
05970000002004040;Markt;POINT (8.108949154818829 50.99643517177501)
05970000002004041;Mühlenseifen;POINT (8.108218430876706 50.99033227861564)
05970000002004042;Mühlenweg;POINT (8.10582899986725 50.9907616456677)
05970000002004043;Nassauische Straße;POINT (8.118175723560784 50.99536816580135)
05970000002004044;Oberer Kirchberg;POINT (8.102375203830286 50.994266068226466)
05970000002004045;Oranienstraße;POINT (8.11611453492354 50.995601912834005)
05970000002004046;Rothenberger Straße;POINT (8.105450934350173 50.99728181227293)
05970000002004047;Schützenstraße;POINT (8.106542487922395 50.999819181279705)
05970000002004048;Seminarweg;POINT (8.106074486209529 50.996772425728565)
05970000002004049;Siedlung;POINT (8.085107908549578 50.998330030160645)
05970000002004050;Stettiner Weg;POINT (8.089422124698457 51.000477972695926)
05970000002004051;Sterzenbacher Straße;POINT (8.114654858541531 50.994218083883524)
05970000002004052;St. Veitsweg;POINT (8.104114248261736 50.99503645269266)
05970000002004053;Tannenweg;POINT (8.107613749540866 50.989052094667954)
05970000002004054;Trift;POINT (8.106425081715269 50.99324649387593)
05970000002004055;Unterer Kirchberg;POINT (8.104255602320553 50.99436915151084)
05970000002004056;Unterzeche;POINT (8.109061351726996 50.99607633620667)
05970000002004057;Am Galgenberg;POINT (8.111950637400522 51.00195817421033)
05970000002004058;Konrad-Adenauer-Straße;POINT (8.112781747733385 51.00082708020927)
05970000002004059;Kurt-Schumacher-Straße;POINT (8.110052652898045 51.0014932686311)
05970000002004060;Theodor-Heuss-Straße;POINT (8.113895739298368 51.000459728731755)
05970000002004061;Am Steinbruch;POINT (8.113984363979382 51.001654975965344)
05970000002004062;Ruinener Weg;POINT (8.109612528115619 50.99543365512043)
05970000002004063;Marktfelder Gärten;POINT (8.111680319085412 50.997894519411936)
05970000002004064;Kiefernweg;POINT (8.10933829979834 50.98896391647213)
05970000002004065;Am Preisterbach;POINT (8.108992802076575 50.9975908096556)
05970000002004066;Kürschnerweg;POINT (8.108707956505107 50.99906285075368)
05970000002004067;Am Schüttelberg;POINT (8.11466068089783 50.99970434794855)
05970000002004068;Zur Dörrhöhe;POINT (8.09821590879075 50.9894514796736)
05970000002004069;Rothenberger Gärten;POINT (8.106608739990337 50.9980955301604)
05970000002004100;Alte Landstraße;POINT (8.095538561534225 50.98323993672502)
05970000002004101;Am Bühl;POINT (8.091636559922133 50.98215256068442)
05970000002004102;Am Langenstück;POINT (8.087677801131248 50.9798970256233)
05970000002004103;Am Mückenberg;POINT (8.084548953126989 50.97877503339743)
05970000002004104;Am Rosenhof;POINT (8.093290816992697 50.98202964000243)
05970000002004105;Amselweg;POINT (8.099099575416576 50.98613581876317)
05970000002004106;An der Ferndorf;POINT (8.095749352123361 50.98096732683714)
05970000002004107;Breitenbacher Straße;POINT (8.085028053523729 50.979089775082564)
05970000002004108;Brücherwiese;POINT (8.092830863718326 50.97946781684674)
05970000002004109;Brunnenstraße;POINT (8.102793716468415 50.98511441795099)
05970000002004110;Drosselweg;POINT (8.098726764009132 50.98663547595752)
05970000002004111;Feldstraße;POINT (8.070432472216462 50.97766868703672)
05970000002004112;Finkenweg;POINT (8.100407912698497 50.9869720203129)
