strassenschluessel;bezeichnung;geometry
05158000001601063;Am Buchholzer Busch;
05158000001601100;Agnes-Miegel-Hof;POINT (6.923936250375812 51.18117549998714)
05158000001601101;Ahornweg;POINT (6.949862247824909 51.15229018889487)
05158000001601102;Akazienweg;POINT (6.942548560740733 51.151327747887194)
05158000001601103;Albert-Schweitzer-Weg;POINT (6.936044907294817 51.16320196147157)
05158000001601104;Am Anger;POINT (6.949363603095102 51.15174685379514)
05158000001601105;Am Banden;POINT (6.946693988748737 51.16076182200615)
05158000001601106;Am Boverhaus;POINT (6.959293232710515 51.16036886490093)
05158000001601107;Am Eichelkamp;POINT (6.9524930355715675 51.160430858410834)
05158000001601108;Am Feuerwehrhaus;POINT (6.943409331795688 51.166799438265535)
05158000001601109;Am Flausenberg;POINT (6.943126558198948 51.18292419967059)
05158000001601110;Am Heidekrug;POINT (6.960223000026323 51.167232437768924)
05158000001601111;Am Holterhöfchen;POINT (6.944694075015926 51.16593146508575)
05158000001601112;Am Jägersteig;POINT (6.939671543742216 51.17865392302836)
05158000001601113;Am Kronengarten;POINT (6.937441938233895 51.168008995709336)
05158000001601114;Am Lindengarten;POINT (6.944586435416985 51.15913370390011)
05158000001601115;Am Lindenplatz;POINT (6.939303615077088 51.162739664285034)
05158000001601116;Am Stadtwald;POINT (6.944700896532248 51.17688887559931)
05158000001601117;Am Steg;POINT (6.939941187139387 51.15748868199761)
05158000001601118;Am Strauch;POINT (6.949770271342828 51.155405502426134)
05158000001601119;Am Weberschiffchen;POINT (6.933275179860057 51.159542405050125)
05158000001601120;Am Weidblech;POINT (6.942278896355871 51.17895422657156)
05158000001601121;Am Wiedenhof;POINT (6.9429073513740995 51.158043637983255)
05158000001601122;An den Gölden;POINT (6.932963327237174 51.14475514493641)
05158000001601123;An den Linden;POINT (6.946123981779448 51.15687929853851)
05158000001601124;An der Bibelskirch;POINT (6.946727505475644 51.184507673343965)
05158000001601126;Anton-Schneider-Weg;POINT (6.939991013571564 51.15853102414881)
05158000001601128;Auf dem Driesch;POINT (6.943406685578398 51.15063732282107)
05158000001601129;Auf dem Sand;POINT (6.925920154370622 51.17589856625246)
05158000001601130;Auf der Hübben;POINT (6.939625632761235 51.17738962226954)
05158000001601131;Augustastraße;POINT (6.93103800965171 51.17239806158041)
05158000001601132;Axlerhof;POINT (6.933340947881241 51.1679122815641)
