strassenschluessel;bezeichnung;geometry
05770000001207201;Am Bahndamm;POINT (8.73312569786007 52.30313988090082)
05770000001207202;Am Ellernkamp;POINT (8.725318161121818 52.296714795654545)
05770000001207203;Am Kirchacker;POINT (8.743635120615352 52.3055212259025)
05770000001207204;Am Steinkamp;POINT (8.72325697779842 52.297904034355085)
05770000001207205;Am Schobbruch;POINT (8.736811404162959 52.310920241204535)
05770000001207207;Am Weihenfeld;POINT (8.731375779866458 52.29748407599181)
05770000001207210;Bienenweg;POINT (8.73032671828854 52.29888454023234)
05770000001207211;Burgstädt;POINT (8.740556445756397 52.31080864633246)
05770000001207218;Eckernkamp;POINT (8.728323361705705 52.301281659865744)
05770000001207219;Eickhorster Dorfstraße;POINT (8.729063843140507 52.30084111689754)
05770000001207220;Elstersiek;POINT (8.718642696484245 52.295136330407345)
05770000001207222;Friedhofstraße;POINT (8.738768674727917 52.30510799564568)
05770000001207225;Gänsebrink;POINT (8.738179190438597 52.303704682568636)
05770000001207226;Goldregenweg;POINT (8.726030253149776 52.29910661725058)
05770000001207231;Hiller Straße;POINT (8.735502660041787 52.30355390032785)
05770000001207232;Hohlweg;POINT (8.727165566924056 52.29582270369477)
05770000001207233;Holtschlagstraße;POINT (8.726206182570712 52.29874766487467)
05770000001207234;Holzweg;POINT (8.727121459460323 52.30076381329407)
05770000001207235;Hubertusstraße;POINT (8.726523167042291 52.29998811174191)
05770000001207236;Holunderweg;POINT (8.732032185761376 52.301898107069675)
05770000001207238;Im Mühlengarten;POINT (8.746487323569367 52.304745692547904)
05770000001207239;Im Tackelbusch;POINT (8.726606625479354 52.30194535295342)
05770000001207243;Klein Holland;POINT (8.727202932561573 52.29618972051307)
05770000001207244;Klosterweg;POINT (8.735536886651806 52.30560010144071)
05770000001207252;Neustadt;POINT (8.745708503505568 52.3070022462494)
05770000001207253;Nettelstedter Straße;POINT (8.720952985743931 52.29574529172484)
05770000001207257;Röthe;POINT (8.729012134282915 52.299635054414985)
05770000001207260;Siedlerweg;POINT (8.723740079482837 52.297843948772986)
05770000001207262;Schulmke;POINT (8.728603228793327 52.301970770397645)
05770000001207265;Steimkestraße;POINT (8.727706165599786 52.309579239923934)
05770000001207266;Steinkampbreede;POINT (8.727292327296059 52.29815599369104)
05770000001207268;Veilchenweg;POINT (8.723519167230906 52.29882317459264)
05770000001207270;Wiehenweg;POINT (8.727108222228223 52.29906910484518)
05770000001207271;Wildrosenweg;POINT (8.732375694307528 52.30084231083466)
05770000001207273;Zur Wassermühle;POINT (8.732910730746967 52.30209343802915)
05770000001207276;Alter Schulweg;POINT (8.823848877773614 52.31104889217269)
05770000001207277;Am Kirchfeld;POINT (8.825690186170995 52.315516237278395)
05770000001207278;Am Mühlenfeld;POINT (8.813863453860494 52.31676507095849)
05770000001207279;Am Rathaus;POINT (8.82409096192121 52.31485374032628)
05770000001207280;Am Spitzenend;POINT (8.814345394997297 52.31235294712325)
05770000001207281;An der Bahn;POINT (8.82426143597581 52.31683956063048)
05770000001207282;Am Bruchgarten;POINT (8.81234025812843 52.31281578296547)
05770000001207283;Bahnstraße;POINT (8.822403346234253 52.31652144968985)
05770000001207284;Birkenweg;POINT (8.826942321671245 52.31684001201088)
05770000001207285;Buchenweg;POINT (8.8287893889705 52.31754002314507)
05770000001207286;Bruchfeld;POINT (8.815191404196431 52.31273749336925)
05770000001207287;Ahornweg;POINT (8.831576359048366 52.321017626680565)
05770000001207288;Am Südhof;POINT (8.816336003855405 52.31234926198957)
05770000001207290;Diekweg;POINT (8.829829332766442 52.319676629873825)
05770000001207292;Drilkersweg;POINT (8.82536071331693 52.31482709743947)
05770000001207293;Eichenweg;POINT (8.83004073803844 52.31715114865813)
05770000001207294;Eskedor;POINT (8.824386844538742 52.31346504234116)
05770000001207295;Eschenweg;POINT (8.826966835648834 52.32148176957326)
