strassenschluessel;bezeichnung;geometry
05566000001604600;Allee;POINT (7.587388649119514 52.27561097729134)
05566000001604602;Dr.-Borggreve-Str.;POINT (7.57457447931971 52.269366293463996)
05566000001604603;Dr.-Köller-Str.;POINT (7.574206562035512 52.27019934893662)
05566000001604604;Am Alten Sportplatz;POINT (7.491507034543311 52.33598412897067)
05566000001604605;Am Berge;POINT (7.589640223748627 52.281812331982444)
05566000001604606;Dr.-Stelzner-Str.;POINT (7.574533972866515 52.26936622698079)
05566000001604607;Anton-Hilckmann-Str.;POINT (7.581151540600986 52.27394765457944)
05566000001604608;Alte Glashüttenstr.;POINT (7.5867333889500035 52.29436085342638)
05566000001604609;Dr.-Otto-Weber-Str.;POINT (7.573331727284784 52.26996381064853)
05566000001604610;Dr.-Konrad-Kirch-Str.;POINT (7.573921040269777 52.26907756972485)
05566000001604611;Maybaums Pättken;
05566000001604612;Tuchmacherstr.;
05566000001604613;Dornhagen;POINT (7.640976276586571 52.24601706945272)
05566000001604614;Hermannsweg;
05566000001604615;Am Markt;POINT (7.580069351947653 52.27259788215434)
05566000001604616;Am Mörchen;POINT (7.593320690503793 52.272211938471266)
05566000001604617;Am Torfmoorsee;
05566000001604618;Sendwall;
05566000001604619;Löcken Kamp;POINT (7.510930315307464 52.332255772761215)
05566000001604620;An den Schleusen;POINT (7.591485264517281 52.27707221518074)
05566000001604621;An der Kleimühle;POINT (7.595219299843096 52.26946354036488)
05566000001604622;Angerstr.;POINT (7.589657077439319 52.27560271560219)
05566000001604623;Pastor-Brefeld-Str.;POINT (7.582496203968152 52.3024352185827)
05566000001604624;An der Spinnebahn;POINT (7.585452918766907 52.27097714590106)
05566000001604625;Antoniusstr.;POINT (7.579098298648581 52.272531227071134)
05566000001604626;Karl-Grüter-Str.;POINT (7.615438376699943 52.26384747914738)
05566000001604627;Wollgrasweg;POINT (7.574623324494767 52.27692553683653)
05566000001604628;Binsenweg;POINT (7.574343076133399 52.27770098259244)
05566000001604629;Gagelstrauchweg;POINT (7.5753833677634 52.277955421341176)
05566000001604630;Auf dem Klei;POINT (7.591343863788687 52.27008693122482)
05566000001604631;Rählmannstr.;POINT (7.5821743862956374 52.29944961636893)
05566000001604632;Büchters Kamp;POINT (7.580746008844802 52.30055624965743)
05566000001604633;Fulenbrook;
05566000001604634;Wöstenkamp;
05566000001604635;Auf der Bleiche;POINT (7.5867396624886 52.27465202938193)
05566000001604636;Auf dem Bornholt;POINT (7.619738904901312 52.255612984099024)
05566000001604637;Plaggenesch;POINT (7.62099916773122 52.25536932340805)
05566000001604638;Stüwweplacken;POINT (7.574120656496033 52.27331792963966)
05566000001604639;Wollweberstr.;POINT (7.561796555393787 52.274375700850086)
05566000001604640;Auf der Burg;POINT (7.580909941406389 52.27192545541461)
05566000001604641;Schulwiese;POINT (7.645228977104156 52.24439957968033)
05566000001604642;Gelindkamp;POINT (7.61883655474198 52.2690140864548)
