strassenschluessel;bezeichnung;geometry
05774000002400060;Agathastraße;POINT (8.658888841561676 51.81858289951026)
05774000002400100;Ahornstraße;POINT (8.64277772422742 51.82691628274151)
05774000002400150;Akazienstraße;POINT (8.641783569654619 51.82717392498116)
05774000002400200;Alkenbrink;POINT (8.637354124596953 51.82440562465342)
05774000002400300;Allee;POINT (8.6581068314051 51.82038079867138)
05774000002400400;Alter Markt;POINT (8.655444464337041 51.82335888628592)
05774000002400500;Alte Poststraße;POINT (8.644097435426277 51.872975062728024)
05774000002400656;Am Bahndamm;POINT (8.67529519669771 51.8141303118595)
05774000002400670;Am Biotop;POINT (8.67320227568211 51.8176177153901)
05774000002400690;Am Buchweizenfeld;POINT (8.674152916580804 51.81560910384704)
05774000002400710;Am Finkenbach;POINT (8.659408810828063 51.81789953202183)
05774000002400800;Am Furlbach;POINT (8.594310606471518 51.84248500087661)
05774000002400900;Am Fluit;POINT (8.681480679813667 51.81504468208573)
05774000002400950;Am Friedhof;POINT (8.654306684420842 51.83015255602313)
05774000002401000;Am Hallenbad;POINT (8.670269106142362 51.82132688861954)
05774000002401110;Am Haustenbach;POINT (8.700661289460681 51.81087244772126)
05774000002401210;Am Henkenteich;POINT (8.604284204549089 51.83978715267776)
05774000002401250;Am Holtebach;POINT (8.6466935369207 51.82788077061895)
05774000002401260;Am Hüwel;POINT (8.65827432261985 51.82486194929944)
05774000002401300;Am Kiefernwäldchen;POINT (8.640813899229403 51.867184256246304)
05774000002401400;Am Knick;POINT (8.644295046770122 51.826905605043756)
05774000002401500;Am Knufplatz;
05774000002401520;Am Kugelfang;POINT (8.663567932616239 51.81947175864189)
05774000002401550;Am Sennebach;POINT (8.635428375463325 51.87308803871867)
05774000002401600;Am Waldbad;POINT (8.720494677818799 51.81806359753706)
05774000002401700;Am Wasserstrang;POINT (8.682354576035419 51.831340553267665)
05774000002401800;An der Ems;
05774000002401900;An der Gräfte;
05774000002402000;Ansgarstraße;POINT (8.658719078181287 51.818017080592874)
05774000002402060;Apelmeierstraße;POINT (8.650823033411701 51.82379916329156)
05774000002402090;Apeldamm;
05774000002402100;Apelteich;POINT (8.694524000476553 51.79896770160649)
05774000002402130;Auf dem Holze;POINT (8.65319398772506 51.823234423452774)
05774000002402150;Auf der Rieke;
05774000002402160;Augustin-Wibbelt-Straße;POINT (8.679978021171022 51.81817915959806)
05774000002402200;Bachstraße;POINT (8.647985694942058 51.825362532152816)
