strassenschluessel;bezeichnung;geometry
05566000002007000;Ägypterstr.;POINT (7.636982436112619 52.36237769164997)
05566000002007001;Ackerstr.;POINT (7.600610468624157 52.37483815979122)
05566000002007002;Wortheweg;POINT (7.6675899830613385 52.41472075492219)
05566000002007003;Kastanienweg;POINT (7.5924683177271675 52.387164586880836)
05566000002007004;Ahornstr.;POINT (7.60482113499444 52.37295725901711)
05566000002007005;Kreimers Kamp;POINT (7.590827376677349 52.38743380802507)
05566000002007006;Messingstr.;POINT (7.61401538407349 52.35935860853488)
05566000002007007;Zum Wertstoffhof;POINT (7.586620561790969 52.38151966588856)
05566000002007008;Alter Schulweg;POINT (7.60130986204976 52.38081921857318)
05566000002007009;Walnussweg;POINT (7.592412229202911 52.386995021931746)
05566000002007010;Weltrekordweg;
05566000002007011;Im Wienhaken;
05566000002007012;Am Dewesberg;POINT (7.586834229737731 52.38923130227737)
05566000002007013;Bucheckernweg;POINT (7.590678866625579 52.38725954382897)
05566000002007014;Haselnussweg;POINT (7.593236313715655 52.38805831535695)
05566000002007015;Hagebuttenweg;POINT (7.589578216619154 52.38750004298)
05566000002007016;Am Flootwerk;POINT (7.607766683830886 52.374567474209584)
05566000002007017;Zur alten Hofstelle;POINT (7.591247077856836 52.385614840599544)
05566000002007018;Dietrich-Bonhoeffer-Str.;
05566000002007020;Am Hach;POINT (7.601398395492726 52.37466026654034)
05566000002007024;Am Holtkamp;POINT (7.591031557541181 52.38139041062414)
05566000002007028;Am Klaaskamp;POINT (7.596461091229298 52.39939175818999)
05566000002007032;Am Klärwerk;POINT (7.592560584823507 52.38131409767264)
05566000002007036;Am Schulplatz;POINT (7.6038783496151305 52.38475575938682)
05566000002007038;Am Sportzentrum;POINT (7.6004298605272735 52.389661469102045)
05566000002007040;Amselweg;POINT (7.604913453381652 52.379777365311064)
05566000002007041;Amtmann-Brons-Weg;POINT (7.596628465351129 52.38325867716544)
05566000002007044;Am Vogelbusch;POINT (7.602797537752814 52.38672885749431)
05566000002007045;Am Wäldchen;POINT (7.6120135653923535 52.366955744164336)
05566000002007048;An der Bleiche;POINT (7.599437204765899 52.377913068633625)
05566000002007052;An der Kluse;POINT (7.599280178926944 52.38031967874303)
05566000002007056;An der Kümperei;POINT (7.663925726857187 52.379188660586905)
05566000002007058;An der Sporthalle;POINT (7.604920661099544 52.3863022544142)
05566000002007060;An Hollings Busch;POINT (7.6053768372432025 52.3798732844627)
05566000002007064;Auf dem Bülten;POINT (7.59935469966799 52.385259087424565)
05566000002007068;Auf der Haar;
05566000002007072;Auf der Leuchtenburg;POINT (7.6022297355940465 52.38071695826989)
05566000002007076;Bannastr.;POINT (7.598620551683393 52.400511570297645)
05566000002007080;Bernhard-Otte-Str.;POINT (7.568746985513066 52.3550663635992)
05566000002007084;Birkenstr.;POINT (7.6040944846505445 52.375562172804685)
05566000002007088;Bonnikestr.;POINT (7.602112739588567 52.374542115430415)
