strassenschluessel;bezeichnung;geometry
05370000002005000;Achenbachstraße;POINT (6.224031189844548 51.06141871460911)
05370000002005001;Aggerstraße;POINT (6.220350927058893 51.04710226653856)
05370000002005002;Ahrweg;POINT (6.217392921217334 51.04783991478934)
05370000002005003;Am Alten Flöz;
05370000002005004;Am Hansberg;POINT (6.21809829027104 51.06106051070616)
05370000002005005;Am Jugendheim;POINT (6.226118537454387 51.050138527008464)
05370000002005006;Am Lieberg;POINT (6.230176855097438 51.05475653718173)
05370000002005007;Am Parkhof;POINT (6.2204861317370135 51.052010835875414)
05370000002005008;Am Steinacker;POINT (6.232480804466169 51.05314704994221)
05370000002005009;Am Wadenberg;POINT (6.224531609412262 51.057980594664215)
05370000002005010;An Bocketsmühle;POINT (6.224899981165989 51.0468288953088)
05370000002005011;An der Haagstraße;POINT (6.220963468933243 51.05245688744858)
05370000002005012;An Romersmühle;POINT (6.220635590463219 51.06342801737787)
05370000002005013;Balthazarstraße;POINT (6.219188967461966 51.06050174196024)
05370000002005014;Bauerstraße;POINT (6.224167377450833 51.05721230714396)
05370000002005015;Böcklerstraße;POINT (6.221077889700235 51.05938086003136)
05370000002005016;Brassertstraße;POINT (6.221330492813881 51.05767603797425)
05370000002005017;Chemnitzer Straße;POINT (6.23208144256054 51.0517285526983)
05370000002005018;Dinstühlerstraße;POINT (6.228831864112157 51.048616403541985)
05370000002005019;Doktor-Ruben-Straße;POINT (6.226460141661194 51.05363510621664)
05370000002005020;Doverack;POINT (6.215004127666627 51.04626922098185)
05370000002005021;Dresdener Straße;POINT (6.234826050711261 51.050795891691905)
05370000002005022;Emsstraße;POINT (6.2207994256184485 51.05036818959747)
05370000002005023;Erftstraße;
05370000002005024;Erfurter Straße;POINT (6.233069737774204 51.04964964061441)
05370000002005025;Friedrichplatz;POINT (6.218441252815246 51.059493899173255)
05370000002005026;Friedrichstraße;POINT (6.220891369444715 51.06031568585549)
05370000002005027;Glück-Auf-Straße;POINT (6.227726949366622 51.06093087165479)
05370000002005028;Graf-Beust-Straße;POINT (6.227875538215703 51.06282800676436)
05370000002005029;Haagstraße;POINT (6.2229097586523245 51.051930025975494)
05370000002005030;Haldenweg;POINT (6.2194971835647115 51.06181655630654)
05370000002005031;Harbigstraße;POINT (6.2223022270011565 51.05398529713611)
05370000002005032;Hartlepooler Platz;POINT (6.22545577825912 51.054824527150494)
05370000002005033;Hilfarther Straße;POINT (6.226892374251665 51.04382169751836)
05370000002005034;Husarenstraße;POINT (6.232166831095995 51.052476472804635)
05370000002005035;Im Drees;POINT (6.229310846593141 51.05748359989319)
05370000002005036;Im Rhin;POINT (6.22177179116823 51.05018161413811)
05370000002005037;In der Schlee;POINT (6.2227829106986725 51.06165066734773)
05370000002005038;Jenaer Straße;POINT (6.233149267823698 51.052999455424086)
05370000002005039;Jülicher Straße;POINT (6.229556157522054 51.0479056250347)
05370000002005040;Kantinenberg;
05370000002005041;Kestenstraße;POINT (6.230202406341004 51.060336249399334)
05370000002005042;Keverstraße;POINT (6.227396943511648 51.057223058656916)
05370000002005043;Klosestraße;POINT (6.230332415385015 51.06160370439308)
05370000002005044;Knappenstiege;
05370000002005045;Körferstraße;POINT (6.222742612886365 51.06278253645022)
05370000002005046;Krümmerstraße;POINT (6.230105353796358 51.05957178063344)
05370000002005047;Lahnweg;POINT (6.223518997692614 51.048678101184436)
05370000002005048;Lambertusstraße;POINT (6.22964070969459 51.04973567104946)
05370000002005049;Leipziger Straße;POINT (6.233156144822188 51.04781926804288)
05370000002005050;Lippeweg;POINT (6.226445614867987 51.047862729499826)
05370000002005051;Loerbrockstraße;POINT (6.2281447851743765 51.06194912003349)
05370000002005052;Ludovicistraße;POINT (6.220087146250559 51.061942249247785)
05370000002005053;Lungstraßplatz;POINT (6.224957411004483 51.05901275273707)
05370000002005054;Markt;POINT (6.227863558312053 51.05341930962343)
05370000002005055;Martin-Luther-Straße;POINT (6.228412639917696 51.05624032575671)
05370000002005056;Melanchthonstraße;POINT (6.225470457195345 51.05363860188127)
05370000002005057;Mokwastraße;POINT (6.219905944548322 51.05847845050324)
05370000002005058;Moselweg;POINT (6.219269357537931 51.04824141563487)
05370000002005059;Nachtigallenweg;POINT (6.23557885740381 51.058655759793226)
05370000002005060;Neckarstraße;POINT (6.2167906104192925 51.049116321212395)
05370000002005061;Netteweg;POINT (6.223912559102537 51.047987008600096)
05370000002005062;Parkhofstraße;POINT (6.2243951500273 51.050043911958404)
