strassenschluessel;bezeichnung;geometry
05374000001604000;Albert-Schweitzer-Weg;POINT (7.335385667397316 51.15220472620192)
05374000001604001;Altenberger Straße;POINT (7.316103680191322 51.146854601427464)
05374000001604002;Altenhof;POINT (7.316953160246684 51.138645669919185)
05374000001604003;Altenholte;POINT (7.330970948438308 51.129890925867144)
05374000001604004;Am Kamp;POINT (7.338434278156476 51.147503364565864)
05374000001604005;Am Raspenhaus;POINT (7.320520011528346 51.146946486527156)
05374000001604006;Amselweg;POINT (7.320990681356542 51.14830237098138)
05374000001604007;Am Sonnenplätzchen;POINT (7.33313567205088 51.151365503759834)
05374000001604008;Am Tannenbaum;POINT (7.349821515561699 51.14375212258285)
05374000001604009;Aue;POINT (7.3473331729426725 51.1515918036329)
05374000001604010;Auf'm Schloß;POINT (7.340976879233011 51.150767014137834)
05374000001604011;August-Lütgenau-Straße;POINT (7.328396256469339 51.148182101147626)
05374000001604012;Bachstraße;POINT (7.338766914936017 51.150047716073644)
05374000001604013;Bahnhofstraße;POINT (7.341004359109417 51.15206122742919)
05374000001604014;Heinrich-Heine-Weg;POINT (7.3432072881707615 51.141288317969526)
05374000001604015;Bahnweg;POINT (7.335516926748483 51.154079320232526)
05374000001604016;Beethovenstraße;POINT (7.334277582266525 51.1447207911106)
05374000001604017;Berbeck;POINT (7.343248694781903 51.13217385555837)
05374000001604018;Bergerhof;POINT (7.345042016652817 51.156640497885185)
05374000001604019;Bergstraße;POINT (7.336544035711647 51.15236386627386)
05374000001604020;Bevertalstraße;POINT (7.357287109575974 51.13733800225791)
05374000001604021;Birkenweg;POINT (7.310952001238128 51.147496774880395)
05374000001604022;Bochen;POINT (7.295325961384877 51.12782754409825)
05374000001604023;Bockhacken;POINT (7.27943168193155 51.11433558218584)
05374000001604024;Böckel;POINT (7.344211892726146 51.16410506606889)
05374000001604025;Bongardstraße;POINT (7.340796681088105 51.14999774457114)
05374000001604026;Mörikeweg;POINT (7.341576772602725 51.141887309518374)
05374000001604027;Theodor-Storm-Weg;POINT (7.346680522308914 51.14349890895534)
05374000001604028;Braßhagen;POINT (7.303780239079418 51.15623206962655)
05374000001604029;Brücke;POINT (7.342722184887167 51.15439190928274)
05374000001604030;Brückenstraße;POINT (7.336897468138954 51.15466742220681)
05374000001604031;Brunnenweg;POINT (7.3172076113847435 51.14831974807419)
05374000001604032;Brunsbach;POINT (7.328408408710726 51.14646753651325)
05374000001604033;Buchholz;POINT (7.350912828182162 51.15760117890961)
05374000001604034;Busche;POINT (7.362272774864215 51.152658099620126)
05374000001604035;Buschweg;POINT (7.343139765387892 51.15597685450472)
05374000001604036;Theodor-Fontane-Weg;POINT (7.344017034106591 51.142883873707504)
05374000001604037;Busenbacher Weg;POINT (7.3075420019429735 51.150167155999554)
05374000001604038;Corneliusweg;POINT (7.331946842020014 51.155286825552416)
05374000001604039;Dierl;POINT (7.346825248132665 51.14150815303347)
05374000001604040;Dörpe;POINT (7.295288604251192 51.147405574978094)
05374000001604041;Wilhelm-Raabe-Weg;POINT (7.345563705027746 51.1433484688945)
05374000001604042;Dörpfeld;POINT (7.288927186507395 51.131835957557044)
05374000001604043;Dörpfelderhöhe;POINT (7.288601069246005 51.126521179805785)
05374000001604046;Dreibäumen;POINT (7.273472943064496 51.13384887972637)
05374000001604047;Drosselweg;POINT (7.318657856683315 51.14818438972313)
05374000001604048;Dürhagen;POINT (7.310243167001449 51.17476699604695)
05374000001604049;Eckenhausen;POINT (7.3661894282838585 51.16895082277883)
05374000001604052;Elberhausen;POINT (7.370761373444178 51.13599543491826)
05374000001604054;Engelshagen;POINT (7.314025320147199 51.16233529416613)
05374000001604055;Erlensterz;POINT (7.318787342971755 51.15099299492293)
05374000001604056;Falkenweg;POINT (7.320983749047534 51.14796744970145)
05374000001604058;Feldstraße;POINT (7.3364221876918645 51.15120618173097)
05374000001604059;Finkenweg;POINT (7.320708625555931 51.14857012802231)
05374000001604060;Fockenhausen;POINT (7.36981192135383 51.181282378991206)
05374000001604062;Franz-Schnabel-Straße;POINT (7.337318676428599 51.15448682344199)
05374000001604063;Friedhofsweg;
05374000001604064;Friedrichstraße;POINT (7.335881795382873 51.14857666141163)
05374000001604065;Fritz-Zoll-Straße;POINT (7.349069242833691 51.14492921873778)
05374000001604066;Frohnhausen;POINT (7.345273102832147 51.16050811823361)
05374000001604067;Frohnhauser Weg;POINT (7.342750228467666 51.15712400213706)
05374000001604068;Fürstenbergstraße;POINT (7.340501284942342 51.14695099927211)
05374000001604069;Fürweg;POINT (7.366374493461016 51.128937854036266)
