strassenschluessel;bezeichnung;geometry
05358000001607500;An der Maar;POINT (6.430303288267197 50.69192988456066)
05358000001607502;Auf dem Heiligenfeld;POINT (6.424845354303929 50.694021960743505)
05358000001607504;Auf dem Strifft;POINT (6.432629259253522 50.693088133904716)
05358000001607505;Auf der Faldersgaß;POINT (6.428248585824568 50.691639895343386)
05358000001607506;Auf dem Stückchen;POINT (6.428583718177014 50.6950178181896)
05358000001607507;Auf dem Turm;POINT (6.429972036218015 50.69500732020184)
05358000001607508;Burgstraße;POINT (6.42917226831438 50.69391174266644)
05358000001607509;Benneganshof;POINT (6.4317713186717596 50.6958232281382)
05358000001607510;Dechant-Weisweiler-Str.;POINT (6.431908284288587 50.69532649903381)
05358000001607512;Federhecke;POINT (6.433740269702954 50.69707086929133)
05358000001607514;Gartenstraße;POINT (6.4285078827268185 50.69314570234834)
05358000001607516;Hammergasse;POINT (6.424715477260642 50.69249511586022)
05358000001607518;Haus Roland;
05358000001607520;Im Siebert;POINT (6.4334879532992035 50.69641826490687)
05358000001607522;In der Federbend;
05358000001607524;Kallstraße;POINT (6.42718539620068 50.69020096783717)
05358000001607525;Kirchweg;POINT (6.436373616703432 50.69517776879027)
05358000001607527;Schüllbachweg;POINT (6.425648229326614 50.69141477224803)
05358000001607528;Zum Fischbach;POINT (6.42598729622437 50.693534163007435)
05358000001607529;Zum Rosenberg;POINT (6.427816569283565 50.69190846653011)
05358000001607535;Aachener Weg;POINT (6.41526113685881 50.699147200687584)
05358000001607536;An den Vier Morgen;POINT (6.41270391772552 50.699843965970175)
05358000001607537;Brandenberger Straße;POINT (6.413218679237996 50.69881307336354)
05358000001607539;Hasenfeld;POINT (6.407074307713819 50.700296128430026)
05358000001607540;Hof an den Morten;POINT (6.419003798951206 50.70060180516505)
05358000001607541;Hügelstraße;POINT (6.412045287243239 50.701405968044824)
05358000001607542;Am Dorfplatz;POINT (6.410204959138119 50.70038422928289)
05358000001607543;Im Bongart;POINT (6.409461644198508 50.69860944025229)
05358000001607545;Dresbach;POINT (6.416869995412178 50.70211788508392)
05358000001607547;Macherbach;POINT (6.417053744792856 50.69810701899636)
05358000001607549;Mittelstraße;POINT (6.412774785554088 50.70081997045038)
05358000001607551;Nideggener Straße;POINT (6.4031211729888105 50.70411958667496)
05358000001607553;Raffelspütz;POINT (6.408445873314501 50.70370734198987)
05358000001607558;Am Dehlbach;POINT (6.420351138505171 50.74736279775664)
05358000001607560;Am Sportplatz;POINT (6.423837857434062 50.750317578299324)
05358000001607562;Alt Hubertushöhe;
05358000001607564;Antoniusstraße;POINT (6.420823587720866 50.7464846226008)
05358000001607566;An der Mühle;POINT (6.415357576892369 50.74731147073068)
05358000001607568;Bachstraße;POINT (6.41743726513875 50.75078295638679)
05358000001607570;Bergkamp;POINT (6.4143042042044485 50.75141349222556)
05358000001607572;Bergstraße;POINT (6.411615079050582 50.750483624834544)
05358000001607574;Broichstraße;POINT (6.421387476486443 50.748060235844946)
05358000001607576;Bruchweiher;POINT (6.42485738867991 50.75219173919084)
05358000001607577;Dornhecke;POINT (6.420609005416534 50.752426404966144)
05358000001607578;Dürener Straße;POINT (6.42295659736903 50.75284230768157)
05358000001607580;Eichenpütz;POINT (6.4138599140582135 50.75068332913567)
05358000001607582;Eifelstraße;POINT (6.4132814206199225 50.75144678830716)
05358000001607584;Feldstraße;POINT (6.415849006910274 50.75192218965346)
05358000001607586;Forststraße;POINT (6.4196035057498 50.75613287146477)
05358000001607588;Friedhofstraße;POINT (6.4215271499485524 50.749729072599294)
05358000001607590;Grüner Weg;POINT (6.418410846264119 50.74856896452397)
05358000001607591;Helmut-Rösseler-Platz;POINT (6.4214277667803055 50.749092720488726)
05358000001607592;Hubertusstraße;POINT (6.41488939898085 50.74525592295629)
05358000001607594;Im Geyberg;POINT (6.413297537246749 50.743100483595704)
05358000001607596;Im Hagen;POINT (6.4157782950122675 50.74457988697914)
05358000001607598;Im Löwenhof;POINT (6.422144696560463 50.75017540563984)
05358000001607600;Im Pohl;POINT (6.42127794827286 50.751673285666485)
05358000001607602;In den Heuen;POINT (6.415110692250775 50.741975322740316)
05358000001607603;Josef-Köller-Straße;POINT (6.412994735796642 50.747691132620496)
05358000001607604;Klosterhof;POINT (6.412411728732775 50.74842223238236)
05358000001607606;Oberstraße;POINT (6.418780992414946 50.74940096103334)
05358000001607608;Scheffensweg;POINT (6.414865468570849 50.74693926532525)
05358000001607609;Thea-Paulus-Str.;POINT (6.412791869125189 50.75186496040231)
05358000001607610;Waldweg;POINT (6.421730384209417 50.755812552370294)
05358000001607612;Wiesenweg;POINT (6.41893297467885 50.751823056204444)
05358000001607618;An der Nüllheck;POINT (6.390155185142077 50.73466231013624)
05358000001607620;Auf dem Hau;POINT (6.394574471218782 50.73295202304881)
05358000001607622;Auf der Weide;POINT (6.401224914295351 50.73496093737)
05358000001607624;Eichenweg;POINT (6.3889020982464775 50.73438690997747)
05358000001607626;Finkenheider Weg;POINT (6.387285992507011 50.73337646343573)
05358000001607628;Frenkstraße;POINT (6.38726984205285 50.7340357505652)
05358000001607630;Hagbend;POINT (6.390889241622748 50.73300129676659)
05358000001607632;Haus Heidbüchel;
05358000001607634;Honighecke;POINT (6.397851644618471 50.738407338985624)
05358000001607636;Im Glockenofen;POINT (6.383798733876919 50.73546633177584)
05358000001607638;Im Tauet;POINT (6.395199424966685 50.73298676329223)
05358000001607640;Kleestraße;POINT (6.394844562510125 50.73474810800974)
05358000001607644;Amselweg;POINT (6.3684888673906785 50.70933039806671)
05358000001607646;Brandenberger Weg;POINT (6.382859206457725 50.71200513812112)
05358000001607648;Brandenburger Tor;POINT (6.365408704601002 50.70848429058845)
05358000001607650;Burgbergstraße;POINT (6.370934135545411 50.69898644037746)
05358000001607652;Grafenfeld;POINT (6.383058303421256 50.71523528861194)
05358000001607654;Hardtweg;POINT (6.382948487356471 50.714097588758065)
05358000001607656;Höhenstraße;POINT (6.387506764645836 50.71814405469816)
05358000001607658;Hof Setzscheid;
05358000001607660;Im Dümpel;POINT (6.375250197499679 50.711068045225964)
05358000001607661;Im Endgesfeld;POINT (6.379666595091945 50.70867967064944)
05358000001607662;Im Winkel;POINT (6.375308013054478 50.7108628987576)
05358000001607664;Kirchstraße;POINT (6.380907464751056 50.709291379769915)
05358000001607666;Kleinhauer Weg;POINT (6.384234242878871 50.71169407056849)
05358000001607668;Knippchen;POINT (6.374691874927232 50.70851867639499)
05358000001607670;Pützgasse;POINT (6.378306536622384 50.711904943170374)
05358000001607672;Steinbachstraße;POINT (6.374616133904112 50.7093162759787)
05358000001607674;Wittscheidter Straße;POINT (6.36900561874422 50.69565384182489)
05358000001607679;Alte Chaussee;
05358000001607680;Am Spitzberg;POINT (6.398758159739487 50.714753846801145)
05358000001607681;August-Scholl-Straße;POINT (6.39606520399144 50.71999611390292)
05358000001607682;Besenbinderweg;POINT (6.3936756199364675 50.72459036721055)
05358000001607684;Buschfeld;POINT (6.395934386943442 50.72273897884771)
05358000001607686;Flurstraße;POINT (6.39161327304483 50.722852455287054)
05358000001607688;Hoppenhardter Weg;POINT (6.397967831331014 50.72655975934961)
05358000001607690;Hof an der Hardt;POINT (6.3716063471901645 50.72363257450221)
05358000001607692;Hof Asterbach;POINT (6.370562876167018 50.72384174538932)
05358000001607694;Hof auf der Hardt;POINT (6.369957618393249 50.722877316534806)
05358000001607696;Hof Eichenkamp;POINT (6.375906595766829 50.726550246770316)
05358000001607698;Hof Finkenheide;
05358000001607700;Hof Heidchens Kehre;
05358000001607702;Hof Hengstbend;POINT (6.375558672698095 50.72802292677881)
05358000001607704;Hof im Brand;
05358000001607706;Hof im Tann;POINT (6.374810623117789 50.727107514485745)
05358000001607708;Im Berg;POINT (6.395343028441723 50.72583155561056)
05358000001607710;Im Buschofen;POINT (6.391118865416969 50.72181492082293)
05358000001607712;Im Roßbroich;POINT (6.391451815376616 50.72437671109664)
05358000001607714;In der Kaule;POINT (6.396444477440648 50.72695868623221)
05358000001607716;Kreuzstraße;POINT (6.393097729138177 50.721313398854605)
05358000001607718;Rinnebachstraße;POINT (6.395139109173281 50.720963552762534)
05358000001607720;Roßheckenweg;POINT (6.391372016652214 50.72403787250237)
05358000001607722;Schäfergasse;POINT (6.3941267755421345 50.72249789413549)
05358000001607724;Schevenhüttener Straße;POINT (6.3654591985702895 50.72767557872965)
05358000001607726;Schillerbend;POINT (6.395000482880439 50.7241714695395)
05358000001607728;Zum Steinbruch;POINT (6.394671241004898 50.71961924844744)
05358000001607730;Christian-Werner-Straße;POINT (6.435213172368273 50.7405148091076)
05358000001607732;Dollweg;POINT (6.429158817909305 50.739943976541895)
05358000001607734;Eichgasse;POINT (6.4339412798036335 50.741466152328684)
05358000001607736;Engpütz;POINT (6.431557777437277 50.74029889726203)
05358000001607738;Tannenweg;POINT (6.429167511264724 50.74153092322135)
05358000001607739;Hof Schmalenbend;
05358000001607740;Hohlweg;POINT (6.428482313344353 50.74421828970583)
05358000001607742;Hormer Straße;POINT (6.429314394178307 50.74318325110948)
05358000001607744;Im Tivoli;POINT (6.431022812477507 50.74346816958715)
05358000001607746;In der Graat;POINT (6.426325139524234 50.74085615057992)
05358000001607748;Kapellenstraße;POINT (6.4300818904291885 50.74264807488622)
05358000001607749;Lerchenweg;POINT (6.4319293278315435 50.73913010241968)
05358000001607750;Maubacher Straße;POINT (6.431340868873161 50.74153875755924)
05358000001607751;Sonnenweg;POINT (6.431043302705709 50.74045124284038)
05358000001607752;St.-Donatus-Straße;POINT (6.432597194061233 50.739044913859104)
05358000001607753;An der Binnesburg;POINT (6.440930624282406 50.74946605834864)
05358000001607755;Dorfstraße;POINT (6.438025297797444 50.7476553629779)
05358000001607756;Industriestraße;POINT (6.44528989433251 50.75065998013752)
05358000001607757;Lämmerstraße;POINT (6.437321513028664 50.74602730541879)
05358000001607759;Leonhard-Zimmer-Straße;POINT (6.4326700781638015 50.747416520517234)
05358000001607761;Pfarrer-Pleus-Straße;POINT (6.438994813151373 50.747996009602616)
05358000001607764;Am Schafberg;POINT (6.422034142016167 50.73634110794666)
05358000001607766;Auf dem Engel;POINT (6.431930820719355 50.73436303406586)
05358000001607768;Heidestraße;POINT (6.42556453891138 50.735703444709536)
05358000001607770;Wacholderheide;POINT (6.420108723395998 50.73862593466552)
05358000001607774;An der Wurzel;POINT (6.358614321688476 50.69040958712723)
05358000001607775;Am Wehweg;POINT (6.356095620061153 50.68770411814152)
05358000001607777;Auf dem Knipp;POINT (6.383819567820848 50.689090877992356)
05358000001607778;Baptist-Palm-Platz;POINT (6.373982796201611 50.684973359432526)
05358000001607779;Dürenharth;POINT (6.350276786478848 50.686587182015224)
05358000001607781;Emmerich;POINT (6.3570304066860395 50.68539005614525)
05358000001607782;Franziskusweg;POINT (6.349543477603438 50.67415506445741)
05358000001607783;Germeter;POINT (6.347328650696839 50.67576271004622)
05358000001607785;Giesenheck;POINT (6.386778059157897 50.689312568718584)
05358000001607786;Heinz-Sieben-Str.;POINT (6.376524199326288 50.68456381768407)
05358000001607787;Im Oberdorf;POINT (6.365377349433006 50.68517159125211)
05358000001607789;Im Steinsfeld;POINT (6.364545178515088 50.687527886099296)
05358000001607791;Im Unterdorf;POINT (6.377922934484819 50.686039972020666)
05358000001607792;Kreuzheck;POINT (6.38527719041865 50.68992414348693)
05358000001607793;Mestrenger Weg;POINT (6.373958482528116 50.683873038404336)
05358000001607795;Monschauer Straße;POINT (6.352529314747466 50.68307518541277)
05358000001607797;Auf der Harth;POINT (6.352543043505699 50.682668937899095)
05358000001607799;Paul-Heinemann-Straße;POINT (6.360190889135813 50.685501631189965)
05358000001607801;Pfarrer-Dickmann-Straße;POINT (6.369415306452015 50.68687968169915)
05358000001607802;Pfarrer-Hegger-Straße;POINT (6.376980432883403 50.68375688337402)
05358000001607803;Ralscheid;POINT (6.367927859697187 50.68420390705693)
05358000001607805;Richelskuhl;POINT (6.352945845950943 50.683982178449796)
05358000001607807;Schmidter Straße;POINT (6.386266347738947 50.689213110252204)
05358000001607808;Schoellers Weg;POINT (6.347987069755451 50.68214606730553)
05358000001607809;Simonskaller Straße;POINT (6.347598645135977 50.674202217544526)
05358000001607811;Stockberg;POINT (6.345858818890611 50.682460042700654)
05358000001607813;Trift;POINT (6.345943219489335 50.68180981829749)
05358000001607815;Untere Harth;
05358000001607817;Wehebachstraße;POINT (6.34928285479128 50.68610750325578)
05358000001607819;Zum Bosselbach;POINT (6.367661664894912 50.686183272282)
05358000001607821;Zum Naturpfad;
05358000001607823;Zum Schnepfenflug;POINT (6.376954024813429 50.682480675924054)
05358000001607825;Zweifaller Weg;POINT (6.355896889860823 50.69221801631878)
05358000001607840;Am Peterberg;POINT (6.323598431264203 50.673129851730714)
05358000001607842;Buchenbuschweg;POINT (6.343441857088454 50.67284145312433)
05358000001607844;Jägerhaus;POINT (6.297697894353037 50.668973656773105)
05358000001607846;Ringstraße;POINT (6.30659290621534 50.68163668212825)
05358000001607848;Wollseifener Straße;POINT (6.334545862471313 50.667656882358564)
05358000001607855;Mestrenger Mühle;POINT (6.385825868754297 50.67262305756135)
05358000001607857;Simonskall;POINT (6.3523011356090615 50.66570712740656)
05358000001607863;Auel;
05358000001607865;Bergsteiner Straße;POINT (6.44121068955673 50.687143038456)
