strassenschluessel;bezeichnung;geometry
05566000002801010;Aantpool;POINT (7.626351646266763 52.3218417718752)
05566000002801011;Bärlauchweg;POINT (7.692876369267468 52.29119817770865)
05566000002801012;Lorbeerweg;POINT (7.692646426643735 52.29223200919652)
05566000002801013;Malvenweg;POINT (7.69490914761086 52.29282990563819)
05566000002801014;Rosmarinstiege;POINT (7.695429600770369 52.291736261220855)
05566000002801015;Lavendelweg;POINT (7.713564377157127 52.27048741143086)
05566000002801016;Aaseewinkel;POINT (7.720757589486443 52.266397705116084)
05566000002801017;Gustav-Deiters-Str.;POINT (7.70302987422086 52.26330714733051)
05566000002801018;Am Schierfeld;POINT (7.667947248536671 52.27888095394529)
05566000002801019;Bronswicks Esch;
05566000002801020;Aatal;POINT (7.768315674814775 52.24859149321064)
05566000002801023;Rapunzelweg;POINT (7.783388370307434 52.26872933526827)
05566000002801025;Grafschafter Ring;POINT (7.697644819772481 52.284145134605495)
05566000002801026;Artlandstr.;POINT (7.693220249254688 52.28242595459344)
05566000002801027;Steinbrinkheide;POINT (7.772814450447367 52.26168069533925)
05566000002801028;Fliederweg;POINT (7.714749218158042 52.26964845266974)
05566000002801029;Alexanderweg;POINT (7.7290802325821835 52.29331842274748)
05566000002801030;Abendsternschacht;POINT (7.660430025142356 52.30976772421737)
05566000002801031;Hectorstr.;POINT (7.7963671680303275 52.265967083596585)
05566000002801032;Lorenweg;POINT (7.794034554216938 52.26414744359811)
05566000002801033;Eisenerzweg;POINT (7.79187624612828 52.26275341434267)
05566000002801034;Ockerweg;POINT (7.795060374932828 52.265032261278684)
05566000002801035;Haspelweg;POINT (7.795089776668309 52.263257467228215)
05566000002801036;Teckelweg;POINT (7.7938897463391825 52.26279148025093)
05566000002801037;Wismarer Weg;POINT (7.644053755789191 52.292603527304614)
05566000002801038;Stralsunder Str.;POINT (7.646519980607956 52.29292397819789)
05566000002801039;Rostocker Str.;POINT (7.643554786362491 52.293048127144225)
05566000002801040;Ackerstr.;POINT (7.701470289049706 52.27250487311097)
05566000002801042;Am Aaseebad;POINT (7.72798703984942 52.26039544559521)
05566000002801043;Friedenstr.;POINT (7.70569313874963 52.2686830017297)
05566000002801044;Oderstr.;POINT (7.643947903975014 52.29406769695115)
05566000002801045;Spreeweg;POINT (7.64408110637854 52.29479185333193)
05566000002801046;Havelweg;POINT (7.64537996977208 52.2950140954895)
05566000002801047;Perkinsstr.;POINT (7.715210425478555 52.259056540333965)
05566000002801048;Saaleweg;POINT (7.646067608592281 52.294407509157026)
05566000002801049;Uferallee;POINT (7.717746882288832 52.2680502846006)
05566000002801050;Adlersteige;POINT (7.8012893796901395 52.273485261361046)
05566000002801051;Seeweg;POINT (7.71958810826137 52.267963336048645)
05566000002801052;Seeblick;
05566000002801053;Konrad-Zuse-Str.;POINT (7.661620297047129 52.27764956647448)
05566000002801054;Richard-Gerhardi-Str.;POINT (7.668245360635469 52.281027992825855)
05566000002801055;Kattwinkelstr.;POINT (7.78405616894539 52.2657223500825)
05566000002801057;An den Wiesen;POINT (7.692713276917328 52.27821074762187)
05566000002801058;Speicherweg;POINT (7.681618858442677 52.22527240520179)
05566000002801059;Ulmenweg;POINT (7.6832789404848585 52.27762983510733)
05566000002801060;Ahornstr.;POINT (7.7166850422424496 52.29002344206113)
05566000002801061;Kittenkamp;
05566000002801070;Akazienweg;POINT (7.683515959710366 52.27416857334749)
05566000002801075;Alberichweg;POINT (7.778315357811501 52.27809027598621)
05566000002801080;Alpenstr.;POINT (7.748213190872974 52.28416147055755)
05566000002801090;Alstedder Esch;POINT (7.792872626384214 52.27127891110275)
05566000002801100;Alstedder Grenze;POINT (7.737260016409189 52.275561631663145)
05566000002801110;Alstedder Str.;POINT (7.79087840559724 52.268769352545085)
05566000002801120;Alte Bleiche;POINT (7.732769759196813 52.27751562333357)
05566000002801130;Alte Bockradener Str.;POINT (7.716768321552415 52.292875867328895)
05566000002801135;Altemöllerskamp;POINT (7.782959503364612 52.26679576741789)
05566000002801136;Alte Münsterstr.;POINT (7.7169794875768 52.27214318781734)
05566000002801137;Alte Nordstr.;POINT (7.713785635049007 52.280072998948356)
05566000002801138;Alter Merschweg;POINT (7.710356886440933 52.272017223493656)
05566000002801139;Alter Bergkamp;POINT (7.71201693685083 52.28515682165208)
05566000002801140;Alter Postdamm;POINT (7.646960091580008 52.297893620896566)
05566000002801150;Alte Str.;POINT (7.638897660662949 52.311229618720965)
05566000002801160;Am Abendstern;POINT (7.662375714160187 52.30782153423881)
05566000002801170;Am Alten Posthof;POINT (7.712838720290476 52.27384215931888)
05566000002801178;Am Barbarastollen;POINT (7.6337154779548895 52.317178352109984)
05566000002801180;Am Berg;POINT (7.673309591480838 52.269642761201744)
05566000002801190;Am Bergteich;POINT (7.725031541645285 52.283493057504934)
05566000002801200;Am Beustschacht;POINT (7.718708325042332 52.29074936024736)
05566000002801210;Am Birkenwäldchen;POINT (7.714122280834488 52.290686060398684)
05566000002801220;Am Fischteich;POINT (7.70579294542065 52.28069836992407)
05566000002801230;Am Flüddert;POINT (7.619327314037158 52.33041330270634)
05566000002801235;Am Forsthaus;POINT (7.695578638980798 52.27434677478457)
05566000002801240;Am Friedhof;POINT (7.716199658342098 52.28304342166598)
05566000002801250;Am Gaswerk;
05566000002801260;Am Güterbahnhof;POINT (7.7256425063668885 52.274242940995684)
05566000002801269;Am Hagenpad;POINT (7.7794118556007215 52.278083031439685)
05566000002801270;Am Hedwigsheim;POINT (7.650850490481545 52.298499635472155)
05566000002801273;Am Heidenturm;POINT (7.71905974000602 52.26877097633401)
05566000002801280;Am Karlschacht;POINT (7.709032733593606 52.29492395135537)
