strassenschluessel;bezeichnung;geometry
05962000002403401;Neumarkt;POINT (7.617094789689871 51.36636099191829)
05962000002403402;Auf dem Birnbaum;POINT (7.624248392406494 51.370533344041824)
05962000002403403;Auf dem Gerre;POINT (7.620091977333109 51.3661136456548)
05962000002403404;Auf dem Loh;POINT (7.626018229265278 51.37133040914833)
05962000002403405;Berliner Allee;POINT (7.632782509931358 51.37296364434114)
05962000002403406;Brabeckstraße;POINT (7.615973902055501 51.368145465340774)
05962000002403407;Breddestraße;POINT (7.629506736099438 51.37092780535093)
05962000002403408;Dietrich-Liesenhoff-Straße;POINT (7.622974854818351 51.36706882263623)
05962000002403409;Eichendorffweg;POINT (7.61686453581161 51.371582118960596)
05962000002403410;Flehmestraße;POINT (7.619548563780581 51.3658379269127)
05962000002403411;Friedensstraße;POINT (7.613474150797166 51.37159902831849)
05962000002403412;Friedrich-Ebert-Straße;POINT (7.62377900643801 51.36830840136215)
05962000002403413;Marktstraße;POINT (7.611636641555904 51.365646436655254)
05962000002403414;Kleiststraße;POINT (7.612081374932983 51.36823692786771)
05962000002403415;Wiechertstraße;POINT (7.612334764888258 51.369831702587774)
05962000002403416;An Pater und Nonne;POINT (7.620664308323955 51.36492948103109)
05962000002403417;Hagener Straße;POINT (7.612529674668399 51.36529188477007)
05962000002403418;Renteiweg;
05962000002403419;Im Hakenacker;POINT (7.619834399934401 51.36961175309348)
05962000002403420;Im Mühlental;POINT (7.624604152682262 51.36728383722592)
05962000002403421;Zum Volksgarten;POINT (7.61802652176726 51.36549972254781)
05962000002403422;Kühlingstraße;POINT (7.622636720930209 51.36982818934292)
05962000002403423;Leopold-Schütte-Weg;POINT (7.621187354107041 51.37032243585034)
05962000002403424;Fontaneweg;POINT (7.614231831361768 51.371020908386996)
05962000002403425;Marienstraße;POINT (7.613520252638541 51.36542895929681)
05962000002403426;Am Haus Letmathe;POINT (7.607417595286774 51.36645754607835)
05962000002403427;Mörikeweg;POINT (7.620789285218537 51.37163083493837)
05962000002403428;Overwegstraße;POINT (7.615299920621548 51.36602419832258)
05962000002403429;Lessingstraße;POINT (7.612894978596068 51.36854046616679)
05962000002403430;Schubertstraße;POINT (7.616628835727526 51.36899258838954)
05962000002403431;Schwerter Straße;POINT (7.610518860141604 51.36705276053655)
05962000002403432;Stifterweg;POINT (7.621574263435888 51.37193845354583)
05962000002403433;Unterfeldstraße;POINT (7.6240209253472635 51.36867620362979)
05962000002403434;Vodekestraße;POINT (7.625082953414815 51.370862123221315)
05962000002403435;Von-der-Kuhlen-Straße;POINT (7.611546193821274 51.36625830346479)
05962000002403436;Vor dem Hopey;POINT (7.6235185226844875 51.372272993060136)
05962000002403437;Wiesenstraße;POINT (7.628492839934312 51.37050253734117)
05962000002403438;Reinickendorfer Straße;POINT (7.615890448705672 51.367779113806755)
05962000002403439;Zum Engelsknapp;POINT (7.620608042899846 51.36665764597823)
05962000002403440;Zum Tannenkopf;POINT (7.62185934225642 51.36659697062678)
05962000002403441;Am Flehmebach;POINT (7.618764953681018 51.36854333034294)
05962000002403442;Herbert-Nolte-Platz;
05962000002403443;Im Werth;POINT (7.603819675341927 51.35239480941048)
05962000002403444;Märkischer Kreis Sondergebäude;POINT (7.690331991453377 51.33243469694294)
05962000002403445;Luisenbrücke;
05962000002403450;Am Baumberg;POINT (7.63203106780769 51.37458913101389)
05962000002403451;Am Burgberg;POINT (7.630435109369454 51.36874682271642)
05962000002403452;Am Lührenbach;POINT (7.6275261461674795 51.372952155876995)
05962000002403453;An der Fliehburg;POINT (7.633128769116836 51.369139941837055)
05962000002403454;Beilstraße;POINT (7.635661214752733 51.37214332205968)
05962000002403455;Brinkhofstraße;POINT (7.625791894417217 51.368809612700666)
05962000002403456;Imhofstraße;POINT (7.63281201140402 51.370795522082)
05962000002403457;Heimbergweg;POINT (7.634171023710488 51.37497186406985)
05962000002403458;Im Klepping;POINT (7.630832235010833 51.37171746724816)
05962000002403459;Kirchstraße;POINT (7.634579629889729 51.37370651958579)
05962000002403460;Op De Brüggen;POINT (7.633964685848293 51.37129353728266)
05962000002403461;Heinrich-Steden-Weg;POINT (7.634222544902671 51.37089186370737)
05962000002403462;Schleddestraße;POINT (7.6401902450095305 51.36484941229391)
05962000002403463;Unterdorfstraße;POINT (7.632773033684339 51.37202538354152)
05962000002403464;Wittekindweg;POINT (7.632065503399194 51.37426488639834)
05962000002403465;Gravemannring;POINT (7.634541412317764 51.37261995287602)
05962000002403466;Feldbrand;POINT (7.6361575734611415 51.374418192618165)
05962000002403475;Akazienstraße;POINT (7.596533104285625 51.3632871631696)
05962000002403476;Am Erbsenbach;POINT (7.5995110327266175 51.36872272313331)
05962000002403477;Arndtstraße;POINT (7.609355201038012 51.36957987735622)
05962000002403478;Aucheler Straße;POINT (7.609821382187502 51.37287833171695)
05962000002403479;Bachstraße;POINT (7.604143904798792 51.36724012384322)
05962000002403480;Beulstraße;POINT (7.599899672273992 51.36596920012224)
05962000002403481;Grabenstraße;POINT (7.60929310558076 51.365221358953455)
05962000002403482;Dechant-Meckel-Straße;POINT (7.60385815289098 51.36487186568331)
05962000002403483;Dechant-Heimann-Straße;POINT (7.608137319634059 51.36501405960777)
05962000002403484;Dümpelacker;POINT (7.603451474459857 51.36393746115175)
05962000002403485;Friedhofstraße;POINT (7.599477949004374 51.365105552871604)
05962000002403486;Fritz-Reuter-Weg;POINT (7.6030135604272235 51.368111001521214)
05962000002403487;Im Oberdorf;POINT (7.602762886757207 51.36628875335937)
05962000002403488;Fingerhutsmühle;POINT (7.610499466522218 51.36493178072328)
05962000002403489;Heinrichstraße;POINT (7.604317333219362 51.36631626640774)
05962000002403490;Humpfertstraße;POINT (7.601165254978333 51.36686480366764)
05962000002403491;Hofweide;POINT (7.609147948078604 51.3673141004932)
05962000002403492;Im Grünen Busch;POINT (7.600093390588305 51.3668453636188)
05962000002403493;Im Kröllken;POINT (7.60322194203444 51.36550061061628)
05962000002403494;Im Nordfeld;POINT (7.599903022509989 51.36905976305969)
05962000002403495;Jahnstraße;POINT (7.608536675642557 51.36872325250125)
05962000002403496;Kilianstraße;POINT (7.6078015755298996 51.368047553329696)
05962000002403497;Kolpingstraße;POINT (7.60662517015163 51.365455817258294)
05962000002403498;Lindenstraße;POINT (7.603240144708205 51.36422672205613)
05962000002403499;Schattweg;POINT (7.60707937728421 51.368710394752306)
05962000002403500;Theodor-Hürth-Straße;POINT (7.602187965248035 51.369590107805884)
05962000002403501;Uhlandstraße;POINT (7.609276021026953 51.36987357704572)
05962000002403502;Vom-Stein-Straße;POINT (7.609810576510484 51.36758338693507)
05962000002403503;Windhügelstraße;POINT (7.606131988458815 51.368082761599766)
05962000002403504;Winkelgasse;POINT (7.604236092085063 51.366583815134184)
05962000002403505;Eselweg;
05962000002403520;Am Bülzgraben;POINT (7.593793005055786 51.364417253700054)
05962000002403521;Breslauer Straße;POINT (7.588579575938196 51.36628245741073)
05962000002403522;Droste-Hülshoff-Weg;POINT (7.594541313962704 51.36857031434114)
05962000002403523;Gerhart-Hauptmann-Weg;POINT (7.597832377193387 51.369368359949455)
05962000002403524;Im Ostfeld;POINT (7.593417638327317 51.36404862168434)
05962000002403525;Steltenberg;POINT (7.589572446922902 51.36277069063507)
05962000002403527;Liegnitzer Straße;POINT (7.591146514772757 51.36777826607465)
05962000002403528;Theodor-Storm-Weg;POINT (7.596573250118194 51.368046300700996)
05962000002403529;Im Markenfeld;POINT (7.595534958318389 51.366698206871945)
05962000002403530;Oppelner Straße;
05962000002403531;Hohenlimburger Straße;POINT (7.586220180016052 51.36887162594358)
05962000002403532;Am Lennebogen;POINT (7.609697383553499 51.36197312273141)
05962000002403550;Ursulastraße;POINT (7.617174332703472 51.36371084872846)
05962000002403551;Bahnhofstraße;POINT (7.618124248348225 51.36363568474308)
05962000002403552;Bergstraße;POINT (7.613457313706765 51.3610091028726)
05962000002403553;Brückenstraße;POINT (7.61344040640277 51.36248550131518)
05962000002403554;Gennaer Straße;POINT (7.62020675695396 51.363947614227776)
05962000002403555;Helmkestraße;POINT (7.620207159233907 51.359365825538454)
05962000002403556;Kanalstraße;POINT (7.6109644141496 51.36259471666636)
05962000002403557;Kupferbergstraße;POINT (7.620520983938457 51.35996820729174)
