strassenschluessel;bezeichnung;geometry
05554000003207000;Adolf-Donders-Allee;POINT (6.429534505108666 51.84780838351274)
05554000003207001;Im Geer;POINT (6.444941428688863 51.818662882415616)
05554000003207002;Bollwerksweide;POINT (6.464782673287432 51.83839278975963)
05554000003207003;Am Mühlenkanal;POINT (6.431762908997327 51.84668347400897)
05554000003207004;Im Tichelbruch;POINT (6.433686290995927 51.846890053822634)
05554000003207005;Dreibömerweg;POINT (6.469523101579184 51.838781200289546)
05554000003207006;Stromberg;POINT (6.458401822207957 51.837400913251685)
05554000003207007;Am Klärwerk;POINT (6.444255828747051 51.84003724329023)
05554000003207008;Peenekamp;POINT (6.448334063230257 51.847044852864755)
05554000003207009;Harlingweg;POINT (6.435112860815636 51.845281793198396)
05554000003207010;Am Bruchtor;POINT (6.429051151177867 51.84952707885237)
05554000003207011;Am Schloßpark;POINT (6.424696032556924 51.84637622703878)
05554000003207012;Am Elfenholt;POINT (6.419588839191166 51.852562214793295)
05554000003207013;Klompenweg;POINT (6.46559050289984 51.83780734392027)
05554000003207014;Am Griemel;POINT (6.4206744540868925 51.8526249873627)
05554000003207015;Linders Feld;POINT (6.4356507785483315 51.848611740017105)
05554000003207016;Am Himmelsberg;POINT (6.420289139728324 51.85218675951511)
05554000003207017;An der Kranenweide;POINT (6.434424402781085 51.85054842334663)
05554000003207018;Am Judenberg;POINT (6.420943325464378 51.85378946170994)
05554000003207019;Schievekampsbusch;POINT (6.426024448151004 51.853593988646395)
05554000003207020;Am Mühlenberg;POINT (6.425063039016137 51.848524527902526)
05554000003207021;Henry-Dunant-Straße;POINT (6.458261022841288 51.83729776462066)
05554000003207022;Heinz-Trox-Straße;POINT (6.437770173079181 51.84822651331112)
05554000003207023;Fürst-Salm-Straße;POINT (6.436991648175047 51.846930675385636)
05554000003207024;Von-Bronckhorst-Straße;POINT (6.435620090093987 51.84745611241361)
05554000003207025;Edmund-Janssen-Straße;POINT (6.436482472380398 51.84852998041916)
05554000003207026;Heinrich-Brömmling-Straße;POINT (6.435151808512212 51.848275467940674)
05554000003207030;Am Paasberg;POINT (6.420942588498864 51.85070928954735)
05554000003207035;Am Pannofen;POINT (6.41892685702274 51.854608813556716)
05554000003207040;Am Schievekamp;POINT (6.430223425274904 51.851841330351746)
05554000003207050;Am Stadtgraben;POINT (6.424704379455613 51.8480793797306)
05554000003207060;An den Eichen;POINT (6.427317690213958 51.85171700421645)
05554000003207070;Augustastraße;POINT (6.431595909100566 51.84941758336072)
05554000003207076;Bachstraße;POINT (6.457188089554157 51.83160267441239)
05554000003207078;Beethovenstraße;POINT (6.457000316567375 51.831120528216964)
05554000003207080;Binsenweg;POINT (6.423884325960862 51.852013337534196)
05554000003207090;Breels;POINT (6.4490344697632125 51.84681082145827)
05554000003207100;Distelweg;POINT (6.424528324158665 51.852091677351595)
05554000003207110;Dwarsefeld;POINT (6.4056089429824645 51.8654460846688)
05554000003207120;Eiermarkt;POINT (6.42520758027254 51.8469846436042)
05554000003207130;Gendringer Straße;POINT (6.423930789784875 51.846477750564574)
05554000003207140;Hahnerfeld;POINT (6.471402797037855 51.85255507209116)
05554000003207142;Händelstraße;POINT (6.4591697592085975 51.83145189936659)
05554000003207146;Haydnstraße;POINT (6.458901172166123 51.83097931410899)
05554000003207150;Hohe Straße;POINT (6.426163542031271 51.84698970349282)
05554000003207160;Huyinksweg;POINT (6.429929457050008 51.8473303891565)
05554000003207170;Hüttenstraße;POINT (6.464359065275253 51.835710668764584)
05554000003207180;Im Dohlhof;POINT (6.426780440198916 51.84820062557464)
05554000003207190;Im Stadtbruch;POINT (6.425513838474789 51.85040703799707)
05554000003207200;Im Wiesengrund;POINT (6.423882161028772 51.852684372750886)
05554000003207210;In der Flora;POINT (6.408049276884386 51.861768457256154)
05554000003207220;Industriestraße;POINT (6.459635111220343 51.83911900276199)
05554000003207230;Isselburger Straße;POINT (6.4350393579070095 51.84555297505697)
05554000003207240;Kapellendeich;POINT (6.430899081871938 51.851355267605896)
05554000003207250;Kirchstraße;POINT (6.427526575935315 51.84696110730213)
05554000003207260;Klever Straße;POINT (6.4236766179517515 51.84513836900532)
05554000003207270;Kockenkamp;POINT (6.433317296337723 51.84936474043763)
05554000003207280;Margeritenweg;POINT (6.423436485471257 51.85219361580961)
05554000003207290;Maria-Lenzen-Straße;POINT (6.426687877650952 51.850531335460104)
05554000003207300;Markt;POINT (6.427110660004772 51.84636537024063)
05554000003207310;Märkische Straße;POINT (6.420823089254552 51.85214214916429)
05554000003207316;Mozartstraße;POINT (6.457141305405786 51.83245937183369)
05554000003207320;Mühlenberg;POINT (6.422338504631053 51.85011236639711)
05554000003207330;Münsterdeich;POINT (6.467182235629467 51.836720682121566)
05554000003207340;Nadorpstraße;POINT (6.425303498485333 51.85126220349191)
05554000003207350;Nieder-Issel;POINT (6.411869995933675 51.84792372773704)
05554000003207360;Niederstraße;POINT (6.426788426979161 51.846424112844694)
05554000003207370;Pappelweg;POINT (6.4296147302401 51.851371351867975)
05554000003207380;Pater-Welty-Straße;POINT (6.430957250886562 51.84911420582845)
05554000003207390;Regniet;POINT (6.428055987774058 51.85782564985125)
05554000003207400;Schlesier Straße;POINT (6.421808272323687 51.85266844603603)
05554000003207410;Schloß;POINT (6.424958517427326 51.844440970784106)
05554000003207420;Schloßstraße;POINT (6.426960935739284 51.84601501349484)
05554000003207430;Schneidkuhle;POINT (6.429244343099809 51.84866283558358)
05554000003207435;Schwester-Otgera-Straße;POINT (6.431200698665191 51.848093296852205)
05554000003207440;Steinweg;POINT (6.427516315617135 51.8473049048426)
05554000003207450;Wiemerswinkel;POINT (6.467237241207357 51.83391784220043)
05554000003207460;Wilm-Rinck-Straße;POINT (6.426253498069207 51.85115502043284)
05554000003207470;Ackerstraße;POINT (6.456274453628436 51.809760966177976)
05554000003207471;Dekkers Waide;POINT (6.444643445128841 51.817459390340964)
05554000003207480;Am Driesch;POINT (6.426380151386294 51.81199202306418)
05554000003207490;Am Roompott;POINT (6.456391372350478 51.81621072473593)
05554000003207500;Am Spielberg;POINT (6.442708755957446 51.81203884738115)
05554000003207510;An der Landwehr;POINT (6.4317533765259025 51.81434664636758)
05554000003207520;Bellenhorster Straße;POINT (6.4556957179284415 51.81138953322945)
05554000003207530;Bocholter Straße;POINT (6.443836732106434 51.81927493466524)
05554000003207540;Empeler Straße;POINT (6.434601427801034 51.81055999220841)
05554000003207550;Feldstraße;POINT (6.443519778721797 51.811308487522275)
05554000003207560;Halderner Straße;POINT (6.478218208087723 51.80968829170668)
05554000003207570;Heisterkampsweg;POINT (6.450982914430811 51.804725140875405)
05554000003207580;Herkener Straße;POINT (6.451185890401132 51.810814368220804)
05554000003207590;Holbusheide;POINT (6.437314837083445 51.80895644279656)
05554000003207600;Hoher Weg;POINT (6.438886426363404 51.811611852860985)
05554000003207610;Kalfurter Heide;POINT (6.480346978976811 51.8123769700595)
05554000003207620;Klauersweg;POINT (6.442875104396376 51.814499144692476)
05554000003207630;Krahnenweg;POINT (6.446750644258476 51.80404951742021)
05554000003207640;Millinger Straße;POINT (6.434544769683573 51.81241020201609)
05554000003207650;Ochsenstraße;POINT (6.4479830508175935 51.81733353084363)
05554000003207660;Schulstraße;POINT (6.45695728587843 51.81399907403306)
05554000003207670;Springerlei;POINT (6.457299182435008 51.81465580738728)
05554000003207680;Uhlenburger Weg;POINT (6.438277323169379 51.81176701457892)
05554000003207690;Verbindungsstraße;POINT (6.439910657727993 51.81217504661639)
05554000003207700;Am Kiwitt;POINT (6.510967993920001 51.83590455290958)
05554000003207701;Landweg;POINT (6.513486992478571 51.824298849587926)
05554000003207710;An der Kapelle;POINT (6.492889238116449 51.83002160062174)
05554000003207720;Friedhofsweg;POINT (6.510917537924348 51.82830152715091)
05554000003207730;Gutsweg;POINT (6.490578502174295 51.83084990956739)
05554000003207740;Hartmannsweg;POINT (6.474706706941816 51.84144478400054)
05554000003207750;Höftgraben;POINT (6.475560877978355 51.8480763401289)
05554000003207760;Langkampsweg;POINT (6.485061833536827 51.8394448931711)
05554000003207770;Liederner Straße;POINT (6.4992538201922665 51.83050582286642)
05554000003207780;Milchstraße;POINT (6.513576437370187 51.82354666889089)
05554000003207790;Schüttensteiner Straße;POINT (6.475595157663084 51.83863781295348)
05554000003207800;Suderwicker Straße;POINT (6.502061254157176 51.84426508248519)
05554000003207810;Zum Hagebrook;POINT (6.490890809881683 51.82975901278469)
05554000003207820;Alleestraße;POINT (6.460602195037426 51.833816389024115)
05554000003207821;Anthurienweg;POINT (6.467454984920826 51.829624434234624)
05554000003207822;Dorrenbachweg;POINT (6.467004266367218 51.82932816042864)
