strassenschluessel;bezeichnung;geometry
05154000002057001;Aengenesch;POINT (6.380493599309591 51.53297215261167)
05154000002057003;Aengenescher Weg;POINT (6.403299722533014 51.53705460430031)
05154000002057006;Ahornstr.;POINT (6.420366781602288 51.53591327297194)
05154000002057008;Alte Bogenstr.;POINT (6.4138505310662 51.544904776483584)
05154000002057009;Am Bahnhof;POINT (6.4181165139182275 51.542452182220394)
05154000002057012;Ammerweg;POINT (6.436819503230506 51.54188238172643)
05154000002057015;Amray;POINT (6.424459766603768 51.53976435943497)
05154000002057017;Am Schankweiler;POINT (6.415084646151275 51.5292590520327)
05154000002057018;Amselweg;POINT (6.435666808193232 51.540420688014)
05154000002057021;Am Sportplatz;POINT (6.413625802651048 51.5338135739349)
05154000002057024;Am Tapp;POINT (6.436293598597284 51.53874384773722)
05154000002057027;Am Wagenberg;POINT (6.409475888988393 51.53564718037152)
05154000002057030;Am Wasserwerk;POINT (6.4436289609765085 51.53938413371662)
05154000002057031;An de Krütpasch;POINT (6.4209931270854845 51.54114936578828)
05154000002057032;An de Klump;POINT (6.412914593075855 51.537575947915585)
05154000002057033;Annastr.;POINT (6.426522189970194 51.540825562687)
05154000002057034;An de Pomp;
05154000002057036;Bahnstr.;POINT (6.422319112947823 51.54129290415447)
05154000002057038;Vogt-von-Belle-Platz;POINT (6.430578644651393 51.53522632943274)
05154000002057039;Bertastr.;POINT (6.429753821720427 51.53792763635046)
05154000002057042;Birkenstr.;POINT (6.414627397680463 51.53539354984428)
05154000002057045;Blumenstr.;POINT (6.42530236150644 51.53275585323493)
05154000002057048;Bönninghardt;POINT (6.429033689585771 51.573184622580214)
05154000002057048;Bönninghardt;POINT (6.429033689585771 51.573184622580214)
05154000002057051;Bogenstr.;POINT (6.415302007721102 51.55121581847767)
05154000002057052;Bonhoefferstr.;POINT (6.4150685458028365 51.53723975236518)
05154000002057053;Brauerei-Diebels-Str.;POINT (6.421812592531832 51.53275012188099)
05154000002057054;Braustr.;POINT (6.476888254347885 51.521910708037986)
05154000002057057;Brückerheide;POINT (6.469206621436687 51.52421663351372)
05154000002057060;Buchenstr.;POINT (6.417895016991687 51.53338093131082)
05154000002057063;Buchfinkweg;POINT (6.433296727061029 51.53961515170664)
05154000002057066;Cäcilienstr.;POINT (6.424929126437154 51.54017252290387)
05154000002057069;Dompfaffweg;POINT (6.431716848461495 51.54203252171671)
05154000002057070;Drosselweg;POINT (6.436345601427618 51.54071297706992)
05154000002057072;Eichenstr.;POINT (6.416731448145243 51.533174959110426)
05154000002057075;Erlenstr.;POINT (6.416570188588589 51.53599255275721)
05154000002057078;Flughafenweg;POINT (6.480165226600298 51.567709589020055)
05154000002057078;Flughafenweg;POINT (6.480165226600298 51.567709589020055)
05154000002057081;Gartenstr.;POINT (6.4228009531456465 51.532177967317736)
05154000002057082;Geiteweg;POINT (6.430224804403314 51.53598118814604)
05154000002057084;Gelderner Str.;POINT (6.416101827571823 51.53200967104582)
05154000002057085;Gewerbering;POINT (6.415955654793644 51.54653872095976)
05154000002057087;Girlitzweg;POINT (6.429808721877319 51.541303405718104)
05154000002057090;Hamsfeld;POINT (6.424719298110232 51.51220652795188)
05154000002057093;Handelsstr.;POINT (6.45196691054246 51.56652543472836)
05154000002057096;Heideweg;POINT (6.445096938371544 51.554058104053304)
05154000002057099;Helenenstr.;POINT (6.4227182508108225 51.541899957766155)
05154000002057100;Herrlichkeit;POINT (6.42743876628504 51.53498142141935)
05154000002057102;Hochwald;POINT (6.441226989988338 51.54142587065023)
05154000002057105;Hochwalder Str.;POINT (6.455354647748767 51.54475633180159)
05154000002057108;Huckstr.;POINT (6.440262204790246 51.51852163436415)
05154000002057111;Im Winkel;POINT (6.43581974579945 51.539381977397966)
05154000002057114;Jahnstr.;POINT (6.414291646061617 51.53159450129575)
05154000002057116;Josef-Diebels-Str.;POINT (6.417779057430318 51.52970713319911)
05154000002057117;Kapellener Str.;POINT (6.423468385649901 51.537190440471)
05154000002057118;Kevelaerer Str.;POINT (6.408957147449418 51.53332233713596)
05154000002057119;Katharinastr.;POINT (6.430744999860214 51.53894954906272)
05154000002057120;Krumme Str.;POINT (6.420050691783178 51.52164280581314)
05154000002057121;Kolpingstr.;POINT (6.418036842966109 51.53848236820955)
