strassenschluessel;bezeichnung;geometry
05162000001201005;Asternweg;POINT (6.5656378516732445 51.13783453470175)
05162000001201010;Becherhof;POINT (6.573134805030783 51.133106717132925)
05162000001201015;Gürtelweg;POINT (6.569529942420843 51.13913600258598)
05162000001201020;Höningstraße;POINT (6.5663770097217835 51.13717120207369)
05162000001201025;Ginsterweg;POINT (6.566117941889549 51.134359487997415)
05162000001201030;Königstraße;POINT (6.5674256528307975 51.13529653510932)
05162000001201035;Dycker Mühle;POINT (6.576372746030354 51.13347534215772)
05162000001201040;Nelkenweg;POINT (6.565257678985898 51.13700581439901)
05162000001201045;Ringstraße;POINT (6.563629755854214 51.13590447634605)
05162000001201050;Schlossstraße;POINT (6.567631768823895 51.136597094774835)
05162000001201052;St. Sebastianus Platz;
05162000001201060;Wiesenweg;POINT (6.570233270757925 51.13705166707437)
05162000001201105;Aldenhovener Straße;POINT (6.560338452039587 51.12141230416506)
05162000001201110;Am Broicher Weg;POINT (6.569383238839569 51.11699463261353)
05162000001201112;Am Friedhof;POINT (6.563577359344288 51.11600439750805)
05162000001201115;Am Kirchblick;POINT (6.565587892665816 51.11906304555947)
05162000001201120;Am Scheideweg;POINT (6.566620221235311 51.12054863671786)
05162000001201125;An der Maar;POINT (6.558934755731723 51.1164075362276)
05162000001201127;Auf dem Acker;POINT (6.5636803944443765 51.11486043495253)
05162000001201130;Bendweg;POINT (6.561169927882739 51.12143189675915)
05162000001201132;Dechant-Königs-Straße;POINT (6.56578042319872 51.121086278524636)
05162000001201133;Dinkelweg;POINT (6.562230342867577 51.11623201819324)
05162000001201134;Ernteweg;POINT (6.563704530857552 51.11567211055432)
05162000001201135;Gierather Straße;POINT (6.561334919519909 51.11826927642152)
05162000001201140;Grevenbroicher Straße;POINT (6.562563675404287 51.118757175394535)
05162000001201143;Gutenbergstraße;POINT (6.557662000586282 51.11531176934412)
05162000001201144;Haferweg;POINT (6.563044650994559 51.11459114700842)
05162000001201145;Hemmerdener Straße;POINT (6.565467320434849 51.11875385554843)
05162000001201148;Hubert-Granderath-Platz;
05162000001201149;Im Wiesengrund;POINT (6.56275915313374 51.11602827844902)
05162000001201150;In der Bausch;POINT (6.560206233463126 51.12113348121241)
05162000001201155;Kirchgasse;POINT (6.562317252852183 51.11797442943207)
05162000001201160;Lindenhof;POINT (6.560253301346362 51.11685160983138)
05162000001201165;Lingenstraße;POINT (6.565604440495536 51.115947757820656)
05162000001201170;Martinusstraße;POINT (6.564845175530932 51.116935153054314)
05162000001201175;Mittelstraße;POINT (6.567201041566562 51.11596187305593)
05162000001201180;Peter-Stahs-Straße;POINT (6.564561438059529 51.12118721425821)
05162000001201185;Oststraße;POINT (6.568941411747895 51.11596017753965)
05162000001201190;Paul-Körschgen-Straße;POINT (6.56550096592648 51.11963639427311)
05162000001201192;Pommernstraße;POINT (6.560674621785068 51.115503913683575)
05162000001201193;Roggenweg;POINT (6.561634800585673 51.11599934852094)
05162000001201194;Rederhof;POINT (6.557323739500437 51.11735920125843)
05162000001201195;Stessener Pfad;POINT (6.561101817474095 51.11885979975619)
05162000001201200;Walter-Schönheit-Straße;POINT (6.567834482223812 51.11740795917503)
05162000001201205;Weizenweg;POINT (6.561300740259166 51.116492537036585)
05162000001201210;Gerstenweg;POINT (6.561486390964746 51.11554539872289)
05162000001201303;Dahlienweg;POINT (6.575873309028676 51.144903715754296)
05162000001201304;Eugen-von-Mazenod-Weg;POINT (6.576036552060763 51.143442178402026)
05162000001201305;Zum Ruhdall;POINT (6.576801323372655 51.14506282168824)
