strassenschluessel;bezeichnung;geometry
05162000001600120;Aachener Straße;POINT (6.612511003736154 51.19455288426221)
05162000001600122;Ackerstraße;POINT (6.586243249035194 51.21962787262212)
05162000001600124;Adlerstraße;POINT (6.605215834124955 51.229163438762164)
05162000001600126;Spitzwegstraße;POINT (6.616691839824609 51.20015160588242)
05162000001600128;Adenauer Allee;POINT (6.630058454975125 51.23048763660355)
05162000001600130;Ahornstraße;POINT (6.610067513794063 51.21845876317212)
05162000001600132;Benatekstraße;POINT (6.599386164001255 51.19450761614651)
05162000001600134;Aldegundisstraße;POINT (6.602681122808622 51.20067041394539)
05162000001600135;Benediktusstraße;POINT (6.604142202122187 51.19983320130913)
05162000001600136;Allensteinstraße;POINT (6.636057497460827 51.219415986001685)
05162000001600138;Alte Heerstraße;POINT (6.619013512993111 51.22690719053257)
05162000001600140;Alte Heerstraße;POINT (6.6058976158696305 51.23040299317117)
05162000001600145;Alma-Mahler-Werfel-Straße;POINT (6.600300682883171 51.193649805227835)
05162000001600150;Römerstraße;POINT (6.6154512932181 51.20031526163711)
05162000001600154;Schwabenstraße;
05162000001600155;Bataverstraße;POINT (6.610906922011831 51.20068609677936)
05162000001600165;Alt Vorst;POINT (6.593555886971246 51.21468846886343)
05162000001600170;Waldhof;POINT (6.567455817111999 51.22217335288511)
05162000001600180;Alt Werret;POINT (6.574187394747118 51.21848270807814)
05162000001600185;Am Bauhof;POINT (6.597236035888389 51.22554722480406)
05162000001600186;Am Bingerhof;POINT (6.59834099133224 51.231034317194855)
05162000001600190;Am Bisgeshof;POINT (6.606477018637428 51.22525228907619)
05162000001600195;Am Breiten Deich;POINT (6.583598087085402 51.22307973543678)
05162000001600196;Am Dreieck;POINT (6.616663002245098 51.22724508644536)
05162000001600197;Am Schulzentrum;POINT (6.616616953422475 51.22646843097748)
05162000001600198;Am Duffes-Pohl;POINT (6.595834115456156 51.21988043982034)
05162000001600200;Am Siepbach;POINT (6.616749782878114 51.22944569984216)
05162000001600210;Am Ehrenmal;POINT (6.624870845942654 51.212797899141535)
05162000001600225;Am Feldrand;POINT (6.572864361137262 51.211488154643426)
05162000001600240;Am Fliederbusch;POINT (6.610899916549405 51.220589176805014)
05162000001600255;Am Hagelkreuz;POINT (6.6199616917152575 51.233121281740075)
05162000001600270;Am Haindörnchen;POINT (6.603764598379948 51.21196157456706)
05162000001600275;Am Hasenkamp;POINT (6.60703061392712 51.23307558735447)
05162000001600280;Neu Lammertzhof;POINT (6.601086936301505 51.20635151529258)
05162000001600285;Am Heidt;POINT (6.577604106524359 51.210023952541405)
05162000001600300;Am Huppelpesch;POINT (6.621701131986616 51.22418070657355)
05162000001600315;Am Hoverkamp;POINT (6.6311688458369265 51.23211757051121)
05162000001600320;Am Holzbüttger Haus;POINT (6.593733384330751 51.220805359933074)
05162000001600330;Am Kaarster See;POINT (6.583852916461803 51.22984997259836)
05162000001600345;Am Kaufmannskreuz;POINT (6.614259819858718 51.20100448121927)
05162000001600390;Am Lüttenglehner Weg;POINT (6.607807588467551 51.189836710747734)
05162000001600405;Am Maubishof;POINT (6.61873795967202 51.227819976328085)
05162000001600420;Am Mühlenweg;POINT (6.626585867846927 51.201492468178586)
05162000001600430;Am Neumarkt;POINT (6.619556227901638 51.22595673371285)
05162000001600435;Eduard-Klüber-Straße;POINT (6.60834592281598 51.19603618445557)
05162000001600450;Am Pfarrzentrum;POINT (6.6176848688791035 51.217381443027776)
05162000001600465;Amselstraße;POINT (6.604562938180067 51.23004856396124)
05162000001600495;Am Spielmannsfalter;POINT (6.572088263447098 51.21699647902737)
05162000001600510;Am Spurk;POINT (6.575141032367214 51.21147966069135)
05162000001600520;Am Sandfeld;POINT (6.622825442972664 51.21989704954199)
05162000001600525;Am Storkesfeld;POINT (6.628397747832059 51.21526058104496)
05162000001600528;Am Stüssgeshof;POINT (6.618856693450696 51.22279544947926)
05162000001600530;Schifferhof;POINT (6.634261426163707 51.20754934399089)
05162000001600535;Pannenbeckerhof;POINT (6.627366847749563 51.20701795700918)
05162000001600540;Am Vorster Bruch;POINT (6.572065953462719 51.21862935272789)
05162000001600555;Am Wasserwerk;POINT (6.5930090246989055 51.207988317632534)
05162000001600570;An der Alten Landwehr;POINT (6.60801187013258 51.24509601031106)
05162000001600580;An der Alten Mühle;POINT (6.625028472700322 51.234791409535596)
05162000001600581;An der Braunsmühle;POINT (6.625218815427737 51.19748696435451)
05162000001600582;Ludwig-Erhard-Straße;POINT (6.5952234538779235 51.22842729513162)
05162000001600585;An der Gümpgesbrücke;POINT (6.637574437473085 51.216175343425625)
05162000001600600;An der Kapelle;POINT (6.588847133772099 51.21928127851594)
05162000001600610;An der Kleingartenanlage;
05162000001600615;An der Lauvenburg;POINT (6.654415902064317 51.23433032388701)
05162000001600620;Maximilian-Kolbe-Straße;POINT (6.5780857326899955 51.21578873375537)
05162000001600630;An der Linde;POINT (6.597510690085445 51.195500548321384)
05162000001600631;An der Wegscheider Heck;POINT (6.594719131990104 51.19312095154456)
05162000001600632;An der Schmackertz Kull;POINT (6.617972645756889 51.229101833885295)
