strassenschluessel;bezeichnung;geometry
05366000002408000;Ginsterweg;POINT (6.537446333493944 50.55684837881763)
05366000002408001;Kiefernweg;POINT (6.5377244657613405 50.55785238704786)
05366000002408002;Mastert;POINT (6.546365890470172 50.55440223470155)
05366000002408003;Mühlenweg;POINT (6.5381637114976945 50.55400265520455)
05366000002408004;Zum Fahrenbach;POINT (6.538988062198827 50.55239586400684)
05366000002408010;An den Tällen;POINT (6.514772951930132 50.46855994923402)
05366000002408011;Hasselweg;POINT (6.513141230440102 50.468449212259664)
05366000002408012;Hohlweg;POINT (6.511392581891568 50.468777251004845)
05366000002408013;Narzissenweg;POINT (6.516789154682267 50.46932752255832)
05366000002408014;Maistraße;POINT (6.51693909234424 50.46819752508717)
05366000002408015;Wiesenstraße;POINT (6.51632398868631 50.47014744476526)
05366000002408016;Wildenburger Straße;POINT (6.513110128375903 50.46908288752845)
05366000002408025;Asserweg;POINT (6.537475503415543 50.488586058407975)
05366000002408026;Buschweg;POINT (6.5363402720582995 50.488976561039664)
05366000002408027;Heisterter Straße;POINT (6.537860913752878 50.48938877752374)
05366000002408028;Salberbach;POINT (6.5357305678709094 50.48900672433869)
05366000002408029;Wahlener Straße;POINT (6.537627345486063 50.48915066015507)
05366000002408030;Scheidhof;POINT (6.539114150655988 50.484819661789395)
05366000002408035;Annaweg;POINT (6.598914047036173 50.54767466897416)
05366000002408036;Antoniusweg;POINT (6.5973529125705905 50.54662694873273)
05366000002408037;Erlenweg;
05366000002408038;Gute Hoffnung;POINT (6.590155364115907 50.54795054482636)
05366000002408039;Lindenstraße;POINT (6.595916705556581 50.54730558095127)
05366000002408040;Schevener Straße;POINT (6.598685665415454 50.54836690387458)
05366000002408041;Wacholderweg;POINT (6.595353965360231 50.547479930666405)
05366000002408050;Eifelstraße;POINT (6.517826929225178 50.50400895676866)
05366000002408051;Hagelsheck;POINT (6.518787513342221 50.5047945047881)
05366000002408052;Hagebuttenweg;POINT (6.52056361168703 50.505557767708666)
05366000002408053;Im Haag;POINT (6.519390081207023 50.507402517567904)
05366000002408054;Rotdornweg;POINT (6.518790730882126 50.50384921210747)
05366000002408055;Schlehenweg;POINT (6.516177808523333 50.504690843611485)
05366000002408056;Vennstraße;POINT (6.517202765245035 50.50500111351572)
05366000002408065;Klausengarten;POINT (6.545398024759287 50.49104447480014)
05366000002408066;Moosberg;POINT (6.54147651005238 50.48998630368379)
05366000002408071;Auf dem Forst;POINT (6.524900786978711 50.525671492717464)
05366000002408072;Auf der Kegelbahn;POINT (6.5194833822101526 50.523697668865424)
05366000002408073;Broicher Straße;POINT (6.531206627139366 50.52787821406169)
05366000002408074;Höhenweg;POINT (6.531205559090084 50.52832378619599)
05366000002408075;Kapellenstraße;POINT (6.532171681065372 50.528043347678896)
05366000002408076;Lötzenweg;POINT (6.526906189708776 50.52646446116103)
05366000002408077;Marienstraße;POINT (6.536186279563103 50.529472484528036)
05366000002408078;Mittelstraße;POINT (6.528115234064414 50.52691698184306)
05366000002408079;Oberstraße;POINT (6.51798941688461 50.522928154084816)
05366000002408080;Ronnstraße;POINT (6.519111547760719 50.522374919745204)
05366000002408081;Straßbüscher Weg;POINT (6.534476087519449 50.526853912558664)
05366000002408082;Cäcilienstraße;POINT (6.5344921571755865 50.528764807677234)
05366000002408083;Spelzberg;POINT (6.518313640463781 50.52420205689284)
05366000002408084;Wintzener Weg;POINT (6.519417853244162 50.52492512117503)
05366000002408085;Fuhrweg;
05366000002408091;Aachener Straße;POINT (6.551442743644224 50.53966602884846)
05366000002408092;Am Hallenbad;POINT (6.550821902387802 50.53347324608205)
05366000002408093;Am Hammerwerk;POINT (6.552477314630416 50.536146983588495)
05366000002408094;Am Hüttengraben;POINT (6.552456748877377 50.537666076846065)
05366000002408095;Amselweg;POINT (6.546565106594422 50.54239015126582)
05366000002408096;Am Trinkpütz;POINT (6.566582159967985 50.542842345875016)
05366000002408097;Auelstraße;POINT (6.5527038854662285 50.54371986185192)
05366000002408098;Auf dem Büchel;POINT (6.553661698298686 50.5407580848452)
05366000002408099;Auf dem Fels;POINT (6.561675464565706 50.5433979680059)
05366000002408100;Auf dem Knoppen;POINT (6.547451964773216 50.540840700991915)
05366000002408101;Auf der Natzen;POINT (6.564894186925291 50.54120081779802)
05366000002408102;Bahnhofstraße;POINT (6.556654126236567 50.54017285567466)
05366000002408103;Brunnenweg;POINT (6.565887263613285 50.54217000027541)
05366000002408104;Drosselweg;POINT (6.54262667182021 50.536856714222765)
05366000002408105;Eisenauerstraße;POINT (6.549518372665351 50.54394656711537)
05366000002408106;Gemünder Straße;POINT (6.558170202219671 50.541681221619996)
05366000002408107;Grüner Weg;POINT (6.550042297979335 50.542359089176955)
05366000002408108;Güldenhof;POINT (6.570276845101365 50.54824809429278)
05366000002408109;Heidestraße;POINT (6.567815422984893 50.539253390201715)
05366000002408110;Hindenburgstraße;POINT (6.55269357605118 50.538896633079304)
05366000002408111;Hüttenstraße;POINT (6.562535197861711 50.54192154998353)
05366000002408112;Hüvelspesch;POINT (6.563101138889894 50.54564692703867)
05366000002408113;Im Fleschengarten;POINT (6.551464901920626 50.542178279960474)
05366000002408114;Im Sträßchen;POINT (6.557106013435256 50.54167462064716)
05366000002408115;Im Vogtpesch;POINT (6.555442358774893 50.54043727476577)
05366000002408116;In der Laach;POINT (6.570118506690528 50.5459696646435)
05366000002408117;Kallbachstraße;POINT (6.549479201983629 50.538155527402616)
05366000002408118;Kanalstraße;POINT (6.568184145353656 50.541728053552404)
05366000002408119;Keldenicher Straße;POINT (6.561854406254371 50.54112955682139)
05366000002408120;Keltenstraße;POINT (6.568593489918329 50.54244810079483)
05366000002408121;Knipperweg;POINT (6.545596654991519 50.540150868870334)
05366000002408122;Kölner Straße;POINT (6.565242145222514 50.5447352151162)
05366000002408123;Kropelspfad;POINT (6.560070189863432 50.53804262950252)
05366000002408124;Kupferstraße;POINT (6.563544046513273 50.541442169610086)
05366000002408125;Leiengarten;POINT (6.552513847524419 50.54160479921285)
05366000002408126;Loshardt;POINT (6.5499458628856155 50.53652923598068)
05366000002408127;Moorweg;POINT (6.567023639093288 50.54225766952432)
05366000002408128;Pfarrer-Reinartz-Straße;POINT (6.563241055241854 50.54623938239165)
05366000002408129;Quellenweg;POINT (6.566313880489429 50.54234489347926)
05366000002408130;Riedweg;POINT (6.567170194549106 50.54269836439393)
05366000002408131;Steinbusch;POINT (6.573196272478221 50.54355163487303)
05366000002408132;Stürzerhof;POINT (6.567065953834236 50.54477582830141)
05366000002408133;Tanzbergstraße;POINT (6.570096599156267 50.543655980670714)
05366000002408134;Trierer Straße;POINT (6.558075911657053 50.538368858994865)
05366000002408135;Uferstraße;POINT (6.554396635753795 50.54399130563974)
05366000002408136;Wackerberg;POINT (6.521298797788143 50.55015905285925)
05366000002408138;Weidenstraße;POINT (6.567574859601601 50.54114353272032)
05366000002408139;Weiherbenden;POINT (6.554284070211761 50.538956045203015)
05366000002408140;Weißdornweg;POINT (6.548625851501652 50.53963463988256)
05366000002408141;Zinnstraße;POINT (6.564824353161557 50.54252216308114)
05366000002408142;An der Schmelze;POINT (6.583377422901401 50.544134542910314)
05366000002408143;Daimlerstraße;POINT (6.589695604913169 50.54553787569982)
05366000002408144;Siemensring;POINT (6.575819844828802 50.544840417844256)
05366000002408145;Starenweg;POINT (6.546032107702957 50.539655794430935)
05366000002408146;Elsternweg;POINT (6.54143597525623 50.53767017830594)
05366000002408147;Fasanenweg;POINT (6.542079697499862 50.53884456373611)
05366000002408148;Karolingerstraße;POINT (6.5679959498596325 50.54365549438154)
05366000002408149;Kruppstraße;
05366000002408150;Büchel-Eck;POINT (6.551875290583438 50.54094821458865)
05366000002408151;Zum Ostlandkreuz;POINT (6.544678773640039 50.54175887268968)
05366000002408152;Zum Felsblick;POINT (6.54786514554493 50.54200537283953)
05366000002408153;Am Heidekopf;POINT (6.545752296707803 50.54262270902613)
05366000002408154;Lilienstraße;POINT (6.562431253246983 50.53930113874294)
05366000002408155;Geranienweg;POINT (6.5631584214975245 50.54021937909268)
05366000002408156;Akazienstraße;POINT (6.565258558069864 50.539506819771375)
05366000002408157;Beerenweg;POINT (6.565143546353751 50.53853130535826)
05366000002408158;Am Haselbusch;POINT (6.565016383359441 50.539791195793924)
05366000002408159;Benzstraße;POINT (6.5777649736279065 50.540999897981074)
05366000002408160;Thyssenstraße;POINT (6.573525352866983 50.54450193798282)
05366000002408161;Am Stellwerk;POINT (6.5590649764994415 50.540809292968845)
05366000002408162;Heinkelstraße;POINT (6.5734380887611294 50.54762363582848)
05366000002408163;Werner-Schumacher-Straße;POINT (6.5754398623712325 50.54970217760524)
05366000002408164;Junkersstraße;POINT (6.571701069926262 50.550033493939324)
05366000002408165;Messerschmittstraße;POINT (6.571601729184147 50.552292538735365)
05366000002408166;Auf der Rinne;POINT (6.5708623601959495 50.54450503334079)
05366000002408167;Holunderweg;POINT (6.561049369250612 50.53792840350079)
05366000002408168;Falkenweg;POINT (6.543364131154268 50.54279838924466)
05366000002408169;Zaunkönigstraße;POINT (6.543040441990321 50.54288189993982)
05366000002408170;Rotkehlchenweg;POINT (6.544274516524538 50.542838110601586)
05366000002408171;Schwalbenweg;POINT (6.545552699914859 50.54379364216557)
05366000002408172;Eichelhäherweg;POINT (6.54758247239123 50.54388852002426)
05366000002408173;Am Kreisgarten;POINT (6.565871132008881 50.54669007084753)
05366000002408174;Bachweg;POINT (6.558160806862264 50.544241414041664)
05366000002408175;Dachsweg;POINT (6.560839324267905 50.54397018029826)
05366000002408176;Apfelpesch;POINT (6.562229553010926 50.54484175819002)
05366000002408177;Goldkuhl;POINT (6.559673837265941 50.5447113561878)
05366000002408178;Hausacker;POINT (6.559443841796856 50.54553303589549)
05366000002408179;Neuer Markt;POINT (6.554506228426174 50.540168056462775)
05366000002408180;Stollenweg;POINT (6.550428781863676 50.53434314287608)
05366000002408181;Grubenstraße;POINT (6.549923008148754 50.53387334742962)
05366000002408182;Kleewiese;POINT (6.560171851793041 50.54022267514062)
05366000002408183;Markscheide;POINT (6.551359909605395 50.532645658905125)
05366000002408211;Ahornweg;POINT (6.58372497353372 50.53755194825424)
05366000002408212;Auf dem Tanzberg;POINT (6.58900290015557 50.539107636930424)
05366000002408213;Auf der Kier;POINT (6.584997525159133 50.53806471690875)
05366000002408214;Auf der Lehmaar;POINT (6.586307819660095 50.53405247526849)
05366000002408215;Birkenweg;POINT (6.585918828821299 50.53383500905797)
05366000002408216;Brigidastraße;POINT (6.582783521146659 50.538314644415756)
05366000002408217;Burggasse;POINT (6.585145563340914 50.53537394267758)
05366000002408218;Dahlienweg;POINT (6.586387310253816 50.53642755014056)
05366000002408219;Dechant-Wolfgarten-Straße;POINT (6.584674775502132 50.53653933688049)
05366000002408220;Dionysiusstraße;POINT (6.587686419931691 50.53379944302682)
05366000002408221;Eschenweg;POINT (6.586724987698521 50.53868997610703)
05366000002408222;Fensvogel;POINT (6.585646443963717 50.536918488125856)
05366000002408223;Frankenstraße;POINT (6.587426155191482 50.53895309209517)
05366000002408224;Giertzenbergstraße;POINT (6.585064007946385 50.5340386706468)
05366000002408225;Güntzentalerhof;POINT (6.6042055410873 50.52271706553702)
05366000002408226;Hövelshof;POINT (6.5933471049986725 50.516878818801764)
05366000002408227;Hof Brandenbusch;POINT (6.595000729083457 50.52254574040993)
05366000002408228;Hof Kleinholz;POINT (6.5930306163367165 50.52232020090148)
05366000002408229;Hunksenkaul;POINT (6.583691572748161 50.53630937669552)
05366000002408230;Im Kreuzgarten;POINT (6.587255531113939 50.538114420043925)
05366000002408231;Klein-Köln;POINT (6.58564391031052 50.53776279041285)
05366000002408232;Königsfelderstraße;POINT (6.591229594713957 50.53873475168774)
05366000002408233;Margaretenhof;POINT (6.606406955441761 50.52451106114994)
05366000002408234;Meurerhof;POINT (6.597275186129587 50.53658965812951)
05366000002408235;Pützberg;POINT (6.584083194125626 50.53843009463225)
05366000002408236;Römerstraße;POINT (6.587576497134035 50.5371061338096)
05366000002408237;Schwalbenhof;POINT (6.5908217688172925 50.52648233796541)
05366000002408238;Stolzenburgstraße;POINT (6.584324760680059 50.53531423697941)
05366000002408239;Talweg;POINT (6.588480760132024 50.53528932616608)
05366000002408240;Tulpenweg;POINT (6.58626587397067 50.53712801599506)
05366000002408241;Urfeyer Straße;POINT (6.590077819877911 50.53627220834434)
05366000002408242;Kastanienweg;POINT (6.585268431730649 50.53302327637358)
05366000002408243;Lourdesstraße;POINT (6.582472780779568 50.53898450510892)
05366000002408244;Taubentaler Hof;POINT (6.591999131284464 50.5329233618756)
05366000002408245;Eibenweg;POINT (6.585029871073245 50.53479200124701)
05366000002408251;Ahrstraße;POINT (6.533259684978401 50.470469498642444)
05366000002408252;Am Kreuz;POINT (6.522019125406205 50.47316827211461)
05366000002408253;Auf der Heide;POINT (6.5234293345428 50.47811799537163)
05366000002408254;Barbarastraße;POINT (6.532002376753018 50.47143153080127)
05366000002408255;Eichenweg;POINT (6.53592550803197 50.47537537047917)
05366000002408256;Fichtenweg;POINT (6.532892545237988 50.473095922179034)
05366000002408257;Finkenweg;POINT (6.533708963191621 50.4720115756904)
05366000002408258;Forsthaus Krekel;POINT (6.528803108549167 50.47054289606368)
05366000002408259;Meisenweg;POINT (6.53501911106761 50.46956216053216)
05366000002408260;Rüther Straße;POINT (6.53389920673646 50.47164633258939)
05366000002408271;Bergstraße;POINT (6.539112887235743 50.51181493309281)
05366000002408272;Blumenstraße;POINT (6.540381845654602 50.51324819660808)
05366000002408273;Holzgasse;POINT (6.545067819263779 50.51257700982831)
05366000002408274;Hellenberg;POINT (6.543856306186458 50.51380648252624)
05366000002408275;Im Acker;POINT (6.540235420971859 50.51157252949218)
05366000002408276;Im Siefen;POINT (6.545815373348435 50.5148334539668)
05366000002408277;Karolinenhof;POINT (6.54677645091916 50.503070957820846)
05366000002408278;Michaelstraße;POINT (6.543591804829245 50.513235672852346)
05366000002408279;Sistaler Straße;POINT (6.53816850219899 50.51248676703638)
05366000002408280;Sötenicher Straße;POINT (6.542687797384887 50.512305777250745)
05366000002408281;Wiedenhof;POINT (6.5411555317790535 50.5054895535569)
05366000002408291;Forstweg;POINT (6.532051873693584 50.46457948111991)
05366000002408292;Lärchenweg;POINT (6.530491258930802 50.46468461951888)
05366000002408293;Tannenweg;POINT (6.530706781524846 50.46500515916248)
05366000002408294;Ulmenweg;POINT (6.529728292642851 50.463449185541386)
05366000002408299;Forsthaus Rüth;POINT (6.543904517994279 50.467016852173465)
05366000002408300;Isselweg;POINT (6.542145801779569 50.471575660247154)
05366000002408301;Krekeler Straße;POINT (6.5422201769034665 50.471214575907496)
05366000002408302;Rosterbenden;POINT (6.5396908909203075 50.47183974521082)
05366000002408303;Rutscheid;POINT (6.5398506419207765 50.47134479806871)
05366000002408309;Am Tunnel;POINT (6.5856251362345954 50.5517090646587)
05366000002408310;Bleibachstraße;POINT (6.590965922763493 50.557484629093494)
05366000002408311;Fliederweg;POINT (6.587356942846144 50.558394485538244)
05366000002408312;Furtstraße;POINT (6.589882331421707 50.556995677243016)
05366000002408313;Heidehof;POINT (6.576777157677293 50.55084268624349)
05366000002408314;Hühnergasse;POINT (6.588241245013535 50.560429849590946)
05366000002408315;Kitschburg;POINT (6.5867868863174435 50.55940135591377)
05366000002408316;Klausentalstraße;POINT (6.588204267346733 50.56147971087825)
05366000002408317;Ringstraße;POINT (6.5891652584322795 50.56218250605214)
05366000002408318;Schmiedegasse;POINT (6.590816094440697 50.55830744962521)
05366000002408319;Wallenthaler Straße;POINT (6.588434191981419 50.55918503911554)
05366000002408320;Westschacht;
05366000002408321;Zum Beestental;POINT (6.587585291643898 50.55897421472714)
05366000002408322;Hinter der Hag;POINT (6.59003442236842 50.56258663844549)
05366000002408323;Auf dem Bongart;POINT (6.592403170181676 50.557003988652546)
05366000002408324;Am Alenberg;POINT (6.585693514370339 50.56140338427727)
05366000002408325;An der Eiche;POINT (6.589265909672058 50.55962974171091)
05366000002408326;Reidtwerk;
05366000002408327;Metallhütte;POINT (6.577112814730645 50.54994260843923)
05366000002408333;Am Hang;POINT (6.519237802779873 50.49038268372893)
05366000002408334;Auf dem Stützgen;POINT (6.5225996332520495 50.491063455515324)
05366000002408335;Blankenheimer Straße;POINT (6.516259048183905 50.489270925198554)
05366000002408336;Friedhofsweg;POINT (6.518778498093816 50.49436645776363)
05366000002408337;Frohnrather Weg;POINT (6.517079169009438 50.49639546584289)
05366000002408338;Im Venn;POINT (6.501433182889668 50.50604296495136)
05366000002408339;Im Wiesengrund;POINT (6.517359107955659 50.48946663998453)
05366000002408340;In den Peschen;POINT (6.520731187841946 50.49260403630718)
05366000002408341;In der Fließ;POINT (6.516424697825694 50.491919734246146)
05366000002408342;In der Sürsch;POINT (6.521039023717437 50.4916231283702)
05366000002408343;Kalkgasse;POINT (6.522413738143285 50.494026198611955)
05366000002408344;Kaller Straße;POINT (6.519904925036154 50.494625476077545)
05366000002408345;Kirchplatz;POINT (6.517577874261002 50.49118132748327)
05366000002408346;Kirschhecke;POINT (6.515617147118252 50.49305980206323)
05366000002408347;Neustraße;POINT (6.517374679551343 50.49387208580992)
05366000002408348;Prethof;POINT (6.525837516728495 50.50110914330961)
05366000002408349;Quirinusborn;POINT (6.518793639764245 50.48957371864357)
05366000002408350;Schergasse;POINT (6.5153810101447 50.49040004199674)
05366000002408351;Schleidener Straße;POINT (6.516632018417662 50.49147423532535)
05366000002408352;Schleidweg;POINT (6.514180147930423 50.497298406321256)
