strassenschluessel;bezeichnung;geometry
05166000001211001;Acker;POINT (6.41734936054569 51.364088744671115)
05166000001211002;Brahmsweg;
05166000001211003;Ahornweg;POINT (6.418303189064668 51.35275050813562)
05166000001211004;Hagelkreuzweg;
05166000001211005;Alte Schulstraße;POINT (6.4194074283200155 51.36568344433639)
05166000001211006;Alter Prozessionsweg;POINT (6.432480447355628 51.35502541682285)
05166000001211007;Am Bahnhof;POINT (6.426290844982166 51.36578427279716)
05166000001211008;An der Kreuzkapelle;POINT (6.430775554702425 51.35538987590859)
05166000001211009;Am Bengt;POINT (6.413398963125522 51.35950831770637)
05166000001211010;Auguste-Tibus-Straße;POINT (6.4257129458457936 51.354996103206744)
05166000001211011;Am Gymnasium;POINT (6.413363786177055 51.36651548544756)
05166000001211012;Am Propsteigarten;POINT (6.420972805892249 51.36445060606282)
05166000001211013;Am Selder;POINT (6.427791557373133 51.37177822389855)
05166000001211014;Am Waldschlößchen;POINT (6.407014776221313 51.35744172386754)
05166000001211015;Amselweg;POINT (6.422709056634779 51.35709533843324)
05166000001211016;Arnoldplatz;
05166000001211017;Am Schlehdorn;POINT (6.410011171185857 51.36480425182204)
05166000001211018;Am Stadtgarten;POINT (6.407746804887703 51.353703822579405)
05166000001211019;Am Weihbusch;POINT (6.417128766557975 51.351622170687016)
05166000001211020;Am Weiher;POINT (6.409612085828154 51.3553091218165)
05166000001211021;Am Werthchen;POINT (6.413016844798604 51.36040268907063)
05166000001211022;Am Wasserturm;POINT (6.4351520084202685 51.364892833895276)
05166000001211023;An der Bleiche;POINT (6.428065893398453 51.3637989934146)
05166000001211024;Arnold-Janssen-Straße;POINT (6.417577501352577 51.36339094457011)
05166000001211025;An der Flöth;POINT (6.414995806726186 51.35193277727124)
05166000001211026;An Peschbenden;POINT (6.412722673754997 51.35599619068391)
05166000001211027;An Sankt Marien;POINT (6.419137079002452 51.36384239775262)
05166000001211028;Asternweg;POINT (6.420446230015709 51.35679569981428)
05166000001211029;Arnoldstraße;POINT (6.4275608308483 51.36790200006921)
05166000001211030;Bergiusstraße;POINT (6.403518474761987 51.37385984039154)
05166000001211031;Berliner Allee;POINT (6.405616311970683 51.36811163966424)
05166000001211032;Bergerstraße;POINT (6.4352796955735565 51.35850252663982)
05166000001211033;Von-Suttner-Straße;POINT (6.4066360136969465 51.37160128120293)
05166000001211034;Bircksstraße;POINT (6.430631124226118 51.36587488781421)
05166000001211035;Birkenallee;POINT (6.412385484050726 51.357883919901454)
05166000001211036;An der Kornmühle;POINT (6.4413511141582545 51.36348622668773)
05166000001211037;Blatendoop;POINT (6.424934373132137 51.35715076795958)
05166000001211039;Bockengasse;POINT (6.419144126266777 51.36481907045704)
05166000001211041;Bongert;POINT (6.414248872223614 51.35882766621269)
05166000001211042;Bonnenzistraße;POINT (6.432661896949003 51.36027230844387)
05166000001211043;Breslauer Straße;POINT (6.412301179563882 51.35234046107705)
05166000001211045;Briandstraße;POINT (6.410418313762807 51.373708795718926)
05166000001211047;Bucheneck;POINT (6.415303605998959 51.35392880358381)
05166000001211049;Burggasse;POINT (6.423564534856725 51.367318689232285)
05166000001211051;Burgring;POINT (6.420256127586039 51.367199231731405)
05166000001211053;Burgstraße;POINT (6.421269839972799 51.364765963983594)
05166000001211055;Burgwall;POINT (6.418810705466997 51.366301909231275)
05166000001211057;Buttermarkt;POINT (6.41830399996788 51.36406954015238)
05166000001211059;Chemnitzer Straße;POINT (6.412459737138093 51.354698307118795)
05166000001211061;Clemens-August-Straße;POINT (6.419915165292307 51.37027049671721)
05166000001211063;Concordienplatz;POINT (6.4112943733962 51.37107995266536)
05166000001211065;Comeniusstraße;POINT (6.4149146575528 51.36891711193322)
05166000001211067;Dämkesweg;POINT (6.408598306364231 51.36390255613296)
05166000001211068;Dahlienweg;POINT (6.421701800576032 51.35485321263482)
05166000001211069;Danziger Straße;POINT (6.41209151508049 51.35150044901354)
05166000001211071;De-Veuster-Straße;POINT (6.410794671916933 51.37255290577545)
05166000001211072;Dieckmannstraße;POINT (6.433226535634894 51.35741799900264)
05166000001211073;Dinkelbergstraße;POINT (6.4240256189421405 51.36023262693586)
05166000001211075;Donkring;POINT (6.420203850767552 51.36203452349669)
05166000001211077;Donkwall;POINT (6.4229825032363115 51.36420760548028)
05166000001211079;Dresdener Straße;POINT (6.410936970118041 51.35239748886523)
