strassenschluessel;bezeichnung;geometry
05154000003258001;Adolf-Kolping-Str.;POINT (6.234597317400576 51.588919240158326)
05154000003258002;Alte Wember Str.;POINT (6.237368215066173 51.58324202780875)
05154000003258003;Alte Heerstr.;POINT (6.258265257427335 51.574210699586345)
05154000003258004;Alte Wettener Straße;POINT (6.258372062104044 51.58339704061298)
05154000003258005;Alte Weezer Str.;POINT (6.238020477651044 51.59067402513902)
05154000003258006;Am Alten Wasserwerk;POINT (6.229988251787867 51.584352640800326)
05154000003258007;Am Bahnhof;POINT (6.249826194289132 51.58262403799867)
05154000003258008;Albert-Einstein-Straße;POINT (6.242003764626405 51.570866790953524)
05154000003258009;Am Grüntal;POINT (6.229019171668529 51.557472928801744)
05154000003258010;St.-Klara-Weg;POINT (6.242402752900084 51.58044360648195)
05154000003258011;Am Hagelkreuz;POINT (6.241997513669326 51.58776622138141)
05154000003258012;Am Museum;POINT (6.245207230155287 51.58311617786203)
05154000003258013;Am Kropp;POINT (6.251178746454918 51.5858944038013)
05154000003258014;Am Schenken;POINT (6.2524607597638875 51.58303263508407)
05154000003258015;Amsterdamer Str.;POINT (6.242152352106734 51.58490049946992)
05154000003258016;Am Schleußgraben;POINT (6.248605886299169 51.5884399326893)
05154000003258017;Annastr.;POINT (6.245741078855401 51.582321426141526)
05154000003258018;Am Vondermanns-Park;POINT (6.239087051279989 51.578704198065935)
05154000003258019;Antoniusstr.;POINT (6.250219653776247 51.58058735383327)
05154000003258020;Am Wasserturm;POINT (6.236302586939299 51.58224110321387)
05154000003258021;An der Dondert;POINT (6.242662659073423 51.58803179276363)
05154000003258022;Arndtstr.;POINT (6.251493156693906 51.57348752114824)
05154000003258023;Bachstr.;POINT (6.233357609489286 51.585255421408505)
05154000003258024;Am Hegerath;POINT (6.246384040389844 51.57456080669421)
05154000003258025;Bahnstr.;POINT (6.248931052153521 51.58235973183866)
05154000003258026;Bertha-von-Suttner-Straße;POINT (6.238937356434582 51.57157682733194)
05154000003258027;Basilikastr.;POINT (6.249477082127997 51.583775856018036)
05154000003258028;Berliner Straße;POINT (6.24532588819931 51.575211971717415)
05154000003258029;Beethovenring;POINT (6.244620767290371 51.57392455026238)
05154000003258030;Bertroisweg;POINT (6.229651603510991 51.58368636566614)
05154000003258031;Biegstr.;POINT (6.248508021409163 51.57441340034299)
05154000003258032;Bischof-Janssen-Straße;
05154000003258033;Bleichstr.;POINT (6.252187595984178 51.582687181820916)
05154000003258034;Antwerpener Platz;POINT (6.240451125125841 51.58431351791406)
05154000003258035;Blumenstr.;POINT (6.237665623301248 51.58438022294359)
05154000003258036;Bonifatiusstraße;POINT (6.24754978872147 51.58277334482682)
05154000003258037;Bogenstr.;
05154000003258038;Boschstraße;
05154000003258039;Brahmsstr.;POINT (6.243986733714412 51.573779365794934)
05154000003258040;Am Heideweg;POINT (6.228720836950151 51.582766848858945)
05154000003258041;Breslauer Str.;POINT (6.251149750265986 51.566159128391476)
05154000003258042;An der Kuckucksley;POINT (6.227957044132584 51.58293014529855)
05154000003258043;Broeckhof;POINT (6.235469241720488 51.5856740905458)
05154000003258044;Am Knollenkamp;POINT (6.242356120029127 51.57768263740533)
05154000003258045;Brucknerstr.;POINT (6.243827576498418 51.57234248916807)
05154000003258046;Büldersweg;POINT (6.240645995066752 51.579425273401)
05154000003258047;Brunnenstr.;POINT (6.236210277445654 51.58324390632367)
05154000003258048;Buchfinkenweg;POINT (6.2411514716513 51.59009593475931)
05154000003258049;Busmannstr.;POINT (6.244865500330419 51.581391796725626)
05154000003258050;Bury St. Edmunds-Str.;POINT (6.2461686125119895 51.58029740814362)
05154000003258051;Cranachstr.;POINT (6.2354114455626855 51.59043077468676)
05154000003258052;Dietrich-Bonhoeffer-Str.;POINT (6.238105197467848 51.5853922875135)
05154000003258053;Dondertstr.;POINT (6.246379774803747 51.58691084065309)
05154000003258054;Delbrückstraße;POINT (6.258852953727338 51.567359854923374)
05154000003258055;Drissenpaß;POINT (6.234722955470749 51.58616314706754)
05154000003258056;Am Lippengut;POINT (6.2425144589814785 51.57815238304595)
05154000003258057;Drosselweg;POINT (6.2401503720957825 51.59069301256887)
05154000003258058;Bischof-van-Aaken-Str.;POINT (6.249537982978766 51.575202163499064)
05154000003258059;Dürerstr.;POINT (6.235551703043611 51.59180522022544)
05154000003258060;Europaplatz;
05154000003258061;Eckstr.;POINT (6.2205328719033 51.58204727087192)
05154000003258062;Edith-Stein-Ring;POINT (6.238147076622487 51.582927665488825)
05154000003258063;Egmontstr.;POINT (6.237214334864909 51.58360905397482)
05154000003258064;Elsa-Brändström-Straße;POINT (6.239768550781832 51.57148255631892)
05154000003258065;Feldstr.;POINT (6.256523989464678 51.58095844333579)
05154000003258066;Fritz-Reuter-Straße;POINT (6.239543775594481 51.57069743312104)
05154000003258067;Fliederweg;POINT (6.245728184698814 51.57679644428645)
05154000003258068;Roermonder Platz;
05154000003258069;Friedenstr.;POINT (6.248657369237285 51.58506838085562)
05154000003258070;Schmeelenweg;
05154000003258071;Friedrich-Stummel-Str.;POINT (6.23227765108058 51.58930677901386)
05154000003258072;Hoogemittagsweg;POINT (6.230463107780014 51.578730486306085)
05154000003258073;Gartenstr.;
05154000003258074;Am Europaplatz;POINT (6.253455693255696 51.57877941224774)
05154000003258075;Gelderner Str.;POINT (6.248871674111664 51.581025092591744)
05154000003258076;Heilmansstraße;
05154000003258077;Gerhard-Korthaus-Str.;POINT (6.233928161873554 51.589822996836574)
05154000003258078;Gewerbering;POINT (6.266443856399245 51.57790904561953)
05154000003258079;Van Geysternstr.;POINT (6.21663673278571 51.58426471715612)
05154000003258080;Gluckstr.;POINT (6.244325265254126 51.569936188996984)
05154000003258081;Grünewaldstr.;POINT (6.235424646248623 51.590961487296774)
05154000003258082;Griegstr.;POINT (6.246622562745431 51.57013987852647)
05154000003258083;Hauptstr.;POINT (6.24711442685566 51.58257113316873)
