strassenschluessel;bezeichnung;geometry
05966000001616001;Ahe;POINT (8.085071998852328 51.043952487343894)
05966000001616002;Böminghauser Weg;POINT (8.117738201015035 51.065197705880095)
05966000001616003;Brachthauser Weg;POINT (8.115536177679608 51.05647357269879)
05966000001616004;Brachtweg;POINT (8.112044936115039 51.05849921217725)
05966000001616005;Bruchweg;POINT (8.118166587218282 51.06487188947058)
05966000001616006;Burgweg;POINT (8.117030735588747 51.055083001679215)
05966000001616007;Heinsberger Straße;POINT (8.121816366279454 51.05737248509513)
05966000001616008;Im Kleff;POINT (8.11486974749167 51.060359163896614)
05966000001616009;Im Knickhahn;POINT (8.122666449891776 51.0570825798399)
05966000001616010;In der Grüne;POINT (8.113424396359436 51.06461349439772)
05966000001616011;Kapellenweg;POINT (8.114438346335207 51.05948942015058)
05966000001616012;Kirchweg;POINT (8.117224016532392 51.06319866618493)
05966000001616013;Leggenweg;POINT (8.113925739926328 51.05815315066364)
05966000001616014;Mühlenstraße;POINT (8.11582649838728 51.0640201188936)
05966000001616015;Schützenstraße;POINT (8.116935452012228 51.05629741190757)
05966000001616016;Zum Stüvelhagen;POINT (8.11283353037063 51.06176764661026)
05966000001616017;Langes Stück;POINT (8.118580832890586 51.062766198622)
05966000001616021;Alpenhaus;POINT (8.189113795807243 51.10327214767604)
05966000001616022;Arnoldihof;POINT (7.945170598508905 51.04519095125422)
05966000001616023;Am Olpebach;POINT (8.02457008849665 51.06228542202036)
05966000001616024;Am Schothen;POINT (8.017449489161724 51.06191540805015)
05966000001616025;Auf'm Bruch;POINT (8.022642046364046 51.059106050946724)
05966000001616026;Bahnweg;POINT (8.036653585305812 51.06477288535819)
05966000001616027;Bundesstraße;POINT (8.021872340519542 51.061375039165)
05966000001616028;Ennestweg;POINT (8.026031664660657 51.06151577794084)
05966000001616029;Hardtweg;POINT (8.02587689757424 51.06376994101965)
05966000001616030;Im Inken;POINT (8.022634570733457 51.062658465546306)
05966000001616031;Rodeweg;POINT (8.025996475935981 51.06085059313947)
05966000001616032;Triftweg;POINT (8.025176840024331 51.05995812509405)
05966000001616033;Zur Nothelle;POINT (8.022049749281965 51.058440359263315)
05966000001616034;Zur Rimmert;POINT (8.0237730521785 51.06105269711218)
05966000001616035;Heidering;POINT (8.02855224166686 51.0615065209872)
05966000001616040;Berghof;POINT (8.080896078791387 51.06690659545459)
05966000001616041;Bettinghof;POINT (8.09777426603666 51.09604346873872)
05966000001616042;Böminghausen;POINT (8.12847791322189 51.073508797631604)
05966000001616043;Böminghauser Werk;POINT (8.11987979306709 51.07158029051807)
05966000001616044;Am Ahebach;POINT (8.086287036676923 51.03274975011164)
05966000001616045;Am Höchsten;POINT (8.090660991431262 51.03252861960767)
05966000001616046;Am Teich;POINT (8.088432347550295 51.03098650089626)
05966000001616047;Am Wimberg;POINT (8.08716395258748 51.029538362638334)
05966000001616048;Dümpelweg;POINT (8.084090552650837 51.03287114157926)
05966000001616049;Hilchenbacher Straße;POINT (8.084673613876033 51.033521825624845)
05966000001616050;In den Gärten;POINT (8.083133178573403 51.03186099406232)
05966000001616051;Kohlhagenweg;POINT (8.0859282721185 51.03328762072608)
05966000001616052;Schartenbergweg;POINT (8.08740468216162 51.03194926760795)
05966000001616053;Schlerreweg;POINT (8.08450159673347 51.03304221103877)
05966000001616054;Schoppenohr;POINT (8.085663712075972 51.03179999493368)
05966000001616055;Zum Eichholz;POINT (8.088947772452206 51.03418738445528)
05966000001616056;Zum Ellenborn;POINT (8.091029223235257 51.03419804462064)
05966000001616057;Werner-Nies-Straße;
05966000001616062;Breitenbruch;POINT (8.048620623867459 51.05166195707299)
05966000001616063;Emlinghausen;POINT (8.084065578875208 51.05592294771297)
05966000001616064;Erlhof;POINT (8.154131322583885 51.0938021429029)
05966000001616065;Am Galgenberg;POINT (8.094224355391544 51.07537320241661)
05966000001616066;Dorfstraße;POINT (8.093208118194177 51.07534508128844)
05966000001616067;Im Bruch;POINT (8.092532728611697 51.07213027434609)
05966000001616068;Schulweg;POINT (8.091008472468681 51.07544932592279)
05966000001616069;Zu den Vierlinden;POINT (8.094255267374523 51.07377014767068)
05966000001616075;Haus Bruch;POINT (8.137282608892887 51.08969290063391)
05966000001616076;Heidschott;POINT (8.043680976873066 51.06709373894419)
05966000001616077;Am Hamberg;POINT (8.147028921868536 51.03723351530015)
05966000001616078;An der Kirche;POINT (8.152733661528979 51.03941719708614)
05966000001616079;Auf dem Kamp;POINT (8.157210223829725 51.03918272727185)
05966000001616080;Bergstraße;POINT (8.156488144960836 51.03859372430605)
05966000001616081;Eichholzstraße;POINT (8.150272342148211 51.04000549406273)
05966000001616082;In der Hude;POINT (8.148043933782802 51.04001049286234)
05966000001616083;Lümkerweg;POINT (8.147290725886535 51.034161359623674)
05966000001616084;Oberndorfer Straße;POINT (8.15135814151178 51.032885711117)
05966000001616085;Oberhundemer Straße;POINT (8.152484320311824 51.04001521644274)
05966000001616086;Pfeifershof;POINT (8.146713713799492 51.03318447526309)
05966000001616087;Talstraße;POINT (8.149543210300529 51.0379383563897)
05966000001616088;Vor der Höh;POINT (8.155802907699613 51.04049137670844)
05966000001616089;Zur Vogelstange;POINT (8.148338420036533 51.03377966273384)
05966000001616090;Herrntroper Straße;POINT (8.103335588150081 51.08848149011692)
05966000001616091;Alte Landstraße;POINT (8.105913601992967 51.08926402217641)
05966000001616092;Zum Brauke;POINT (8.104828158549912 51.08829727641628)
05966000001616094;Herrntrop;
05966000001616095;Am Hohenlohe;POINT (8.073469006510898 51.07515995286103)
05966000001616096;Antoniusstraße;POINT (8.070852162797015 51.073236287054364)
05966000001616097;Eichacker;POINT (8.081082426080108 51.07927731435716)
05966000001616098;Hofolper Straße;POINT (8.072432801328793 51.07676814238773)
05966000001616099;Hogge;POINT (8.067140586807154 51.07512703153675)
05966000001616100;Kampstraße;POINT (8.06044714209093 51.07244109007731)
05966000001616101;Lindenstraße;POINT (8.06779255438839 51.073514349712774)
05966000001616102;Obere Kampstraße;POINT (8.065095005447697 51.07160204999462)
05966000001616103;Saalweg;POINT (8.070551705522016 51.07494215708706)
05966000001616104;Sonnenstraße;POINT (8.06558843733859 51.07476041479615)
05966000001616105;Wilhelmshöh;POINT (8.064315064000365 51.07447373249728)
05966000001616110;Aloys-Mennekes-Straße;POINT (8.078728891041541 51.09151170975945)
05966000001616111;Alter Kirchweg;POINT (8.098789337533455 51.08124170485878)
05966000001616112;Alter Hundemweg;POINT (8.087959534370022 51.08639502885863)
05966000001616113;Am Alten Hammer;POINT (8.079192521647913 51.088324345408154)
05966000001616114;Am Emberg;POINT (8.0875663758748 51.08613943062483)
05966000001616115;Am Krähenberg;POINT (8.07671604871324 51.08809649084523)
05966000001616116;An der Legge;POINT (8.0876563902045 51.08539597693858)
05966000001616117;Bahnhofsweg;POINT (8.086325922432241 51.08768265761878)
05966000001616118;Flaper Schulweg;POINT (8.092134734299712 51.079458893631354)
05966000001616119;Flaper Straße;POINT (8.089306723300885 51.08578972649912)
05966000001616120;Gübecke;POINT (8.076325555192144 51.08586579263646)
05966000001616121;Heitmicke;POINT (8.082841365953806 51.08944645678108)
05966000001616122;Hundemstraße;POINT (8.084851891730494 51.08667142022611)
05966000001616123;Lehmkuhle;POINT (8.091230515514443 51.07768133869258)
05966000001616124;Siegener Straße;POINT (8.077739491147899 51.08754404174481)
05966000001616125;Tötenweg;POINT (8.090055257152924 51.08703982587825)
05966000001616126;Vor dem Huchte;POINT (8.09016382389753 51.082549115472176)
05966000001616127;Am Scharfen Ohr;POINT (8.099381003956843 51.08519398200228)
05966000001616128;Am Schieferstollen;POINT (8.096189576800922 51.08250526599216)
05966000001616129;An der Hauptschule;POINT (8.09780534890973 51.08212659538586)
05966000001616130;Im Alten Feld;POINT (8.101295572907597 51.08481683623941)
05966000001616131;Kreuzbergstraße;POINT (8.099149343532348 51.08492740094952)
05966000001616132;Prozessionsweg;POINT (8.093554138850502 51.08304994749691)
05966000001616133;Zum Ochsenstein;POINT (8.099571320328785 51.08154018820211)
