strassenschluessel;bezeichnung;geometry
05382000002421002;Am Eichholz;POINT (7.234112622636866 50.69075184037119)
05382000002421003;Am Heidchen;POINT (7.231857293389049 50.69151032310437)
05382000002421004;Am Nikolausbach;POINT (7.2323063620624035 50.693218541177295)
05382000002421005;Am Schleifstein;POINT (7.232791927890974 50.700563677308)
05382000002421006;An den Erlen;POINT (7.225573604213524 50.69377227750515)
05382000002421007;Auf dem Scheid;POINT (7.229522386558839 50.6942448897569)
05382000002421008;Auf der Bergwiese;POINT (7.234885943282917 50.69513262530398)
05382000002421009;Birkenweg;POINT (7.235983028708218 50.69086927817471)
05382000002421010;Dahlienweg;POINT (7.23075473952747 50.698879653078826)
05382000002421011;Dollendorfer Straße;POINT (7.230539101726589 50.69594225576527)
05382000002421012;Eibenweg;POINT (7.23064318109701 50.698078940279295)
05382000002421013;Gubener Weg;
05382000002421014;Herderstraße;POINT (7.230383711539652 50.69405961312039)
05382000002421015;Im Kottsiefen;POINT (7.231625327446577 50.694073477323535)
05382000002421016;Im Untersten Garten;POINT (7.229972661020361 50.70198669597169)
05382000002421017;Lauterbachstraße;POINT (7.2319781326739525 50.696738175220275)
05382000002421018;Oelbergstraße;POINT (7.233723484236982 50.692915548779105)
05382000002421019;Petrusstraße;POINT (7.231107520224886 50.69718345086741)
05382000002421020;Pützbungert;
05382000002421021;Rosenaustraße;POINT (7.234380923603827 50.6948944818554)
05382000002421022;Sommerfelder Straße;POINT (7.2305238531932075 50.69256918982997)
05382000002421023;Stenzelbergstraße;POINT (7.227320190839352 50.69461292442388)
05382000002421024;Torstraße;POINT (7.235079903579011 50.69154080718599)
05382000002421025;Vogtsgasse;POINT (7.236107996791431 50.69257599244931)
05382000002421026;Weilbergstraße;POINT (7.229392559465474 50.69875518645483)
05382000002421027;Winkelstraße;POINT (7.234858022034105 50.69398674141548)
05382000002421029;Aegidienberger Straße;POINT (7.272534835440839 50.67647232092963)
05382000002421030;Am Buchenwald;POINT (7.259769230672865 50.683763437182456)
05382000002421031;Am Osthang;POINT (7.266295732235469 50.677492699792715)
05382000002421032;Am Stockpütz;
05382000002421033;Am Wiesenplätzchen;POINT (7.255635657005465 50.6725521724897)
05382000002421034;Amselweg;POINT (7.274757310055714 50.68121360770802)
05382000002421035;An der Perlenhardt;POINT (7.260390314519319 50.67514774556181)
05382000002421036;Auf dem Strickart;POINT (7.267106572184638 50.677219207270205)
05382000002421037;Auf der Draveler Wiese;POINT (7.26304566560809 50.67850005632626)
05382000002421038;Brunnenstraße;POINT (7.274789098651534 50.68262214657655)
05382000002421039;Döttscheider Weg;POINT (7.2632562011844675 50.684153902868104)
05382000002421040;Eichenweg;POINT (7.27092855109084 50.678492429120205)
05382000002421041;Eschenweg;POINT (7.270000921906453 50.678318184757174)
