strassenschluessel;bezeichnung;geometry
05358000002803700;Zum Obsthof;POINT (6.498513745155811 50.708823196711734)
05358000002803701;Gut Stein;POINT (6.493298761264884 50.70900810416491)
05358000002803702;Auf dem Schildchen;POINT (6.49306196184421 50.711801262715)
05358000002803703;Dechanei;POINT (6.497815518840483 50.71400056783326)
05358000002803704;Gereonstraße;POINT (6.498035224158626 50.71549009328683)
05358000002803705;Im Moosgarten;POINT (6.498444692729458 50.714317007578806)
05358000002803706;Rather Weg;POINT (6.489978212028717 50.712333872231945)
05358000002803707;Trankgasse;POINT (6.497342112943693 50.71435318155658)
05358000002803708;Zum Prontzgraben;POINT (6.496605363496278 50.71551057974102)
05358000002803709;Am Heiligenpütz;POINT (6.523204338659413 50.721312888147665)
05358000002803710;Am Sandberg;POINT (6.520592272586146 50.72455456027608)
05358000002803711;Christian-Richter-Straße;POINT (6.507599224845331 50.73427268228917)
05358000002803712;Wewordenstraße;POINT (6.517484723726624 50.729264592496094)
05358000002803713;In der Britz;POINT (6.516475981168748 50.72524984010983)
05358000002803714;Fliederbusch;POINT (6.518366394552565 50.72727937622155)
05358000002803715;Grünstr.;POINT (6.509066107162792 50.733063717359876)
05358000002803716;Drovestraße;POINT (6.5173272211065445 50.7284679320242)
05358000002803717;Im Reuter;POINT (6.514417812769386 50.72250273773179)
05358000002803718;In den Benden;POINT (6.513166537230383 50.73356442120482)
05358000002803719;Karl-Arnold-Straße;POINT (6.509721704633712 50.73630694148959)
05358000002803720;Kommweg;POINT (6.514497764558612 50.724935018720046)
05358000002803721;Martinstraße;POINT (6.513155985682704 50.73519066103397)
05358000002803722;Ringstraße;POINT (6.515824335613084 50.72407508918124)
05358000002803723;Franzosenstraße;POINT (6.508580902353231 50.733907247479)
05358000002803724;Vollsteiner Mühle;
05358000002803725;Wehrstraße;POINT (6.517046309815221 50.73319757204463)
05358000002803726;Alte Gasse;POINT (6.496148691139811 50.745550801603095)
05358000002803727;Am Wasserwerk;POINT (6.494496730990069 50.75900168646432)
05358000002803728;Am Kupferscheid;POINT (6.483790605524639 50.747472722615456)
05358000002803729;Auf der Neuen Ahr;POINT (6.483788069653937 50.75168452106665)
05358000002803730;Auf der Tuchbleiche;POINT (6.485047834388624 50.74669859174159)
05358000002803731;Bahnhofstraße;POINT (6.487462632018252 50.75083650330922)
05358000002803732;Flemingstraße;POINT (6.4888216904375104 50.74875162937697)
05358000002803733;Von-Torck-Straße;POINT (6.487902254832219 50.74902507558545)
05358000002803734;Dürener Straße;POINT (6.488010317486424 50.75192861473293)
05358000002803735;Eifelstraße;POINT (6.490907839078326 50.743102208344744)
05358000002803736;Eintrachtstraße;POINT (6.4917711160285005 50.75058250812628)
05358000002803737;Feldstraße;POINT (6.489349237725014 50.74922229535992)
05358000002803738;Freiheit;POINT (6.486007401646118 50.747685531473714)
05358000002803739;Friedenau;POINT (6.4853269206154 50.76060757507244)
05358000002803740;Friedhofstraße;POINT (6.492055450934005 50.748529276925886)
05358000002803741;Frohbenden;POINT (6.496594792828609 50.741553577121536)
05358000002803742;Am Wassergarten;POINT (6.485744180886248 50.74566863082099)
05358000002803743;Hauptstraße;POINT (6.490618840004224 50.745619378834235)
05358000002803744;Heribertstraße;POINT (6.489421757530837 50.752794732874975)
05358000002803745;Im Auerfeld;POINT (6.490802319144608 50.753390348725)
05358000002803746;Im Dröhl;POINT (6.48461770829607 50.74970700195086)
05358000002803747;Im Hanfgarten;POINT (6.489750198547618 50.7440275602974)
05358000002803748;Im Hirnfeld;POINT (6.491486530780711 50.74370817496687)
05358000002803749;Im Hüttengarten;POINT (6.485055070421037 50.75109389286671)
05358000002803750;Im Kämpchen;POINT (6.493320173445324 50.747914270414185)
05358000002803751;In der Au;POINT (6.486432518095756 50.75267039194097)
05358000002803752;Kapellenweg;POINT (6.493112929885361 50.74264913824584)
05358000002803753;Kirchweg;POINT (6.486527984311637 50.74842409975253)
05358000002803754;Kolpingstraße;POINT (6.492336786231464 50.75141508666483)
05358000002803755;Im Herkesgarten;POINT (6.491089540618763 50.746401726640784)
05358000002803756;Kreuzstraße;POINT (6.486101145889792 50.7511820942385)
05358000002803757;Lohberg;POINT (6.493212539533203 50.73860483931751)
05358000002803758;Mittelstraße;POINT (6.4871639516676725 50.746628034692804)
05358000002803759;Mühlengasse;POINT (6.489011975325423 50.745603712580916)
05358000002803760;Niederdrove;POINT (6.49919475746757 50.74264874081484)
05358000002803761;Nordstraße;POINT (6.4868513279323174 50.75676532009051)
05358000002803762;Peschstraße;POINT (6.490390305363873 50.7448814513224)
05358000002803763;Peter-Schlack-Straße;POINT (6.490585105087581 50.75444842892388)
05358000002803764;Pfarrer-Emunds-Straße;POINT (6.493283425553575 50.75202293240385)
05358000002803765;Poststraße;POINT (6.486801375429815 50.74705205700701)
05358000002803766;Reitersweg;POINT (6.50106630209723 50.74511349568749)
05358000002803767;Kleierde;POINT (6.497811390488607 50.74443712692232)
05358000002803768;Schneidhausen;POINT (6.480208987586658 50.75420062306421)
05358000002803769;Schulstraße;POINT (6.484430817716878 50.74569146043584)
05358000002803770;Schützenstraße;POINT (6.484505909257347 50.74702169386128)
05358000002803771;Stegbenden;POINT (6.494654281630339 50.74854440720748)
