strassenschluessel;bezeichnung;geometry
05566000003602001;Alter Damm;POINT (7.3698857969524925 52.052830585392286)
05566000003602002;Am Bach;POINT (7.356465628096151 52.053207607668625)
05566000003602003;Am Bült;POINT (7.353468087739992 52.05343812581452)
05566000003602004;Am Heidenbaum;POINT (7.3489230624899 52.05263527192583)
05566000003602005;Am Hofkamp;POINT (7.359073506986817 52.051710562759965)
05566000003602006;Annettenweg;POINT (7.3481511399077375 52.05091186737586)
05566000003602007;Bachstr.;POINT (7.35722937495075 52.05397643636619)
05566000003602008;Bammeltring;POINT (7.355081639806535 52.04831143072001)
05566000003602009;Bernhard-Holtmann-Str.;POINT (7.359021519246001 52.05470224677769)
05566000003602010;Bodelschwinghstr.;POINT (7.359386335347883 52.05801241337834)
05566000003602011;Borghorster Str.;POINT (7.36679918880295 52.05851470202074)
05566000003602012;Borgweg;POINT (7.349406743379915 52.05941261615712)
05566000003602013;Bültstiege;POINT (7.354994450688738 52.04743292989103)
05566000003602014;Darfelder Str.;POINT (7.350288748621264 52.0543484896916)
05566000003602015;Eichendorffstr.;POINT (7.35709181811183 52.051112103376454)
05566000003602016;Enger Steinweg;POINT (7.356543998538329 52.05433575689187)
05566000003602017;Esch;POINT (7.348366638646548 52.05531523418699)
05566000003602018;Ewaldigrund;POINT (7.3493284580231695 52.052820778910636)
05566000003602019;Falkenweg;POINT (7.355998424412677 52.051548355917696)
05566000003602020;Franz-Rieping-Str.;POINT (7.358589412010564 52.050175685147536)
05566000003602021;Frauenhoek;POINT (7.350982273117273 52.05774889860205)
05566000003602022;Frauenstr.;POINT (7.354439227262532 52.05571824123044)
05566000003602023;Freisenbrock;POINT (7.366573780982185 52.05143769517944)
05566000003602024;Grüner Weg;POINT (7.352523971122903 52.05615110039135)
05566000003602025;Hohe Str.;POINT (7.357415738281442 52.054324642435866)
05566000003602026;Horstmarer Str.;POINT (7.34021152145894 52.06450864193757)
05566000003602027;Johanniterstr.;POINT (7.356150943672849 52.050048245384644)
05566000003602028;Kamp;POINT (7.3583664657812164 52.05622975237078)
05566000003602029;Kapellenweg;POINT (7.365884405673254 52.0548966105)
05566000003602030;Kettelerweg;POINT (7.359933620633857 52.057994450895826)
05566000003602031;Kirchstr.;POINT (7.359358470744002 52.05493934945269)
05566000003602032;Klingenhagen;POINT (7.360766932942868 52.057132002552635)
05566000003602033;Kolpingweg;POINT (7.35972119579269 52.05334014187136)
05566000003602034;Königstr.;POINT (7.358246486820709 52.055376236331384)
05566000003602035;Löchtefeldstiege;POINT (7.351642340662054 52.05362421884942)
05566000003602036;Ludgerusstr.;POINT (7.356152617187604 52.058413397596496)
05566000003602037;Mühlenhoek;POINT (7.362272278280104 52.05650993470351)
05566000003602038;Münsterdamm;POINT (7.368532021100896 52.05409278703758)
05566000003602039;Paul-Gerhardt-Str.;POINT (7.3578608015361135 52.05787713746681)
05566000003602040;Pohlstr.;POINT (7.356490084986652 52.05683506825764)
05566000003602041;St. Bartholomäusstr.;POINT (7.356588948752311 52.05065524045204)
05566000003602042;Steenbrey;POINT (7.347261803141962 52.052263026963985)
05566000003602043;Terup;POINT (7.363010770850118 52.054051049306935)
05566000003602044;Vikarieweg;POINT (7.3593627268617965 52.05081711239161)
05566000003602045;Von-Galen-Weg;POINT (7.366775209504247 52.05404150847755)
05566000003602046;Welzen;POINT (7.350289052410209 52.048246281866696)
05566000003602047;Werner-Rolevinck-Str.;POINT (7.357892839381366 52.05174038493142)
05566000003602048;Wiesengrund;POINT (7.362081472435892 52.05460118982291)
05566000003602049;Willibrordstr.;POINT (7.357550087139479 52.05827439698958)
05566000003602050;Winkel;POINT (7.35681975666133 52.05270007871884)
05566000003602051;Woord;POINT (7.3454970671324356 52.05259490903439)
05566000003602052;Zum Heiligenfeld;POINT (7.357268336684272 52.058751178070665)
05566000003602053;Aabauerschaft;POINT (7.362776815138587 52.070295479401025)
05566000003602054;Altenburg;POINT (7.330936597930754 52.05390160429284)
05566000003602055;Vowinkel;POINT (7.366446230029357 52.04704680085782)
05566000003602056;Schuerkamp;POINT (7.353438427921632 52.06082383283482)
05566000003602057;Wibbeltweg;POINT (7.346951868134537 52.05039106638811)
05566000003602058;Claudiusstr.;POINT (7.3520126641574315 52.05092405973669)
05566000003602059;Glatzer Weg;POINT (7.35268290400844 52.05164905276638)
05566000003602060;Kopernikusweg;POINT (7.353490741364049 52.05192789533143)
05566000003602061;Lönsweg;POINT (7.351596869653961 52.05195237914365)
05566000003602062;Overbergstr.;POINT (7.3526653731362295 52.05267277373321)
05566000003602063;Schorlemer Str.;POINT (7.353349626743247 52.05089636420404)
05566000003602064;Wagenfeldweg;POINT (7.351654542145188 52.050675174810756)
05566000003602065;Westfalenring;POINT (7.349928731265282 52.051335471960535)
05566000003602066;Himmel;POINT (7.355556444534703 52.055940793883046)
05566000003602067;Am Rathaus;POINT (7.3601328243810835 52.055183726598244)
05566000003602068;Lange Flagge;POINT (7.343727806512634 52.05622157997342)
05566000003602069;Steinkuhle;POINT (7.3471580948504736 52.05512379226576)
05566000003602070;Silesiusweg;POINT (7.350602085323259 52.04956830332211)
05566000003602071;Bleiche;POINT (7.368018018448521 52.06045117648592)
05566000003602072;Henrich-Valck-Str.;POINT (7.357536810431168 52.048672732506596)
05566000003602073;Am Rolevinckhof;POINT (7.362906693988467 52.052846441706876)
05566000003602074;In der Kartause;POINT (7.3619811202825245 52.05388394208516)
05566000003602075;Hofstelle Lengers;POINT (7.366986035163093 52.05143760114697)
05566000003602076;Baderslebener Str.;
05566000003602101;Am Blick;POINT (7.376245688660134 52.03471820476482)
05566000003602102;Auf'm Thie;POINT (7.378501383512227 52.0330881245378)
05566000003602103;Beerlager Str.;POINT (7.37504395460674 52.035125003422685)
05566000003602104;Borghof;POINT (7.377679000782934 52.0349215823652)
05566000003602105;Dörrhoff;POINT (7.373529546746297 52.03496690766162)
05566000003602106;Zur Wieske;POINT (7.37088864727293 52.033544161275586)
05566000003602107;Dorfbauerschaft;POINT (7.374188140815694 52.03223996074971)
05566000003602108;Pastors Kamp;POINT (7.380020529983145 52.03558595404392)
05566000003602109;Wilmerstiege;
05566000003602110;Steinfurter Str.;POINT (7.354413324623114 52.07189662383184)
05566000003602111;Flooth;POINT (7.403230196174664 52.065151371607335)
05566000003602112;Altenberger Str.;POINT (7.386189857547437 52.05844960619099)
05566000003602113;Schiewenhügel;POINT (7.363665042804685 52.058123533750475)
05566000003602114;Schmitz Weide;POINT (7.354996145224235 52.05932457875993)
05566000003602115;Zum Hagenbach;POINT (7.358558878169773 52.06049801003551)
05566000003602116;Sportallee;POINT (7.360061233224994 52.05238362783512)
05566000003602117;Zur Furt;POINT (7.358765915551335 52.05336044116155)
05566000003602119;Wallheckenweg;POINT (7.3608078175330425 52.04914513613913)
05566000003602120;An der Dille;POINT (7.36469193344559 52.05018194820866)
05566000003602121;Am Eschbach;POINT (7.363815660134915 52.051999634724076)
05566000003602122;Hinnemanns Hof;POINT (7.365784859716556 52.05286628311792)
05566000003602123;Riemselweg;
05566000003602124;2273 Bottrop - Quakenbr.;
05566000003602125;Am Strübberhoek;POINT (7.3483620388896975 52.049709492745606)
05566000003602126;Zur Gärtnerei;POINT (7.3551788883590055 52.05397230471246)
05566000003602127;Am Findling;POINT (7.3487135558323535 52.053458536952)
05566000003602129;Amtmann-von-Oy-Str.;POINT (7.354421570739766 52.04746032131039)
05566000003602130;Düssen Berg;POINT (7.352809188915557 52.0481660523318)
05566000003602131;Am Kleine Kreuzbrink;
05566000003602132;Kley;POINT (7.370051384595132 52.05490135869853)
055660000036=2273;Bahnlinie Bottrop - Quakenbrück;
