strassenschluessel;bezeichnung
05754000002411090;Ackfelder Straße
05754000002411200;Agnes-Miegel-Straße
05754000002411400;Ahornweg
05754000002411420;Albert-Einstein-Weg
05754000002411500;Allensteiner Straße
05754000002411600;Allerbecker Weg
05754000002411750;Alte Buschstraße
05754000002411800;Alte Feldstraße
05754000002411990;Alte Stromberger Straße
05754000002412150;Am Alten Bahnhof
05754000002412200;Am Disselkamp
05754000002412300;Am Eusternbach
05754000002412400;Am Fortbaum
05754000002412500;Am Hohlweg
05754000002412530;Am Jordan
05754000002412600;Am Kamp
05754000002412700;Am Knick
05754000002412800;Am Schützenplatz
05754000002412870;Amselstraße
05754000002412920;Am Wiesengrund
05754000002413200;Annabergstraße
05754000002413290;Antoniusweg
05754000002413350;Auf dem Hagen
05754000002413400;Auf der Heide
05754000002413600;Austenfeld
05754000002414110;Bäckerstraße
05754000002414200;Bahnhofstraße
05754000002414250;Batenhorster Straße
05754000002414300;Bentelerstraße
05754000002414400;Bergstraße
05754000002414470;Bildhauerstraße
05754000002414500;Birkenstraße
05754000002414600;Blumenweg
05754000002414650;Bokeler Grenzweg
05754000002414700;Bokeler Straße
05754000002414800;Bornefeldstraße
05754000002415100;Bredenstraße
05754000002415300;Breslauer Straße
05754000002415500;Brieger Straße
05754000002415700;Brinkstraße
05754000002415900;Brookstraße
05754000002416200;Buchenweg
05754000002416400;Buschstraße
05754000002422100;Danziger Straße
05754000002422150;Dechant-Kleinschnittger-Pfad
05754000002422200;Dieselstraße
05754000002422630;Drechslerweg
05754000002422700;Drosselstraße
05754000002422900;Droste-Hülshoff-Straße
05754000002425200;Eichendorffstraße
05754000002425400;Eichenstraße
05754000002425450;Elsternweg
05754000002425600;Erlenstraße
05754000002425620;Erlenweg
05754000002425690;Eschweg
05754000002425780;Eusternkamp
05754000002425800;Eusternweg
05754000002427200;Fechtelstraße
05754000002427400;Feldbrandstraße
05754000002427570;Fichtenweg
05754000002427600;Finkenweg
05754000002427800;Flurstraße
05754000002428200;Fortbachstraße
05754000002428400;Frankensteiner Straße
05754000002428570;Friedhofspfad
05754000002428600;Friedhofsweg
05754000002432200;Gartenstraße
05754000002432400;Gerhart-Hauptmann-Straße
05754000002432470;Gildestraße
05754000002432600;Graftstraße
05754000002432800;Grenzweg
05754000002432810;Grünberger Weg
05754000002432890;Grüner Weg
05754000002433000;Habichtsweg
05754000002434000;Hans-Böckler-Straße
05754000002434200;Haselkamp
05754000002434300;Hauptstraße
