strassenschluessel;bezeichnung;geometry
05358000003206000;Alte Kirchstr.;POINT (6.35898151753085 50.817093269674736)
05358000003206001;Am Wehebach;POINT (6.364998474581027 50.81913586325992)
05358000003206002;Apolloniastr.;POINT (6.352889459069062 50.81762156709722)
05358000003206003;Auf dem Hiebchen;POINT (6.355546013399002 50.81565257815402)
05358000003206004;Auf den Kämpen;POINT (6.357541801771534 50.81921109585071)
05358000003206005;Bahnhofsplatz;POINT (6.356164565804117 50.816877167613974)
05358000003206006;Bergstr.;POINT (6.352488390145768 50.81947427675321)
05358000003206007;Burg Frenz;POINT (6.342812665341286 50.82982257883134)
05358000003206008;Dechant-Kallen-Str.;POINT (6.353859122462951 50.815245424471094)
05358000003206009;Florastr.;POINT (6.3633918878043225 50.8191112117771)
05358000003206010;Grüner Weg;POINT (6.357091850682698 50.821241364669)
05358000003206011;Hans-Böckler-Str.;POINT (6.349623932920624 50.81472603771868)
05358000003206012;Hauptstr.;POINT (6.36095626486926 50.81757799389477)
05358000003206013;Hausbuschgasse;POINT (6.355582142284576 50.81903639807447)
05358000003206014;Gut Merberich;POINT (6.343678867513304 50.817844203206995)
05358000003206015;Hülsenbergstr.;POINT (6.351400722624306 50.81570772826299)
05358000003206016;Hirkenweg;POINT (6.361095016652514 50.81546684828732)
05358000003206017;Hospitalstr.;POINT (6.361503668048398 50.81900112009332)
05358000003206018;In der Peitsch;POINT (6.354815241458139 50.81628701208809)
05358000003206019;Johannes-Haack-Str.;POINT (6.362613126186506 50.81951725880334)
05358000003206020;Karl-Arnold-Str.;POINT (6.348275643706938 50.81487480827673)
05358000003206021;Luchemer Str.;POINT (6.360638502403793 50.818878837913424)
05358000003206022;Maarweg;POINT (6.356523970624554 50.82232812115339)
05358000003206023;Margaretenstr.;POINT (6.353041372235422 50.81537555453453)
05358000003206024;Marienstr.;POINT (6.36503564205535 50.815900456412095)
05358000003206025;Martinstr.;POINT (6.3646695922412535 50.820195749949775)
05358000003206026;Neustr.;POINT (6.350209529730891 50.81637473171653)
05358000003206027;Nikolausberg;POINT (6.3519604915834496 50.8197620469313)
05358000003206028;Pastoratsweg;POINT (6.354183846018154 50.81615416289754)
05358000003206029;Pochmühle;
05358000003206030;Pochmühlenweg;POINT (6.36770038597966 50.819853737383234)
05358000003206031;Poststr.;POINT (6.358318109471304 50.81810930437847)
05358000003206032;Rothammer;POINT (6.3552292724200425 50.810124571985625)
05358000003206033;Rymelsberg;POINT (6.357504546176465 50.8160073981994)
05358000003206034;Schafenberg;POINT (6.357236538848198 50.81398562722469)
05358000003206035;Schießberggraben;POINT (6.361691057974324 50.81680891735016)
05358000003206036;Schönthaler Str.;POINT (6.358176984216712 50.81228017083866)
05358000003206037;Josef-Schwarz-Str.;POINT (6.3634136884350925 50.81771688798446)
05358000003206038;Schützenstr.;POINT (6.3518300984851885 50.81638693096097)
05358000003206039;Sofienhof;
05358000003206040;Töpferweg;POINT (6.354186226860508 50.820219151859035)
05358000003206041;Ulhaus;POINT (6.355240739562176 50.8183659335756)
05358000003206042;Ulhausgasse;POINT (6.356616660671197 50.817548196196654)
05358000003206044;Zehnthofweg;POINT (6.3621263824316046 50.818052596844026)
05358000003206046;An der Sandgrube;POINT (6.359127912251069 50.81527517540856)
05358000003206047;Merbericher Weg;POINT (6.345173681733401 50.81773010513436)
