strassenschluessel;bezeichnung;geometry
05554000003603091;Ahauser Straße;POINT (7.09708615052986 52.03178485083626)
05554000003603092;Am Baum;POINT (7.0945461878515 52.03816844545225)
05554000003603093;Am Friedhof;POINT (7.095332935302437 52.030962977837035)
05554000003603094;Am Triepenbusch;POINT (7.0918099233527 52.033176790127975)
05554000003603095;Amtshausstraße;POINT (7.10237140296053 52.03223442345069)
05554000003603096;Asbecker Straße;POINT (7.111046339428827 52.036579649805866)
05554000003603097;Bahnhofstraße;POINT (7.091694111946273 52.03270798927198)
05554000003603098;Bergweg;POINT (7.1078133336891485 52.02905883529934)
05554000003603099;Busshook;POINT (7.106372067743637 52.029803886434856)
05554000003603100;Fr.-Castelle-Straße;POINT (7.1136681808022395 52.02763527548003)
05554000003603101;Droste-Hülshoff-Straße;POINT (7.109858486799737 52.028148256988956)
05554000003603102;Drostenkamp;POINT (7.094006430290357 52.03629377873762)
05554000003603103;Eschstr.;POINT (7.10910772194921 52.02920077259335)
05554000003603104;Feldkamp;POINT (7.098476069427197 52.03509965851457)
05554000003603105;Fliegenmarkt;POINT (7.101807609858243 52.033128119466596)
05554000003603106;Gartenstraße;POINT (7.100745596664291 52.029725291992726)
05554000003603107;Gildenhook;POINT (7.104118300370112 52.02839245977107)
05554000003603108;Goethestraße;POINT (7.112582181911345 52.02819108835052)
05554000003603109;Hahnenhook;POINT (7.106691099105241 52.03042387691994)
05554000003603110;Hauptstraße;POINT (7.10278181088935 52.030702881100815)
05554000003603111;Holtkamp;POINT (7.103162886714944 52.02739033734594)
05554000003603112;Holtwicker Straße;POINT (7.103245119041315 52.02837299745599)
05554000003603113;Königstraße;POINT (7.1057833569087325 52.03119660387444)
05554000003603114;Kirchplatz;POINT (7.105215031079144 52.0304786154925)
05554000003603115;Kirchstraße;POINT (7.105387589212844 52.03003083290131)
05554000003603116;Leiverskamp;POINT (7.094270855605134 52.0306843710118)
05554000003603117;Lerschweg;POINT (7.112393471059955 52.02963617839698)
05554000003603118;Lindert;POINT (7.101328232038203 52.03245816973091)
05554000003603119;Lönsweg;POINT (7.11177291192055 52.03024719006485)
05554000003603120;Mittelstraße;POINT (7.104708726234305 52.03521868542839)
05554000003603121;Michely-Straße;POINT (7.107590971766085 52.03024826297825)
05554000003603122;Mückenmarkt;POINT (7.096196086955591 52.03550341678777)
05554000003603123;Mühlenbrey;POINT (7.102882114530485 52.035299200282374)
05554000003603124;Mühlenkamp;POINT (7.10754835203637 52.03246157685147)
05554000003603125;Mühlenstiege;POINT (7.108335372157012 52.031802257373535)
05554000003603126;Neustadt;POINT (7.109017854684693 52.0366137437585)
05554000003603127;Nordring;POINT (7.102925425875021 52.038099182716415)
05554000003603128;Osterwicker Straße;POINT (7.113651216887343 52.03146149036796)
05554000003603129;Poststraße;POINT (7.102494911284289 52.02986959202577)
05554000003603130;Schillerstraße;POINT (7.108910750661692 52.02999279069024)
05554000003603131;Schlesierstraße;POINT (7.104863953673942 52.036412491823484)
05554000003603132;Schulstraße;POINT (7.1034477958445335 52.032018081865296)
05554000003603133;Stadtlohner Straße;POINT (7.096940149831172 52.029837929624364)
05554000003603134;Stiege;POINT (7.1048569848085705 52.032695882691065)
05554000003603135;Trippelvoetsweg;POINT (7.100039187203561 52.0355770135996)
05554000003603136;Wagenfeldstraße;POINT (7.1113699771565155 52.03046802320314)
05554000003603137;Waldkrone;POINT (7.093762494851839 52.036660971713076)
05554000003603138;Fr.-Wilhelm-Weber-Straße;POINT (7.109675491374442 52.027754325720494)
05554000003603139;Weishauptstraße;POINT (7.103646282482697 52.034230852710635)
05554000003603140;Westring;POINT (7.095155658284265 52.03225907591472)
05554000003603141;Wibbeltstraße;POINT (7.110246898211413 52.03002637449751)
05554000003603142;Windmühlenweg;POINT (7.110139206719688 52.03213406650528)
05554000003603143;Beikelort;POINT (7.085921037141456 52.031658967449616)
05554000003603144;Deipenbrock;POINT (7.1242126077015415 52.04052476016042)
05554000003603145;Haulingort;POINT (7.12260358365516 52.02862657539757)
05554000003603146;Isingort;POINT (7.1050107578185 52.02078083664366)
05554000003603147;Steinkuhle;POINT (7.094517640782112 52.04566023812811)
05554000003603148;Wehr;POINT (7.120946175602128 52.058074599949734)
05554000003603149;Am Bahnbusch;POINT (7.091566638444251 52.037283710383306)
05554000003603150;Aulkeweg;POINT (7.10961944191418 52.029562142123524)
05554000003603151;Alter Bauhof;POINT (7.10691699686611 52.03126748684784)
05554000003603152;Am Dämmken;POINT (7.092748852580599 52.0333505549932)
05554000003603153;Egelborger Feld;POINT (7.093916882943725 52.032419157341835)
05554000003603154;Eichendorffweg;POINT (7.113357217033258 52.030461950565304)
05554000003603155;Am Landwehr;
05554000003603156;Haidkamp;POINT (7.105686804106442 52.03905230871018)
05554000003603157;Vikar-Entrup-Straße;POINT (7.104268616572933 52.03173960046376)
05554000003603158;Zur Dinkel;POINT (7.082840677672472 52.04407663559612)
05554000003603159;Industriestraße;POINT (7.087551237093423 52.0400173460639)
05554000003603160;Kardinal-von-Galen-Straße;POINT (7.0976791377212844 52.03671729333641)
05554000003603161;Kolpingstraße;POINT (7.099241611624694 52.03637238341369)
05554000003603162;Düstermühlenweg;
05554000003603163;Ochsenweg;
05554000003603164;Am Bahndamm;POINT (7.087241348771069 52.037681828282125)
05554000003603165;Anne-Frank-Straße;POINT (7.097252980818662 52.03264685000604)
05554000003603166;Roßmöllerhook;POINT (7.1077807997961155 52.028061960724045)
05554000003603167;Niehuskamp;POINT (7.141463346638282 52.05655288878725)
05554000003603168;In de Dell;POINT (7.1419764056007065 52.05718033352858)
05554000003603169;Pastor-Blömer-Weg;POINT (7.144684992194369 52.05624534282621)
05554000003603170;Auengrund;POINT (7.108778581071208 52.03236394393971)
05554000003603171;Stikkamp;POINT (7.112218724635138 52.033043503250966)
05554000003603172;Am Kornhaus;POINT (7.092971709958928 52.03102869414131)
05554000003603173;Schwarzer Weg;POINT (7.089664635655604 52.03800845104983)
05554000003603174;Napoleonsweg;
05554000003603175;Landwehrkamp;POINT (7.107294603926174 52.03723082721192)
05554000003603176;St.-Florian-Weg;POINT (7.1041186048051985 52.02733733071906)
05554000003603177;Melroseweg;POINT (7.114425948528898 52.03002519708089)
05554000003603178;Bergers Kamp;POINT (7.114692969102997 52.02576474562216)
05554000003603179;Beethovenstraße;POINT (7.1143949527070225 52.027035854671084)
05554000003603180;Bachstraße;POINT (7.1143044704629075 52.02677984884725)
05554000003603181;Händelstraße;POINT (7.1134437421015235 52.02666087605856)
05554000003603182;Haydnstraße;
05554000003603183;Mozartstraße;
05554000003603184;Schumannstraße;
05554000003603185;Industriepark;POINT (7.0636603233242505 52.04737881894241)
05554000003603186;Roggenkamp;POINT (7.109514942590665 52.03509851647541)
05554000003603187;Lenferts Weg;POINT (7.107948009290267 52.034361193023244)
05554000003603188;Uferweg;POINT (7.109394958671786 52.034761428522756)
05554000003603189;Im Feld;POINT (7.111142181583005 52.034990702085295)
05554000003603200;Ahauser Damm;POINT (7.13667974668279 52.05340183176749)
05554000003603201;Am Bach;POINT (7.142938985269203 52.05527429274898)
05554000003603202;Am Wällken;POINT (7.144944914841218 52.05306724063094)
05554000003603203;An de Woord;POINT (7.141179213113918 52.05529363237634)
05554000003603204;An der Kirche;POINT (7.143629863263449 52.054226019446496)
05554000003603205;Auf der Horst;POINT (7.146443690049104 52.05507634027548)
05554000003603206;Brückenstraße;POINT (7.145004017372881 52.05402977803811)
05554000003603207;Erbdrostenweg;POINT (7.147000631958061 52.055710190238784)
05554000003603208;Grüner Weg;POINT (7.143614140176253 52.05464782125609)
05554000003603209;Heeker Straße;POINT (7.14576634620974 52.05729631354345)
05554000003603210;Lindenweg;POINT (7.148889653293782 52.05622709980955)
05554000003603211;Margaretendamm;POINT (7.146512556932177 52.05369638452605)
05554000003603212;Schöppinger Straße;POINT (7.1464075066036905 52.05429085771283)
05554000003603213;Stiftsstraße;POINT (7.14438700293633 52.05403610319909)
05554000003603214;Wiesengrund;POINT (7.139654796251978 52.05222453764843)
05554000003603215;Eißingort;POINT (7.157837406971414 52.062252635099)
05554000003603216;Frettholt;POINT (7.142235800164279 52.06190668061122)
05554000003603217;Breul;POINT (7.13992314212344 52.053609590709385)
05554000003603218;Kirchenesch;POINT (7.141084683572298 52.05241049324644)
05554000003603219;Johannes Wiese;POINT (7.137641299528958 52.0558891603902)
05554000003603220;Im Winkel;POINT (7.1016250393177955 52.0353547869688)
05554000003603221;Bleikenkamp;POINT (7.0945029103451835 52.04067851176911)
05554000003603222;Amselweg;POINT (7.094599119981386 52.035125338227324)
05554000003603223;Fasanenweg;POINT (7.096131489233413 52.03477653873956)
05554000003603224;Finkenweg;POINT (7.0969408009078965 52.03381908966495)
05554000003603225;Meisengasse;POINT (7.096226749988563 52.034005926002365)
05554000003603226;Neue Mühle;POINT (7.093491267932374 52.044838308591586)
05554000003603227;Am Brook;POINT (7.143143506605656 52.051851887893434)
05554000003603228;Fürstenkamp;POINT (7.144651247764265 52.0522878814927)
