strassenschluessel;bezeichnung;geometry
05378000001603001;Am Gemeindeberg;POINT (7.02432383986636 51.09177798474265)
05378000001603002;Alte Holzerstraße;POINT (7.01929767776143 51.101054615524426)
05378000001603003;Altenbach;POINT (7.12299227827752 51.11343887061478)
05378000001603004;Altenbacher Weg;POINT (7.1218766142059495 51.117259156745405)
05378000001603005;Altenhof;POINT (7.029044129677378 51.12629292405313)
05378000001603006;Alter Mühlenweg;POINT (7.000138623065095 51.09403969819643)
05378000001603007;Am Adler;POINT (6.998239333406396 51.11123124339297)
05378000001603008;Am Beckers Busch;POINT (6.999865582923065 51.10164503094852)
05378000001603009;Am Block;POINT (6.989673067293792 51.10744520110764)
05378000001603010;Am Büscherhof;POINT (7.020078557180917 51.10381234793571)
05378000001603011;Am Förstchens Busch;POINT (6.993127398777902 51.09497752450297)
05378000001603012;Am Goldberg;POINT (7.012264418963913 51.10159565413596)
05378000001603013;Am Hammer;POINT (7.010690855393194 51.11041589435261)
05378000001603014;Am Hang;POINT (7.021853115392059 51.106013965403726)
05378000001603015;Am Heidchen;POINT (7.00618788941565 51.09485841161072)
05378000001603016;Am Hüpplingsgraben;POINT (7.013205239249469 51.10943302502157)
05378000001603017;Am Kellerhansberg;POINT (6.999083092170683 51.10907129848829)
05378000001603018;Am Kloster;POINT (7.021370586122772 51.107921910068086)
05378000001603019;Am Markt;POINT (7.110307013312052 51.115736557463315)
05378000001603020;Am Neulandkreuz;POINT (7.028940518220251 51.10642092727299)
05378000001603021;Am Riedbach;POINT (6.9974602782037865 51.10410341774359)
05378000001603022;Am Rombergsweiher;POINT (6.994937368984352 51.09119332459505)
05378000001603023;Am Sandberg;POINT (6.997425595032263 51.09731964592008)
05378000001603024;Am Schraffenberg;POINT (7.01125067070673 51.10162289149146)
05378000001603025;Am Schulbusch;POINT (7.021484450163549 51.102324378494565)
05378000001603026;Amselstraße;POINT (7.024924648183965 51.10307606486972)
05378000001603027;Am Staderhof;POINT (7.008785102351067 51.10743188538987)
05378000001603028;Am Stadtpark;POINT (7.015203210045245 51.10637851977507)
05378000001603029;Am Stoß;POINT (7.0073500583348505 51.09991779002047)
05378000001603030;Am Treppchen;POINT (7.020350645113304 51.10946254247667)
05378000001603031;Am Wallgraben;POINT (7.013497324149202 51.100446733475266)
05378000001603032;Am Weißen Stein;POINT (6.998915753232685 51.091214086944404)
05378000001603033;Am Ziegelfeld;POINT (7.022456664502732 51.108218340405315)
05378000001603034;An den Zweieichen;POINT (7.004589475974556 51.09950648402007)
05378000001603035;An der Ziegelei;POINT (7.022069969361488 51.107755505275954)
05378000001603036;Auf dem Hügel;POINT (7.1084500240732496 51.120899088185276)
05378000001603037;Auf dem Katzensterz;POINT (7.0558511488345586 51.10751519346163)
05378000001603038;Bahnhofstraße;POINT (7.006425513053534 51.106872444661384)
05378000001603039;Balken;POINT (7.022323553033724 51.091508785808145)
05378000001603040;Balkerberg;POINT (7.046397845249329 51.10823557420296)
05378000001603041;Bechhauser Weg;POINT (7.106728371387317 51.11874327466121)
05378000001603042;Bechlenberg;POINT (7.0202819691312754 51.11183316204164)
05378000001603044;Bergerhof;POINT (7.030008874905226 51.11673372120264)
05378000001603045;Bern;POINT (7.129084177187942 51.11454956390978)
05378000001603046;Bertenrath;POINT (7.026727144995731 51.121206083198395)
