strassenschluessel;bezeichnung
05566000004403001;Ahornstr.
05566000004403002;Aldruper Weg
05566000004403003;Alter Schulweg
05566000004403004;Am Brookbach
05566000004403006;Am Bullerbach
05566000004403007;Am Esch
05566000004403008;Am Ölmühlenbach
05566000004403009;Am Hagen
05566000004403010;Amselweg
05566000004403011;Am Hülshoff
05566000004403012;Amkenheide
05566000004403013;Am Mühlenbach
05566000004403014;Am Reck
05566000004403015;Asternweg
05566000004403016;Am Suhrenkamp
05566000004403017;Am Waldrand
05566000004403018;An der Hart
05566000004403019;An der Sandkuhle
05566000004403020;Auf der Höhe
05566000004403021;Auf den Kämpen
05566000004403022;Auf der Haar
05566000004403023;Am Alten Sportplatz
05566000004403024;Baggerien
05566000004403025;Bergstr.
05566000004403026;Apfelweg
05566000004403027;Lütke Venn
05566000004403028;Brombeerweg
05566000004403029;Am Stutenpatt
05566000004403030;Berliner Str.
05566000004403031;Am Schoppenhof
05566000004403032;K 31n
05566000004403033;Lienkamp
05566000004403034;Ostbrink
05566000004403035;Birkenstr.
05566000004403036;Ölbergstr.
05566000004403040;Börgerstr.
05566000004403045;Breede
05566000004403050;Breslauer Str.
05566000004403052;Brockweg
05566000004403053;Brüggelieth
05566000004403055;Buchenstr.
05566000004403060;Dahlienweg
05566000004403065;Dalweg
05566000004403067;Dannenkamp
05566000004403070;Danziger Str.
05566000004403075;Diekesbreede
05566000004403080;Diekesdamm
05566000004403081;Dillenkamp
05566000004403082;Dohmanns Weg
05566000004403083;Dorenbrook
05566000004403086;Dorfbauerweg
05566000004403090;Dresdener Str.
05566000004403095;Drosselweg
05566000004403100;Eichenstr.
05566000004403102;Ellerhooksweg
05566000004403103;Erikaweg
05566000004403105;Eschweg
05566000004403109;Exheide
05566000004403110;Falkenweg
05566000004403115;Fasanenweg
05566000004403117;Fichtenweg
05566000004403120;Finkenweg
05566000004403121;Flakenweg
05566000004403122;Fleetenweg
05566000004403125;Friedhofstr.
05566000004403130;Friedlandstr.
05566000004403132;Gausebreede
05566000004403135;Ginsterweg
05566000004403139;Glandorfer Damm
05566000004403140;Glandorfer Str.
05566000004403141;Grüner Weg
05566000004403142;Grüner Grund
05566000004403144;Handieker Damm
05566000004403145;Hauptstr.
05566000004403150;Heckenweg
05566000004403151;Heemanns Damm
05566000004403155;Heideweg
05566000004403156;Höster Breede
05566000004403157;Höster Damm
05566000004403158;Höster Esch
05566000004403159;Höster Grenzweg
05566000004403162;Hofbreede
05566000004403163;Hohenfelder Weg
05566000004403164;Hohner Str.
05566000004403165;Holperdorp
05566000004403170;Holperdorper Str.
05566000004403176;Holzhausener Str.
05566000004403180;Iburger Str.
05566000004403181;Im Felde
05566000004403182;Im Mühlenbrook
05566000004403183;Im Siensfeld
05566000004403185;In den Wallhecken
05566000004403190;Industriestr.
05566000004403193;Jagdweg
05566000004403195;Kattenvenner Str.
05566000004403197;Kibben Himmel
05566000004403200;Kiefernweg
05566000004403205;Kirchplatz
05566000004403210;Kirstapelweg
05566000004403215;Königsberger Str.
05566000004403220;Kriegen Kamp
05566000004403225;Lindenstr.
05566000004403230;Lengericher Str.
05566000004403232;Lütke Esch
05566000004403235;Lührmannsweg
05566000004403236;Malepartusweg
05566000004403237;Markenweg
05566000004403238;Mautweg
05566000004403239;Meckelweger Feld
05566000004403241;Meckelweger Kirchweg
05566000004403243;Meckelweger Str.
05566000004403245;Memeler Str.
05566000004403250;Merschweg
05566000004403255;Mertenshöhe
05566000004403256;Mühlenbreede
05566000004403257;Mühlenweg
05566000004403258;Metgers Patt
05566000004403260;Nelkenweg
05566000004403261;Nigge Weg
05566000004403263;Ostbeverner Damm
05566000004403264;Paradiesweg
05566000004403265;Parkstr.
05566000004403267;Plaggenmatt
05566000004403270;Postdamm
05566000004403273;Reiterweg
05566000004403275;Sandstr.
05566000004403277;Schafstr.
05566000004403280;Schulstr.
05566000004403285;Schwalbenweg
05566000004403290;Sienebrink
05566000004403295;Sperberweg
05566000004403300;Starenweg
05566000004403302;Steegenbreede
05566000004403303;Steinerne Treppe
05566000004403305;Stettiner Str.
05566000004403310;Taubenweg
05566000004403312;Teutoburger Weg
05566000004403315;Thieplatz
05566000004403320;Tulpenweg
05566000004403322;Voßhaarweg
05566000004403323;Waldweg
05566000004403324;Warendorfer Weg
05566000004403325;Weidenstr.
05566000004403329;Westerbecker Damm
05566000004403334;Wienschenke
05566000004403335;Wiesenstr.
05566000004403337;Wildweg
05566000004403339;Wulversump
05566000004403340;Wullbrink
05566000004403341;Zum Herzfeld
05566000004403342;Zum Holz
05566000004403343;Zum Schießstand
05566000004403344;Zum Wasserfall
05566000004403345;Zum Teich
05566000004403346;Zur Felsenquelle
05566000004403347;Zur Fuchsfarm
05566000004403348;Zur Ruwenburg
05566000004403349;Zur Wassermühle
05566000004403350;An der Brücke
05566000004403351;Ackerbreede
05566000004403355;Bahnhofstr.
05566000004403360;Bogenstr.
05566000004403365;Buchentorstr.
05566000004403369;Gartenbreede
05566000004403370;Gartenstr.
05566000004403373;Grenzweg
05566000004403380;Heckenstr.
05566000004403385;Im Wiesengrund
05566000004403390;Kampstr.
05566000004403400;Kirchweg
05566000004403405;Ladberger Str.
05566000004403407;Langer Weg
05566000004403410;Lerchenweg
05566000004403415;Lienener Str.
05566000004403420;Lindenallee
05566000004403425;Meisenweg
05566000004403430;Moorweg
