strassenschluessel;bezeichnung;geometry
05974000002400001;Am Bauerweg;POINT (8.128044994464583 51.62883424603062)
05974000002400002;Am Wietin;POINT (8.127917125453548 51.62445010498837)
05974000002400003;An der Ahse;POINT (8.143745411762165 51.63577775122421)
05974000002400004;Auf der Kämpe;POINT (8.129853260818862 51.63249034098583)
05974000002400006;Brockhauser Straße;POINT (8.123750695989694 51.62952182525825)
05974000002400007;Börneweg;POINT (8.126982465808416 51.630435067558004)
05974000002400010;Haus Brockhausen;POINT (8.12869539137946 51.63608312488765)
05974000002400011;Hüttinghauser Weg;POINT (8.13228153446975 51.629641269780535)
05974000002400015;Lütgenbrockhausen;POINT (8.118016920055275 51.63309564548123)
05974000002400018;Soester Straße;POINT (8.0998518892572 51.630414425623144)
05974000002400026;Alter Hellweg;POINT (8.018097525384405 51.663719439511816)
05974000002400028;Bauernstraße;POINT (8.0368773179312 51.653876333576)
05974000002400029;Buschstraße;POINT (8.016755501631524 51.656424038880516)
05974000002400030;Büninghausener Straße;POINT (8.029989590540588 51.659475924842916)
05974000002400035;Geistweg;POINT (8.020326849398558 51.658111404102804)
05974000002400037;Heintroper Straße;POINT (8.033089563214975 51.658962574741146)
05974000002400042;Natelner Straße;POINT (8.035911083029685 51.65248015491281)
05974000002400046;Alte Dorfstraße;POINT (8.146817914820804 51.665310010936025)
05974000002400047;Am Bröggel;POINT (8.11518114126867 51.680941570150374)
05974000002400048;Am Sportplatz;POINT (8.151193457284434 51.66805924772157)
05974000002400049;Am Tannenbusch;POINT (8.157934763168463 51.67197276823638)
05974000002400050;Am Steinbach;POINT (8.137083688858745 51.666621848205594)
05974000002400051;Auf dem Brink;POINT (8.139594028869658 51.66529378384951)
05974000002400052;Auf dem Büld;POINT (8.144025564578236 51.665201620003224)
05974000002400053;Auf dem Sande;POINT (8.151775418606388 51.66339069987429)
05974000002400055;Beckumer Straße;POINT (8.141173356493034 51.66473049409717)
05974000002400056;Bredenloh;POINT (8.134593435123643 51.68899868741149)
05974000002400057;Bröckerberg;POINT (8.145672393293868 51.71021222878887)
05974000002400059;Danziger Weg;POINT (8.1543423228721 51.665240936164366)
05974000002400060;Dechant-Lösing-Straße;POINT (8.13803807397036 51.665153712832314)
05974000002400061;Dechant-Tappe-Straße;POINT (8.142192109151132 51.66532738126027)
05974000002400062;Diestedder Straße;POINT (8.151248930138358 51.6937566812341)
05974000002400064;Eichendorffstraße;POINT (8.145122103427969 51.668919500992956)
05974000002400065;Eickholz;POINT (8.193775605918452 51.68589489858279)
05974000002400066;Eichenweg;POINT (8.147146637778146 51.673144597158924)
05974000002400067;Feuerstraße;POINT (8.12909733969926 51.691861688708585)
05974000002400068;Frohnenkamp;POINT (8.148671970645916 51.66540203388518)
05974000002400069;Kossberg;POINT (8.152392522853177 51.66988085710395)
05974000002400070;Gewerbegebiet Ot. Herzf.;POINT (8.147857748892873 51.67185022519406)
05974000002400071;Grenzweg;POINT (8.210450415784477 51.69401078880838)
05974000002400073;Heckentruper Straße;POINT (8.128202113671113 51.70339215324553)
05974000002400074;Heienkamp;POINT (8.167853430656445 51.69658124466846)
05974000002400075;Herzog-Egbert-Straße;POINT (8.14221632560472 51.66689781524094)
05974000002400076;Höntruper Weg;POINT (8.170482625472834 51.69008933709446)
05974000002400078;Im Deilbusch;POINT (8.136848798700981 51.66602946607723)
05974000002400080;Kesseler Straße;POINT (8.111068902940605 51.66469801014108)
05974000002400081;Kirchplatz;POINT (8.144692589804354 51.6634130748374)
05974000002400082;Königsberger Weg;POINT (8.153260449100008 51.66549616678895)
05974000002400083;Kurzer Weg;POINT (8.150138206468705 51.66494683745898)
05974000002400085;Lagerfeld;POINT (8.198316488165233 51.67678899218411)
05974000002400086;Lange Geist;POINT (8.152177444387998 51.66185680365478)
05974000002400087;Lippborger Straße;POINT (8.143059727825685 51.66339753977234)
05974000002400088;Lippestraße;POINT (8.142278018127712 51.66258663516243)
05974000002400089;Lippstädter Straße;POINT (8.152114405319876 51.66244014395039)
05974000002400090;Lönsstraße;POINT (8.148637303027627 51.665166442804185)
05974000002400096;Niggenkamp;POINT (8.153127066547222 51.66702979111755)
05974000002400100;Pfarrer-Osthaus-Straße;POINT (8.140276236365787 51.664746697720894)
05974000002400102;Rassenhöveler Straße;POINT (8.175191773849841 51.68369313800259)
05974000002400106;Schachtruper Weg;POINT (8.144367631335218 51.697534917865184)
05974000002400107;Schellenberg;POINT (8.142537182894149 51.68522059686244)
05974000002400108;Schlesischer Weg;POINT (8.153335248372855 51.66613449612951)
05974000002400109;Sichterweg;POINT (8.126890983993478 51.670738436869655)
05974000002400110;St.-Ida-Straße;POINT (8.143240462349564 51.66728233028689)
05974000002400111;Stakenkamp;POINT (8.143960727265936 51.66604101748653)
05974000002400112;Stettiner Weg;POINT (8.151027238841017 51.66557528584559)
05974000002400113;Suderkamp;POINT (8.200294338664275 51.68641483545173)
05974000002400116;Uelentruper Weg;POINT (8.178343591282687 51.66849170966289)
05974000002400118;Wagenfeldstraße;POINT (8.148397724945506 51.666468322673325)
05974000002400119;Wibbeltstraße;POINT (8.149607971726903 51.66496082109928)
05974000002400120;Wilde See;POINT (8.114529160411236 51.7056863848088)
05974000002400121;Wöhrdestraße;POINT (8.142909991352399 51.668273996652424)
05974000002400125;Zum Lemkerholz;POINT (8.146590055994892 51.704433695158656)
05974000002400126;Zum Saatfeld;POINT (8.154405890032884 51.66616959776575)
05974000002400127;Zur Mühle;POINT (8.110764590344944 51.66372191186947)
05974000002400128;Alter Schützenplatz;POINT (8.143979878460216 51.664876048112866)
05974000002400131;Albertusstraße;POINT (8.135576331835123 51.65544238018988)
05974000002400132;Am Bruch;POINT (8.137297969352074 51.658032111557084)
05974000002400133;Am Rott;POINT (8.152794867329444 51.653545176829766)
05974000002400134;Am Schlopheck;POINT (8.137433996639588 51.65624411819129)
05974000002400135;Auf dem Felde;POINT (8.137873067182342 51.65511352206791)
05974000002400138;Bahnhofstraße;POINT (8.142256030931602 51.657074770469656)
