strassenschluessel;bezeichnung;geometry
05974000002804803;Am Kurpark;POINT (8.335431987448974 51.71101716090553)
05974000002804804;Amselweg;POINT (8.34612107247278 51.71027746854174)
05974000002804805;Beethovenstraße;POINT (8.32652979636101 51.71491426484033)
05974000002804806;Birkenweg;POINT (8.335675548602206 51.705245389662245)
05974000002804807;Grüner Weg;POINT (8.361279420471236 51.71856558729776)
05974000002804808;Dahlienweg;POINT (8.333606675846255 51.71624381019766)
05974000002804809;Drosselweg;POINT (8.347317780882076 51.71103695659137)
05974000002804810;Eichenweg;POINT (8.327347989338124 51.71840265969035)
05974000002804811;Starenweg;POINT (8.3446540000507 51.71059562513816)
05974000002804812;Goldregenweg;POINT (8.334722505843821 51.71608151471939)
05974000002804813;Füchtenweg;POINT (8.327220196660532 51.70820338779107)
05974000002804814;Kurgartenweg;POINT (8.339780981520084 51.71278287150419)
05974000002804815;Geranienweg;POINT (8.334361742781299 51.717119288658054)
05974000002804816;Auf dem Veild;POINT (8.3534437922147 51.718608217447084)
05974000002804817;Glennestraße;POINT (8.33490738755423 51.71662702571876)
05974000002804818;Holzstraße;POINT (8.315906383792218 51.697661594967656)
05974000002804819;Westfalenwinkel;POINT (8.333104282470721 51.709150788184495)
05974000002804820;Rotbuschweg;POINT (8.330032063511261 51.708280120671596)
05974000002804821;Hermann-Löns-Weg;POINT (8.331415450144245 51.70704823676689)
05974000002804822;Romanusweg;POINT (8.3341768992843 51.705230423679744)
05974000002804823;Kämpenweg;POINT (8.322119184025048 51.71465933064975)
05974000002804824;Im Kreuzkamp;POINT (8.328601276489291 51.71366153997845)
05974000002804825;Jagdweg;POINT (8.323986693196899 51.70720292397579)
05974000002804826;Kilianstraße;POINT (8.334058514085157 51.70551661022308)
05974000002804827;Holtkamp;POINT (8.333934334796256 51.704713122565636)
05974000002804828;Klusestraße;POINT (8.327578496507684 51.70981132948882)
05974000002804829;Kühligenweg;POINT (8.32800832636046 51.71356182403121)
05974000002804830;Lambertring;POINT (8.330483075006791 51.705138480881985)
05974000002804831;Lambertweg;POINT (8.32170678952235 51.707872710915986)
05974000002804832;Goldammerweg;POINT (8.348954367693233 51.71018725424283)
05974000002804833;Liesborner Straße;POINT (8.320864815100457 51.712291797888895)
05974000002804834;Mozartstraße;POINT (8.32736197792907 51.714873291560814)
05974000002804835;Nelkenweg;POINT (8.333409659716834 51.71723464782327)
05974000002804836;Parkstraße;POINT (8.334745160112192 51.709614549695885)
05974000002804837;Quellenstraße;POINT (8.335167112450469 51.71208570094342)
05974000002804838;Lilienweg;POINT (8.335157876966358 51.716136093787995)
05974000002804839;Scheidenstraße;POINT (8.344236797127108 51.72112018699737)
05974000002804840;Schubertstraße;POINT (8.326193489032338 51.71410551683647)
05974000002804841;Sommerweg;POINT (8.33921010625297 51.706481131493504)
05974000002804842;Tulpenweg;POINT (8.335459386776787 51.71640653832577)
05974000002804843;Walkenhausweg;POINT (8.338389509087248 51.71613674643742)
05974000002804844;Seilerweg;POINT (8.324902918041637 51.70354047342393)
05974000002804845;Zeppelinstraße;POINT (8.333227461624505 51.70516803307287)
05974000002804846;Alter Römerweg;POINT (8.35060738726275 51.72264678182371)
05974000002804847;Suderlager Weg;POINT (8.30261474129786 51.696943761346056)
05974000002804848;Beermannweg;POINT (8.332285362324846 51.7112012988227)
05974000002804849;Kneippweg;POINT (8.331057300638662 51.71608059555486)
05974000002804850;Heckenweg;POINT (8.308256901005254 51.701505587716184)
05974000002804851;Bornefeldstraße;POINT (8.327858692374132 51.723509894172224)
05974000002804852;Alter Schulweg;POINT (8.311210432389897 51.70581597128596)
05974000002804853;Ackerweg;POINT (8.31700006291273 51.70759600156578)
05974000002804854;Im Eichholz;POINT (8.330573699172783 51.711991923819085)
05974000002804855;Auf der Hebrake;POINT (8.321971353254328 51.717516573774084)
05974000002804856;An der Rottwiese;POINT (8.34210894812211 51.713418862473354)
05974000002804857;Vosskamp;POINT (8.327949720955912 51.70765410582584)
05974000002804858;Im Lindenbrink;POINT (8.341597417041852 51.707881425364434)
05974000002804859;Klinkhammerweg;POINT (8.339044103521719 51.71119149729575)
05974000002804860;Braukstraße;POINT (8.337258147828422 51.70805937558851)
05974000002804861;Ernst-Stolte-Weg;
05974000002804862;Am Alten Marmorwerk;POINT (8.33758759398708 51.70580796045845)
05974000002804863;Tilsiter Straße;POINT (8.357045918679942 51.7135669937346)
05974000002804864;Marienschulweg;POINT (8.356488338932804 51.713130900345334)
05974000002804865;Lipperode Ldw.-Grundst.;
05974000002804867;Albert-Schweitzer-Straße;POINT (8.381687535235871 51.69675470085191)
05974000002804868;Martin-Hülsemann-Straße;POINT (8.374930793674906 51.69571111116806)
05974000002804869;Zeisigweg;POINT (8.366952384587654 51.687058128471925)
05974000002804870;Am Stadtgarten;POINT (8.37483796885233 51.69190285655667)
05974000002804871;Auf der Lagerheide;POINT (8.374575989219862 51.702547148798566)
05974000002804872;Am Pferdekamp;POINT (8.36769801673198 51.68988916363127)
05974000002804873;Bismarckstraße;POINT (8.37681783083433 51.70500295166988)
05974000002804874;Bruchstraße;POINT (8.383719931534749 51.6979945684277)
05974000002804875;Dammweg;POINT (8.370467582913106 51.68758899791185)
05974000002804876;Leipziger Ring;POINT (8.377494284242541 51.701573964300806)
05974000002804877;Delbrücker Weg;POINT (8.377478200684356 51.70262678830291)
05974000002804878;Detmolder Straße;POINT (8.375587016328094 51.69954714851567)
05974000002804879;Einsteinstraße;POINT (8.382377498705928 51.695432328684014)
05974000002804880;Droste-Hülshoff-Straße;POINT (8.379655836566464 51.70002434874222)
05974000002804881;Dunkler Weg;POINT (8.37225934152172 51.69126428315153)
05974000002804882;In den Amtswiesen;POINT (8.376939121123721 51.69161160578208)
05974000002804883;Finkenweg;POINT (8.36589220000292 51.687032898965526)
05974000002804884;Hohes Stück;POINT (8.378102683354502 51.69347608225079)
05974000002804885;Graf-Bernhard-Straße;POINT (8.378165443767157 51.69159699998612)
05974000002804886;Am Birkenbruch;POINT (8.379317954524439 51.70301434605018)
05974000002804887;Heinrich-Drake-Straße;POINT (8.384757688091424 51.6947647056672)
05974000002804888;Geibelstraße;POINT (8.379488949112575 51.69860693986066)
05974000002804889;An der Bellevue;POINT (8.368875187003551 51.686021954765664)
05974000002804890;Hindenburgstraße;POINT (8.374845257327447 51.695092352096864)
05974000002804891;Pirschweg;POINT (8.372947040693298 51.695012039015175)
05974000002804892;Im Neuen Felde;POINT (8.393472413341033 51.69722901415695)
05974000002804893;Kalte Straße;
05974000002804894;Küsterspitze;POINT (8.374139527668142 51.697492809047986)
05974000002804895;Landwehrstraße;POINT (8.367150777225941 51.69115978164851)
05974000002804896;Nachtigallenstraße;POINT (8.365119355192908 51.686900172381186)
05974000002804897;Lindenweg;POINT (8.368868925119731 51.691073345274454)
05974000002804898;Lippestraße;POINT (8.375568758119915 51.691626269484885)
05974000002804899;Zöllnerskamp;POINT (8.379460767464819 51.69263883979266)
05974000002804900;Prof.-Sauerbruch-Straße;POINT (8.38334007142552 51.69520050269871)
05974000002804901;Qualenbrink;POINT (8.362527201698489 51.689892096337466)
05974000002804902;Moorkampstraße;POINT (8.381453585394672 51.694822948259166)
05974000002804903;Reuterstraße;POINT (8.378055492968521 51.70168645337185)
05974000002804904;Rüschenkamp;POINT (8.369686541034906 51.69114777907537)
05974000002804905;Sandstraße;POINT (8.380364816683352 51.69376637751197)
05974000002804906;Schützenstraße;POINT (8.376759916492851 51.69750790767488)
05974000002804907;Schulstraße;POINT (8.379223873886449 51.693065873912154)
05974000002804908;Tannenbergstraße;POINT (8.371402108920634 51.68771803171735)
05974000002804909;Teichstraße;POINT (8.374776097487178 51.69627777167645)
05974000002804910;Zum Hof;POINT (8.37404136893182 51.694288749765754)
05974000002804911;Wilhelmstraße;POINT (8.377107631247785 51.69517767685587)
05974000002804912;Wilhelm-Busch-Straße;POINT (8.37907248568856 51.70076431017443)
05974000002804913;Zum Amt;POINT (8.37699006921549 51.6881714092446)
05974000002804914;Margaretenweg;POINT (8.363510510182765 51.690089991210336)
05974000002804915;Am Flußgraben;POINT (8.379600784151775 51.69755105997148)
05974000002804916;Im Weidekamp;POINT (8.370577080374789 51.69137934773465)
05974000002804917;Auf der Brede;POINT (8.3730305757813 51.6921382447697)
05974000002804918;An der Ziegenheide;POINT (8.34040011970166 51.710177849040655)
05974000002804919;Am Alten Kirchhof;POINT (8.374593299504093 51.69021540361961)
05974000002804920;Allaniaweg;POINT (8.37927491275257 51.7016684810617)
05974000002804921;Zillestraße;POINT (8.379718530986464 51.701275600826705)
05974000002804922;Zur Alten Kirchstelle;POINT (8.372942046476204 51.68968002885274)
05974000002804923;Viktoria-Luise-Weg;POINT (8.333183970049141 51.70445067393763)
05974000002804924;An der Kühlige;POINT (8.331324919589042 51.71544567979518)
05974000002804925;Elisabeth-Lenz-Weg;POINT (8.337353478918319 51.71545327950307)
05974000002804926;Sträters' Kamp;POINT (8.333110962071158 51.71768081229403)
05974000002804927;Am Eulenpark;POINT (8.333351034730658 51.71548121760847)
05974000002804928;An der Heideblume;POINT (8.376514126626162 51.70264989174096)
05974000002804929;An der Friedenskirche;POINT (8.338926102413657 51.713020009311855)
05974000002804930;Soleweg;
05974000002804933;Alter Mühlenweg;POINT (8.464905934807073 51.70862236979277)
05974000002804934;Anrepper Weg;POINT (8.468401843206651 51.71013776775046)
05974000002804935;Beinenweg;
05974000002804936;Boker Straße;POINT (8.472138731481165 51.70851574421868)
05974000002804937;Buschweg;POINT (8.446975543067307 51.70920278440248)
05974000002804938;Delbrücker Weg;POINT (8.40741376462062 51.70978750856738)
05974000002804939;Hegestraße;POINT (8.428649127962267 51.70830676329817)
05974000002804940;Im Brand;POINT (8.427990086758122 51.70892236149651)
05974000002804941;Im Buddenkamp;POINT (8.41667551268242 51.703783668308866)
05974000002804942;Im Lohenkamp;POINT (8.429518671762438 51.71358046936527)
05974000002804943;Im Nordfeld;POINT (8.442590317387548 51.70928827071074)
05974000002804944;In den Bergen;POINT (8.441651934135702 51.70872550585869)
05974000002804945;In den Röten;POINT (8.460990549640226 51.71307813823233)
