strassenschluessel;bezeichnung;geometry
05758000002404203;Haselweg;POINT (8.722794533030404 52.186305243212296)
05758000002404206;Lütkenkamp;POINT (8.722920168056357 52.18859251987484)
05758000002404208;Lindenhof;POINT (8.738110010035124 52.21602818826367)
05758000002404209;Bermannskamp;
05758000002404210;Schönauer Straße;POINT (8.766374304692254 52.19391310261224)
05758000002404212;Findeisenplatz;POINT (8.716263199965976 52.197975108285064)
05758000002404213;Schulgarten;POINT (8.737650790211465 52.21695147014158)
05758000002404214;Heinrich-Nagel-Straße;POINT (8.705160894419944 52.23501444232914)
05758000002404216;Goldberger Straße;POINT (8.764960520586055 52.193419125231976)
05758000002404217;Weidehorst;POINT (8.699681857234568 52.24750619526569)
05758000002404218;Reichenbachstraße;POINT (8.764116214733043 52.19205036238837)
05758000002404701;Adalbert-Stifter-Straße;POINT (8.774509901921595 52.19786377027167)
05758000002404702;Allensteiner Straße;POINT (8.76480062164212 52.19573307928419)
05758000002404703;Alter Kirchweg;POINT (8.76658861176473 52.19306502227704)
05758000002404704;Alter Landweg;POINT (8.755678274283554 52.19480644100209)
05758000002404705;Alter Postweg;POINT (8.740112993728058 52.181418519768194)
05758000002404706;Alverskamp;POINT (8.768945468186178 52.19265254704247)
05758000002404707;Am Bahndamm;POINT (8.778859458866968 52.19639377291876)
05758000002404708;Am Brink;POINT (8.747837084153288 52.19914733159431)
05758000002404709;Am Friedhof;POINT (8.719727593443846 52.19168921458809)
05758000002404710;Am Hagen;POINT (8.724260101364454 52.182477667399816)
05758000002404711;Am Hang;POINT (8.769224029769696 52.189838100253276)
05758000002404712;Am Haubach;POINT (8.741820263659623 52.20117384671977)
05758000002404713;Am Kochbusch;POINT (8.777047956816853 52.184451510096864)
05758000002404714;Am Mittelbach;POINT (8.778389207319904 52.19947536945446)
05758000002404715;Am Mühlenbach;POINT (8.723400591396862 52.19535189473872)
05758000002404716;Am Reuteplatz;
05758000002404718;Am Schulplatz;POINT (8.780445348192004 52.20190523642636)
05758000002404719;Am Silberplatz;POINT (8.74177676523397 52.18571587906518)
05758000002404720;Amselweg;POINT (8.756504988007196 52.194288236732184)
05758000002404721;Am Werredamm;POINT (8.719725925493135 52.200996186876196)
05758000002404722;An der Kronprinzenbrücke;POINT (8.717693288646016 52.200306611823216)
05758000002404723;An der Mühle;POINT (8.732586471745735 52.178873047350415)
05758000002404724;An der Sandgrube;POINT (8.75985987478267 52.20848115599358)
05758000002404725;An der Werrebrücke;POINT (8.760550411715563 52.20855167024947)
05758000002404726;Auf den Köppen;POINT (8.769871246669174 52.19302685803128)
05758000002404727;Auf den Stemmen;POINT (8.761571201378501 52.19155957970769)
05758000002404728;Auf der Bülte;POINT (8.718836782352527 52.19192095224306)
05758000002404729;Auf der Burg;POINT (8.763036136931731 52.17427382501977)
05758000002404730;Auf der Höhe;POINT (8.772374448048941 52.17432996327543)
05758000002404731;Auf der Hude;POINT (8.713045848130406 52.18409809614397)
05758000002404732;Schäferweg;POINT (8.746790739533635 52.15255309877847)
05758000002404733;Auf'm Plasse;POINT (8.777945910922066 52.19049686051644)
05758000002404734;August-Hinrichs-Straße;POINT (8.766319144722964 52.19034277546247)
05758000002404735;Bäckerweg;
05758000002404736;Bahnweg;POINT (8.741250224342847 52.197446790365795)
05758000002404737;Baxwittel;POINT (8.752869276968628 52.18017778916945)
05758000002404738;Bergstraße;POINT (8.721496267882937 52.18838866617265)
05758000002404739;Betriebsstraße;POINT (8.766889541321024 52.20306347044372)
05758000002404740;Birkenweg;POINT (8.718028025312663 52.18655324067358)
05758000002404741;Börstelstraße;POINT (8.754891719348716 52.21050534835033)
05758000002404742;Brautkamp;POINT (8.759826518969033 52.17926418995835)
05758000002404743;Brehmstraße;POINT (8.715475617027968 52.18976701492112)
05758000002404744;Breslauer Straße;POINT (8.763067706139896 52.197218405657914)
05758000002404745;Brinkgarten;POINT (8.759807967470747 52.19688349423611)
05758000002404746;Brückenstraße;POINT (8.758029703968933 52.21172040143866)
05758000002404746;Brückenstraße;POINT (8.758029703968933 52.21172040143866)
05758000002404747;Brunnenstraße;POINT (8.713273942707255 52.19128087909954)
05758000002404748;Buchenhain;POINT (8.718921680913377 52.185399330679225)
05758000002404749;Büksweg;POINT (8.744626485993326 52.17557638693517)
05758000002404750;Bülowstraße;POINT (8.782486383996881 52.201417568291724)
05758000002404751;Bültesiek;POINT (8.71632727282625 52.18886850342636)
05758000002404752;Bültestraße;POINT (8.78320205607736 52.197994348723014)
05758000002404753;Bünder Straße;POINT (8.713339474233848 52.19771156500026)
05758000002404754;Buschkamp;POINT (8.733342570779575 52.188350462905234)
05758000002404755;Damaschkestraße;POINT (8.715495835779333 52.1845458321985)
05758000002404756;Danziger Straße;POINT (8.763576612618186 52.194394888245014)
05758000002404757;Diembänken;POINT (8.772636381958131 52.20350115444532)
05758000002404758;Dornberger Heide;POINT (8.75651127348794 52.15923830052297)
05758000002404760;Eigenheimstraße;POINT (8.78007794091514 52.19716528304853)
05758000002404762;Feldstraße;POINT (8.772746207665293 52.19990000161111)
05758000002404763;Finkenweg;POINT (8.75553006213344 52.19298918926437)
05758000002404764;Fischerkamp;POINT (8.769429869181307 52.19478638038314)
05758000002404765;Flachsreude;POINT (8.749287307937802 52.158386104066444)
05758000002404766;Flagenstraße;POINT (8.753991234872341 52.19892610544826)
05758000002404767;Flurweg;POINT (8.7798303713438 52.181158498509554)
05758000002404769;Franz-von-Borries-Straße;POINT (8.71729469917263 52.192032141847285)
05758000002404770;Freiligrathstraße;POINT (8.770170809323403 52.199958290310796)
05758000002404771;Friedenstraße;POINT (8.78356803920856 52.20153395423514)
05758000002404771;Friedenstraße;POINT (8.78356803920856 52.20153395423514)
05758000002404772;Friedhofstraße;POINT (8.716453082813533 52.193066182689314)
05758000002404773;Friedrich-Rückert-Straße;POINT (8.769595947506199 52.19886728427523)
05758000002404774;Friedrichstraße;POINT (8.721710607233431 52.199515596904085)
05758000002404775;Fritz-Reuter-Straße;POINT (8.716911335980415 52.18890496083386)
05758000002404776;Fröbelstraße;POINT (8.714515281798862 52.19505679592131)
05758000002404777;Fuchsweg;
05758000002404778;Gartenstraße;POINT (8.721593454062516 52.196302311827985)
05758000002404779;Gerhart-Hauptmann-Straße;POINT (8.772139867332909 52.197968301584055)
05758000002404780;Gewerbestraße;POINT (8.75771534087269 52.18100711761084)
05758000002404781;Goethestraße;POINT (8.776289706684375 52.197791186563606)
05758000002404782;Gohfelder Straße;POINT (8.763104093406076 52.211758854696875)
05758000002404782;Gohfelder Straße;POINT (8.763104093406076 52.211758854696875)
05758000002404783;Görlitzer Straße;POINT (8.761976830202627 52.19280164331207)
05758000002404784;Graudenzer Straße;POINT (8.761294451222035 52.19426036946794)
05758000002404785;Grenzweg;POINT (8.709484528013647 52.18797791375698)
05758000002404786;Großensieker Weg;POINT (8.768222288415066 52.177888861222186)
05758000002404787;Häger Straße;POINT (8.7212913508948 52.178673340838344)
05758000002404788;Hahnenstraße;POINT (8.776916438582514 52.19201760760905)
05758000002404789;Handelsweg;
05758000002404790;Hartsieker Weg;POINT (8.758073187961804 52.1792412149095)
05758000002404791;Haufenkamp;POINT (8.769918555988067 52.19415803171163)
05758000002404792;Haupensiek;POINT (8.776001792425527 52.18461181068262)
05758000002404793;Heidestraße;POINT (8.711665562822702 52.1859657234674)
05758000002404794;Heimstätte;POINT (8.714258047096106 52.18482592240476)
05758000002404795;Heinrich-Decius-Straße;POINT (8.763627735004363 52.19030053499318)
05758000002404796;Heinrich-Lersch-Straße;POINT (8.762146857977699 52.187896829868734)
05758000002404798;Helmsberg;POINT (8.744313360972694 52.197969370142374)
05758000002404799;Hermann-Hesse-Straße;
05758000002404800;Heuchte;POINT (8.754467177163244 52.18187350785082)
05758000002404801;Hochstraße;POINT (8.762334203792488 52.19992486744544)
05758000002404802;Hofkamp;POINT (8.76212281714687 52.20918218217104)
05758000002404803;Holtflage;POINT (8.722296176167271 52.191266791182066)
05758000002404804;Im Buchholz;POINT (8.747005434778352 52.18081145128878)
05758000002404805;Im Dall;POINT (8.717525401728977 52.19986575672818)
05758000002404806;Im Depenbrock;POINT (8.761874694972096 52.20135599301565)
05758000002404807;Im Ellerkamp;POINT (8.774542461782465 52.20142511760183)
05758000002404808;Im Kruge;POINT (8.755867050271878 52.20158880333096)
05758000002404809;Im Roßtale;POINT (8.741825223493887 52.188350339418335)
05758000002404810;Im Tale;POINT (8.719888876197443 52.200639050506645)
05758000002404811;Im Zuschlag;POINT (8.718444329055155 52.18761983033733)
05758000002404812;In den Eichen;POINT (8.77286599971817 52.19056798191428)
05758000002404813;In den Fichten;POINT (8.767901811779362 52.2116270632185)
05758000002404814;In den Tannen;POINT (8.764039435555798 52.18556583716753)
05758000002404815;In den Triften;POINT (8.740770159661839 52.16917934436295)
05758000002404816;In den Stucken;POINT (8.763136975572179 52.18230287902403)
05758000002404817;In der Schlage;POINT (8.742040894724786 52.16315107874166)
05758000002404818;Fasanenweg;POINT (8.73666375273281 52.178467368736015)
05758000002404819;Industriestraße;POINT (8.736265236532795 52.19925768848361)
