strassenschluessel;bezeichnung;geometry
05566000004800601;Milanweg;POINT (7.929521278154089 52.313521387164144)
05566000004800602;Schafwinkel;POINT (7.9645544137309585 52.30917233550437)
05566000004800603;Im Winkel;POINT (7.956955761488855 52.30914789672959)
05566000004800604;Kurzer Weg;POINT (7.9569213198817605 52.30810576767654)
05566000004800606;Hofbreede;POINT (7.9684405096884525 52.30927520871435)
05566000004800607;Stiegelbreede;POINT (7.968511460263437 52.30956929869638)
05566000004800608;Feldblumenweg;POINT (7.908199962533147 52.27854397106397)
05566000004800609;Mohnblumenweg;POINT (7.914487339513991 52.27863613996456)
05566000004800610;Friedhofsweg;POINT (7.97747563277747 52.30928052312308)
05566000004800611;Am Alten Sportplatz;POINT (7.942528844936661 52.340189639573495)
05566000004800612;Langer Weg;POINT (7.955897119029764 52.30831667077803)
05566000004800613;Auf dem Esch;POINT (7.929870956859124 52.31257589269968)
05566000004800614;Mähbinderweg;POINT (7.929012624670987 52.3121207632316)
05566000004800615;Mahlsteinweg;POINT (7.929077195674042 52.31076373537697)
05566000004800616;Sichterweg;POINT (7.9305021128476945 52.31057917052883)
05566000004800617;Würthbrücke;POINT (7.951862891256009 52.30568950264607)
05566000004800618;Pätzkamp;POINT (7.9309769238908565 52.289890707624494)
05566000004800619;Narzissenweg;POINT (7.917229059111354 52.27903888701491)
05566000004800620;Anemonenweg;POINT (7.916643610240011 52.279864890705)
05566000004800621;Alte Schmiede;POINT (7.948338403425577 52.313412128692434)
05566000004800622;Im Buschhaus;POINT (7.94673793178566 52.31369679629904)
05566000004800623;Elisabeth-Schwarzhaupt-Str.;
05566000004800624;Käthe-Strobel-Str.;
05566000004802601;Am Botterbusch;POINT (7.896682985513268 52.27571094458557)
05566000004802602;Am Braumkamp;POINT (7.943385776641688 52.27437606861079)
05566000004802603;Am Goldberg;POINT (7.941208813535301 52.27029868459691)
05566000004802604;Am Hagenberg;POINT (7.907438925479095 52.25520416377923)
05566000004802605;Am Kronenpohl;POINT (7.9288347061736175 52.286923347287555)
05566000004802606;Am Nordberg;POINT (7.898194304522454 52.26324409215439)
05566000004802607;Asternstr.;POINT (7.919272723144891 52.27921758485276)
05566000004802608;Bachstr.;POINT (7.924926499883766 52.27580600611283)
05566000004802609;Bahnhofstr.;POINT (7.920180584665214 52.27886364590002)
05566000004802611;Birkenweg;POINT (7.92566411802494 52.27707837296377)
05566000004802612;Boyersweg;POINT (7.915967663267203 52.27758590489414)
05566000004802614;Cappelner Str.;POINT (7.911606538677289 52.280004700264826)
05566000004802615;Daimlerstr.;POINT (7.922871662190727 52.279477480953254)
05566000004802616;Dehrenkamp;POINT (7.912796164073391 52.25449371388669)
05566000004802617;Düter Str.;POINT (7.919918765721391 52.29353268898109)
05566000004802618;Eichenweg;POINT (7.922170013529874 52.27892763976905)
05566000004802619;Erlenweg;POINT (7.921449952906493 52.27922924702265)
05566000004802620;Fasanenweg;POINT (7.936143157755282 52.276771914209824)
05566000004802621;Feldmark;POINT (7.939707288591902 52.281182611442325)
05566000004802622;Fichtenweg;POINT (7.9500763071359435 52.27173009484148)
05566000004802623;Friesenring;POINT (7.928226329063797 52.283182874955244)
05566000004802624;Gaster Landweg;POINT (7.9398031135035785 52.27124323608644)
05566000004802625;Gaster Str.;POINT (7.923208511197217 52.25128015519592)
05566000004802626;Ginsterweg;POINT (7.943560237047541 52.273931662002035)
05566000004802627;Glinsforter Weg;POINT (7.9114158911409875 52.26256250749907)
05566000004802628;Goethestr.;POINT (7.922764531793317 52.27487740844823)
05566000004802629;Gohfelder Weg;POINT (7.947909342353206 52.273214861126164)
05566000004802630;Goldbachweg;POINT (7.92263602344083 52.258660973204016)
05566000004802631;Großer Esch;POINT (7.921804810754848 52.23926629174908)
05566000004802632;Grüner Brink;POINT (7.91789801922252 52.26205233127838)
05566000004802633;Händelstr.;POINT (7.92682626903119 52.27395252669928)
05566000004802634;Hainweg;POINT (7.91836937458867 52.2752446979863)
05566000004802635;Hagelstr.;POINT (7.906083246883125 52.24884057837032)
05566000004802636;Hagenbergstr.;POINT (7.915047508029006 52.25699242680492)
05566000004802637;Halauweg;POINT (7.9092798190997815 52.26849998623206)
05566000004802638;Hambrink;POINT (7.919375624004848 52.273395196716166)
05566000004802639;Hansaring;POINT (7.91570470333358 52.282406883047614)
05566000004802640;Hasberger Str.;POINT (7.924708764966989 52.24232081013472)
05566000004802641;Hellweg;POINT (7.904886749404768 52.27025513005238)
05566000004802642;Höhenweg;POINT (7.914065796689669 52.24184425547932)
05566000004802643;Hoher Hügel;POINT (7.8991738661876 52.25809575556538)
05566000004802644;Hohler Weg;
05566000004802645;Honeburger Weg;POINT (7.912055479984104 52.276233848240224)
05566000004802646;Ibbenbürener Str.;POINT (7.897120509753245 52.27633327689397)
05566000004802647;Im Bollering;POINT (7.932418676252114 52.28321835182955)
05566000004802648;Im Kamp;POINT (7.942673952547876 52.27218937093667)
05566000004802649;Im Kloster;POINT (7.913441281195563 52.248446226653805)
05566000004802650;Im Osterfeld;POINT (7.92909230813991 52.28621535658179)
05566000004802651;Im Westerfeld;POINT (7.922804003961274 52.28630664760329)
05566000004802652;Iserothweg;POINT (7.936300248501545 52.27040273629752)
05566000004802653;Jahnstr.;POINT (7.916864513744197 52.27232274745677)
05566000004802654;Kantstr.;POINT (7.925017686495347 52.27399215131405)
05566000004802655;Kapellenweg;POINT (7.919318241248053 52.274089482316874)
05566000004802656;Kastanienweg;POINT (7.927685870277096 52.276908462471695)
05566000004802657;Im Wiesengrund;POINT (7.936856427597674 52.314725771767435)
05566000004802658;Kirchplatz;POINT (7.915710856950437 52.27385919441663)
05566000004802659;Klausberg;POINT (7.914281197927585 52.250814203338265)
05566000004802660;Knüllweg;POINT (7.916431416114007 52.240999937690326)
05566000004802661;Kornkamp;POINT (7.917353168839656 52.25168639029479)
05566000004802662;Kornweg;POINT (7.9229223177210315 52.271416437891546)
05566000004802663;Krümpelstr.;POINT (7.925345779070869 52.27522533132794)
05566000004802664;Ledder Mühlenweg;POINT (7.903222893135809 52.252392557621235)
05566000004802665;Leedener Str.;POINT (7.919961626938168 52.23455252836245)
05566000004802666;Lengericher Str.;POINT (7.914523644004998 52.269101435338925)
05566000004802667;Lindenweg;POINT (7.925187654897805 52.27604941248565)
05566000004802668;Lönsweg;POINT (7.924277370220586 52.27652261439699)
