strassenschluessel;bezeichnung;geometry
05770000002002401;Albertstraße;POINT (8.6119067562944 52.309106739799006)
05770000002002402;Albert-Schweitzer-Straße;POINT (8.6364640122249 52.30486532146474)
05770000002002403;Alfredstraße;POINT (8.611565604703834 52.31080678058989)
05770000002002404;Allensteiner Straße;POINT (8.632991677310821 52.30583867895385)
05770000002002405;Alsweder Straße;POINT (8.611118564727924 52.30672471170454)
05770000002002406;Am Friedhof;POINT (8.627793070691268 52.304026875938746)
05770000002002407;Am Hafen;POINT (8.610486325177932 52.333939359287605)
05770000002002408;Am Hoffeldsgraben;POINT (8.623207837058114 52.30926553637753)
05770000002002409;Am Hollensiek;POINT (8.610291723611269 52.29919577565789)
05770000002002410;Hardenbergstraße;POINT (8.623944126707128 52.30779184373105)
05770000002002411;Am Krankenhaus;POINT (8.611832709132331 52.30149493257392)
05770000002002412;Am Markt;POINT (8.617849742241322 52.30294552415231)
05770000002002413;Am Sportplatz;POINT (8.602964494008805 52.30076653073814)
05770000002002414;Andreasstraße;POINT (8.608699783764733 52.30555417491089)
05770000002002415;Annastraße;POINT (8.611462369426597 52.30931055988125)
05770000002002416;Annettenweg;POINT (8.613531146752257 52.31033303405471)
05770000002002417;Arndtstraße;POINT (8.625159080098538 52.31132665600349)
05770000002002418;Auf dem Gallenkamp;POINT (8.615176695865713 52.300473489901556)
05770000002002419;Auf dem Nettelacker;POINT (8.63058548327459 52.319306979361166)
05770000002002420;Augustaweg;POINT (8.615944992950011 52.3097981390969)
05770000002002421;Geibelstraße;POINT (8.611800736460959 52.30466134264272)
05770000002002422;Bäckerstraße;POINT (8.61933836055069 52.30424422285815)
05770000002002423;Bahnhofstraße;POINT (8.609543948011925 52.30620672380643)
05770000002002424;Beethovenstraße;POINT (8.605244163742976 52.311312921985014)
05770000002002425;Bergertorstraße;POINT (8.61715561839774 52.301499071136476)
05770000002002426;Berliner Straße;POINT (8.622259258644299 52.305140525600066)
05770000002002427;Bismarckstraße;POINT (8.604936309846932 52.3035821584097)
05770000002002428;Gehlenbecker Straße;POINT (8.626369233805779 52.3072451019986)
05770000002002429;Blücherstraße;POINT (8.612558041019406 52.30764637804054)
05770000002002430;Blüttenstraße;POINT (8.615433215007236 52.30383899229863)
05770000002002431;Bohlenstraße;POINT (8.611721034462631 52.30764620102372)
05770000002002432;Brahmsstraße;POINT (8.59837235139259 52.307143231187865)
05770000002002433;Kolberger Straße;POINT (8.630576427710523 52.30558143787444)
05770000002002434;Brucknerstraße;POINT (8.59694416672274 52.30753670163784)
05770000002002435;Burkampstraße;POINT (8.638178358278722 52.30749923755379)
05770000002002436;Damaschkesiedlung;POINT (8.609582809091052 52.31113606742127)
05770000002002437;Danzelstätte;POINT (8.617124339014895 52.302755407504826)
05770000002002438;Danziger Straße;POINT (8.637648035387523 52.306374244836825)
05770000002002439;Eckerngarten;POINT (8.614271088415105 52.31051174793602)
05770000002002440;Eichtelgen;POINT (8.61469578542833 52.31354527155188)
05770000002002441;Eikeweg;POINT (8.608447816260512 52.31440282350575)
05770000002002442;Elsa-Brandström-Straße;POINT (8.628218746396415 52.30347822020442)
05770000002002443;Emil-von-Behring-Straße;POINT (8.60686272463703 52.299672158710486)
05770000002002444;Ewaldstraße;POINT (8.611263324450842 52.31262619827124)
05770000002002445;Fahrenhorsterstraße;POINT (8.637597483160237 52.33130361906088)
05770000002002446;Feldmark;POINT (8.611678205746747 52.32862612840554)
05770000002002447;Felix-Dahn-Weg;POINT (8.619509506928848 52.30710244429327)
05770000002002448;Ferdinand-Sauerbruch-Straße;POINT (8.606035888828176 52.3014264361529)
05770000002002449;Feuerrenne;POINT (8.61807657642642 52.30077412394428)
05770000002002450;Friedhofstraße;POINT (8.62860172219012 52.30638753154294)
05770000002002451;Friedrichsstraße;POINT (8.627615806596534 52.30908351185309)
05770000002002452;Franz-Liszt-Straße;POINT (8.604774790486374 52.309831501275326)
05770000002002453;Franz-Welschof-Straße;POINT (8.619645066587129 52.302648391525906)
05770000002002454;Fünfhausen;POINT (8.615637435874776 52.30259803584927)
05770000002002455;Gänsemarkt;POINT (8.6190373399059 52.30458552231246)
05770000002002457;Gasstraße;POINT (8.59797141553275 52.307093884768726)
05770000002002458;Geistwall;POINT (8.621282116986484 52.304743251467244)
05770000002002459;Georgstraße;POINT (8.612059604268433 52.31440790692968)
05770000002002460;Gerbergasse;POINT (8.620245840067547 52.30390583592301)
05770000002002461;Gerichtsstraße;POINT (8.616546455962192 52.30499738369977)
05770000002002462;Goebenstraße;POINT (8.606452511971524 52.30326801042176)
05770000002002463;Görlitzer Straße;POINT (8.632330129881256 52.30694918242244)
05770000002002464;Goethestraße;POINT (8.610674397798736 52.304019756505454)
05770000002002465;Flurweg;POINT (8.622158046451972 52.322252006354155)
05770000002002467;Gustavstraße;POINT (8.61121060062462 52.313945861575704)
05770000002002468;Haberland;POINT (8.619287523705678 52.296496499372324)
05770000002002469;Händelstraße;POINT (8.595788219728112 52.30712111968327)
05770000002002470;Hahler Straße;POINT (8.60315776886349 52.309010907892215)
05770000002002471;Hamkerweg;POINT (8.598127035941184 52.301602259685325)
05770000002002472;Hausstätte;POINT (8.618977955343835 52.33316392732081)
05770000002002473;Heidkopfweg;POINT (8.629437405649915 52.30450020129064)
05770000002002474;Heimstättenstraße;POINT (8.597381031854898 52.30981010121025)
05770000002002475;Heinestraße;POINT (8.6243980827436 52.311849015979845)
05770000002002476;Heinrich-Vormbrock-Straße;POINT (8.59996422493082 52.309485139665185)
05770000002002477;Hermannstraße;POINT (8.611254963703638 52.31562159924785)
05770000002002478;Hermann-Löns-Straße;POINT (8.63366202097181 52.31113758555329)
05770000002002479;Heuweg;POINT (8.639628448941906 52.32860826760323)
05770000002002480;Hinter der Mauer;POINT (8.61539910296202 52.30289263543773)
05770000002002481;Hubertusweg;POINT (8.615845324722738 52.29793898257595)
05770000002002482;Immengarten;POINT (8.602046136162418 52.31117031846395)
05770000002002483;Industriestraße;POINT (8.615548072530348 52.32651493884956)
