strassenschluessel;bezeichnung;geometry
05962000003200001;Aechtenscheid;POINT (7.692437870940949 51.18851040970899)
05962000003200002;Ahornweg;POINT (7.614312014569346 51.24251273928502)
05962000003200003;Albrechtstraße;POINT (7.622328010365999 51.21973958131314)
05962000003200004;Alemannenstraße;POINT (7.615806930224918 51.223010415574436)
05962000003200005;Alsenstraße;POINT (7.641054737106759 51.21279845983349)
05962000003200006;Altenaer Straße;POINT (7.632251823598548 51.2246955225067)
05962000003200007;Altenhof/Neuenhof;POINT (7.624822246071638 51.19530219180182)
05962000003200008;Altenhof/Oedenthal;POINT (7.589492562309811 51.229422929362826)
05962000003200009;Altenlüdenscheid;POINT (7.598943491196616 51.184171723066314)
05962000003200010;Alte Rathausstraße;POINT (7.632897545352022 51.21625440944494)
05962000003200011;Altgasse;POINT (7.634088161272935 51.21518418824819)
05962000003200012;Am Bierbaum;POINT (7.653532601376128 51.20338782361949)
05962000003200013;Am Brutenberg;POINT (7.651212169174659 51.201522319059215)
05962000003200014;Bahnhofsallee;POINT (7.630069826198276 51.223630909317286)
05962000003200015;Am Drostenstück;POINT (7.616473442370076 51.230191703957175)
05962000003200016;Am Ebbeblick;POINT (7.650793408367729 51.20034214187193)
05962000003200017;Am Eisenberg;POINT (7.6906010813678325 51.219570193311306)
05962000003200018;Am Flachsacker;POINT (7.684567708709153 51.23226051040148)
05962000003200019;Am Fuhrpark;POINT (7.621150762097213 51.22767039052927)
05962000003200020;Am Galgenberg;POINT (7.648354214913716 51.23025314456707)
05962000003200021;Am Gartenhang;POINT (7.632497955110579 51.21011670548272)
05962000003200022;Am Gehäge;POINT (7.560972695058602 51.212635942474556)
05962000003200023;Am Gölling;POINT (7.611230905153234 51.22775932443913)
05962000003200024;Am Grünen Ufer;POINT (7.576247856903069 51.1996195094108)
05962000003200025;Am Grünewald;POINT (7.624103223827235 51.22334160091495)
05962000003200026;Am Güterbahnhof;POINT (7.628463138018951 51.220647615077596)
05962000003200027;Am Hang;POINT (7.656177606260435 51.210700763030985)
05962000003200028;Zum Stucken;POINT (7.658796408751586 51.218061908745945)
05962000003200029;Am Heicken;POINT (7.622203239177963 51.23850523017097)
05962000003200030;Am Hilgenhaus;POINT (7.665166775702472 51.21910723883777)
05962000003200031;Am Hüttenfeld;POINT (7.635568606256074 51.20575725123291)
05962000003200032;Am Hundebrink;POINT (7.6366508743561905 51.207085422089406)
05962000003200033;Am Kamp;POINT (7.562623931808919 51.21200446041897)
05962000003200034;Am Kattendiek;
05962000003200035;Am Knockelsberg;POINT (7.563721313079949 51.20893932998674)
05962000003200036;Am Köpfchen;POINT (7.63058037372446 51.25680219166346)
05962000003200037;Am Langen Acker;POINT (7.567022442496476 51.21040527910075)
05962000003200038;Am Lehmberg;POINT (7.638751824435356 51.225766195493534)
05962000003200039;Am Mühlenberg;POINT (7.606525672860223 51.20591397419112)
05962000003200040;Am Nattenberg;POINT (7.617618450534555 51.207836133697775)
05962000003200041;Am Neuen Haus;POINT (7.6197207976823185 51.225990097197794)
05962000003200042;Am Nocken;POINT (7.5849395829361645 51.208840194304685)
