strassenschluessel;bezeichnung;geometry
05766000005209001;Am Blumenkamp;POINT (9.24129343158467 51.96015966600509)
05766000005209002;Am Kirchberg;POINT (9.251328497596296 51.95772790754361)
05766000005209003;Am Markt;POINT (9.246364757649905 51.95793882560962)
05766000005209004;Am Ramberg;POINT (9.239044198384361 51.95432356400704)
05766000005209005;Am Schild;POINT (9.260040221767488 51.961914290783014)
05766000005209006;Am Sonnenhof;POINT (9.235508652225203 51.96228463057782)
05766000005209007;Am Wall;POINT (9.247375629890568 51.959746881772546)
05766000005209008;Am Weinberg;POINT (9.241284388136394 51.957304040001134)
05766000005209009;An der Oelwiese;POINT (9.2386120455979 51.95274545055643)
05766000005209010;An der Roten Kuhle;POINT (9.252994134995854 51.95726853070481)
05766000005209011;An der Stadtmauer;POINT (9.248555974448145 51.957054159401785)
05766000005209012;An der Steinkuhle;POINT (9.239135145686001 51.96064191543639)
05766000005209013;Annenweg;POINT (9.24387251996949 51.948179391390376)
05766000005209014;Arminiusweg;POINT (9.248740442102598 51.95274366822343)
05766000005209015;Asternweg;POINT (9.256471098263832 51.96307323178232)
05766000005209016;Auf den Gehren;POINT (9.248560455279177 51.962264296222344)
05766000005209017;Auf der Klus;POINT (9.25430093776068 51.95960380070277)
05766000005209018;Auf der Lied;POINT (9.236526162113652 51.935094295267604)
05766000005209019;Bahnhofstraße;POINT (9.250244144199764 51.959624566664154)
05766000005209020;Bergstraße;POINT (9.257701135604709 51.958337060225986)
05766000005209021;Birkenweg;POINT (9.253796154946775 51.957756636958194)
05766000005209022;Blankenburg;POINT (9.224002609314233 51.92288665351153)
05766000005209023;Brückenstraße;POINT (9.244162489285767 51.95870167211658)
05766000005209024;Brunnenstraße;POINT (9.248093586546663 51.97116500669801)
05766000005209025;Buchenweg;POINT (9.259541850273804 51.95657297531257)
05766000005209026;Dallensenweg;POINT (9.252720722309295 51.94497641320234)
05766000005209027;Eichenweg;POINT (9.258695311281965 51.95641256772324)
05766000005209028;Emmerstraße;POINT (9.245304693451422 51.960039970302084)
05766000005209029;Eschenbrucher Straße;POINT (9.241734549860306 51.95234441940796)
05766000005209030;Fichtenweg;POINT (9.25566521374684 51.957130692119286)
05766000005209031;Fr.-Wilh.-Weber-Straße;POINT (9.250538475730828 51.96344174242752)
05766000005209032;Fuchsholz;POINT (9.234829839351189 51.94138388852132)
05766000005209033;Gartenstraße;POINT (9.25356788672964 51.96166864536392)
05766000005209034;Goethestraße;POINT (9.251626700875901 51.96218345529488)
05766000005209035;Hamborner Mühle;POINT (9.234206576973346 51.975593080180786)
05766000005209036;Harzberger Straße;POINT (9.22215941193559 51.93253451541181)
05766000005209037;Hermannstal;POINT (9.203331315525476 51.95097132716311)
05766000005209038;Hilleweg;POINT (9.251239659109595 51.96282661035108)
05766000005209039;Hintere Straße;POINT (9.244809366191289 51.958459090414266)
05766000005209040;Höxterstraße;POINT (9.245226740794156 51.954301796614374)
05766000005209041;Hohenborner Straße;POINT (9.235465962701637 51.967311862003754)
05766000005209042;Holland;POINT (9.245436523460508 51.9548250341389)
05766000005209043;Johannes-Hasse-Straße;POINT (9.247477076963458 51.9626373053874)
05766000005209044;Kanalstraße;POINT (9.247568355426782 51.956691410314576)
05766000005209045;Karlstraße;POINT (9.253008521340771 51.96347710989075)
05766000005209046;Kilianstraße;POINT (9.24639297426429 51.953088213728904)
05766000005209047;Kirchweg;POINT (9.24773847972675 51.95859340451834)
05766000005209048;Königsgrund;POINT (9.26750731714506 51.95837811984119)
05766000005209049;Krähenbrink;POINT (9.24393143855212 51.94762545613273)
05766000005209050;Kreuzstraße;POINT (9.250513383063826 51.96045218590861)
05766000005209051;Lärchenweg;POINT (9.257476799337477 51.95654587832561)
05766000005209052;Liboriusstraße;POINT (9.253480293410373 51.96352274083281)
05766000005209053;Marienstraße;POINT (9.252647861116078 51.958323644938005)
05766000005209054;Meinteweg;POINT (9.228413147879555 51.95243764694713)
05766000005209055;Mittlere Straße;POINT (9.24531292115075 51.95631057662417)
05766000005209056;Mühlenstraße;POINT (9.24471178130496 51.9593079036942)
05766000005209057;Nelkenweg;POINT (9.256443814714395 51.96243160985804)
05766000005209058;Neuer Wall;POINT (9.244106065021649 51.957945732368614)
05766000005209059;Pfarrer-Nussbaum-Straße;POINT (9.247283082468543 51.956085671606424)
05766000005209060;Prozessionsweg;POINT (9.247202734628193 51.95441780323586)
05766000005209061;Pyrmonter Straße;POINT (9.263354861527857 51.970785947277804)
05766000005209062;Rambergsweg;POINT (9.239112328286387 51.95661577368995)
05766000005209063;Rosenstraße;POINT (9.250641098965952 51.962225333550734)
05766000005209064;Römerstraße;POINT (9.2390515779556 51.95246040590229)
05766000005209065;Schäfergrund;POINT (9.25045141943885 51.95507579030177)
05766000005209066;Schierenbergstraße;POINT (9.233942157862185 51.951881035046085)
05766000005209067;Schildweg;POINT (9.259039208543355 51.958977082859974)
05766000005209068;Schillerstraße;POINT (9.252510352988674 51.9612798705516)
05766000005209069;Schledenstraße;POINT (9.256410043040672 51.95940527231842)
05766000005209070;Schrotweg;POINT (9.257918975049813 51.957103605288694)
05766000005209071;Schulstraße;POINT (9.247417926118997 51.95635831155078)
05766000005209072;Seilerstraße;POINT (9.247211975485273 51.957902659280016)
05766000005209073;Stadtholz;POINT (9.242373048293167 51.923674971841116)
05766000005209074;Südfeld;POINT (9.238937365809509 51.95021810751752)
05766000005209075;Tulpenweg;POINT (9.256390356842639 51.963857695692255)
05766000005209076;Uhlensen;POINT (9.217976538859794 51.93969813992775)
05766000005209077;Unter dem Schild;POINT (9.257932620729237 51.96277047625289)
05766000005209078;Unter den Klippen;POINT (9.241932663170097 51.95645958370826)
05766000005209080;Vordere Straße;POINT (9.247308651216548 51.958905200274835)
05766000005209081;Waldstraße;POINT (9.261015338701895 51.95696990086771)
05766000005209082;Widukindstraße;POINT (9.255180309143054 51.963998363379105)
05766000005209083;Wiesenweg;POINT (9.246772003892785 51.961185284989135)
05766000005209084;Am Golfplatz;POINT (9.23371896918243 51.9578077282946)
05766000005209085;Zum Golfplatz;POINT (9.236913439599059 51.96136596786852)
05766000005209086;Fliederweg;POINT (9.257270554927118 51.96086686725465)
05766000005209087;Brandenburger Straße;POINT (9.233129637568142 51.96444338203966)
05766000005209088;Mecklenburger Straße;POINT (9.234025180092948 51.96441279848226)
05766000005209089;Ostpreußenstraße;POINT (9.231104984099714 51.96523754048816)
05766000005209090;Pommernstraße;POINT (9.230156656139195 51.96487232097375)
05766000005209091;Schlesier Straße;POINT (9.232807700470255 51.962646423860775)
05766000005209092;Sudetenstraße;POINT (9.232042129688832 51.96544118761314)
05766000005209093;Silberbrink;POINT (9.224339306168721 51.94015701416932)
05766000005209094;Dieselstraße;POINT (9.255478686521418 51.96797702141208)
05766000005209095;Siemensstraße;POINT (9.25329175156218 51.97000900629389)
05766000005209097;Angermünder Straße;POINT (9.235196898377072 51.96476792952679)
