strassenschluessel;bezeichnung;geometry
05978000002407689;Ackerstraße;POINT (7.481990759248686 51.63530708185617)
05978000002407690;Ährenweg;POINT (7.483966765681086 51.62839399225964)
05978000002407692;Albert-Schweitzer-Straße;POINT (7.483274292242954 51.62709508238859)
05978000002407693;Alfred-Meermann-Straße;POINT (7.520887483233076 51.6301533381379)
05978000002407695;Allensteiner Straße;POINT (7.488616293516299 51.63033878937098)
05978000002407698;Alstedder Straße;POINT (7.5094216916531105 51.62362311967937)
05978000002407701;Alter Kirchweg;POINT (7.498236091702282 51.62737105129145)
05978000002407704;Am Anger;POINT (7.485303433723056 51.62653034631523)
05978000002407707;Am Fuchsbach;POINT (7.49741938656715 51.62712274721329)
05978000002407710;Am Heikenberg;POINT (7.4901940461123075 51.626301871387014)
05978000002407713;Am Knick;POINT (7.494278816425308 51.62856376387792)
05978000002407714;Am Kornfeld;POINT (7.483635450950409 51.62994639735999)
05978000002407716;Am Urnenfeld;POINT (7.487805045628424 51.62789910569401)
05978000002407719;Am Wiesenhang;POINT (7.484662818466043 51.62294627324526)
05978000002407722;An der Schleuse;
05978000002407725;An der Vogelscher;POINT (7.508387858002643 51.62466858970931)
05978000002407726;An der Wallhecke;POINT (7.488212125935048 51.63294277396157)
05978000002407733;Beisenkamp;POINT (7.501919513315456 51.623972836550756)
05978000002407736;Berggarten;POINT (7.484452057919818 51.62537968918978)
05978000002407739;Borker Straße;POINT (7.515013525709874 51.62268830632032)
05978000002407742;Dr. Alma-Langenbach-Straße;POINT (7.5074778697895175 51.6241669111397)
05978000002407744;Elbinger Weg;POINT (7.490452701874657 51.6298939391127)
05978000002407746;Ernteweg;POINT (7.4827446866230956 51.62988770613112)
05978000002407749;Flachskamp;POINT (7.495075844717976 51.62988099651536)
05978000002407751;Föhrenweg;POINT (7.49721735722877 51.628964783792085)
05978000002407753;Garbenweg;POINT (7.484419232108413 51.62928349368673)
05978000002407754;Glatzer Weg;POINT (7.490088319929511 51.63023237013226)
05978000002407759;Hainweg;POINT (7.485934335527902 51.62493826883745)
05978000002407761;Heinrich-Imbusch-Platz;POINT (7.482498815921886 51.62514965798173)
05978000002407762;Heinrich-Imbusch-Straße;POINT (7.481011548958759 51.626877690337636)
05978000002407765;Heinrich-Imig-Straße;POINT (7.483212709678269 51.62800922131665)
05978000002407768;Hügelstraße;POINT (7.485521419653572 51.624943868154105)
05978000002407770;Hülsenbeckweg;POINT (7.488584666901815 51.62674159224414)
05978000002407771;Hünenweg;POINT (7.489559393461356 51.626388269898236)
05978000002407776;Im Drubbel;POINT (7.488014078113797 51.628440226783994)
05978000002407779;In den Erlen;POINT (7.511539127446985 51.62257305889969)
05978000002407782;In den Hummelknäppen;POINT (7.501660970639319 51.6261408655067)
05978000002407786;Josef-Beckmann-Straße;POINT (7.506334760414556 51.62428322719822)
05978000002407787;Kapellenweg;POINT (7.4765078146127015 51.62839814500189)
05978000002407790;Am Steinkreuz;POINT (7.4879886848802535 51.630876806751246)
05978000002407795;Landwehr;POINT (7.496053701102189 51.628581245502055)
05978000002407798;Lauenburger Straße;POINT (7.491230245068863 51.630337414389416)
05978000002407801;Lippkampstraße;POINT (7.510608266620387 51.62150506065097)
05978000002407806;Marienburger Straße;POINT (7.491596344247846 51.63203632839479)
05978000002407809;Mühlenkolk;POINT (7.493478635249743 51.625299826056306)
05978000002407812;Paul-Böke-Straße;POINT (7.50707170877419 51.626118726035976)
05978000002407814;Ramkamp;POINT (7.469242722824929 51.63952519970623)
05978000002407817;Römerweg;POINT (7.4958697039046625 51.628556686375774)
05978000002407820;Saatweg;POINT (7.483850950502895 51.62931475060841)
05978000002407822;Sachsenweg;POINT (7.496280054819271 51.63012341806537)
05978000002407825;Sprengersknapp;POINT (7.478204475661623 51.63700069838421)
05978000002407830;Waldhöhe;POINT (7.4885302702613625 51.6250084632747)
05978000002407831;Zum Reygers Hof;POINT (7.4917937334419005 51.62434508400526)
05978000002407848;Ackerstraße;POINT (7.486677769100988 51.63552502687002)
05978000002407851;Adalbert-Stifter-Weg;POINT (7.544093179505403 51.629293076352965)
05978000002407854;Ahornstraße;POINT (7.5246151728749044 51.6278613611258)
05978000002407857;Akazienstraße;POINT (7.519134186628638 51.62667093156602)
05978000002407858;Alte Gärtnerei;POINT (7.5206192741689675 51.63484187750077)
05978000002407859;Am Hallenbad;POINT (7.521940136897537 51.629977885232705)
05978000002407860;Am Katzbach;POINT (7.520024344135348 51.62573147256739)
05978000002407863;Am Mispelbohm;POINT (7.5243678965054075 51.625848709299866)
05978000002407869;Am Struckmannsberg;POINT (7.523309068830017 51.64376865397957)
05978000002407872;Am Vogelsberg;POINT (7.5321810712011885 51.63721443360549)
05978000002407873;Am Wetterschacht;POINT (7.502294677492206 51.63308620577498)
05978000002407878;Augustin-Wibbelt-Straße;POINT (7.537673252214233 51.627511061845965)
05978000002407883;Bergkampstraße;POINT (7.521742385698839 51.635066279921105)
05978000002407884;Bertha-von-Suttner-Straße;POINT (7.525019379015435 51.63379471479143)
05978000002407885;Bettina-von-Arnim-Weg;POINT (7.526271844400886 51.631366614154594)
05978000002407886;Borker Straße;POINT (7.511522945539373 51.62690789022018)
05978000002407889;Brahmsstraße;POINT (7.516858527853347 51.63216719260568)
05978000002407892;Brucknerstraße;POINT (7.514022926367657 51.6308832522158)
05978000002407894;Buntspechtweg;POINT (7.5287299705370065 51.633730390902564)
05978000002407897;Cappenberger See;POINT (7.53760409797761 51.63323395822358)
