strassenschluessel;bezeichnung;geometry
05366000002808500;Am Holzgraben;POINT (6.742219405186397 50.606399324601604)
05366000002808501;Am Schwichling;POINT (6.749882579634465 50.609345290087184)
05366000002808502;Auf dem Bongert;POINT (6.748152871128518 50.60685407445242)
05366000002808503;Auf der Schwarte;POINT (6.74439465307561 50.61037975830899)
05366000002808504;Baptiststraße;POINT (6.745942308283526 50.60582478380796)
05366000002808505;Billiger Straße;POINT (6.745653508653383 50.61077568748744)
05366000002808506;Birkenhof;POINT (6.748662154741018 50.601356866674934)
05366000002808507;Breitenfeldstraße;POINT (6.742501330232805 50.60877376089301)
05366000002808508;Buschgasse;
05366000002808509;Diethkirchenweg;POINT (6.73955329425355 50.604501872232454)
05366000002808510;Fabrikstraße;POINT (6.744922781516392 50.6051202866348)
05366000002808511;Graf-Schall-Straße;POINT (6.746421156570736 50.607090784779025)
05366000002808512;Gut von Mallinckrodt;POINT (6.749590130186556 50.599696321381494)
05366000002808513;Hainbuchenweg;POINT (6.744474199581286 50.60731155367063)
05366000002808514;Haus Riebel;POINT (6.747511851888796 50.615527204024175)
05366000002808515;Holunderweg;POINT (6.743337287005732 50.608027207045595)
05366000002808516;Johannesplatz;
05366000002808517;Kleiner Gähn;POINT (6.737970763549924 50.605132441107465)
05366000002808518;Koloniestraße;POINT (6.748750422855728 50.60865882580244)
05366000002808519;Kreuzweingartener Straße;POINT (6.749108722849053 50.606279973313804)
05366000002808520;Oberburg;POINT (6.742537940763195 50.605518988008356)
05366000002808521;Pappelstraße;POINT (6.741000677100848 50.603907687235555)
05366000002808522;Schlehenweg;POINT (6.743816672578563 50.608777288929005)
05366000002808523;Stiftsstraße;POINT (6.745971577961185 50.60655962206975)
05366000002808524;Unterburg;
05366000002808525;Weißdornweg;POINT (6.744888943879474 50.60780570995456)
05366000002808526;Zinnenweg;POINT (6.741448001822867 50.60500805896462)
05366000002808527;Zur Linde;POINT (6.7507358413868594 50.60113100286698)
05366000002808528;Im Kirchfeld;POINT (6.74764768046403 50.60521866360099)
05366000002808529;Am Alten Sportplatz;POINT (6.738562533202213 50.604907155896186)
05366000002808560;Achemer Mühle;POINT (6.6109456873479004 50.64569742842731)
05366000002808561;Gemünder Straße;POINT (6.587659916841141 50.6315299171145)
05366000002808562;Im Wiesengrund;POINT (6.585820289816373 50.62864165897068)
05366000002808563;St.-Willibrord-Straße;POINT (6.591519270426411 50.633619302928594)
05366000002808570;Am Beibert;POINT (6.5645765771811195 50.59672844586997)
05366000002808571;Barbarastraße;POINT (6.565743839911938 50.59695191848515)
05366000002808572;Glehner Straße;POINT (6.572038848306362 50.59725569314192)
05366000002808573;Im Kamertal;POINT (6.5648120658742535 50.59693317080692)
05366000002808574;Zum Boul;POINT (6.568630313686116 50.59850665594525)
05366000002808580;Bergwerkstraße;POINT (6.648743676643293 50.57081975493961)
05366000002808581;Breitenbendener Straße;POINT (6.651468175907219 50.568917360699565)
05366000002808582;Eifelstraße;POINT (6.64989700072724 50.570763756417826)
05366000002808583;Im Heidenpesch;POINT (6.648128928929264 50.57017649860947)
05366000002808584;In den Benden;POINT (6.647396505129029 50.56807921762825)
05366000002808585;In der Wolfskaul;POINT (6.650687172435335 50.572766788339266)
05366000002808586;Lorbacher Weg;POINT (6.64718350912941 50.567285822884436)
05366000002808587;Rosenstieg;POINT (6.650193703161118 50.568834426667316)
05366000002808588;Siedlung Josefshof;POINT (6.641909398702285 50.56764188661018)
05366000002808589;Siedlung Luisenhof;POINT (6.656440249854762 50.571420296590496)
05366000002808590;Tiefenbachstraße;POINT (6.650290515937688 50.571049453990554)
05366000002808591;Weidenweg;POINT (6.650780144203609 50.569334635054496)
05366000002808592;Am Baltesbendener Weiher;
05366000002808605;Maarstraße;POINT (6.570524808657309 50.58096907718172)
05366000002808610;Alte Straße;POINT (6.571538595056939 50.59094560238013)
05366000002808611;Am Mönch;POINT (6.571015581811024 50.59281725447147)
05366000002808612;Am Schliebach;POINT (6.573885864782762 50.58957226344626)
05366000002808614;Pündersmühle;POINT (6.579934442271828 50.59268964993855)
05366000002808615;Rotbachstraße;POINT (6.57106916591208 50.5888967295352)
05366000002808616;St.-Agnes-Straße;POINT (6.571869954995598 50.5903750632587)
05366000002808617;Schleidweg;POINT (6.567166625607226 50.586958430843794)
05366000002808618;Siedlung Geller;POINT (6.576711467657467 50.59458320039621)
05366000002808619;Siedlung Lang;POINT (6.568505921763589 50.59266504456471)
05366000002808620;Um die Weiher;POINT (6.571859956991698 50.588290342517816)
05366000002808621;Am Schwabengarten;POINT (6.570318008742947 50.59204906015839)
05366000002808622;Pfaffenbrochweg;POINT (6.569858270603042 50.59037934938075)
05366000002808623;Zur Blenser Mühle;POINT (6.5734057715162315 50.59026850323942)
05366000002808635;Am Steinling;POINT (6.67303150278584 50.58076397185043)
05366000002808636;Feyermühler Straße;POINT (6.675325225544002 50.5819941204984)
05366000002808637;Im Ginsterfeld;POINT (6.669965391575729 50.583495842779904)
05366000002808638;In der Höhle;POINT (6.676419178067512 50.58238189448257)
05366000002808639;Karlsburger Straße;POINT (6.674245457261461 50.57828322078212)
05366000002808640;Kopfweg;POINT (6.676168846216596 50.57910336652892)
05366000002808641;Kreuz-Weiher-Straße;POINT (6.6773306355170075 50.58084938141473)
05366000002808642;Mechernicher Straße;POINT (6.675491348304232 50.57985084546852)
05366000002808643;Münstereifeler Straße;POINT (6.676394632915532 50.57947130818792)
05366000002808644;St.-Leonhard-Straße;POINT (6.673474044968798 50.58077829410971)
05366000002808645;Siedlung Milde;
05366000002808646;Tondorfer Straße;POINT (6.675298244335094 50.57885585887275)
05366000002808647;Prof.-Robert-Ellscheid-Weg;POINT (6.676506032780749 50.581999928347145)
05366000002808648;Auf der Buche;
05366000002808649;Am Süßen Bäumchen;POINT (6.672855245038545 50.57942657915357)
05366000002808660;Buchfinkenweg;POINT (6.606375399000926 50.583306916055555)
05366000002808661;Strempter Straße;POINT (6.608621067043528 50.58297373478279)
05366000002808662;Fasanenweg;POINT (6.607193525994865 50.5860611956769)
05366000002808663;Meisenweg;POINT (6.607056610665698 50.58292686405663)
05366000002808664;Schnepfenweg;POINT (6.610568567852974 50.58545766029821)
05366000002808665;Schwalbenweg;
05366000002808666;Taubenweg;POINT (6.607711589594889 50.583926058863035)
