strassenschluessel;bezeichnung;geometry
05958000002802001;Küstelberger Straße;POINT (8.645950044127412 51.21318216100447)
05958000002802002;Am Krämershagen;POINT (8.672187291349784 51.208305229967586)
05958000002802003;Glindfeld;POINT (8.663885746204476 51.20277845421892)
05958000002802004;Am Bromberg;POINT (8.682258339721026 51.20863590128426)
05958000002802005;Am Knebelsberg;POINT (8.686872652468244 51.20692562969287)
05958000002802007;Sonnenallee;POINT (8.68976434658755 51.20685211379321)
05958000002802050;Am Eisteich;POINT (8.689509367985751 51.20490625166112)
05958000002802051;Erlenstraße;POINT (8.69055898762476 51.204309638003444)
05958000002802052;Auf der Bleiche;POINT (8.694163424177242 51.20329008988684)
05958000002802053;Ahornstraße;POINT (8.69473575736004 51.202749749473234)
05958000002802054;Glindfelder Weg;POINT (8.698990120600667 51.20101666729516)
05958000002802055;Friedrich-Trippe-Straße;POINT (8.693055355155069 51.202162118790596)
05958000002802056;Zum Schönemarkt;POINT (8.69637369010839 51.20144534681255)
05958000002802101;Oberstraße;POINT (8.687515297335764 51.20570268944351)
05958000002802102;Bahnhofstraße;POINT (8.69920521354719 51.202775674906725)
05958000002802103;Am Weddel;POINT (8.706236165228267 51.2086958414303)
05958000002802104;Hasenkammer;POINT (8.696534221458148 51.20626484247938)
05958000002802105;Hengsbecke;POINT (8.701458282822202 51.20428050922976)
05958000002802106;Anton-Führer-Straße;POINT (8.7019445191212 51.20094726529)
05958000002802107;Schurrenstraße;POINT (8.698107113891906 51.20298947855376)
05958000002802108;Hardtstraße;POINT (8.702998332718076 51.20291132635651)
05958000002802109;Industriestraße;POINT (8.70233011051132 51.20552944602496)
05958000002802110;Beckmannstraße;POINT (8.704120581801696 51.20188900305863)
05958000002802111;Kieler Weg;POINT (8.704768847830094 51.20298227701424)
05958000002802112;Kampstraße;POINT (8.705990393160686 51.20238291922437)
05958000002802113;Weddelstraße;POINT (8.706925576179549 51.2011889050794)
05958000002802114;Knippschildstraße;POINT (8.706332121910775 51.20158731001684)
05958000002802115;Brunartstraße;POINT (8.707979876559731 51.20050018340207)
05958000002802116;Vopeliusstraße;POINT (8.707391863355971 51.20236960755708)
05958000002802117;Hermann-Schmidt-Straße;POINT (8.703009898293361 51.201851794250175)
05958000002802150;Feldmark;POINT (8.730201886977927 51.22956814825402)
05958000002802200;Korbacher Straße;POINT (8.709920961277698 51.19974380227713)
05958000002802201;Am Faustweg;POINT (8.712593170714683 51.19769862383911)
05958000002802202;Langeln;POINT (8.717771596835322 51.22771853240699)
05958000002802229;Marktplatz;POINT (8.70451569497954 51.197845374288086)
05958000002802230;Nordwall;POINT (8.70741760055958 51.19936203688163)
05958000002802231;Im Meer;POINT (8.706156024196506 51.19921615124525)
05958000002802232;Hinterstraße;POINT (8.705132346258385 51.19850056522985)
05958000002802233;Martinstraße;POINT (8.70418044577795 51.19957299351196)
05958000002802234;Österstraße;POINT (8.708189989699449 51.198040122257886)
05958000002802235;Marktstraße;POINT (8.705184605444527 51.19754679327665)
05958000002802236;Kirchstraße;POINT (8.705222648494887 51.197416474947836)
05958000002802237;Schulstraße;POINT (8.706004867424637 51.197898636376486)
05958000002802238;Kapellenstraße;POINT (8.707595731298307 51.19862342975947)
05958000002802239;Kurfürstenstraße;POINT (8.708523308409548 51.19691496523458)
05958000002802240;Klimmenstraße;POINT (8.708071559247085 51.19648152007835)
05958000002802241;Junkernhof;POINT (8.708945080664291 51.19775753398951)
05958000002802242;Ostwall;POINT (8.708313198442958 51.19594215774341)
05958000002802243;Holtischer Weg;POINT (8.713906744631025 51.197062100359105)
05958000002802244;Zur Femlinde;POINT (8.711250390555087 51.19555123999369)
05958000002802245;Auf der Trift;POINT (8.71109905981384 51.19598395884696)
05958000002802246;Rosenstraße;POINT (8.708673876960432 51.196053696566615)
05958000002802247;Tulpenweg;POINT (8.710578752335561 51.196618180329104)
05958000002802248;Am Papenkamp;POINT (8.713133417756932 51.195692472340454)
05958000002802249;Asternweg;POINT (8.712063859297084 51.19552748180823)
05958000002802270;Mündener Straße;POINT (8.707221205863124 51.19598118147478)
05958000002802271;Kolpingstraße;POINT (8.723353589074467 51.1940397623199)
05958000002802272;Landwehr;POINT (8.722397130062435 51.194453819018236)
05958000002802273;Grüner Weg;POINT (8.729510577203687 51.19387397981559)
05958000002802301;Hallenberger Straße;POINT (8.706375128611684 51.19489202756977)
05958000002802310;Brüggerweg;POINT (8.707707503808546 51.19472519450772)
05958000002802311;Hansestraße;POINT (8.712370818701864 51.19220943144599)
05958000002802312;Soester Straße;POINT (8.71174095069463 51.19142868691669)
05958000002802313;Lübecker Straße;POINT (8.71109572294405 51.192023001559065)
05958000002802314;Bremer Straße;POINT (8.709168302104043 51.19338691567882)
05958000002802315;Rigaer Straße;POINT (8.711137915838759 51.19342511074944)
05958000002802316;Kölner Straße;POINT (8.709995134627883 51.19369734722167)
05958000002802350;Amselweg;POINT (8.709902154690653 51.17855402784638)
05958000002802351;Drosselweg;POINT (8.710826172474507 51.17786201476401)
05958000002802352;Finkenweg;POINT (8.713109871574963 51.17724338594592)
05958000002802353;Lerchenweg;POINT (8.712298115859074 51.17754019609111)
05958000002802354;Pfarrer-Kneipp-Allee;POINT (8.708565544155388 51.17791126723044)
05958000002802355;Talweg;POINT (8.709882245646087 51.17746592528626)
05958000002802356;Tannenweg;POINT (8.709552020474664 51.1787004072342)
05958000002802357;Meisenweg;POINT (8.713074721191813 51.177563918417135)
05958000002802400;Zum Klapperhaus;POINT (8.706146279582459 51.1943404275547)
05958000002802401;Akazienweg;POINT (8.70525415992891 51.19376760908208)
05958000002802402;Nussbaumweg;POINT (8.70488684436465 51.193500585303575)
05958000002802403;Rotdornweg;POINT (8.703541081844591 51.19277806604362)
05958000002802404;Ulmenweg;POINT (8.705850206681411 51.19303082919077)
05958000002802449;In der Lippe;
05958000002802450;Niederstraße;POINT (8.70604832392104 51.196249338469265)
05958000002802451;Bachstraße;POINT (8.70640775214134 51.19570141852795)
05958000002802452;Mauritiusstraße;POINT (8.704642996774506 51.19584058318681)
05958000002802453;Savoyenstraße;POINT (8.701560324839352 51.19911991287104)
05958000002802454;Auf der Burg;POINT (8.702342248066465 51.19740993873854)
05958000002802455;Südwall;POINT (8.703624482462208 51.19605306590962)
05958000002802456;Prozessionsweg;POINT (8.70692924620451 51.199733047626786)
05958000002802457;Schützenstraße;POINT (8.70157638737335 51.195302261321615)
05958000002802458;Auf dem Hagen;POINT (8.702945123656406 51.194991492789285)
05958000002802459;Hellenbrauck;POINT (8.69985394798779 51.1955124462925)
05958000002802501;Gelängeweg;POINT (8.695840796339477 51.19635641678568)
05958000002802502;Beethovenstraße;POINT (8.69589922820158 51.1943762918413)
05958000002802503;Mozartstraße;POINT (8.69697929789018 51.194328881224294)
05958000002802504;St.Sebastianus Weg;POINT (8.697933141840599 51.19390716613115)
05958000002802505;Worbiser Straße;POINT (8.694839567243015 51.19328576132146)
05958000002802506;Eichsfelder Straße;POINT (8.697236299589365 51.192716826406404)
05958000002802507;Locmine-Straße;POINT (8.69727248867106 51.192262920364605)
05958000002802508;Bretagne-Straße;POINT (8.69455930323067 51.19264316475967)
05958000002802509;Josef-Bauer-Straße;POINT (8.69743965541691 51.193077032562925)
05958000002802510;Am Heuweg;POINT (8.69359932721106 51.19459294862542)
05958000002802550;An der Stadtmühle;POINT (8.701784220938496 51.19815266912654)
05958000002802551;Wittekindstraße;POINT (8.6987813991751 51.19688720893149)
05958000002802552;Auf der Renne;POINT (8.700423266030144 51.198280757987966)
05958000002802553;Ringelfeldweg;POINT (8.697694361521268 51.1969713964027)
05958000002802554;Hohoffstraße;POINT (8.699511414708446 51.198527072841)
05958000002802555;Auf dem Goldborn;POINT (8.696394988484858 51.199021810605366)
05958000002802556;Am Kahlen;POINT (8.696867579783628 51.20068935675831)
05958000002802557;Auf dem Blech;POINT (8.696553926801474 51.2003358960524)
05958000002802558;Zur Mausmecke;POINT (8.696070962922201 51.19984242663592)
05958000002802559;Kohlwiese;POINT (8.696579184583461 51.197848389973984)
05958000002802601;Berge;POINT (8.709528396719023 51.17197337851156)
05958000002802602;Am Homberg;POINT (8.709677773225417 51.16710088716617)
05958000002802603;Auf den Bedden;POINT (8.717972635366625 51.16829354438114)
