strassenschluessel;bezeichnung;geometry
05958000003201001;Le-Puy-Straße;POINT (8.274213090331285 51.349755061539966)
05958000003201002;Brückenstraße;POINT (8.279673994297596 51.34826164416251)
05958000003201004;Rebell;POINT (8.279976854883868 51.34749226103343)
05958000003201005;Stiftsstraße;POINT (8.28135273260318 51.34645110435472)
05958000003201006;Arnsberger Straße;POINT (8.278264276719062 51.34734053736044)
05958000003201007;Stiftsplatz;POINT (8.282630678674558 51.34632146546449)
05958000003201008;Emhildisplatz;POINT (8.282830707208088 51.34534093955071)
05958000003201009;Unterm Hagen;POINT (8.2817247089447 51.34464897277982)
05958000003201010;Klausenweg;POINT (8.274987269436865 51.34763188833853)
05958000003201011;Hagenweg;POINT (8.28084574519243 51.34523096355882)
05958000003201012;Berghauser Weg;POINT (8.278814355368777 51.34628655062384)
05958000003201013;Ritter-Freseken-Straße;POINT (8.276915936151884 51.346948897577356)
05958000003201014;Kämpchen;POINT (8.278125166467671 51.34586106088689)
05958000003201015;Im Appelhof;POINT (8.276599778437214 51.34555856209816)
05958000003201016;Gresemundstraße;POINT (8.279150406940499 51.34528238257469)
05958000003201017;Überm Hagen;POINT (8.279138466967247 51.34485094799397)
05958000003201018;Kunigundenstraße;POINT (8.279465973399418 51.3432130961843)
05958000003201019;Am Stadtpark;POINT (8.275554976764273 51.33783878311088)
05958000003201020;Langelohweg;POINT (8.278771658062814 51.34400220770623)
05958000003201021;Schröersweg;POINT (8.275871993857164 51.340156999857115)
05958000003201022;Margaretenstraße;POINT (8.279498219463283 51.344512467628405)
05958000003201023;Emhildisstraße;POINT (8.281987729694478 51.34703169858385)
05958000003201024;Auf der Wieme;POINT (8.282069142542763 51.34493671889212)
05958000003201025;Von-Berninghusen-Straße;POINT (8.28026328350181 51.3418031225184)
05958000003201026;Antoniusbrücke;
05958000003201027;Coventry-Brücke;
05958000003201028;Klausenkapelle;POINT (8.274245458629176 51.3475625607838)
