strassenschluessel;bezeichnung;geometry
05158000002620004;Alfred-Delp-Straße;POINT (6.898462875958288 51.122777339453144)
05158000002620007;Albert-Einstein-Straße;POINT (6.890570402027497 51.079103630480944)
05158000002620008;Ackerweg;POINT (6.889439533794942 51.076616879749295)
05158000002620010;Akazienweg;POINT (6.890751800145617 51.11255048224407)
05158000002620012;Alfred-Nobel-Straße;POINT (6.894967150724888 51.074376750766405)
05158000002620016;Allensteiner Straße;POINT (6.887533689982457 51.081089246626235)
05158000002620020;Alte Schulstraße;POINT (6.884066004299579 51.09122164570491)
05158000002620022;Altleienhof;POINT (6.886588341959526 51.11871454283653)
05158000002620023;Alte Brauerei;POINT (6.88585554416506 51.09251469872235)
05158000002620024;Altjudenhof;POINT (6.9204522064418565 51.082049530532394)
05158000002620026;Am breiten Leinpfad;
05158000002620028;Am Driesch;POINT (6.895695720340328 51.09777152525105)
05158000002620032;Am Grafacker;POINT (6.893361600808638 51.09517720077187)
05158000002620036;Am Hagelkreuz;POINT (6.8894025947453 51.111004650891545)
05158000002620039;Am Lingenkamp;POINT (6.878892639188736 51.11786404327845)
05158000002620040;Am Hang;POINT (6.893458252806588 51.09886197824918)
05158000002620041;Am Monbagsee;POINT (6.906515062715392 51.092559555649)
05158000002620042;Am Knipprather Busch;POINT (6.9045427526929375 51.10999784138757)
05158000002620043;Am Kieswerk;POINT (6.911411409480551 51.09402760880291)
05158000002620044;Am Kielsgraben;POINT (6.892725219652741 51.10588178647555)
05158000002620045;Am Mühlenhof;POINT (6.884906538297905 51.095774622492115)
05158000002620046;Am Sanderhof;POINT (6.887255726724175 51.117540826862594)
05158000002620048;Am Sportplatz;POINT (6.894982762744405 51.11230691457153)
05158000002620050;Am Steinacker;POINT (6.88788886576951 51.11480422597017)
05158000002620052;Am Steg;POINT (6.889767162897153 51.095327761301185)
05158000002620054;Am Vogelort;
05158000002620056;Am Wald;POINT (6.910817740986402 51.09497913456906)
05158000002620060;Am Wasserloch;POINT (6.886919869513713 51.118406929241814)
05158000002620062;Am Werth;POINT (6.879278917606208 51.09093688895106)
05158000002620064;Amselweg;POINT (6.899785697475335 51.09365199606275)
05158000002620065;An der Alten Ziegelei;POINT (6.913526904518233 51.09431675771881)
05158000002620066;An der Aue;POINT (6.884278806103342 51.12206257202651)
