strassenschluessel;bezeichnung;geometry
05374000002809239;Adolf-Kolping-Straße;POINT (7.7207610127313595 50.87119055665096)
05374000002809240;Alzener Weg;POINT (7.732480860856501 50.86401417426389)
05374000002809241;Amselweg;POINT (7.719188561744161 50.86829501451465)
05374000002809242;Steiler Weg;POINT (7.722687466014103 50.87108679568051)
05374000002809243;Am Brunnen;POINT (7.728333719111345 50.86810870656339)
05374000002809244;Am Büchel;POINT (7.723813192801921 50.86558671092955)
05374000002809245;Am Dreieck;POINT (7.728724035170693 50.865736014246735)
05374000002809246;Am Eichhölzchen;POINT (7.720640146458235 50.87417390593891)
05374000002809247;Dechant-Strack-Straße;POINT (7.7282139827454905 50.86686957510502)
05374000002809248;Am Mühlengraben;POINT (7.723350719653682 50.864406552343475)
05374000002809249;An der Seelhardt;POINT (7.7306201947795925 50.865472955994996)
05374000002809250;Am Hang;POINT (7.724565323970545 50.87266207756748)
05374000002809252;Auf der Au;POINT (7.717476172767588 50.86512952829205)
05374000002809253;Auf der Kohlhardt;POINT (7.713604368066489 50.8714458450638)
05374000002809254;Auf der Hütte;POINT (7.71864012739567 50.865596225901974)
05374000002809255;Bahnhofstraße;POINT (7.725020017134751 50.8644565023296)
05374000002809256;Bachstraße;POINT (7.728056074924236 50.86534662586934)
05374000002809257;Brückenstraße;POINT (7.7355666815656425 50.86394567556608)
05374000002809258;Ellinger Weg;POINT (7.725606038070789 50.874418485358994)
05374000002809259;Feldweg;POINT (7.718013849682056 50.869546671549585)
05374000002809260;Felsenweg;POINT (7.7151652092424 50.86449823004954)
05374000002809261;Fichtenweg;POINT (7.715473135964307 50.871055485934676)
05374000002809262;Flurstraße;POINT (7.71643092688297 50.87066045036437)
05374000002809263;Hardtweg;POINT (7.713711868250279 50.86054427245295)
05374000002809264;Goethestraße;POINT (7.715790340430849 50.87018945527842)
05374000002809265;Hahner Straße;POINT (7.71631879331617 50.87193151491507)
05374000002809266;Heinrich-Halberstadt-Weg;POINT (7.728368801889366 50.86623753247501)
05374000002809267;Hemmerholzer Weg;POINT (7.717919196659985 50.87249778814506)
05374000002809268;Hohe Brücke;POINT (7.725312934397335 50.87491571710043)
