strassenschluessel;bezeichnung;geometry
05117000000000001;Adlerhorst;POINT (6.82386476823893 51.43041746183542)
05117000000000004;Adolfstraße;POINT (6.892740395753509 51.42740942335003)
05117000000000005;Agnesstraße;POINT (6.90354170332119 51.466538082286)
05117000000000006;Ahornstraße;POINT (6.821693315869382 51.43671222845213)
05117000000000007;Fossilienweg;
05117000000000008;Akazienallee;POINT (6.823712645876107 51.43696138694585)
05117000000000009;Aktienstraße;POINT (6.878024060024694 51.43546190257254)
05117000000000010;Albert-Schweitzer-Straße;POINT (6.905506471933487 51.44576844523079)
05117000000000011;Albertstraße;POINT (6.860329500915312 51.44828957578668)
05117000000000012;Alexanderstraße;POINT (6.930609346464964 51.43693666956401)
05117000000000013;Dieter-aus-dem-Siepen-Platz;POINT (6.886115524312919 51.43104781397771)
05117000000000014;Alsenstraße;POINT (6.8579654703093835 51.45205911381223)
05117000000000015;Alstadener Straße;POINT (6.846935672740474 51.45141178520921)
05117000000000016;Alte Straße;POINT (6.868230268933769 51.40793764553218)
05117000000000017;Althofstraße;POINT (6.886673926752129 51.428026127429355)
05117000000000018;Alvenslebenstraße;POINT (6.867320810273813 51.45270164435271)
05117000000000019;Am Bahnhof Broich;POINT (6.871991704965407 51.426280332330215)
05117000000000020;Am Buchholz;POINT (6.940581146817227 51.39114347141591)
05117000000000021;Am Bühl;POINT (6.858680812372036 51.4081365727254)
05117000000000022;Am Bühlsbach;POINT (6.86026544850627 51.402754262250255)
05117000000000023;Am Deich;
05117000000000024;Am Eisenstein;POINT (6.9081227060429145 51.43817904439803)
05117000000000025;Am Entenfang;POINT (6.814003116830517 51.37619091406943)
05117000000000026;Am Großen Berg;POINT (6.842631538347297 51.41003836517869)
05117000000000027;Am Haubach;POINT (6.843484566829501 51.36806604328536)
05117000000000028;Am Kreuz;
05117000000000029;Am Nordhafen;POINT (6.841326800332289 51.439515541176846)
05117000000000030;Am Scheidtbusch;POINT (6.952032541564697 51.432401332267716)
05117000000000031;Am Schlaghecken;POINT (6.861541819316427 51.391624366644166)
05117000000000032;Am Schloß Broich;POINT (6.869624721783121 51.42656312817326)
05117000000000033;Amselstraße;POINT (6.944552884463005 51.4330003742196)
05117000000000034;Amundsenweg;POINT (6.934759539032044 51.429605778007655)
05117000000000035;Am Wasserturm;POINT (6.951423337293992 51.42329458965858)
05117000000000036;An den Buchen;POINT (6.900180116390818 51.42235508194357)
05117000000000037;An der Halde;POINT (6.89516942718742 51.45797252974269)
05117000000000038;An der Lohe;POINT (6.878032952159296 51.37692469344288)
05117000000000039;An der Rennbahn;POINT (6.830092828699989 51.43437972974354)
05117000000000040;An der Werkstätte;POINT (6.868602627598068 51.42687542849527)
05117000000000041;Heinrich-Lemberg-Straße;POINT (6.922534153142054 51.43401452651495)
05117000000000042;Zur Alten Mühle;POINT (6.871786047754826 51.40839480158422)
05117000000000043;Annabergstraße;POINT (6.902193142839078 51.428464629337086)
05117000000000044;Antoniusstraße;POINT (6.888754754175986 51.42150245200689)
05117000000000045;Arndtstraße;POINT (6.881988040708381 51.43610027641101)
05117000000000046;Arnoldstraße;POINT (6.830821815298393 51.431530572272564)
05117000000000047;Artur-Brocke-Allee;POINT (6.824074925585751 51.42921878378895)
05117000000000048;Aschenbruch;POINT (6.822990688185269 51.41729496117696)
05117000000000049;Asternweg;POINT (6.851958684818551 51.45314977644867)
05117000000000050;Aubergweg;POINT (6.875893031345128 51.39626733654297)
05117000000000051;Auerstraße;POINT (6.880254872350596 51.42950013550797)
05117000000000052;Auf dem Bruch;POINT (6.890705122492805 51.46150317517365)
05117000000000053;Auf dem Dudel;POINT (6.877624397904295 51.4243731205277)
