strassenschluessel;bezeichnung;geometry
05962000004401601;Brenscheid;POINT (7.608272198922221 51.294213679932476)
05962000004401602;Brenscheider Mühle;POINT (7.607130887175192 51.28713743325879)
05962000004401603;Buchhellenstück;POINT (7.599790110401192 51.29105946011302)
05962000004401604;Lehmkuhle;POINT (7.616803383630018 51.30002624426574)
05962000004401605;Waldemey;POINT (7.619132275623298 51.298601292426234)
05962000004401610;Dümplerleie;POINT (7.643203178370354 51.337926493855065)
05962000004401611;Dümpel;POINT (7.650741242794044 51.335607624142106)
05962000004401617;Eilerder Feld;POINT (7.619370849089431 51.31292529041327)
05962000004401618;Eilerde;POINT (7.621068946351482 51.316228930913866)
05962000004401619;Becke;POINT (7.615744290054227 51.32048267442776)
05962000004401620;Brantenhahn;POINT (7.622491870016522 51.319692261887226)
05962000004401621;Höchsten;POINT (7.623705141740621 51.31688776902321)
05962000004401622;Großenhahn;POINT (7.622507732494307 51.32216299539165)
05962000004401625;Am Tunnel;POINT (7.645462383754613 51.33039026508611)
05962000004401626;Bachstraße;POINT (7.641777479712383 51.32657288750767)
05962000004401627;Buchenweg;POINT (7.641258070726719 51.32413508846076)
05962000004401628;Eichendorffstraße;POINT (7.64460060570517 51.32753057665874)
05962000004401629;Friedhofsweg;POINT (7.641419739271189 51.32447152289116)
05962000004401630;Helbecker Weg;POINT (7.642819517263512 51.32308284690776)
05962000004401631;Hermann-Löns-Weg;POINT (7.640784050461883 51.325182462610414)
05962000004401632;Im Grund;POINT (7.643750816688349 51.32411669131041)
05962000004401633;Kapellenweg;POINT (7.643043607193376 51.32499880635479)
05962000004401634;Einsaler Hof;
05962000004401660;Hahn;POINT (7.619988289221254 51.28971839321469)
05962000004401661;Haste;POINT (7.624612345965249 51.287500767484275)
05962000004401662;Hohenhagen;POINT (7.622800953088777 51.290479833329634)
05962000004401663;Leimbleck;POINT (7.626360240478152 51.294753820344454)
05962000004401673;Hallenscheid;POINT (7.6301456763026785 51.30914517644048)
05962000004401674;Buchholz;POINT (7.627510150989106 51.311011714077)
05962000004401675;Eickhoff;POINT (7.6287237072832905 51.31225103565087)
05962000004401676;Kreinberg;POINT (7.626125815242044 51.31278637081657)
05962000004401681;Kreinberger Weg;POINT (7.642885224448802 51.31907906230506)
05962000004401682;Breddestraße;POINT (7.6429341902138965 51.31756672182932)
05962000004401683;Hallenscheider Weg;POINT (7.645868085645184 51.31351139885472)
05962000004401684;Im Hötting Hahn;POINT (7.648832764231464 51.31250098730521)
