strassenschluessel;bezeichnung;geometry
05366000003207650;Ahornstraße;POINT (6.735387305907258 50.515866830340286)
05366000003207651;Birkenstraße;POINT (6.727376591103042 50.51325296920764)
05366000003207652;Büchelstraße;POINT (6.7294338710643835 50.5140778087567)
05366000003207653;Hardtstraße;POINT (6.731443230357951 50.515542515171845)
05366000003207654;Heldweg;POINT (6.735594996801337 50.51974102711771)
05366000003207655;Jonas-Kreuz-Straße;POINT (6.7334640848188805 50.514890685179985)
05366000003207656;Münstereifeler Straße;POINT (6.735398413955751 50.518302655259966)
05366000003207657;Tannenstraße;POINT (6.7347183132203075 50.520121391078725)
05366000003207658;Amselweg;POINT (6.734913891975681 50.516135765321394)
05366000003207659;Im Weinfeld;POINT (6.73212408066791 50.51407684046321)
05366000003207660;Schmette Gasse;POINT (6.7330004529990335 50.51725815152194)
05366000003207670;Am Steinacker;POINT (6.729658899576857 50.488193075128684)
05366000003207671;Backesgasse;POINT (6.730086336973777 50.487797367139926)
05366000003207672;Fliederstraße;POINT (6.7296272325031525 50.48673715230035)
05366000003207673;Haus Walderath;POINT (6.747460678702373 50.483773870951254)
05366000003207674;Quellenstraße;POINT (6.729289804817254 50.4873948571304)
05366000003207675;Wiesenstraße;POINT (6.732841467569616 50.489133423569264)
05366000003207676;Zur Buirer Ley;POINT (6.728784615605693 50.485747396905545)
05366000003207677;Zur Feldscheid;POINT (6.730644934835826 50.486607408310554)
05366000003207678;Zur Bonnheck;POINT (6.731246898487945 50.48786440104931)
05366000003207690;Ahestraße;POINT (6.677453704709111 50.49351067284863)
05366000003207691;Buchenstraße;POINT (6.679057901976777 50.49210262583402)
05366000003207692;Burg Engelgau;POINT (6.668828222681058 50.48750989262131)
05366000003207693;Dahlienstraße;POINT (6.677220670874151 50.49204364609061)
05366000003207694;Dohlenstraße;POINT (6.679541808621995 50.49512929360935)
05366000003207695;Dürener Straße;POINT (6.678132342618813 50.493129188949744)
05366000003207696;Eichenstraße;POINT (6.676453646391788 50.49220248592709)
05366000003207697;Engelsgasse;POINT (6.67982968029321 50.493139059770535)
05366000003207698;Frohngauer Straße;POINT (6.682685327048361 50.492495662134175)
05366000003207699;Goldgasse;POINT (6.675653327130382 50.494564804723595)
05366000003207700;Himbergstraße;POINT (6.680678118794016 50.496468528779246)
05366000003207701;Horrido;POINT (6.657449211035663 50.47918757516215)
05366000003207702;Lärchenstraße;POINT (6.672960413404363 50.49523934009912)
05366000003207703;Mühlenbachstraße;POINT (6.675663645689909 50.49364780427212)
05366000003207704;Roderather Straße;POINT (6.6764397151737125 50.49659080654168)
05366000003207705;Taubenstraße;POINT (6.67997652731834 50.49569669440316)
05366000003207706;Tulpenstraße;POINT (6.680860297952351 50.49461930052688)
05366000003207707;Im Bauert;POINT (6.678226117582188 50.50624070774104)
05366000003207708;Ulmenstraße;POINT (6.679737707628433 50.49151708449091)
05366000003207709;Schwalbenweg;POINT (6.678582058303947 50.49851299945973)
05366000003207710;Meisenweg;POINT (6.6746687584142235 50.49573890701823)
05366000003207720;Am Staffenberg;POINT (6.7081321999572765 50.4975310230395)
05366000003207721;Auf der Kumm;POINT (6.704076329602786 50.49414447492369)
05366000003207722;Birkenheck;POINT (6.6929691013408155 50.48239924148421)
05366000003207723;Birkenhecker Straße;POINT (6.703965064937363 50.49188695880966)
05366000003207724;Buirer Straße;POINT (6.709328048128125 50.49450998258294)
05366000003207725;Bungertweg;POINT (6.708136235049048 50.49389205627364)
05366000003207726;Efeustraße;POINT (6.7081750365157795 50.495384673336595)
05366000003207727;Greußstraße;POINT (6.7052758012349996 50.49597423691982)
05366000003207728;Helterstraße;POINT (6.708374199386786 50.49595969337238)
05366000003207729;Hinter dem Zaun;POINT (6.709163132019445 50.49677177701091)
05366000003207730;Holzmülheimer Straße;POINT (6.713619225632464 50.49648169539893)
05366000003207731;Hornstraße;POINT (6.706738630828232 50.494733725516355)
05366000003207732;Im Falter;POINT (6.711624424629374 50.49485957537209)
05366000003207733;Jagdhaus Mürel;POINT (6.6671464445577815 50.46435791504034)
05366000003207734;Alte Gasse;POINT (6.706382405502561 50.49497322034148)
05366000003207735;Am Kuhbach;POINT (6.710863488915545 50.493948245483466)
05366000003207736;An der Zehntscheuer;POINT (6.70887505781699 50.49654678842049)
05366000003207737;Holzgasse;POINT (6.707316586046549 50.49520236746134)
05366000003207738;Auf der Greuß;POINT (6.707283689743932 50.49651638631507)
05366000003207745;Am Silberberg;POINT (6.735166137239602 50.50210789413013)
05366000003207746;Brucherweg;POINT (6.7406183622050175 50.500680884498614)
05366000003207747;Erftstraße;POINT (6.739764051510177 50.49879980991238)
05366000003207748;Hardtweg;POINT (6.734396440271007 50.5007494031425)
05366000003207749;Im Heuert;POINT (6.731088099189939 50.498700952150315)
05366000003207750;Mühlenweg;POINT (6.739900117118483 50.49991397943286)
05366000003207751;Schleidstraße;POINT (6.734260926308142 50.50174614672674)
05366000003207752;Schochermühle;POINT (6.746364908358406 50.499101169720326)
05366000003207753;Trierer Straße;POINT (6.7441950170666285 50.505303199704116)
05366000003207755;Jagdhaus;POINT (6.745813315698282 50.500503212840705)
05366000003207756;Auf Giesert;POINT (6.750405836749397 50.50615332913556)
05366000003207765;Am Trinkpütz;POINT (6.583433180838848 50.47596579584142)
05366000003207766;Auf dem Nippes;POINT (6.577555589825947 50.474585388396875)
05366000003207767;Auf den Höfen;POINT (6.579679060307443 50.47819059734911)
05366000003207768;Bahrhaus;POINT (6.588702567382076 50.49921874848356)
05366000003207769;Burgstraße;POINT (6.578134577354748 50.47739334422388)
05366000003207770;Buschgasse;POINT (6.581306723374541 50.476195405452025)
05366000003207771;Finkenweg;POINT (6.586181670083994 50.475803726630595)
05366000003207772;Frankenstraße;POINT (6.578350520873653 50.480833603981274)
05366000003207773;Gartenstraße;POINT (6.576165721517634 50.47555128442365)
05366000003207774;Gildenstraße;POINT (6.575282258264022 50.47425361823072)
05366000003207775;Heideweg;POINT (6.5845519718232195 50.477228365504054)
05366000003207776;Hermann-Löns-Weg;POINT (6.573972924739343 50.47360460497623)
05366000003207777;Im Auel;POINT (6.5795588554485525 50.47958907698215)
05366000003207778;Im Wiesengrund;POINT (6.581704282541801 50.479473992092885)
05366000003207779;Jägerpfad;POINT (6.5751980927782405 50.47256505226157)
05366000003207780;Kapellenstraße;POINT (6.578334334966347 50.47505614747597)
05366000003207781;Keltenring;POINT (6.583192042864212 50.477581375364245)
05366000003207782;Kölner Straße;POINT (6.579580336097425 50.47683323820678)
