strassenschluessel;bezeichnung;geometry
05166000001612001;Am Kastell;POINT (6.249844752789337 51.30216240311838)
05166000001612002;Am Bahndamm;POINT (6.257381763858416 51.287491808125125)
05166000001612003;Am Kreuzgarten;POINT (6.2522284504692 51.269830463388466)
05166000001612004;Am Heydevelthof;POINT (6.235823588232306 51.30933759306989)
05166000001612005;Am Quellensee;POINT (6.252212069906799 51.30507832183179)
05166000001612006;Am Hang;POINT (6.2517811160175665 51.29371238052583)
05166000001612007;An der Kirche;POINT (6.243171692266596 51.280730553974344)
05166000001612008;Am Alten Pastorat;POINT (6.251213470381743 51.298988340096265)
05166000001612009;Annastraße;POINT (6.24379931901884 51.28533060114025)
05166000001612010;An der Alten Schule;POINT (6.240566422373038 51.278796231445234)
05166000001612011;Baerlo;POINT (6.236174705521271 51.31881394064899)
05166000001612012;Alte Dohrstraße;POINT (6.247512286975851 51.29840345255056)
05166000001612013;Beek;POINT (6.251090707883001 51.30160308253098)
05166000001612014;Alte Tegelsche Straße;POINT (6.167677847291766 51.31663294376695)
05166000001612015;Berg;POINT (6.251391156392293 51.29633692193479)
05166000001612016;Am Breyeller See;
05166000001612017;Berger Feld;POINT (6.257251879650625 51.29351454319766)
05166000001612018;Am Sonnendeich;
05166000001612019;Berliner Straße;POINT (6.252148336344124 51.29036995392718)
05166000001612020;An der Schanz;
05166000001612021;Bieth;POINT (6.232117681582673 51.29762330841088)
05166000001612022;An Peutengut;
05166000001612023;Biether Straße;POINT (6.244942074506868 51.29663293551682)
05166000001612024;An Winkelskamp;
05166000001612025;Blumenstraße;POINT (6.253071800732356 51.27755073548146)
05166000001612026;Blumental;POINT (6.242122996768716 51.31277404080366)
05166000001612027;Boisheimer Straße;POINT (6.251633932938439 51.277867359928294)
05166000001612028;Bootenkamp;POINT (6.244369128023157 51.29931750190548)
05166000001612029;Brachter Straße;POINT (6.240380879262381 51.28122995777641)
05166000001612030;Bäumges Kirchweg;
05166000001612031;Brassertweg;POINT (6.254853212092464 51.29340460862617)
05166000001612032;Breyeller Straße;POINT (6.263750047007401 51.302865844736644)
05166000001612033;Bruckrath;POINT (6.23209053460811 51.28173983294745)
05166000001612034;Beecker Weg;
05166000001612035;Buchenweg;POINT (6.254039680743922 51.27613645196101)
05166000001612036;Brückenhausstraße;POINT (6.236491912447916 51.29489491260514)
05166000001612037;Christian-Rötzel-Allee;POINT (6.23875474140279 51.29498828397958)
05166000001612038;Birkenbuschweg;
05166000001612039;Dohrstraße;POINT (6.2465793095907935 51.298796095821615)
05166000001612040;Brockerhofer Weg;
05166000001612041;Dülkener Straße;POINT (6.254486738022614 51.295569723964725)
05166000001612042;Bruckrather Weg;
05166000001612043;Erlenbruch;POINT (6.247785209673313 51.305235110542746)
05166000001612044;Buschweg;
05166000001612045;Felderend;POINT (6.245700443762648 51.29454311681354)
05166000001612046;Dammer Weg;
05166000001612047;Fongern;POINT (6.242925023210324 51.291174846804665)
05166000001612048;Drei Lindenweg;
05166000001612049;Furth;POINT (6.239518118682873 51.28212811564334)
05166000001612050;Driesenweg;POINT (6.21361395790669 51.299420086739865)
05166000001612051;Gerhart-Hauptmann-Straße;POINT (6.251554842730102 51.29480408237628)
05166000001612052;Erbenstraße;
05166000001612053;Gertrudenhof;POINT (6.2515759330023135 51.294466967849)
05166000001612054;Erkesweg;
05166000001612055;Gier;POINT (6.227179702424802 51.29648773168386)
05166000001612057;Grenzweg;POINT (6.22128423937151 51.28612040804921)
05166000001612058;Happelter Weg;
05166000001612059;Haagstraße;POINT (6.2505310956301905 51.29793856808593)
05166000001612060;Hans-Herbert-Rösges-Str.;POINT (6.242432709826324 51.28290648699469)
05166000001612061;Happelter;POINT (6.237871780932909 51.25825061612967)
05166000001612062;Hainbuchenweg;POINT (6.247284831504923 51.263668068007334)
05166000001612063;Happelter Straße;POINT (6.244679672697968 51.27826280190946)
05166000001612064;Heinrich-Anstoetz-Straße;POINT (6.247012972517155 51.27937433512487)
05166000001612065;Heinrich-Houben-Straße;POINT (6.252674253132778 51.29317796462688)
05166000001612066;Heidefeldweg;
05166000001612067;Henri-Dunant-Straße;POINT (6.253916805521747 51.29466560084985)
05166000001612068;Heidstraße;
05166000001612069;Hohlweg;POINT (6.244560118794129 51.300712347328435)
05166000001612070;Hülster Weg;
05166000001612071;Hubertusplatz;POINT (6.244954439896812 51.28141902169932)
05166000001612072;Im Ferkensbruch;
05166000001612073;Hubertusstraße;POINT (6.254553920925465 51.27907506205017)
05166000001612074;Im Voswinkel;
05166000001612075;Hühr;POINT (6.255871009183276 51.29958284909558)
05166000001612076;Kirchgasse;
05166000001612077;Im Weiherfeld;POINT (6.246616218556244 51.3046338483693)
05166000001612078;Kreuzgartenweg;POINT (6.247483515932271 51.27278674653571)
05166000001612079;Johann-Peters-Straße;POINT (6.2520247989307896 51.294812961031525)
05166000001612080;Josef-Hoffmans-Straße;POINT (6.237195721607737 51.294315523544995)
05166000001612081;Josefstraße;POINT (6.245299290364592 51.295496037528125)
05166000001612082;Lenzweg;
05166000001612083;Jupp-Busch-Straße;POINT (6.246227891850785 51.297230238550235)
05166000001612084;Luethenmühlenweg;POINT (6.250484858400339 51.309857151036056)
05166000001612085;Carl-Sonnenschein-Straße;POINT (6.251983221661253 51.27857788535278)
05166000001612086;Mühlenweg;
05166000001612087;Kettelerstraße;POINT (6.254526992748952 51.27751094018951)
05166000001612088;Nettbrucher Weg;
05166000001612089;Kindt;POINT (6.239078837423949 51.27324454992197)
05166000001612090;Ritzbrucher Weg;
05166000001612091;Kindter Straße;POINT (6.23912941120951 51.27448200656161)
05166000001612092;Krüchtens Straße;POINT (6.242972039806718 51.28001558554766)
05166000001612093;Kirchweg;POINT (6.248742520923194 51.29773970553802)
05166000001612094;Krämerstraße;POINT (6.248097756333363 51.29708378169244)
05166000001612095;Lambertimarkt;POINT (6.24725907202233 51.297878354293516)
05166000001612096;Römerstraße;
05166000001612097;Leutherheide;POINT (6.235531436154264 51.311960572472614)
05166000001612098;Schafweg;
05166000001612099;Lindenallee;POINT (6.249541934123113 51.30638018193732)
05166000001612100;Schanzheide;
05166000001612101;Lobbericher Straße;POINT (6.26135265554395 51.302131497588675)
05166000001612103;Lötsch;POINT (6.265202645885796 51.28872527711064)
05166000001612104;Steinkoul;
05166000001612105;Lötscher Weg;POINT (6.261573012664723 51.284083557774515)
05166000001612106;Tellerweg;
05166000001612107;Loirfeld;POINT (6.2505320765194545 51.29916119436236)
05166000001612108;Paul-Breuer-Straße;POINT (6.223010964790433 51.33376222998786)
05166000001612109;Lotzstraße;POINT (6.247716517166348 51.296582125743434)
05166000001612111;Metgesheide;POINT (6.243154606506446 51.28938516173565)
05166000001612112;Mußkamp;POINT (6.2597594641349135 51.303628975629515)
05166000001612113;Mommer Straße;POINT (6.257669338419855 51.27672134324353)
05166000001612114;Mühlenbachweg;POINT (6.239893923729583 51.28021010793496)
05166000001612115;Moubisstraße;POINT (6.241130480982458 51.28330650901857)
05166000001612116;Nordhoffstraße;POINT (6.238460104884964 51.294296764482496)
05166000001612117;Natt;POINT (6.22409048819423 51.296230428321536)
05166000001612118;Oberonnert;POINT (6.2595393055809305 51.30425507416907)
05166000001612119;Onnert;POINT (6.25881438765331 51.30259289947854)
05166000001612120;Unteronnert;POINT (6.258504267991604 51.301756749311856)
05166000001612121;Overbeckstraße;POINT (6.252469344823831 51.29646077489409)
05166000001612122;Samtbandstraße;POINT (6.282819973364584 51.31063291258475)
05166000001612123;Pasch;POINT (6.242381256394436 51.28595724603485)
05166000001612124;Johannes-Torka-Straße;POINT (6.2825099633049275 51.30935797829919)
05166000001612125;Paul-Therstappen-Straße;POINT (6.255360762088456 51.293555917069625)
05166000001612126;Graf-Schaesberg-Straße;POINT (6.284257135570383 51.33020568263401)
05166000001612127;Pieper;POINT (6.241771050478763 51.28382740722251)
05166000001612128;Rektor-Bongartz-Weg;POINT (6.284127812776569 51.33198347952476)
05166000001612129;Rahe;POINT (6.252313150586988 51.274127115342246)
05166000001612130;Heier Weg;
05166000001612131;Rieth;POINT (6.2343515086978565 51.274151811781195)
05166000001612132;Landrat-Mülleneisen-Str.;POINT (6.283655502896798 51.30231404620464)
05166000001612133;Riether Straße;POINT (6.238931764939299 51.27904669087145)
05166000001612135;Ritzbruch;POINT (6.2386946634916285 51.30824910049955)
05166000001612136;Romdöppen;POINT (6.256102307458759 51.298839237910556)
05166000001612137;Sassenfeld;POINT (6.246672393404561 51.319749541013536)
05166000001612139;Sonnendyker Weg;POINT (6.257628125208733 51.284633699565894)
05166000001612141;Speck;POINT (6.245784667971319 51.28338750215136)
05166000001612143;Sprinkelhofer Weg;POINT (6.248787477695677 51.30186482633921)
05166000001612145;Schaager Straße;POINT (6.252582077766054 51.294740672867604)
05166000001612147;Schellberg;POINT (6.238067675929037 51.29354611879137)
05166000001612149;Schmaxbruch;POINT (6.244033396520848 51.30016582605278)
05166000001612150;Schumachersstraße;POINT (6.236517420491908 51.29594741869965)
05166000001612151;Schulstraße;POINT (6.2442201667748 51.29836540984245)
05166000001612153;Thalweg;POINT (6.257786342599715 51.290742446623554)
05166000001612154;Theodor-Haan-Straße;POINT (6.236525127450038 51.29522841491996)
05166000001612155;Versteylstraße;POINT (6.242980033610586 51.27877688616342)
05166000001612157;Von-Waldois-Straße;POINT (6.249925209897815 51.292502046210615)
05166000001612159;Vorbruch;POINT (6.239847299484236 51.28978460201955)
05166000001612160;Weberstraße;POINT (6.23762036579849 51.31039815547614)
05166000001612161;Wiesenstraße;POINT (6.252225589953875 51.29765033878881)
05166000001612163;Zum Sonnenbach;POINT (6.2627565860669705 51.26704349705358)
05166000001612200;Am Engel;POINT (6.278066393953453 51.33510225648761)
05166000001612201;Am Heidbüchel;POINT (6.2610659225436605 51.3421516615848)
05166000001612202;Am Jüütenbongert;POINT (6.2776282967926695 51.33099736560605)
05166000001612203;Am Kreuzberg;POINT (6.28363864748369 51.33288585839558)
05166000001612205;Am Sandberg;POINT (6.284643442457703 51.33401473800765)
05166000001612207;An Backesbeek;POINT (6.2760585939252325 51.32789735468902)
05166000001612209;An Haus Bey;POINT (6.254230514746983 51.33947529296266)
05166000001612211;Ansemsstraße;POINT (6.275179017072673 51.33273573648328)
05166000001612213;An St. Peter;POINT (6.2816601206522975 51.3342783969927)
05166000001612214;August-Färvers-Straße;POINT (6.273529013056524 51.33462310204314)
05166000001612215;Auf der Schomm;POINT (6.27686952557879 51.33814563398627)
05166000001612217;Bellenweg;POINT (6.285463442814374 51.33464302360862)
05166000001612219;Bergstraße;POINT (6.281718961624466 51.3341471169836)
05166000001612221;Büschen;POINT (6.292591552595221 51.33117775969142)
05166000001612223;Dahliensteg;POINT (6.276893924649714 51.332467844698506)
05166000001612225;Feegersweg;POINT (6.276397985600814 51.332716049923924)
05166000001612227;Fliederweg;POINT (6.276854485450512 51.33282747803577)
05166000001612228;Franziskusstraße;POINT (6.281840159522403 51.32877606646445)
05166000001612229;Glabbach;POINT (6.30094781385641 51.34454125336392)
05166000001612231;Grefrather Straße;POINT (6.283016661869975 51.332615151125445)
05166000001612233;Haak;POINT (6.260728992441653 51.32876994819609)
05166000001612235;Hamsel;POINT (6.260183137199879 51.333570267946136)
05166000001612237;Hauptstraße;POINT (6.280177061119933 51.33257827434986)
05166000001612239;Heide;POINT (6.279746547458067 51.34223502795598)
05166000001612241;Hendrik-Goltzius-Weg;POINT (6.275339853503682 51.33327499574264)
05166000001612243;Hillenweg;POINT (6.277139805924267 51.33207895268794)
05166000001612245;Höhenweg;POINT (6.275726562973233 51.33828413713227)
05166000001612247;Hombergen;POINT (6.264724453897316 51.3452007362016)
05166000001612249;Hübeck;POINT (6.303702268957009 51.33222272154552)
05166000001612251;Im Krokusfeld;POINT (6.278204458260414 51.33349661050389)
05166000001612253;Im Windfang;POINT (6.272792816814856 51.31904144074834)
05166000001612256;Johannesfeld;POINT (6.275438946770252 51.33580238152426)
05166000001612257;Johannesstraße;POINT (6.277175303873646 51.33510167919762)
05166000001612258;Jupp-Rübsam-Straße;POINT (6.2784179133833735 51.32989077710254)
05166000001612259;Karstraße;POINT (6.288882619821077 51.3428199340167)
05166000001612261;Kopernikusstraße;POINT (6.274431930643926 51.327193375862244)
05166000001612263;Koul;POINT (6.308576960714535 51.325925568111586)
05166000001612264;Krickenbecker Allee;POINT (6.261768649728102 51.344618280276244)
05166000001612265;Krugerpfad;POINT (6.287202409179789 51.33124893259413)
05166000001612267;Landstraße;POINT (6.2787800871192845 51.32537898553667)
05166000001612269;Marienstraße;POINT (6.281314072502958 51.32978764976171)
