strassenschluessel;bezeichnung;geometry
05970000003608000;Altenseelbacher Weg;POINT (7.99320942782533 50.78008977118214)
05970000003608001;Am Lohberg;POINT (7.995397335707571 50.77681191161254)
05970000003608002;Am Ziegenberg;POINT (7.992221401436754 50.77556371475362)
05970000003608003;An der Lützelbach;POINT (8.0004276018414 50.77620468450919)
05970000003608004;Bergstraße;POINT (7.998822701797773 50.77739615920603)
05970000003608005;Blumenstraße;POINT (7.993465486342083 50.780658133838706)
05970000003608006;Breitelbachstraße;POINT (7.9985745737359855 50.77809525847185)
05970000003608007;Burgstraße;POINT (7.9944122410925145 50.77518537089447)
05970000003608008;Daadenbach;POINT (7.988379104685376 50.7797459519534)
05970000003608009;Große Burg;POINT (7.996780243408936 50.772714973324284)
05970000003608010;Hellerbergstraße;POINT (8.00409308281676 50.77786892061)
05970000003608011;Hohenseelbachstraße;POINT (7.994449391646219 50.776582682983026)
05970000003608012;Hohenseelbachskopf;POINT (7.98611022839302 50.76113939042121)
05970000003608013;Jägerstraße;POINT (7.995286448008856 50.779662153028355)
05970000003608014;Manseifen;POINT (7.997213467530863 50.777493201938526)
05970000003608015;Obere Reihe;POINT (7.99465663767929 50.779079475890875)
05970000003608016;Ringstraße;POINT (7.992776385897658 50.781446493215064)
05970000003608017;Untere Reihe;POINT (7.996864373977879 50.77985798007724)
05970000003608018;Waldstraße;POINT (7.996611373720609 50.78228920575826)
05970000003608019;Lohbergsweg;POINT (7.998021551628035 50.77606085180043)
05970000003608020;Lohmannsfeld;POINT (8.00447169017836 50.77882983848917)
05970000003608021;Zum Baumert;POINT (7.998676076337777 50.77606346911983)
05970000003608022;Obere Daadenbach;POINT (7.993812763300613 50.77910806368946)
05970000003608023;Zur Alten Burg;POINT (7.992106756428856 50.7775156258859)
05970000003608024;Boschstraße;POINT (7.989674139963357 50.77766403676784)
05970000003608025;Kirschbaumweg;POINT (7.992758914380491 50.777000117165656)
05970000003608026;Oberer Pfad;POINT (7.992131284083067 50.77821952263056)
05970000003608028;Am Seelbach;POINT (7.999316212675348 50.77888163273274)
05970000003608029;Am Hellerberg;POINT (7.997393501270435 50.78159187854611)
05970000003608040;Alte Apotheke;POINT (7.997865854280094 50.790020949916894)
05970000003608041;Alte Hütte;POINT (8.003273048228868 50.78832575639378)
05970000003608042;Altenbergstraße;POINT (7.987426805631296 50.785763202850546)
05970000003608043;Altenseelbacher Weg;POINT (7.989870232569069 50.78126663463161)
05970000003608044;Am Flur;POINT (7.991844055476111 50.78320116096728)
05970000003608045;Am Hang;POINT (7.999859391055455 50.79712851174088)
05970000003608046;Am Hellerberg;POINT (7.99636053690347 50.784164872273855)
05970000003608047;Am Kalk;POINT (8.006799624418575 50.78849166026399)
05970000003608048;Am Kirchweg;POINT (8.00928812115533 50.78747664687502)
05970000003608049;Am Leyhof;POINT (7.996448808724615 50.790999968697264)
05970000003608050;Am Lohbau;POINT (7.998961232382294 50.7882458723527)
05970000003608051;Zum Kalk;POINT (8.009429259661534 50.788708110186825)
05970000003608052;Am Siebertsweiher;POINT (8.006472856093135 50.78958833754514)
05970000003608053;Auf der Brache;POINT (7.996010615685865 50.78976533924244)
05970000003608054;Bahnhofstraße;POINT (7.998999779216794 50.78844580505579)
05970000003608055;Bunkerweg;POINT (7.9968138510235205 50.78881265907581)
05970000003608056;Emilienstraße;POINT (8.005365177372289 50.7869115355808)
05970000003608057;Feldstraße;POINT (8.00801799128373 50.78920431682777)
05970000003608058;Flurenwende;POINT (7.9908196040269 50.78112714967274)
05970000003608059;Forstweg;POINT (7.990950049786419 50.78719674989006)
05970000003608060;Frankfurter Straße;POINT (8.00736947832663 50.78747494002422)
05970000003608061;Gartenstraße;POINT (8.003930420613841 50.789265880629124)
05970000003608062;Gerberweg;POINT (7.997733859219467 50.78716183484427)
05970000003608063;Glück-Auf-Straße;POINT (7.988850899458589 50.78034701528823)
05970000003608064;Haldenweg;POINT (8.003342402763307 50.7931215938229)
05970000003608065;Heckengarten;POINT (8.004804372956322 50.792760628682515)
05970000003608066;Hellergarten;POINT (7.999467461914631 50.787048071634395)
05970000003608067;Hellerrain;POINT (8.002129571916534 50.78658408828352)
05970000003608068;Hellerstraße;POINT (8.002088802521806 50.78792931442066)
05970000003608069;Hochstraße;POINT (7.999011912544944 50.79085632983049)
05970000003608070;Hofgarten;POINT (7.997698292260851 50.78969945477686)
05970000003608071;Hohenseelbachstraße;POINT (7.993848650525943 50.786569347838935)
05970000003608072;Hubertusweg;POINT (7.9874874457395855 50.786102400862)
05970000003608073;Im Dählfeld;POINT (8.001074798533608 50.795876925771495)
05970000003608074;Im Pfarrfeld;POINT (8.005788000977056 50.78776552781069)
05970000003608075;In der Klotzbach;POINT (7.996349986361778 50.79197266638041)
05970000003608077;In der Trift;POINT (7.992774740908039 50.78671833120508)
05970000003608078;Kirchbergweg;POINT (8.002437755810496 50.79233951961128)
05970000003608079;Kirchstraße;POINT (7.997959615667244 50.79059982286591)
05970000003608080;Knappschaftsglück;POINT (7.9926544241080935 50.78417615406176)
05970000003608081;Kölner Straße;POINT (7.992922186329392 50.78761287167651)
05970000003608082;Kurze Straße;POINT (8.008378448293472 50.78857680375146)
05970000003608083;Löhrstraße;POINT (7.995902481409757 50.786695035069464)
05970000003608084;Mühlenbergstraße;POINT (7.992365849749244 50.785240856031116)
05970000003608085;Obere Kirchbergstraße;POINT (8.000949972554324 50.79243355281805)
05970000003608086;Obere Liebach;POINT (8.001560904993305 50.79596196230391)
05970000003608087;Pfarrau;POINT (7.988388700854484 50.78499736801058)
05970000003608088;Schützenweg;POINT (7.994849110598059 50.79152736382549)
05970000003608089;Steimelsweg;POINT (7.9991321710798555 50.79613497716737)
05970000003608090;Untere Kirchbergstraße;POINT (7.999976900398101 50.79148420415493)
05970000003608091;Untere Liebach;POINT (8.00450356779124 50.79343497199796)
05970000003608092;Waldstraße;POINT (7.99590279620046 50.78455182726478)
05970000003608093;Wiesenstraße;POINT (7.995932044954179 50.78783221593969)
05970000003608094;Ziegeleistraße;POINT (7.99181597834127 50.78213541405931)
05970000003608095;Zum Schlüssel;POINT (7.989517756621782 50.78177432767376)
05970000003608096;Querweg;POINT (8.010601801080085 50.786469787432736)
05970000003608097;Am Hirtengarten;POINT (8.006622105530091 50.79251359626374)
05970000003608098;Daadenbach;POINT (7.989301034890326 50.78035771549809)
05970000003608099;Brentanoweg;POINT (8.017564209737186 50.78948044811269)
05970000003608100;Chamissoweg;POINT (8.017814537149619 50.78937468406852)
05970000003608101;Eichendorffweg;POINT (8.01825605218938 50.789077294225564)
05970000003608102;Fichteweg;POINT (8.018820125655983 50.78888968713686)
05970000003608103;Hegelstraße;POINT (8.019252740977473 50.78983000058107)
05970000003608104;Heinrich-Heine-Weg;POINT (8.019783100756074 50.78917950985831)
05970000003608105;Hölderlinweg;POINT (8.019960946924632 50.78892270469941)
05970000003608106;Kantstraße;POINT (8.019832247532134 50.789180111699665)
05970000003608107;Kopernikusring;POINT (8.02421201758736 50.78981634742057)
05970000003608108;Novalisweg;POINT (8.020376441767054 50.78865028687514)
05970000003608109;Breslauer Ring;POINT (8.001474851399886 50.7936151710581)
05970000003608110;Waldenburger Straße;POINT (7.998661068311725 50.792424340765685)
05970000003608111;Görlitzer Straße;POINT (7.997839071215283 50.79363943436708)
05970000003608112;Königsberger Straße;POINT (7.998654477016915 50.7943018625242)
05970000003608113;Stettiner Straße;POINT (7.999798163167701 50.79369502712008)
05970000003608114;Danziger Weg;POINT (8.000897451012138 50.79297109687752)
05970000003608115;Sudetenweg;
05970000003608116;Posener Weg;POINT (8.000347425059791 50.79449386149455)
05970000003608118;Gleiwitzer Straße;POINT (7.999184796790218 50.79568271649603)
05970000003608119;Fontaneweg;POINT (8.020193266589553 50.789796698248416)
05970000003608120;Hebbelweg;POINT (8.018922792246187 50.79016422397761)
05970000003608121;Von-Kleist-Weg;POINT (8.020946353801621 50.78938601207386)
05970000003608122;Mörikeweg;POINT (8.021607970477534 50.789422112897086)
05970000003608123;Stormweg;POINT (8.023039491985243 50.78926941183704)
05970000003608124;Uhlandweg;POINT (8.022441025256342 50.78838913654081)
05970000003608125;Lessingstraße;POINT (8.020642428443665 50.78786316086847)
05970000003608126;Jung-Stilling-Straße;POINT (8.026510562933947 50.79440085476069)
05970000003608127;Dürerweg;POINT (8.018149604452402 50.790178465457785)
05970000003608128;Herderweg;
05970000003608129;Bodelschwinghweg;POINT (8.019429514697332 50.79133083230819)
05970000003608130;Kettelerweg;POINT (8.020398504414391 50.79139724903564)
05970000003608131;Wichernweg;POINT (8.021081425660832 50.791278068195254)
05970000003608132;Bonhoefferstraße;POINT (8.02447000104182 50.79063105751124)
05970000003608133;Kolpingstraße;POINT (8.022489513577263 50.79164830485942)
05970000003608134;Martin-Luther-Straße;POINT (8.024718888861653 50.78972337119831)
05970000003608135;Untere Daadenbach;POINT (7.98736848295236 50.781004852517356)
05970000003608136;Goetheweg;POINT (8.019589657171082 50.79041176289545)
05970000003608137;Raabeweg;POINT (8.020390827196136 50.790390705271676)
05970000003608138;Bitzegarten;POINT (8.001831991203547 50.78958995026902)
05970000003608139;Auf der Ziegelei;POINT (7.992382961144822 50.78319550253264)
05970000003608140;Alter Weg;POINT (7.985200419333739 50.782658478114506)
05970000003608141;Bonifatiusweg;POINT (8.007676625983734 50.78523535763398)
05970000003608142;Benzstraße;POINT (7.986174140098794 50.7807797486228)
05970000003608143;Boschstraße;POINT (7.986816122535538 50.780431096975725)
05970000003608144;Dieselstraße;POINT (7.985675850265904 50.779835113587396)
05970000003608145;Hirschberger Straße;POINT (7.997913881532648 50.79653860477402)
05970000003608146;Liegnitzer Straße;POINT (7.997942732619165 50.7951370994395)
05970000003608147;Pausaer Straße;POINT (7.996580925378167 50.79890910116615)
05970000003608148;West-Lindsey-Straße;POINT (7.995957488168146 50.79960293145837)
05970000003608149;Siemensstraße;POINT (7.985348012790094 50.77869872389224)
05970000003608161;Am Birkenwald;POINT (8.011340150569225 50.79879162470964)
05970000003608162;Am Bohnenbaum;POINT (8.010704268696932 50.797865504190995)
05970000003608163;Am Hirtengarten;POINT (8.01026393145192 50.79407698440167)
05970000003608164;Am Kramberg;POINT (8.011319877688011 50.79611290844881)
05970000003608165;Am Landmann;POINT (8.022393895185878 50.79761115666814)
05970000003608166;Amselweg;POINT (8.011805249569834 50.7996502497886)
05970000003608167;Arbachstraße;POINT (8.017566865308986 50.798350987470826)
05970000003608168;Auf der Hell;POINT (8.017458892997075 50.80066444604963)
05970000003608169;Berliner Straße;POINT (8.0259535059944 50.797000752456434)
05970000003608171;Buchenborn;POINT (8.01003938108523 50.7956209185593)
05970000003608172;Falkenweg;POINT (8.012907140711444 50.800755205353724)
05970000003608173;Fasanenstraße;POINT (8.014323472957873 50.798632170778816)
05970000003608174;Finkenweg;POINT (8.012564252351606 50.79791420487712)
05970000003608175;Fritz-Schäfer-Straße;POINT (8.01663029145168 50.79560361518341)
05970000003608176;Gähneweg;POINT (8.015252254166324 50.797458773985916)
05970000003608177;Gerstenfeld;POINT (8.007889905865646 50.794292589249764)
05970000003608178;Gutenbachstraße;POINT (8.027310179202138 50.79610923998236)
05970000003608179;Heinrichsglück;POINT (8.037678120037116 50.796557444733146)
05970000003608180;Heinrichsglücker Weg;POINT (8.024227222826665 50.79759687415966)
05970000003608181;Hindenburgplatz;POINT (8.010930608374712 50.7952763812781)
05970000003608182;Hüttenweg;POINT (8.012245463104152 50.794873516688746)
05970000003608183;Knappenweg;POINT (8.011534861357468 50.80048565518817)
05970000003608184;Kölner Straße;POINT (8.01156441287885 50.79537532654705)
05970000003608185;Lerchenweg;POINT (8.015174166092558 50.80023076152831)
05970000003608186;Lotzenarbachstraße;POINT (8.01205842524759 50.805403734642915)
05970000003608187;Ludwigseck;POINT (8.029047613116248 50.7932666590012)
05970000003608188;Meisenweg;POINT (8.012830212897073 50.800196165289606)
05970000003608189;Mittelstraße;POINT (8.01093786275271 50.795523590750854)
05970000003608190;Neuer Weg;POINT (8.008317304796536 50.79412636204234)
05970000003608191;Neunkirchener Garten;POINT (8.009861760728084 50.7942375064205)
05970000003608192;Oberes Gerstenfeld;POINT (8.005267024681913 50.79459644050659)
05970000003608193;Pfannenbergstraße;POINT (8.008029712599022 50.80977210423221)
05970000003608194;Rensdorfstraße;POINT (8.024581766604381 50.79680922208179)
05970000003608195;Schmittbrache;POINT (8.015140025765353 50.80089489068144)
05970000003608197;Spandauer Weg;POINT (8.011422888203617 50.79771249074238)
05970000003608198;Weiherstraße;POINT (8.008512490925693 50.79708551449162)
05970000003608199;Wildener Straße;POINT (8.019710137533478 50.79626130137872)
05970000003608200;Wolfsberg;POINT (8.008803783313327 50.796029521905396)
05970000003608201;Friedensweg;POINT (8.016314490985327 50.79691700002145)
05970000003608202;Schwalbenweg;POINT (8.014465827561875 50.80389405222712)
05970000003608203;van-Kinsbergen-Ring;POINT (8.009243263836508 50.79777078209721)
05970000003608204;Arbachshütte;POINT (8.020596088014415 50.797064504619605)
05970000003608205;Alter Hohlweg;POINT (8.011510865581112 50.7966632489752)
05970000003608206;Zur Schmiede;POINT (8.01183151318247 50.79584222618796)
05970000003608270;Ahornstraße;POINT (7.972177269540134 50.77960570739493)
05970000003608271;Alter Weg;POINT (7.979257909050437 50.78198707999171)
05970000003608272;Am Altenberg;POINT (7.9798352552217695 50.78373117586053)
05970000003608273;Am Bähnchen;POINT (7.97427368332811 50.7915644448492)
05970000003608274;Am Schiffenberg;POINT (7.970116789152111 50.78719351292339)
05970000003608275;An der Linde;POINT (7.970556609852711 50.78122218383948)
05970000003608276;Birkenstraße;POINT (7.967361722198653 50.781898598855285)
05970000003608277;Brückenstraße;POINT (7.967859684055333 50.78323795533927)
05970000003608278;Buchenstraße;POINT (7.968314801200857 50.780858847618184)
05970000003608279;Eichenstraße;POINT (7.968977665083218 50.78146957780307)
05970000003608280;Fällstraße;POINT (7.966252229858191 50.782486903958535)
05970000003608281;Hohlweg;POINT (7.971985083017464 50.78087622670298)
05970000003608282;Im Alten Dorf;POINT (7.972100783383943 50.78207791883964)
05970000003608283;Im Wiesengrund;POINT (7.976177857497653 50.78191975074415)
05970000003608284;In der Herzbach;POINT (7.969091231445505 50.78604815454102)
05970000003608285;Kölner Straße;POINT (7.967914239989275 50.78415427110825)
05970000003608286;Langewiese;POINT (7.977198526367416 50.793432365699886)
05970000003608287;Malscheider Weg;POINT (7.973235670514464 50.77871999708878)
05970000003608288;Neuwiese;POINT (7.967711065613924 50.78309730960556)
05970000003608289;Rothebornsweg;POINT (7.9715915525581025 50.786932378533066)
