strassenschluessel;bezeichnung;geometry
05162000002400100;Abteiweg;POINT (6.714171026558795 51.176226783691334)
05162000002400110;Ackerweg;POINT (6.712652709188561 51.143024982667264)
05162000002400120;Adlerstraße;POINT (6.730297238182752 51.15349068365022)
05162000002400130;Adolf-Flecken-Straße;POINT (6.683569564261046 51.202357851736544)
05162000002400140;Adolfstraße;POINT (6.674107475886121 51.20657443120642)
05162000002400141;Adolfstraße;POINT (6.670839213221993 51.208438727417054)
05162000002400150;Aggerstraße;POINT (6.7319620738147234 51.1655756631405)
05162000002400153;Agrippastraße;
05162000002400155;Agrippinaweg;POINT (6.704454816065011 51.184334399238665)
05162000002400160;Ahornstraße;POINT (6.724468922385471 51.12181946529703)
05162000002400170;Ahrstraße;POINT (6.732096178688506 51.16285031720366)
05162000002400180;Akazienweg;POINT (6.727745680642003 51.12361094795355)
05162000002400190;Albert-Schatz-Straße;POINT (6.664853072842932 51.15763223682232)
05162000002400200;Albert-Schweitzer-Straße;POINT (6.744913797251404 51.138714779368556)
05162000002400210;Albertus-Magnus-Straße;POINT (6.745561810697288 51.13839184658165)
05162000002400220;Alemannenstraße;POINT (6.676170189961365 51.20692113054509)
05162000002400230;Alex-Schmorell-Straße;POINT (6.691933443695159 51.15408818411982)
05162000002400240;Alexianerplatz;POINT (6.704064953162237 51.18970763668419)
05162000002400250;Alfred-Delp-Straße;POINT (6.696647213208751 51.16052030212191)
05162000002400255;Alfred-Pierburg-Straße;POINT (6.691621568061941 51.22313120014885)
05162000002400257;Allmende;POINT (6.789860604201671 51.1631767994135)
05162000002400260;Aloysiusstraße;POINT (6.750115684234551 51.14809137844095)
05162000002400270;Alte Aachener Straße;POINT (6.682848567761436 51.18915662324596)
05162000002400280;Alte Hauptstraße;POINT (6.7333923669788 51.12828452630488)
05162000002400290;Alte Uferstraße;POINT (6.704282402311496 51.142592013197834)
05162000002400300;Altebrücker Straße;POINT (6.741844010168631 51.13787280340929)
05162000002400320;Am Alten Bach;POINT (6.745658928300276 51.14122454142117)
05162000002400330;Am Alten Sportplatz;POINT (6.670305946290368 51.165689255908795)
05162000002400335;Am Alten Wasserturm;
05162000002400340;Am Alten Weiher;POINT (6.6930634853997075 51.19425021056919)
05162000002400360;Am Backes;POINT (6.700108447123932 51.14160514000548)
05162000002400370;Am Baldhof;POINT (6.68480093272007 51.17935816949611)
05162000002400375;Am Bettikumer Hof;POINT (6.715177752903307 51.14538609806922)
05162000002400385;Am Blankenwasser;POINT (6.749038514652827 51.1647853637634)
05162000002400386;Am Blankenwasser;POINT (6.7589217515488 51.1538065136942)
05162000002400390;Am Bollenberg;POINT (6.783883318909015 51.161669878101904)
05162000002400395;Am Bommerhof;POINT (6.683832608806112 51.23032032828686)
05162000002400400;Am Clemenshof;POINT (6.653567319265777 51.20810874509755)
05162000002400410;Am Derikumer Hof;POINT (6.7307444904651135 51.16723108141793)
05162000002400411;Am Derikumer Hof;POINT (6.733274554429329 51.166382832243244)
05162000002400420;Am Deußhof;POINT (6.693677014409906 51.15817304337209)
05162000002400430;Am Dormannsbusch;POINT (6.747227242249963 51.17442494351817)
05162000002400440;Am Dreieck;POINT (6.730534674223813 51.126627823777426)
05162000002400450;Am Driesch;POINT (6.677697006547885 51.14072725123057)
05162000002400460;Am Erprather Weg;POINT (6.674305966615552 51.16263172521449)
05162000002400465;Am Fährweg;POINT (6.751763495190574 51.174634030750305)
05162000002400470;Am Flachshof;POINT (6.659966319177431 51.22143543094129)
05162000002400480;Am Friedhof;
05162000002400485;Am Fronhof;POINT (6.761759077533508 51.131351452186045)
05162000002400490;Am Fuchsberg;POINT (6.767177159145351 51.15242313745032)
05162000002400500;Am Goldberg;POINT (6.740500270126548 51.16227020426647)
05162000002400510;Am Goldmorgen;POINT (6.699166795683109 51.14497056136135)
05162000002400512;Am Golfplatz;POINT (6.719254585701339 51.16059476731862)
05162000002400515;Am Hagelkreuz;POINT (6.7046249622465846 51.14828270898864)
05162000002400520;Am Hasenberg;POINT (6.662779624378214 51.216590675481655)
05162000002400525;Am Haus Vogelsang;POINT (6.666859878631042 51.22235138024834)
05162000002400530;Am Heiligenhäuschen;POINT (6.674176191514993 51.16341174147828)
05162000002400540;Am Henselsgraben;POINT (6.753819300107471 51.139458753444316)
05162000002400550;Am Hochofen;POINT (6.715634734413716 51.22443545200137)
05162000002400550;Am Hochofen;POINT (6.715634734413716 51.22443545200137)
05162000002400560;Am Hohen Weg;POINT (6.672760999372686 51.21825308448412)
05162000002400570;Am Hummelbach;POINT (6.7038218017548115 51.14632360950396)
05162000002400575;Am Illinghauser Hof;POINT (6.7486114596593145 51.14032013278565)
05162000002400580;Am Josefshaus;POINT (6.731375202080192 51.134072417812014)
05162000002400590;Am Jostensbusch;POINT (6.6641747515654615 51.21060344506172)
05162000002400595;Am Jröne Meerke;POINT (6.655917895584316 51.217670656197804)
05162000002400600;Am Kapellchen;POINT (6.723298555361123 51.14265504082067)
05162000002400610;Am Katzenberg;POINT (6.671649555518311 51.218586876023096)
05162000002400620;Am Kaulacker;POINT (6.747477468361446 51.1393406960804)
05162000002400625;Am Kehlturm;
05162000002400628;Am Keutenhof;POINT (6.686331374661568 51.189870613229786)
05162000002400630;Am Kirchberg;POINT (6.705415513866739 51.14174615874966)
05162000002400635;Am Kirchenmorgen;POINT (6.7544617886950284 51.14547810871433)
05162000002400640;Am Kirschbäumchen;POINT (6.699119085194516 51.159119496393906)
