strassenschluessel;bezeichnung;geometry
05358000004405400;Am Juch;POINT (6.477434881797507 50.668593451823234)
05358000004405401;Am Roßberg;POINT (6.466415819030664 50.67216060702514)
05358000004405402;Auf dem Bühl;POINT (6.473983651066652 50.66349223283186)
05358000004405403;Auf dem Hilkenrath;POINT (6.467034046782123 50.66799935290675)
05358000004405404;Auf dem Schildchen;POINT (6.479426549714195 50.66373741152499)
05358000004405405;Berger Weg;POINT (6.484988451423152 50.673669367394304)
05358000004405406;Berrefeldweg;POINT (6.478959318427718 50.67237920505548)
05358000004405407;Blenser Straße;POINT (6.4785718646875186 50.66912994985487)
05358000004405408;Commweg;POINT (6.476134245595566 50.67187482248606)
05358000004405409;Conzenstraße;POINT (6.475222513647678 50.67043910609257)
05358000004405410;Dohmengarten;POINT (6.478597643342882 50.66831993061316)
05358000004405411;Gut Lüppenau;
05358000004405412;Hausener Gasse;POINT (6.487116530533751 50.66089766954885)
05358000004405413;Hochstraße;POINT (6.475501415959532 50.67266402289369)
05358000004405414;Hollicher Weg;POINT (6.471105717715027 50.67125450863018)
05358000004405415;Hundsleyweg;POINT (6.4810762928839845 50.6704785558616)
05358000004405416;Im Düstal;POINT (6.485123835918021 50.66705958649466)
05358000004405417;Im Hag;POINT (6.480457163767746 50.67199905239609)
05358000004405418;Im Höfgen;POINT (6.478905574815835 50.66971627110298)
05358000004405419;Im Kirchbusch;POINT (6.4812114958731035 50.66554668030077)
05358000004405420;Im Tiergarten;POINT (6.469554793630227 50.670120969327904)
05358000004405421;In der Au;POINT (6.476723490140795 50.66762850636626)
05358000004405423;Martinsweg;POINT (6.4793810997778785 50.66914718539767)
05358000004405424;Mühlbachstraße;POINT (6.485175518723685 50.66962182078061)
05358000004405425;Palander Straße;POINT (6.479178589848598 50.671974475051954)
05358000004405426;Paffenbend;
05358000004405427;Rurweg;POINT (6.476032713948845 50.67385067821607)
05358000004405428;Weißdornweg;POINT (6.472424767448337 50.669124736555865)
05358000004405429;Lüppenauer Auel;POINT (6.47520663533795 50.665902226814666)
05358000004405455;Auf der Komm;POINT (6.524345292146028 50.67907834227004)
05358000004405456;Clemensweg;POINT (6.517128663715957 50.67693063766027)
05358000004405457;Dürener Straße;POINT (6.521610087184674 50.68139242210459)
05358000004405458;Frankenstraße;POINT (6.5250353524841564 50.679803393190234)
05358000004405459;Gartenweg;POINT (6.518197646187158 50.680335641167574)
05358000004405460;Im Brühl;POINT (6.524598806493649 50.682391662749076)
05358000004405461;Im Pesch;POINT (6.521145093674388 50.6796006256604)
05358000004405462;Kirchstraße;POINT (6.519088190704245 50.6775799574873)
05358000004405463;Lagerstraße;POINT (6.523295088766135 50.6799169956005)
05358000004405464;Thuir;POINT (6.531083119815183 50.69350941151655)
05358000004405465;Zum Breidel;POINT (6.524632235651539 50.68322933342973)
05358000004405466;Am Dorfplatz;POINT (6.520767973569867 50.67889393179066)
05358000004405467;Im Bruch;POINT (6.525354070371288 50.67832137048417)
05358000004405468;Utenwinkler Hof;POINT (6.52610346733211 50.67601745136777)
05358000004405515;Burgstraße;POINT (6.469592106207046 50.689822103488005)
05358000004405516;Eichenbirk;POINT (6.467696243592342 50.68903384414832)
05358000004405517;Forsthaus Hetzingen;
05358000004405518;Hetzinger Weg;POINT (6.469646181841574 50.68497109088851)
05358000004405519;Höhenweg;POINT (6.4680286113462975 50.68666033916769)
05358000004405520;Rurstraße;POINT (6.467680917400232 50.68584827649318)
05358000004405521;Talstraße;POINT (6.469802386486082 50.68941391261592)
05358000004405522;Wingertsweg;POINT (6.474117931849721 50.69187630634597)
05358000004405523;Zerkaller Straße;POINT (6.466931540505205 50.689674085024365)
05358000004405524;Gut Schüdderfeld;POINT (6.472979959147038 50.68740399051455)
05358000004405525;Gut Kallerbend;POINT (6.458516261467668 50.697054101292025)
05358000004405526;Gut Neuenhof;POINT (6.458570686094474 50.69581693234805)
05358000004405527;Gut Laach;POINT (6.4549566663412925 50.69224797863399)
05358000004405528;Hof Fischer;POINT (6.462353304807662 50.68699507763426)
05358000004405529;Campingweg;POINT (6.469918100986916 50.684987484729376)
05358000004405530;Hetzinger Hof;POINT (6.468994641235243 50.68233129868759)
05358000004405550;Alte Schulstraße;POINT (6.5784383553546215 50.683913069644944)
05358000004405551;Amselweg;POINT (6.569852310162126 50.681934575340236)
05358000004405552;Gerberweg;POINT (6.577330115681452 50.683084348814596)
05358000004405553;Kleine Königstraße;POINT (6.569920268670638 50.68520464137371)
05358000004405554;Königstraße;POINT (6.573100784322114 50.68586773929302)
05358000004405555;Liebergstraße;POINT (6.5782476455181005 50.68532088378373)
05358000004405556;Mühlenstraße;POINT (6.579118372560724 50.684095778689446)
05358000004405557;Muldenauer Straße;POINT (6.5684976266826975 50.684574227712396)
05358000004405558;Neffeltalstraße;POINT (6.57507836589775 50.68280963185175)
05358000004405559;Ringstraße;POINT (6.575897137154073 50.68577213303946)
05358000004405560;St.Antoniusstraße;POINT (6.569388061270188 50.68297334362564)
05358000004405561;Frohnhof;
05358000004405562;Frohnhofstraße;POINT (6.575496155877966 50.68318872396323)
05358000004405563;Auf der Gries;POINT (6.578540581055264 50.686471891093824)
05358000004405564;Auf dem Sand;POINT (6.568623352535012 50.68514174733055)
05358000004405585;Am Breidel;POINT (6.555734000019739 50.68776506071242)
05358000004405586;Barbarastraße;POINT (6.5578271536941015 50.688617157323776)
05358000004405587;Brückenstraße;POINT (6.5589706498661835 50.68791137321507)
05358000004405588;Pützgasse;POINT (6.557936413863752 50.6882858113152)
05358000004405589;Ulmenstraße;POINT (6.5571259510995725 50.68796067423042)
05358000004405605;Abendener Straße;POINT (6.485420312899221 50.68875674245284)
05358000004405606;Alveradisstraße;POINT (6.484035275215446 50.68975648744804)
05358000004405607;Am Eisernen Kreuz;POINT (6.487948544091985 50.693620498646524)
05358000004405608;Am Scheid;POINT (6.487330599573925 50.6904767543415)
05358000004405609;An der Stadtmauer;POINT (6.48279473255715 50.689949519683005)
05358000004405610;Bahnhofstraße;POINT (6.48051762311796 50.69201572990507)
05358000004405611;Beethovenweg;POINT (6.480948781844198 50.69585302098561)
05358000004405612;Bewersgasse;POINT (6.481963991150065 50.69077647393527)
05358000004405613;Bewersgraben;POINT (6.4809055096328265 50.69161319547225)
05358000004405614;Breslauer Straße;POINT (6.4874959134932375 50.688422777039165)
05358000004405615;Eifelstraße;POINT (6.485441210192884 50.693148595974165)
05358000004405616;Graf-Gerhard-Straße;POINT (6.482653526190502 50.689979766874714)
05358000004405617;Graf-Wilhelm-Straße;POINT (6.484522899175843 50.69127100974638)
05358000004405618;Göddertchen;POINT (6.486437659960437 50.693941869388)
05358000004405619;Heimersteinerstraße;POINT (6.479910601893717 50.690724050355364)
05358000004405620;Herzogstraße;POINT (6.487398001750658 50.69334468659044)
05358000004405621;Hindenburgstraße;POINT (6.4818090937510595 50.690975803183335)
05358000004405622;Hirtzleyweg;POINT (6.477587076429966 50.694860110759116)
05358000004405623;Im Altwerk;POINT (6.482860068410458 50.69056588021719)
05358000004405624;Im Effels;POINT (6.482675768763069 50.6857042162014)
05358000004405625;Im Jungholz;POINT (6.46779254498307 50.69369224550763)
05358000004405626;Im Kühlenbusch;POINT (6.483611297439147 50.68223956844379)
05358000004405627;Im Vogelsang;POINT (6.482735598453744 50.68959497554675)
05358000004405628;Jülicher Straße;POINT (6.484431737365403 50.69289219496815)
05358000004405629;Kermeterstraße;POINT (6.488251707975402 50.68639242428208)
05358000004405630;Kesselbergweg;POINT (6.475112876869246 50.6952171679926)
05358000004405631;Kirchgasse;POINT (6.479699608129322 50.68938995349348)
05358000004405632;Konrad-Adenauer-Straße;POINT (6.481787839561063 50.69656819400251)
